"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총종업원수",
"1","식육포장처리업","07_22_06_P","3250000","325000010420220001","20220124","","01","영업/정상","0000","정상","","","","","051-241-2226","0","","부산광역시 중구 보수동1가 104-10","부산광역시 중구 흑교로46번길 9, 1층 (보수동1가)","48967","육식마켓","20220124161037","I","2022-01-26 00:22:40.0","","384648.250289366","180163.21111928","식육포장처리업","식육포장처리업","0","L00","0",
"2","식육포장처리업","07_22_06_P","3250000","325000010420140001","20140207","","03","폐업","0002","폐업","20150119","","","","245-4391","0","","부산광역시 중구 부평동2가 12-35번지","부산광역시 중구 부평1길 56 (부평동2가)","48977","오부자상회","20150119164317","I","2018-08-31 23:59:59.0","","384658.286276831","179974.482342136","식육포장처리업","식육포장처리업","","000","",
"3","식육포장처리업","07_22_06_P","3250000","325000010420160001","20160118","","03","폐업","0002","폐업","20190219","","","","","0","","부산광역시 중구 보수동1가 24-9번지","부산광역시 중구 보수대로140번길 34 (보수동1가)","48962","세방식품","20190219160334","U","2019-02-21 02:40:00.0","","384407.525465206","180510.20083739","식육포장처리업","식육포장처리업","","000","",
"4","식육포장처리업","07_22_06_P","3260000","326000000420040001","20040903","","01","영업/정상","0000","정상","","","","","247-9353","0","","부산광역시 서구 토성동1가 41-1번지","부산광역시 서구 구덕로120번길 37 (토성동1가)","49246","디에스푸드","20190904182355","U","2019-09-06 02:40:00.0","","384409.567363692","179571.828310526","식육포장처리업","식육포장처리업","","000","",
"5","식육포장처리업","07_22_06_P","3260000","326000010420210001","20210409","","01","영업/정상","0000","정상","","","","","328-5339","294","","부산광역시 서구 남부민동 26-3","부산광역시 서구 천마로 196 (남부민동)","49256","(주)신의푸드","20210528102512","U","2021-05-30 02:40:00.0","","384334.624071352","178978.892904324","식육포장처리업","식육포장처리업","","L00","",
"6","식육포장처리업","07_22_06_P","3270000","327000010420130001","20130114","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 동구 수정동 1181-12번지","부산광역시 동구 망양로689번길 45 (수정동)","48714","드림푸드","20130114142039","I","2018-08-31 23:59:59.0","","385734.335455524","182799.582133661","식육포장처리업","식육포장처리업","","000","",
"7","식육포장처리업","07_22_06_P","3270000","327000010420140001","20140321","","01","영업/정상","0000","정상","","","","","","0","","","부산광역시 동구 범상로 37 (범일동, 월드원동부물류점)","48701","월드원동부점","20161216093406","I","2018-08-31 23:59:59.0","","386610.300530957","184625.900890113","식육포장처리업","식육포장처리업","","000","",
"8","식육포장처리업","07_22_06_P","3270000","327000010420160001","20161028","","01","영업/정상","0000","정상","","","","","","0","","부산광역시 동구 초량동 658-15번지","부산광역시 동구 홍곡로 25 (초량동)","48800","부산삼계유통","20161216173329","I","2018-08-31 23:59:59.0","","385805.010212647","182260.843713561","식육포장처리업","식육포장처리업","","000","",
"9","식육포장처리업","07_22_06_P","3270000","327000000420000001","20000615","","03","폐업","0002","폐업","20060725","","","","442-4451","75.8","","부산광역시 동구 초량동 1195-0004번지","","","(주)남일물산","20060725150916","I","2018-08-31 23:59:59.0","","386179.761278966","181803.805833145","식육포장처리업","식육포장처리업","","L00","",
"10","식육포장처리업","07_22_06_P","3270000","327000000420040001","20041007","","03","폐업","0002","폐업","20060131","","","","441-0175","113.51","","부산광역시 동구 초량동 408-0003번지","","","WAQAR INT'S FOODS","20060131170035","I","2018-08-31 23:59:59.0","","385767.884090777","181681.990484049","식육포장처리업","식육포장처리업","","000","",
