"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품냉동냉장업","07_22_07_P","3250000","3250000-116-1970-00001","19701111","","03","폐업","02","폐업","20150427","","","","051  2561141","","600046","부산광역시 중구 남포동6가 18-20번지","","","(주) 씨에스 실업","20081218141349","I","2018-08-31 23:59:59.0","식품냉동.냉장업","","","식품냉동.냉장업","","","","","","","","","","","","","","N","0","","","",
"2","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2019-00001","20190110","","01","영업/정상","01","영업","","","","","051 265 5100","2,024.97","602030","부산광역시 서구 암남동 755-2번지","부산광역시 서구 원양로 244 (암남동)","49273","엔케이수산(주)","20190110173832","I","2019-01-12 02:20:46.0","식품냉동.냉장업","382998.124849353","176715.780229812","식품냉동.냉장업","","","","","상수도전용","","","","","","자가","","","N","0","","","",
"3","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2008-00006","20080318","","01","영업/정상","01","영업","","","","","051 254 8011","9,243.63","602801","부산광역시 서구 남부민동 689-4번지","부산광역시 서구 충무대로 234 (남부민동)","49255","우양냉장(주)제2공장","20111214112948","I","2018-08-31 23:59:59.0","식품냉동.냉장업","384566.48631262","178809.387105856","식품냉동.냉장업","","","","","","","0","0","0","0","","","","N","0","","","",
"4","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2008-00002","20080311","","01","영업/정상","01","영업","","","","","051 253 0081","8,749.69","602831","부산광역시 서구 암남동 671-5번지","부산광역시 서구 암남공원로 463 (암남동)","49273","시원물산(주)","20111214112448","I","2018-08-31 23:59:59.0","식품냉동.냉장업","382936.570800237","177382.64323","식품냉동.냉장업","","","","","상수도전용","","0","0","0","0","자가","","","N","0","","","",
"5","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2008-00003","20080312","","01","영업/정상","01","영업","","","","","051 600 1919","57,829.00","602030","부산광역시 서구 암남동 740번지 외3필지(625-47,625-50,625-51)","부산광역시 서구 원양로 147 (암남동)","49273","동원산업(주) 부산냉장센터","20190611150241","U","2019-06-13 02:40:00.0","식품냉동.냉장업","383415.639943426","175962.567924767","식품냉동.냉장업","","","","","상수도전용","","0","0","0","0","자가","","","N","0","","","",
"6","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2008-00004","20080314","","01","영업/정상","01","영업","","","","","051 253 3083","31,475.94","602030","부산광역시 서구 암남동 714 보성냉장","부산광역시 서구 원양로 139 (암남동, 보성냉장)","49273","보성냉장(주)","20210401143101","U","2021-04-03 02:40:00.0","식품냉동.냉장업","383525.438764366","175857.138866271","식품냉동.냉장업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"7","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2008-00005","20080317","","01","영업/정상","01","영업","","","","","051 253 8500","25,238.56","602030","부산광역시 서구 암남동 736번지","부산광역시 서구 원양로 179 (암남동)","49273","아시아냉장(주)","20150211143141","I","2018-08-31 23:59:59.0","식품냉동.냉장업","383191.901164603","176135.554385135","식품냉동.냉장업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"8","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2008-00013","20080619","","01","영업/정상","01","영업","","","","","051 257 8077","13,919.85","602803","부산광역시 서구 남부민동 523-52번지","부산광역시 서구 충무대로 140 (남부민동)","49264","동양섬유(주)송도지점","20111214113624","I","2018-08-31 23:59:59.0","식품냉동.냉장업","384664.43085616","177871.739308163","식품냉동.냉장업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"9","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2008-00014","20080828","","01","영업/정상","01","영업","","","","","051 600 3939","46,959.26","602030","부산광역시 서구 암남동 705번지 (주)동영콜드프라자제2공장1동(냉동창고)","부산광역시 서구 원양로 295 (암남동, (주)동영콜드프라자제2공장1동(냉동창고))","49273","(주)동영콜드프라자","20150407151421","I","2018-08-31 23:59:59.0","식품냉동.냉장업","382821.270533763","177260.504833529","식품냉동.냉장업","","","","","상수도전용","","0","0","0","0","자가","","","N","0","","","",
"10","식품냉동냉장업","07_22_07_P","3260000","3260000-116-1998-00496","19980115","","01","영업/정상","01","영업","","","","","051 2533281","22,329.21","602030","부산광역시 서구 암남동 753","부산광역시 서구 원양로 243 (암남동)","49273","정일글로벌(주)","20220427115331","U","2022-04-29 02:40:00.0","식품냉동.냉장업","382929.661199657","176610.193209997","식품냉동.냉장업","0","0","기타","기타","","","0","0","0","0","","","","N","0","","","",
"11","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2006-00001","20060203","","01","영업/정상","01","영업","","","","","051 253 9028","54,679.82","602030","부산광역시 서구 암남동 721번지","부산광역시 서구 원양로 71 (암남동)","49273","사조씨푸드(주)물류센타","20200428151102","U","2020-04-30 02:40:00.0","식품냉동.냉장업","383218.187027548","175520.650585192","식품냉동.냉장업","","","","","","","0","0","0","0","","","","N","0","","","",
"12","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2007-00001","20070907","","01","영업/정상","01","영업","","","","","051 231 1500","22,462.11","602030","부산광역시 서구 암남동 720 (주)보림로지스틱냉동창고","부산광역시 서구 원양로 73 (암남동, (주)보림로지스틱냉동창고)","49273","(주)보림로지스틱스","20200825144318","U","2020-08-27 02:40:00.0","식품냉동.냉장업","383286.815574731","175544.19235211","식품냉동.냉장업","","","","","","","0","0","0","0","","","","N","0","","","",
"13","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2007-00002","20070910","","01","영업/정상","01","영업","","","","","051 2578700","22,459.61","602030","부산광역시 서구 암남동 720-1번지","부산광역시 서구 원양로 79 (암남동)","49273","사조씨푸드(주) 제2물류센타","20200428151418","U","2020-04-30 02:40:00.0","식품냉동.냉장업","383352.48975355","175555.500913879","식품냉동.냉장업","","","","","상수도전용","","0","0","0","0","자가","","","N","0","","","",
"14","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2008-00001","20080311","","01","영업/정상","01","영업","","","","","051 231 7906","18,784.52","602030","부산광역시 서구 암남동 719번지","부산광역시 서구 원양로 87 (암남동)","49273","성진수산(주)","20200605112801","U","2020-06-07 02:40:00.0","식품냉동.냉장업","383432.666597016","175569.83981258","식품냉동.냉장업","","","","","","","0","0","0","0","","","","N","0","","","",
"15","식품냉동냉장업","07_22_07_P","3260000","3260000-116-2008-00015","20080926","","01","영업/정상","01","영업","","","","","051 253 3114","15,276.81","602030","부산광역시 서구 암남동 717","부산광역시 서구 원양로 119 (암남동)","49273","수협중앙회감천항물류센터","20220120153213","U","2022-01-22 02:40:00.0","식품냉동.냉장업","383533.518326829","175685.538391763","식품냉동.냉장업","","","","","","","0","0","0","0","자가","","","N","0","","","",
