"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품소분업","07_22_08_P","3250000","3250000-109-2010-00011","20100113","","01","영업/정상","01","영업","","","","","051 2455720",".00","600044","부산광역시 중구 남포동4가 37-1","부산광역시 중구 자갈치해안로 52 (남포동4가)","48983","중앙상회","20120306165004","I","2018-08-31 23:59:59.0","식품소분업","385139.215952094","179403.007901724","식품소분업","","","","","","","0","0","0","0","","","","N","0","","","",
"2","식품소분업","07_22_08_P","3250000","3250000-109-2010-00012","20100113","","01","영업/정상","01","영업","","","","","051 2458130",".00","600044","부산광역시 중구 남포동4가 37-1","부산광역시 중구 자갈치해안로 52 (남포동4가)","48983","서울상회","20150415164203","I","2018-08-31 23:59:59.0","식품소분업","385139.215952094","179403.007901724","식품소분업","","","","","","","0","0","0","0","","","","N","0","","","",
"3","식품소분업","07_22_08_P","3250000","3250000-109-2010-00013","20100127","","01","영업/정상","01","영업","","","","","",".00","600044","부산광역시 중구 남포동4가 37-1 자갈치시장 2층","부산광역시 중구 자갈치해안로 52, 2층 (남포동4가, 자갈치시장)","48983","성심상회","20170317114911","I","2018-08-31 23:59:59.0","식품소분업","385139.215952094","179403.007901724","식품소분업","","","","","","","0","0","0","0","","","","N","0","","","",
"4","식품소분업","07_22_08_P","3250000","3250000-109-2009-00003","20090424","","01","영업/정상","01","영업","","","","","051 2314540","18.00","600012","부산광역시 중구 중앙동2가 49-14 대원빌딩 1층","부산광역시 중구 대청로138번길 9, 1층 (중앙동2가, 대원빌딩)","48956","좋은차","20120323161956","I","2018-08-31 23:59:59.0","식품소분업","385500.111857936","180000.86007515","식품소분업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"5","식품소분업","07_22_08_P","3250000","3250000-109-2009-00005","20090708","","01","영업/정상","01","영업","","","","","051 2455231",".00","600041","부산광역시 중구 남포동1가 64-2","부산광역시 중구 용미길10번길 6-2 (남포동1가)","48984","영덕유통","20120306163952","I","2018-08-31 23:59:59.0","식품소분업","385424.601471049","179454.800220061","식품소분업","","","","","","","0","0","0","0","","","","N","0","","","",
"6","식품소분업","07_22_08_P","3250000","3250000-109-2009-00018","20090724","","01","영업/정상","01","영업","","","","","","6.60","600800","부산광역시 중구 대청동4가 26-27","부산광역시 중구 중구로97번길 10, 1층 (대청동4가)","48971","프라딤","20170313131648","I","2018-08-31 23:59:59.0","식품소분업","385130.057274329","180426.387914285","식품소분업","","","","","상수도전용","","0","0","0","0","임대","","","N","0","","","",
"7","식품소분업","07_22_08_P","3250000","3250000-109-2010-00014","20100217","","01","영업/정상","01","영업","","","","","07088318336","33.00","600815","부산광역시 중구 중앙동4가 36-4","부산광역시 중구 해관로 61-1 (중앙동4가)","48930","차발원지","20120306165247","I","2018-08-31 23:59:59.0","식품소분업","385509.214088996","180266.54212546","식품소분업","","","","","","","0","0","0","0","","","","N","0","","","",
"8","식품소분업","07_22_08_P","3250000","3250000-109-2005-00002","20050614","","01","영업/정상","01","영업","","","","","051 2454802","18.40","600041","부산광역시 중구 남포동1가 20-2","부산광역시 중구 용미길8번길 8 (남포동1가)","48984","서강유통","20180803175636","I","2018-08-31 23:59:59.0","식품소분업","385422.94833995","179489.509190768","식품소분업","","","","","","","0","0","0","0","자가","0","0","N","0","","","",
"9","식품소분업","07_22_08_P","3250000","3250000-109-2014-00001","20140103","","01","영업/정상","01","영업","","","","","051 244 0797","43.20","600808","부산광역시 중구 부평동3가 49-4 지하1","부산광역시 중구 흑교로 11 (부평동3가, 지하1)","48976","시민자연건강","20140117110305","I","2018-08-31 23:59:59.0","식품소분업","384562.760318844","179803.292893433","식품소분업","","","","","","","0","0","0","0","자가","","","N","15.32","","","",
"10","식품소분업","07_22_08_P","3250000","3250000-109-2010-00007","20100111","","01","영업/정상","01","영업","","","","","051 2456651",".00","600044","부산광역시 중구 남포동4가 37-1","부산광역시 중구 자갈치해안로 52 (남포동4가)","48983","조양상회","20120323171801","I","2018-08-31 23:59:59.0","식품소분업","385139.215952094","179403.007901724","식품소분업","","","","","","","0","0","0","0","","","","N","0","","","",
