"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품운반업","07_22_09_P","3250000","3250000-117-2006-00001","20060411","","01","영업/정상","01","영업","","","","","051 2572471","100.11","600021","부산광역시 중구 동광동*가 *번지 우리은행 ***호","부산광역시 중구 광복로**번길 **, ***호 (동광동*가, 우리은행)","48952","(주)에어앤씨카고","20120207161656","I","2018-08-31 23:59:59.0","식품운반업","385498.102704866","179739.963317394","식품운반업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"2","식품운반업","07_22_09_P","3250000","3250000-117-2014-00001","20140210","","01","영업/정상","01","영업","","","","","051 442 2038","85.93","600817","부산광역시 중구 중앙동*가 **-**번지 *층 ***호","부산광역시 중구 충장대로*번길 **, *층 ***호 (중앙동*가)","48937","합자회사 동신기업사","20180806154758","I","2018-08-31 23:59:59.0","식품운반업","385730.223219262","180633.142129186","식품운반업","","","","","상수도전용","","0","0","0","0","자가","","","N","0","","","",
"3","식품운반업","07_22_09_P","3250000","3250000-117-2020-00001","20200708","","01","영업/정상","01","영업","","","","","051 464 3211","30.00","600817","부산광역시 중구 중앙동*가 **-*","부산광역시 중구 충장대로*번길 **-*, *층 (중앙동*가)","48937","동아통운(주)","20220208153015","U","2022-02-10 02:40:00.0","식품운반업","385731.290616463","180730.387826318","식품운반업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","식품운반업","07_22_09_P","3260000","3260000-117-2004-00001","20040312","","01","영업/정상","01","영업","","","","","051 2573331","30.00","602030","부산광역시 서구 암남동 ***번지","부산광역시 서구 원양로 ***, ***호 (암남동)","49273","(주)삼일물류","20171206134428","I","2018-08-31 23:59:59.0","식품운반업","382890.650587096","177336.223689987","식품운반업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"5","식품운반업","07_22_09_P","3260000","3260000-117-2005-00001","20050907","","01","영업/정상","01","영업","","","","","051 242 2993","16.52","602833","부산광역시 서구 암남동 ***-**번지 원양프라자 ***호","부산광역시 서구 원양로 ***, *층 ***호 (암남동, 원양프라자)","49273","(주)한맥로지스틱스","20200115154114","U","2020-01-17 02:40:00.0","식품운반업","383518.040204105","175580.741380931","식품운반업","","","","","","","0","0","0","0","임대","","","N","0","","","",
"6","식품운반업","07_22_09_P","3260000","3260000-117-2007-00004","20071120","","01","영업/정상","01","영업","","","","","051 203 3474","23.80","602030","부산광역시 서구 암남동 ***번지 동양글로벌냉장 *층","부산광역시 서구 원양로 ***, *층 (암남동, 동양글로벌냉장)","49273","백두냉동운수(주)","20190219113531","U","2019-02-21 02:40:00.0","식품운반업","382929.661199657","176610.193209997","식품운반업","","","","","상수도전용","","0","0","0","0","","","","N","0","","","",
"7","식품운반업","07_22_09_P","3260000","3260000-117-2007-00002","20071127","","01","영업/정상","01","영업","","","","","051 242 2833","36.30","602030","부산광역시 서구 암남동 ***번지 동영빌딩 ***호","부산광역시 서구 원양로 ***, ***호 (암남동, 동영빌딩)","49273","(주)해인지엘에스","20150817153006","I","2018-08-31 23:59:59.0","식품운반업","382890.650587096","177336.223689987","식품운반업","","","","","","","0","0","0","0","","","","N","0","","","",
"8","식품운반업","07_22_09_P","3260000","3260000-117-2009-00001","20090527","","01","영업/정상","01","영업","","","","","051 242 6886","33.00","602833","부산광역시 서구 암남동 ***-**번지 원양프라자 ***호","부산광역시 서구 원양로 ***, *층 ***호 (암남동, 원양프라자)","49273","(주)한맥물류","20170830102943","I","2018-08-31 23:59:59.0","식품운반업","383518.040204105","175580.741380931","식품운반업","","","","","","","0","0","0","0","","","","N","0","","","",
"9","식품운반업","07_22_09_P","3260000","3260000-117-2011-00001","20110831","","01","영업/정상","01","영업","","","","","051 256 5960","19.60","602030","부산광역시 서구 암남동 ***번지 냉장인터불고*공장 *층","부산광역시 서구 원양로 ***, *층 (암남동, 냉장인터불고*공장)","49273","(주)푸드엔씨","20161108142159","I","2018-08-31 23:59:59.0","식품운반업","383539.602429996","175767.563913389","식품운반업","","","","","","","0","0","0","0","","","","N","0","","","",
"10","식품운반업","07_22_09_P","3260000","3260000-117-2011-00002","20111205","","01","영업/정상","01","영업","","","","","051 231 9000","39.20","602030","부산광역시 서구 암남동 *** (*층)","부산광역시 서구 원양로 *** (암남동)","49273","(주)이스턴웰스","20200729153515","U","2020-07-31 02:40:00.0","식품운반업","383161.450356655","176183.105551719","식품운반업","","","","","","","","","","","자가","","","N","0","","","",
