"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품제조가공업","07_22_11_P","3250000","3250000-106-2017-00003","20171114","","01","영업/정상","01","영업","","","","","","63.75","600074","부산광역시 중구 부평동4가 39-21번지","부산광역시 중구 흑교로31번길 26 (부평동4가)","48973","깡통시장 바리스타","20171115090910","I","2018-08-31 23:59:59.0","기타 식품제조가공업","384343.401620262","180026.030819792","기타 식품제조가공업","","","","","","","","","","","","","","N","0","","","",
"2","식품제조가공업","07_22_11_P","3250000","3250000-106-2015-00004","20150304","","01","영업/정상","01","영업","","","","","070 77620143","13.20","600082","부산광역시 중구 보수동2가 65-13번지","부산광역시 중구 보수대로118번길 23, 1층 (보수동2가)","48964","주식회사 다빈","20180110133007","I","2018-08-31 23:59:59.0","식품제조가공업","384325.099499824","180355.442560074","식품제조가공업","","","","","상수도전용","","1","0","0","0","","","","N","0","","","",
"3","식품제조가공업","07_22_11_P","3250000","3250000-106-2015-00003","20150918","","01","영업/정상","01","영업","","","","","051 245 0413","37.40","600811","부산광역시 중구 영주동 569-1번지","부산광역시 중구 대영로224번길 3-1 (영주동)","48922","(주)트루푸드","20170118114210","I","2018-08-31 23:59:59.0","기타 식품제조가공업","385479.559422835","181058.291585277","기타 식품제조가공업","","","","","상수도전용","","","","","","자가","","","N","0","","","",
"4","식품제조가공업","07_22_11_P","3250000","3250000-106-2016-00001","20160516","","01","영업/정상","01","영업","","","","","","95.71","600811","부산광역시 중구 영주동 741-1번지","부산광역시 중구 중구로 166 (영주동)","48923","원시시대의 길","20180227184138","I","2018-08-31 23:59:59.0","기타 식품제조가공업","385513.614197698","180860.173738573","기타 식품제조가공업","","","","","상수도전용","","0","0","0","0","자가","","","N","50","","","",
"5","식품제조가공업","07_22_11_P","3250000","3250000-106-2016-00004","20161024","","01","영업/정상","01","영업","","","","","051 2459687","8.22","600046","부산광역시 중구 남포동6가 3번지","부산광역시 중구 자갈치로 33 (남포동6가, 신천지백화점 상가 115호)","48982","에스엔에이치(S&H)푸드","20170818135219","I","2018-08-31 23:59:59.0","기타 식품제조가공업","384836.914455912","179432.734579543","기타 식품제조가공업","","","","","","","0","0","0","1","임대","","","N","0","","","",
"6","식품제조가공업","07_22_11_P","3250000","3250000-106-1111-00421","20010105","","01","영업/정상","01","영업","","","","","051 2450651","26.00","600041","부산광역시 중구 남포동1가 41-14번지","부산광역시 중구 용미길9번길 1-1 (남포동1가)","48984","유창상회","20180326143636","I","2018-08-31 23:59:59.0","식품제조가공업","385492.967564002","179441.472414958","식품제조가공업","0","0","기타","기타","","","0","0","0","0","","","","N","0","","","",
"7","식품제조가공업","07_22_11_P","3250000","3250000-106-2009-00003","20090724","","01","영업/정상","01","영업","","","","","051 2566649","52.15","600800","부산광역시 중구 대청동4가 26-27번지","부산광역시 중구 중구로97번길 10, 1층 (대청동4가)","48971","프라딤","20180312174856","I","2018-08-31 23:59:59.0","식품제조가공업","385130.057274329","180426.387914285","식품제조가공업","","","","","상수도전용","","0","0","0","1","","","","N","5.4","","","",
"8","식품제조가공업","07_22_11_P","3250000","3250000-106-1999-00553","20010808","","01","영업/정상","01","영업","","","","","051 2461429","33.55","600041","부산광역시 중구 남포동1가 20-1번지","부산광역시 중구 용미길8번길 6-1 (남포동1가)","48984","원진상사","20180110115229","I","2018-08-31 23:59:59.0","식품제조가공업","385432.933347701","179486.186182206","식품제조가공업","0","0","기타","기타","","","0","0","0","0","","","","N","0","","","",
"9","식품제조가공업","07_22_11_P","3250000","3250000-106-2005-00001","20050906","","01","영업/정상","01","영업","","","","","051 2459018","30.12","600045","부산광역시 중구 남포동5가 92 신동아시장 2층 133,134호","부산광역시 중구 자갈치로 42, 2층 133.134호 (남포동5가, 신동아시장)","48983","신일식품","20210203103607","U","2021-02-05 02:40:00.0","식품제조가공업","384953.004015023","179411.688598493","식품제조가공업","","","","","상수도전용","","0","0","0","0","자가","","","N","0","","","",
"10","식품제조가공업","07_22_11_P","3250000","3250000-106-2014-00004","20140502","","01","영업/정상","01","영업","","","","","051","68.90","600800","부산광역시 중구 대청동4가 85-1번지 3층","부산광역시 중구 중구로 90, 3층 (대청동4가)","48933","커피다스림","20160311114809","I","2018-08-31 23:59:59.0","식품제조가공업","385079.6643678","180294.019104111","식품제조가공업","","","","","상수도전용","","0","0","0","1","임대","","","N","8.8","","","",
