"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품첨가물제조업","07_22_12_P","3280000","3280000-108-2014-00001","20140424","","01","영업/정상","01","영업","","","","","","334.69","606805","부산광역시 영도구 동삼동 201 외 2필지(199, 200)","부산광역시 영도구 해양로 241 (동삼동)","49013","미창석유공업(주)","20210125111352","U","2021-01-27 02:40:00.0","식품첨가물제조업","389127.255979916","178327.13723327","식품첨가물제조업","","","","","","","0","0","0","0","","","","N","0","","","",
"2","식품첨가물제조업","07_22_12_P","3300000","3300000-108-2020-00001","20200304","","01","영업/정상","01","영업","","","","","051 724 8219","10.80","607802","부산광역시 동래구 명륜동 6-9 세명빌딩","부산광역시 동래구 시실로 20, 세명빌딩 3층 (명륜동)","47744","잡으리","20210120094326","U","2021-01-22 02:40:00.0","식품첨가물제조업","389864.091785286","192842.54537441","식품첨가물제조업","","","","","","","","","","","","","","N","0","","","",
"3","식품첨가물제조업","07_22_12_P","3310000","3310000-108-2021-00001","20210312","","01","영업/정상","01","영업","","","","","051 611 2257","14.00","608846","부산광역시 남구 용호동 516-10 용호시장","부산광역시 남구 동명로152번길 93, 용호시장 3(일부)층 (용호동)","48587","(주)광명생약 제2공장","20210315174952","I","2021-03-17 00:22:59.0","식품첨가물제조업","392543.912546981","181589.698263333","식품첨가물제조업","","","","","상수도전용","","","","","","","","","N","0","","","",
"4","식품첨가물제조업","07_22_12_P","3340000","3340000-108-2011-00008","20030509","","01","영업/정상","01","영업","","","","","0512624294","234.90","604845","부산광역시 사하구 장림동 392-1번지","부산광역시 사하구 다대로300번길 34 (장림동)","49467","유림기업","20161228131325","I","2018-08-31 23:59:59.0","식품첨가물제조업","380027.405763808","176959.637648592","식품첨가물제조업","","","","","","","","","","","","0","0","N","0","","","",
"5","식품첨가물제조업","07_22_12_P","3340000","3340000-108-2011-00009","20030909","","01","영업/정상","01","영업","","","","","0512621141","108.00","604846","부산광역시 사하구 장림동 457-7번지","부산광역시 사하구 다대로354번안길 80, 1층 (장림동)","49469","화인캡","20160715173750","I","2018-08-31 23:59:59.0","식품첨가물제조업","379991.322409183","176518.946863378","식품첨가물제조업","","","","","","","","","","","","","","N","0","","","",
"6","식품첨가물제조업","07_22_12_P","3340000","3340000-108-2011-00006","20040519","","01","영업/정상","01","영업","","","","","0512619560","71.40","604845","부산광역시 사하구 장림동 386번지","부산광역시 사하구 장림번영로104번길 120 (장림동)","49467","삼진 그린푸드 주식회사","20150820130828","I","2018-08-31 23:59:59.0","식품첨가물제조업","380129.577905934","176940.729568457","식품첨가물제조업","","","","","","","","","","","","","","N","0","","","",
"7","식품첨가물제조업","07_22_12_P","3340000","3340000-108-2011-00004","20050805","","01","영업/정상","01","영업","","","","","0512002380","566.31","604843","부산광역시 사하구 장림동 1037","부산광역시 사하구 다대로 210 (장림동)","49463","씨제이제일제당주식회사","20210208161531","U","2021-02-10 02:40:00.0","식품첨가물제조업","380101.664479822","177863.674839855","식품첨가물제조업","","","","","","","0","0","0","0","","0","0","N","0","","","",
"8","식품첨가물제조업","07_22_12_P","3350000","3350000-108-2020-00002","20200615","","01","영업/정상","01","영업","","","","","051 465 5419","22.62","609845","부산광역시 금정구 회동동 153-14번지","부산광역시 금정구 개좌로 191, B동 2층 (회동동)","46259","프로메디칼","20200615154637","I","2020-06-17 00:23:27.0","식품첨가물제조업","392944.843535371","194161.22230984","식품첨가물제조업","","","","","상수도전용","","","","","","","","","N","0","","","",
"9","식품첨가물제조업","07_22_12_P","3350000","3350000-108-2020-00001","20200508","","01","영업/정상","01","영업","","","","","051 527 0369","116.20","609845","부산광역시 금정구 회동동 127","부산광역시 금정구 동대로 20, D동 3층 (회동동)","46257","(주)라이프에이드","20200908162627","U","2020-09-10 02:40:00.0","식품첨가물제조업","393510.950917748","194199.382353559","식품첨가물제조업","","","","","상수도전용","","0","0","0","0","","","","N","0","","","",
"10","식품첨가물제조업","07_22_12_P","3350000","3350000-108-2011-00003","20040223","","01","영업/정상","01","영업","","","","","051 517 5304","130.95","609420","부산광역시 금정구 금성동 603","부산광역시 금정구 중리2길 16 (금성동)","46237","산성누룩","20210105154759","U","2021-01-07 02:40:00.0","식품첨가물제조업","387181.686682759","196607.007863462","식품첨가물제조업","","","","","","","0","0","0","0","","","","N","0","","","",
