"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품판매업(기타)","07_22_13_P","3250000","3250000-114-2000-00002","20010809","","01","영업/정상","01","영업","","","","","051 2488106","565.36","600046","부산광역시 중구 남포동6가 3 신천지백화점 1층","부산광역시 중구 자갈치로 33, 1층 (남포동6가, 신천지백화점)","48982","자갈치 탑마트","20130402154802","I","2018-08-31 23:59:59.0","기타식품판매업","384836.914455912","179432.734579543","기타식품판매업","","","","","","","0","0","0","0","","","","N","565.36","","","",
"2","식품판매업(기타)","07_22_13_P","3250000","3250000-114-1996-00414","19960906","","01","영업/정상","01","영업","","","","","051 2507700","2,405.07","600046","부산광역시 중구 남포동6가 1-0","부산광역시 중구 구덕로 73 (남포동6가)","48982","(주)농협유통 하나로마트 자갈치점","20220411142801","U","2022-04-13 02:40:00.0","기타식품판매업","384820.119269113","179460.841059128","기타식품판매업","0","0","기타","기타","","","0","0","0","0","","","","N","2405.07","","","",
"3","식품판매업(기타)","07_22_13_P","3250000","3250000-114-1996-00416","19961114","","01","영업/정상","01","영업","","","","","051 2454900","473.37","600806","부산광역시 중구 부평동2가 16","부산광역시 중구 부평1길 48 (부평동2가)","48977","(주)프로유통(빅세일마트)","20160615114558","I","2018-08-31 23:59:59.0","기타식품판매업","384663.000969259","179927.870276144","기타식품판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"4","식품판매업(기타)","07_22_13_P","3250000","3250000-114-2011-00001","20110110","","01","영업/정상","01","영업","","","","","051 2421577","530.19","600061","부산광역시 중구 신창동1가 1-3 외 1필지","부산광역시 중구 광복중앙로 33 (신창동1가, 외 1필지)","48948","가람리테일","20120209093220","I","2018-08-31 23:59:59.0","기타식품판매업","385074.807762192","180030.905431406","기타식품판매업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"5","식품판매업(기타)","07_22_13_P","3250000","3250000-114-2014-00001","20140825","","01","영업/정상","01","영업","","","","","","963.00","600017","부산광역시 중구 중앙동7가 20-1 롯데몰 마트시네마동 롯데마트광복점 지하2층","부산광역시 중구 중앙대로 2, 지하1층 (중앙동7가, 롯데몰 마트시네마동 롯데마트광복점)","48944","롯데쇼핑(주)롯데마트광복점","20220419155204","U","2022-04-21 02:40:00.0","기타식품판매업","385590.814676765","179553.867031936","기타식품판매업","","","","","상수도전용","","0","0","75","0","자가","","","N","0","","","",
"6","식품판매업(기타)","07_22_13_P","3250000","3250000-114-2016-00001","20160727","","01","영업/정상","01","영업","","","","","051 254 0035","576.13","600044","부산광역시 중구 남포동4가 44-3","부산광역시 중구 자갈치해안로 60, 1~3층 (남포동4가)","48984","제1,2구 잠수기수협 바다마트","20211213150316","U","2021-12-15 02:40:00.0","기타식품판매업","385191.013392521","179401.283402139","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","576.13","","","",
"7","식품판매업(기타)","07_22_13_P","3250000","3250000-114-2016-00002","20161118","","01","영업/정상","01","영업","","","","","051 469 5770","595.77","600815","부산광역시 중구 중앙동4가 37-16","부산광역시 중구 중앙대로81번길 9, 1층 (중앙동4가)","48930","(주)두배로마트","20170811133214","I","2018-08-31 23:59:59.0","기타식품판매업","385473.576409934","180297.978228551","기타식품판매업","","","","","","","","","","","자가","","","N","595.77","","","",
"8","식품판매업(기타)","07_22_13_P","3250000","3250000-114-2009-00002","20091218","","01","영업/정상","01","영업","","","","","051 6783004","1,147.00","600017","부산광역시 중구 중앙동7가 20-1 외110필지 (롯데백화점 지하1층)","부산광역시 중구 중앙대로 2, 지하1층 (중앙동7가, 외110필지 롯데백화점)","48944","롯데쇼핑주식회사","20220414153850","U","2022-04-16 02:40:00.0","기타식품판매업","385590.814676765","179553.867031936","기타식품판매업","","","","","","","0","0","0","0","","","","N","0","","","",
"9","식품판매업(기타)","07_22_13_P","3250000","3250000-114-2021-00001","20210114","","01","영업/정상","01","영업","","","","","051 241 4980","680.00","600074","부산광역시 중구 부평동4가 52-3","부산광역시 중구 보수대로 82, 1층 (부평동4가)","48973","에스씨(SC)마트","20210114145443","I","2021-01-16 00:23:15.0","기타식품판매업","384249.201710589","180080.172971726","기타식품판매업","","","","","","","","","","","자가","","","N","10","","","",
"10","식품판매업(기타)","07_22_13_P","3260000","3260000-114-2019-00001","20190327","","01","영업/정상","01","영업","","","","","051  2559005","1,131.95","602838","부산광역시 서구 토성동1가 25-1 경동 리인","부산광역시 서구 보수대로 27, 1층 (토성동1가, 경동 리인)","49247","경동빅마트","20220629171558","U","2022-07-01 02:40:00.0","기타식품판매업","384479.162542088","179674.832921739","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
