"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","용기·포장지제조업","07_22_15_P","3280000","3280000-118-2002-00001","20020403","","01","영업/정상","01","영업","","","","","051 418 3176","218.18","606818","부산광역시 영도구 청학동 21-13","부산광역시 영도구 태종로 362 (청학동)","49015","태양상사","20180119141107","I","2018-08-31 23:59:59.0","용기.포장지제조업","388163.201689968","179213.486619768","용기.포장지제조업","","","","","","","0","0","0","0","","","","N","0","","","",
"2","용기·포장지제조업","07_22_15_P","3280000","3280000-118-2018-00001","20180904","","01","영업/정상","01","영업","","","","","051 403 7022","328.24","606805","부산광역시 영도구 동삼동 188-18","부산광역시 영도구 해양로246번길 17, 1층 (동삼동)","49012","삼원화학","20191007143126","U","2019-10-09 02:40:00.0","용기.포장지제조업","389223.470978196","178184.212993977","용기.포장지제조업","","","","","","","","","","","","","","N","0","","","",
"3","용기·포장지제조업","07_22_15_P","3340000","3340000-118-2019-00003","20190528","","01","영업/정상","01","영업","","","","","","860.00","604866","부산광역시 사하구 구평동 481-5","부산광역시 사하구 감천항로429번길 28, 1,2층 (구평동)","49455","엔와이(NY)테크","20190613131141","U","2019-06-15 02:40:00.0","용기.포장지제조업","382041.609543597","174504.226505063","용기.포장지제조업","","","","","","","0","0","0","0","","","","N","0","","","",
"4","용기·포장지제조업","07_22_15_P","3340000","3340000-118-2019-00004","20190604","","01","영업/정상","01","영업","","","","","051266 8524","","604836","부산광역시 사하구 신평동 370-157","부산광역시 사하구 을숙도대로569번길 47, 1층 (신평동)","49437","상명화학","20210128104753","U","2021-01-30 02:40:00.0","용기.포장지제조업","379209.582429116","178492.543907213","용기.포장지제조업","","","","","","","0","0","0","0","","","","N","0","","","",
"5","용기·포장지제조업","07_22_15_P","3340000","3340000-118-2019-00001","20190417","","01","영업/정상","01","영업","","","","","051 292 2804","772.03","604851","부산광역시 사하구 하단동 1159-2","부산광역시 사하구 하신번영로 381-5, 1, 2층 (하단동)","49301","경원칼라팩","20190501175911","U","2019-05-03 02:40:00.0","용기.포장지제조업","378609.921672394","181337.78518076","용기.포장지제조업","","","","","","","0","0","0","0","","","","N","6.6","","","",
"6","용기·포장지제조업","07_22_15_P","3340000","3340000-118-1992-00229","19920213","","01","영업/정상","01","영업","","","","","051 2637353","161.25","604842","부산광역시 사하구 장림동 902-1","부산광역시 사하구 보덕포1길 133 (장림동)","49485","대호산업","20150312163008","I","2018-08-31 23:59:59.0","용기.포장지제조업","379055.464602067","176487.843634316","용기.포장지제조업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"7","용기·포장지제조업","07_22_15_P","3340000","3340000-118-2020-00001","20200423","","01","영업/정상","01","영업","","","","","051 972 5867","390.91","604817","부산광역시 사하구 구평동 12-8","부산광역시 사하구 을숙도대로755번길 94 (구평동)","49396","경일화학","20200501143217","U","2020-05-03 02:40:00.0","용기.포장지제조업","381089.033591626","178461.299543097","용기.포장지제조업","","","","","","","0","0","0","0","","","","N","3.3","","","",
"8","용기·포장지제조업","07_22_15_P","3340000","3340000-118-2020-00002","20201027","","01","영업/정상","01","영업","","","","","051831 1264","1,452.49","604846","부산광역시 사하구 장림동 407-6","부산광역시 사하구 다대로300번길 25 (장림동)","49468","유창산업","20201106134931","U","2020-11-08 02:40:00.0","용기.포장지제조업","380056.176404189","176875.848668781","용기.포장지제조업","","","","","","","0","0","0","0","","","","N","0","","","",
"9","용기·포장지제조업","07_22_15_P","3340000","3340000-118-1985-00223","19851106","","01","영업/정상","01","영업","","","","","051 2032389","409.26","604806","부산광역시 사하구 감천동 771-5","부산광역시 사하구 을숙도대로 867, 2, 4동 (감천동)","49446","오복F&G","20200528142522","U","2020-05-30 02:40:00.0","용기.포장지제조업","382085.306847742","178405.477599665","용기.포장지제조업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"10","용기·포장지제조업","07_22_15_P","3340000","3340000-118-1986-00224","19860805","","01","영업/정상","01","영업","","","","","051 2620880","1,133.31","604842","부산광역시 사하구 장림동 982","부산광역시 사하구 다대로1066번길 62 (장림동)","49478","(주)대우공업사","20161228132130","I","2018-08-31 23:59:59.0","용기.포장지제조업","378540.296770398","177240.571867389","용기.포장지제조업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
