"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","설비규격",
"1","용기냉동기특정설비","07_22_16_P","3260000","2007326006616500001","19930504","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 694","부산광역시 서구 등대로 122-20 (남부민동)","","(주)삼정이엠씨","20180206105251","I","2018-08-31 23:59:59.0","","384659.382264638","178129.57394293","",
"2","용기냉동기특정설비","07_22_16_P","3260000","2009326006616500001","20090602","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 694","부산광역시 서구 등대로 122-20 (남부민동)","","(주)삼정이엠씨","20180206112102","I","2018-08-31 23:59:59.0","","384659.382264638","178129.57394293","",
"3","용기냉동기특정설비","07_22_16_P","3280000","1988328007016500001","19880211","","01","영업/정상","01","영업중","","","","","","","","부산광역시 영도구 남항동2가 78","부산광역시 영도구 남항로10번길 11 (남항동2가)","","청강냉동공업(주)","20111030145746","I","2018-08-31 23:59:59.0","","385736.00461012","178578.719129197","",
"4","용기냉동기특정설비","07_22_16_P","3280000","1974328007016500001","19740217","","01","영업/정상","01","영업중","","","","","","","","부산광역시 영도구 남항동2가 28-2","부산광역시 영도구 남항서로104번길 2 (남항동2가)","","대동철공소","20131227192417","I","2018-08-31 23:59:59.0","","385663.360826982","178613.649112881","",
"5","용기냉동기특정설비","07_22_16_P","3280000","1978328007016500001","19780727","","01","영업/정상","01","영업중","","","","","","","","부산광역시 영도구 남항동2가 65-28","부산광역시 영도구 남항서로92번길 38 (남항동2가)","","창완냉동공업(주)","20131231141340","I","2018-08-31 23:59:59.0","","385806.243984601","178455.016867997","",
"6","용기냉동기특정설비","07_22_16_P","3280000","1987328007016500001","19870218","","03","폐업","03","폐업","20110304","","","","","","","부산광역시 영도구 남항동1가 21","부산광역시 영도구 남항서로 115  (남항동1가)","","(주)동우냉동","20110304092540","I","2018-08-31 23:59:59.0","","385684.058179344","178742.872856919","",
"7","용기냉동기특정설비","07_22_16_P","3340000","2018334008016500002","20181129","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 장림동 906-9","","","섬진피에이치텍 주식회사","20190110164625","U","2019-01-12 02:40:00.0","","378901.489193228","176633.44241033","",
"8","용기냉동기특정설비","07_22_16_P","3340000","2016334008016500004","20161026","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 다대동 1518-3","부산광역시 사하구 다산로78번길 26 (다대동)","49498","(주)쿨 뱅크 이엔지","20191025124217","U","2019-10-27 02:40:00.0","","378752.598453432","175318.542002026","",
"9","용기냉동기특정설비","07_22_16_P","3340000","2016334008016500005","20161026","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 다대동 1518-3","부산광역시 사하구 다산로78번길 26 (다대동)","49498","(주)쿨 뱅크 이엔지","20191025124157","U","2019-10-27 02:40:00.0","","378752.598453432","175318.542002026","",
"10","용기냉동기특정설비","07_22_16_P","3340000","2019334008016500001","20190703","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 다대동 1522-9","","","케이엠씨(주)","20191025115011","U","2019-10-27 02:40:00.0","","378741.195198325","174642.251519806","",
"11","용기냉동기특정설비","07_22_16_P","3340000","2019334008016500002","20191205","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 장림동 347-1","","","모리엘테크원(주)","20200110114934","U","2020-01-12 02:40:00.0","","379955.854729","177227.101871191","",
"12","용기냉동기특정설비","07_22_16_P","3340000","2019334008016500003","20191205","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 장림동 347-1","","","모리엘테크원(주)","20200110115233","U","2020-01-12 02:40:00.0","","379955.854729","177227.101871191","",
"13","용기냉동기특정설비","07_22_16_P","3340000","2022334013116500001","20220310","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 감천동 695","부산광역시 사하구 을숙도대로873번길 10 (감천동)","49445","주식회사 엔피알티","20220315143005","I","2022-03-17 00:22:35.0","","382131.548766916","178479.884923608","",
"14","용기냉동기특정설비","07_22_16_P","3340000","2011334006616500001","20110411","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 장림동 1110-3","부산광역시 사하구 하신중앙로 37 (장림동)","","비케이티부경테크(주)","20120104182819","I","2018-08-31 23:59:59.0","","379082.449867807","177682.334808969","",
"15","용기냉동기특정설비","07_22_16_P","3340000","2013334008016500003","20131007","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 다대동 1509-1","부산광역시 사하구 다산로 154 (다대동)","","(주)대생엔지니어링","20140312145818","I","2018-08-31 23:59:59.0","","378463.200991698","175924.423208741","",
"16","용기냉동기특정설비","07_22_16_P","3340000","2021334013116500003","20211022","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 구평동 377-1","","","(주)태현이엔지","20211104171846","U","2021-11-06 02:40:00.0","","381553.171940078","176829.219380904","",
"17","용기냉동기특정설비","07_22_16_P","3340000","1982334008016500001","19820821","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 신평동 370-126","부산광역시 사하구 을숙도대로569번길 37 (신평동)","","(주)명성알앤티","20120306174204","I","2018-08-31 23:59:59.0","","379238.44636083","178414.936578331","",
"18","용기냉동기특정설비","07_22_16_P","3340000","2014334008016500003","20141205","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 장림동 935-1","","","레프코리아","20150114090719","I","2018-08-31 23:59:59.0","","378863.88303838","176684.89188107","",
"19","용기냉동기특정설비","07_22_16_P","3340000","2014334008016500004","20141205","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 장림동 935-1","","","레프코리아","20150309170001","I","2018-08-31 23:59:59.0","","378863.88303838","176684.89188107","",
"20","용기냉동기특정설비","07_22_16_P","3340000","2016334008016500003","20160513","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 다대동 1515-3","부산광역시 사하구 다산로53번길 49 (다대동)","","(주)동강금속","20170124181908","I","2018-08-31 23:59:59.0","","378413.574560936","175266.882245717","",
"21","용기냉동기특정설비","07_22_16_P","3340000","2018334008016500001","20180614","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 구평동 388-1","","","탱크테크(주)","20181206143815","U","2018-12-08 02:40:00.0","","381749.525652756","176835.185344088","",
"22","용기냉동기특정설비","07_22_16_P","3340000","2010334006616500002","20101004","","01","영업/정상","01","영업중","","","","20160405","","","","부산광역시 사하구 다대동 1517-1","","","(주)코밸","20160405183254","I","2018-08-31 23:59:59.0","","378627.693913196","175336.448679095","",
"23","용기냉동기특정설비","07_22_16_P","3340000","2011334006616500002","20110411","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 장림동 1110-3","부산광역시 사하구 하신중앙로 37  (장림동)","","비케이티부경테크(주)","20120104182850","I","2018-08-31 23:59:59.0","","379082.449867807","177682.334808969","",
"24","용기냉동기특정설비","07_22_16_P","3340000","2007334006616500040","20011108","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 다대동 1511-1","부산광역시 사하구 홍티로 103  (다대동)","","부영씨에스티(주)","20070801133131","I","2018-08-31 23:59:59.0","","378689.680948359","175608.897194753","",
"25","용기냉동기특정설비","07_22_16_P","3340000","2012334008016500002","20120709","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 다대동 370-6","부산광역시 사하구 다대로605번길 66 (다대동)","","(주)대웅씨티","20120710100921","I","2018-08-31 23:59:59.0","","380149.478703416","174282.637515014","",
"26","용기냉동기특정설비","07_22_16_P","3340000","2013334008016500002","20131007","","01","영업/정상","01","영업중","","","","","","","","부산광역시 사하구 다대동 1509-1","부산광역시 사하구 다산로 154 (다대동)","","대생엔지니어링","20140312145748","I","2018-08-31 23:59:59.0","","378463.200991698","175924.423208741","",
