"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","유통전문판매업","07_22_17_P","3250000","3250000-113-2018-00001","20181102","","01","영업/정상","01","영업","","","","","051 727 2554","","600810","부산광역시 중구 영주동 62-101","부산광역시 중구 초량상로5번길 10, 1~2층 (영주동)","48910","어진컴퍼니","20181102105532","I","2018-11-04 02:35:57.0","유통전문판매업","385422.156714591","181203.936336301","유통전문판매업","","","","","","","","","","","","","","N","0","","","",
"2","유통전문판매업","07_22_17_P","3250000","3250000-113-2019-00002","20190219","","01","영업/정상","01","영업","","","","","","33.92","600074","부산광역시 중구 부평동4가 36-1","부산광역시 중구 흑교로25번길 26-1, 1층 (부평동4가)","48973","밀로바디","20190523113244","U","2019-05-25 02:40:00.0","유통전문판매업","384329.023343699","179977.763242008","유통전문판매업","","","","","","","","","","","자가","","","N","33.92","","","",
"3","유통전문판매업","07_22_17_P","3250000","3250000-113-2019-00003","20190409","","01","영업/정상","01","영업","","","","","","","600101","부산광역시 중구 대창동1가 54-1 센트렐오피스텔","부산광역시 중구 중앙대로 131, 센트렐오피스텔 3층 (대창동1가)","48924","(주)바이오맥스","20190409094318","I","2019-04-11 02:20:18.0","유통전문판매업","385617.137705097","180818.494927285","유통전문판매업","","","","","","","","","","","","","","N","0","","","",
"4","유통전문판매업","07_22_17_P","3250000","3250000-113-2022-00002","20220408","","01","영업/정상","01","영업","","","","","","82.43","600806","부산광역시 중구 부평동2가 20-14","부산광역시 중구 중구로33번길 33-1, 2층 (부평동2가)","48977","국제부산어묵","20220408143103","I","2022-04-12 00:22:34.0","유통전문판매업","384663.668557838","179853.789720233","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","82.43","","","",
"5","유통전문판매업","07_22_17_P","3250000","3250000-113-2019-00006","20191210","","01","영업/정상","01","영업","","","","","051 246 4507","27.00","600041","부산광역시 중구 남포동1가 20-1","부산광역시 중구 용미길8번길 6, 1층 (남포동1가)","48984","부영상회","20191220175649","U","2019-12-22 02:40:00.0","유통전문판매업","385432.933347701","179486.186182206","유통전문판매업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"6","유통전문판매업","07_22_17_P","3250000","3250000-113-2022-00001","20220223","","01","영업/정상","01","영업","","","","","051 254 2420","100.07","600013","부산광역시 중구 중앙동3가 13-3","부산광역시 중구 대청로137번길 8-2, 4층 (중앙동3가)","48931","부산사이다","20220628173156","U","2022-06-30 02:40:00.0","유통전문판매업","385489.864718394","180164.324836472","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","66.11","","","",
"7","유통전문판매업","07_22_17_P","3250000","3250000-113-2021-00005","20211224","","01","영업/정상","01","영업","","","","","","13.20","600013","부산광역시 중구 중앙동3가 18-1 3층 41호","부산광역시 중구 대청로 135, 3층 41호 (중앙동3가)","48931","민즈그룹","20211224171127","I","2021-12-26 00:22:52.0","유통전문판매업","385463.118213998","180123.108147913","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","13.2","","","",
"8","유통전문판매업","07_22_17_P","3250000","3250000-113-2020-00001","20200408","","01","영업/정상","01","영업","","","","","","45.39","600011","부산광역시 중구 중앙동1가 22-4","부산광역시 중구 중앙대로29번길 6, 4층 (중앙동1가)","48957","연경재","20200420163452","U","2020-04-22 02:40:00.0","유통전문판매업","385566.45639013","179817.717562615","유통전문판매업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"9","유통전문판매업","07_22_17_P","3250000","3250000-113-2020-00002","20200421","","01","영업/정상","01","영업","","","","","","8.17","600044","부산광역시 중구 남포동4가 28-2","부산광역시 중구 자갈치로 74, 2층 B호 (남포동4가)","48984","유신수산","20210507163434","U","2021-05-09 02:40:00.0","유통전문판매업","385245.210686255","179481.172254892","유통전문판매업","","","","","","","0","0","0","0","자가","","","N","8.17","","","",
"10","유통전문판매업","07_22_17_P","3250000","3250000-113-2020-00003","20200421","","01","영업/정상","01","영업","","","","","051 246 7677","8.17","600044","부산광역시 중구 남포동4가 28-2","부산광역시 중구 자갈치로 74, 2층 B호 (남포동4가)","48984","잠수기38호","20210507163408","U","2021-05-09 02:40:00.0","유통전문판매업","385245.210686255","179481.172254892","유통전문판매업","","","","","","","0","0","0","0","자가","","","N","8.17","","","",
