"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","제과점영업","07_22_18_P","3250000","3250000-121-2011-00006","20110728","","01","영업/정상","01","영업","","","","","051 4663202","141.82","600815","부산광역시 중구 중앙동4가 29-4","부산광역시 중구 해관로 60, 1층 (중앙동4가)","48929","파리바게뜨","20211015133125","U","2021-10-17 02:40:00.0","제과점영업","385544.956689371","180236.114085508","제과점영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","141.82","","","",
"2","제과점영업","07_22_18_P","3250000","3250000-121-2014-00003","20140320","","01","영업/정상","01","영업","","","","","","85.95","600051","부산광역시 중구 창선동1가 12-1번지 1층 일부","부산광역시 중구 광복로39번길 6 (창선동1가)","48947","비엔씨제과광복점","20150413115934","I","2018-08-31 23:59:59.0","제과점영업","384993.660072758","179733.755298836","제과점영업","","","","","상수도전용","","","","","","","","","N","85.95","","","",
"3","제과점영업","07_22_18_P","3250000","3250000-121-2014-00005","20140826","","01","영업/정상","01","영업","","","","","02  26706546","71.28","600017","부산광역시 중구 중앙동7가 20-1 롯데몰마트시네마동롯데마트부산광복점지하1","부산광역시 중구 중앙대로 2, 지하1층 (중앙동7가, 롯데몰마트시네마동롯데마트부산광복점지하1)","48944","베이커리팩토리 광복점","20201124163953","U","2020-11-26 02:40:00.0","제과점영업","385590.814676765","179553.867031936","제과점영업","","","","","상수도전용","","","","","","","","","Y","71.28","","","",
"4","제과점영업","07_22_18_P","3250000","3250000-121-2015-00006","20151228","","01","영업/정상","01","영업","","","","","051 464 7007","42.15","600092","부산광역시 중구 대청동2가 22-4번지 외1필지","부산광역시 중구 대청로 90-1, 1층 (대청동2가)","48947","빵장수단팥빵","20170210104844","I","2018-08-31 23:59:59.0","제과점영업","385002.672042374","180069.624291209","제과점영업","","","","","상수도전용","","","","","","","","","N","42.15","","","",
"5","제과점영업","07_22_18_P","3250000","3250000-121-2016-00008","20161117","","01","영업/정상","01","영업","","","","","051 612 4225","96.23","600806","부산광역시 중구 부평동2가 72-2","부산광역시 중구 부평1길 49, 지하1층, 1층 (부평동2가)","48977","밀;곳","20210506162928","U","2021-05-08 02:40:00.0","제과점영업","384637.844483375","179947.236223861","제과점영업","","","","","상수도전용","","","","","","","","","N","96.23","","","",
"6","제과점영업","07_22_18_P","3250000","3250000-121-2018-00001","20180313","","01","영업/정상","01","영업","","","","","051 6225300","171.21","600017","부산광역시 중구 중앙동7가 20-1번지 롯데백화점광복점","부산광역시 중구 중앙대로 2, 롯데백화점광복점 지상 4층 (중앙동7가)","48944","카페 아슬란","20180313174733","I","2018-08-31 23:59:59.0","제과점영업","385590.814676765","179553.867031936","제과점영업","","","","","상수도전용","","","","","","","","","Y","171.21","","","",
"7","제과점영업","07_22_18_P","3250000","3250000-121-2010-00001","20100120","","01","영업/정상","01","영업","","","","","051 2318280","99.97","600016","부산광역시 중구 중앙동6가 20-29","부산광역시 중구 중앙대로 37 (중앙동6가)","48957","파리바게트 광복롯데점","20210319100748","U","2021-03-21 02:40:00.0","제과점영업","385599.322545207","179877.201347218","제과점영업","","","","","","","","","","","","","","N","99.97","","","",
"8","제과점영업","07_22_18_P","3250000","3250000-121-2016-00006","20160602","","01","영업/정상","01","영업","","","","","051 244 3200","23.60","600805","부산광역시 중구 부평동1가 35-28번지","부산광역시 중구 부평2길 6-1, 1층 (부평동1가)","48979","케익타운","20191218142700","U","2019-12-20 02:40:00.0","제과점영업","384707.539311126","179726.201949638","제과점영업","","","","","상수도전용","","","","","","","","","N","23.6","","","",
"9","제과점영업","07_22_18_P","3250000","3250000-121-2009-00008","20091216","","01","영업/정상","01","영업","","","","","051 6783053","186.40","600017","부산광역시 중구 중앙동7가 20-1 외110필지(롯데백화점 지하1층)","부산광역시 중구 중앙대로 2, 지하1층 (중앙동7가, 외110필지 롯데백화점)","48944","옵스","20200728220343","U","2020-07-30 02:40:00.0","제과점영업","385590.814676765","179553.867031936","제과점영업","","","","","상수도전용","","","","","","","","","Y","186.4","","","",
"10","제과점영업","07_22_18_P","3250000","3250000-121-1963-00248","19631010","","01","영업/정상","01","영업","","","","","051 4650109","94.50","600815","부산광역시 중구 중앙동4가 31-1","부산광역시 중구 중앙대로81번길 3 (중앙동4가)","48929","백구당","20211015133236","U","2021-10-17 02:40:00.0","제과점영업","385541.993353413","180309.073000547","제과점영업","0","0","기타","기타","","0","0","0","0","0","","0","0","N","94.5","","","",
