"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식용얼음판매업","07_22_21_P","3250000","3250000-111-1973-00001","19730612","","01","영업/정상","01","영업","","","","","","10.58","600806","부산광역시 중구 부평동2가 77 (나69호, 70호)","부산광역시 중구 흑교로 34, 나69.70호 (부평동2가)","48977","시장얼음집","20130925103829","I","2018-08-31 23:59:59.0","식용얼음판매업","384621.820885404","180029.395795349","식용얼음판매업","","","","","","","0","0","0","0","","","","N","0","","","",
"2","식용얼음판매업","07_22_21_P","3250000","3250000-111-1979-00002","19790822","","01","영업/정상","01","영업","","","","","","","600044","부산광역시 중구 남포동4가 371","","","사)부산어패류처리조합","20011206000000","I","2018-08-31 23:59:59.0","식용얼음판매업","","","식용얼음판매업","","","","","","","","","","","","","","N","0","","","",
"3","식용얼음판매업","07_22_21_P","3260000","3260000-111-1997-00510","19970407","","01","영업/정상","01","영업","","","","","051 2552029","8.16","602827","부산광역시 서구 아미동2가 42-16","부산광역시 서구 까치고개로197번길 21 (아미동2가)","49241","조은얼음상회","20120517105640","I","2018-08-31 23:59:59.0","식용얼음판매업","383864.234537381","179838.611561213","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"4","식용얼음판매업","07_22_21_P","3260000","3260000-111-1991-00506","19911010","","01","영업/정상","01","영업","","","","","051","5.52","602830","부산광역시 서구 암남동 3-12","부산광역시 서구 천해로45번길 7 (암남동)","49260","제일위생얼음","20120517105552","I","2018-08-31 23:59:59.0","식용얼음판매업","383657.650410023","177974.883651711","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"5","식용얼음판매업","07_22_21_P","3260000","3260000-111-2000-00922","20001106","","01","영업/정상","01","영업","","","","","051 2445538","12.18","602012","부산광역시 서구 충무동2가 4-2","부산광역시 서구 구덕로119번길 40-4 (충무동2가)","49253","충무얼음","20120517105817","I","2018-08-31 23:59:59.0","식용얼음판매업","384374.411628317","179180.143453645","식용얼음판매업","0","0","기타","기타","","","0","0","0","0","","","","N","0","","","",
"6","식용얼음판매업","07_22_21_P","3260000","3260000-111-2013-00001","20130821","","01","영업/정상","01","영업","","","","","051 244 1005","7.84","602833","부산광역시 서구 암남동 546-10","부산광역시 서구 암남공원로 16 (암남동)","49270","우리얼음","20131107171426","I","2018-08-31 23:59:59.0","식용얼음판매업","383725.279827143","176920.905530731","식용얼음판매업","","","","","","","0","0","0","0","자가","","","N","0","","","",
"7","식용얼음판매업","07_22_21_P","3260000","3260000-111-2014-00001","20140404","","01","영업/정상","01","영업","","","","","051 244 7716","6.00","602091","부산광역시 서구 서대신동1가 98 1층 일부","부산광역시 서구 부용로 20 (서대신동1가)","49233","선미슈퍼마켓","20140429173300","I","2018-08-31 23:59:59.0","식용얼음판매업","383863.488114675","180642.344261793","식용얼음판매업","","","","","상수도전용","","0","0","0","0","자가","","","N","0","","","",
"8","식용얼음판매업","07_22_21_P","3260000","3260000-111-1975-00501","19750529","","01","영업/정상","01","영업","","","","","051","13.12","602812","부산광역시 서구 동대신동3가 127-29","","","진해얼음","20140509144224","I","2018-08-31 23:59:59.0","식용얼음판매업","","","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"9","식용얼음판매업","07_22_21_P","3260000","3260000-111-1982-00001","19820719","","01","영업/정상","01","영업","","","","","051 245 5135","73.00","602052","부산광역시 서구 토성동2가 9-7 1층","부산광역시 서구 구덕로186번길 26, 1층 (토성동2가)","49224","부평얼음","20140226160607","I","2018-08-31 23:59:59.0","식용얼음판매업","384232.914073086","179867.436091906","식용얼음판매업","","","","","","","0","0","0","0","","","","N","0","","","",
"10","식용얼음판매업","07_22_21_P","3260000","3260000-111-1985-00503","19850401","","01","영업/정상","01","영업","","","","","051","6.87","602815","부산광역시 서구 부민동1가 2-1","부산광역시 서구 보수대로 105 (부민동1가)","49223","대원상회","20120517105508","I","2018-08-31 23:59:59.0","식용얼음판매업","384207.495227677","180321.995011519","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"11","식용얼음판매업","07_22_21_P","3270000","3270000-111-1970-00477","19700714","","01","영업/정상","01","영업","","","","","051 6352809",".00","601823","부산광역시 동구 좌천동 683-11","부산광역시 동구 고관로 149-1 (좌천동)","48773","물개얼음집","20070104000000","I","2018-08-31 23:59:59.0","식용얼음판매업","386730.668713509","183248.125725812","식용얼음판매업","","","기타","기타","상수도전용","","0","0","0","0","","","","N","0","","","",
"12","식용얼음판매업","07_22_21_P","3270000","3270000-111-1971-00475","19710708","","01","영업/정상","01","영업","","","","","051 4688392",".00","601829","부산광역시 동구 초량동 197-0","","","김해얼음","20050525000000","I","2018-08-31 23:59:59.0","식용얼음판매업","","","식용얼음판매업","0","0","기타","기타","상수도전용","","0","0","0","0","","","","N","0","","","",
"13","식용얼음판매업","07_22_21_P","3270000","3270000-111-1979-00481","19790418","","01","영업/정상","01","영업","","","","","051 4682401",".00","601829","부산광역시 동구 초량동 394-0","","","초량얼음","20050525000000","I","2018-08-31 23:59:59.0","식용얼음판매업","","","식용얼음판매업","","","기타","기타","상수도전용","","0","0","0","0","","","","N","0","","","",
"14","식용얼음판매업","07_22_21_P","3280000","3280000-111-2003-00001","20030416","","01","영업/정상","01","영업","","","","","051 4185394","","606042","부산광역시 영도구 영선동2가 18-5","부산광역시 영도구 남항로41번길 2 (영선동2가)","49053","영도얼음집","20060530000000","I","2018-08-31 23:59:59.0","식용얼음판매업","386068.843295068","178533.362860901","식용얼음판매업","","","","","","","0","0","0","0","","","","N","0","","","",
"15","식용얼음판매업","07_22_21_P","3280000","3280000-111-2005-00001","20050726","","01","영업/정상","01","영업","","","","","0514151 861","4.90","606062","부산광역시 영도구 봉래동2가 12","부산광역시 영도구 절영로13번길 25 (봉래동2가)","49034","봉래얼음","20131120102759","I","2018-08-31 23:59:59.0","식용얼음판매업","386105.353947123","178989.635527082","식용얼음판매업","","","","","","","","","","","","","","N","0","","","",
"16","식용얼음판매업","07_22_21_P","3280000","3280000-111-2007-00001","20070510","","01","영업/정상","01","영업","","","","","051 4123648","","606759","부산광역시 영도구 영선동4가 245-1 대원아파트 11동 2호","부산광역시 영도구 남항새싹길 79 (영선동4가, 대원아파트 상가 11동 2호)","49078","칠성얼음","20130926095040","I","2018-08-31 23:59:59.0","식용얼음판매업","386284.315674476","177801.686463325","식용얼음판매업","","","","","","","","","","","","","","N","0","","","",
"17","식용얼음판매업","07_22_21_P","3280000","3280000-111-2015-00001","20150819","","01","영업/정상","01","영업","","","","","051 416 1998","17.10","606041","부산광역시 영도구 영선동1가 43-0","부산광역시 영도구 남항로49번길 52, 1층 (영선동1가)","49052","영선얼음","20150820105426","I","2018-08-31 23:59:59.0","식용얼음판매업","386229.285342744","178733.10063395","식용얼음판매업","","","","","","","","","","","","","","N","0","","","",
"18","식용얼음판매업","07_22_21_P","3290000","3290000-111-1990-01078","19900406","","01","영업/정상","01","영업","","","","","051","","614870","부산광역시 부산진구 전포동 550-8 552-11","부산광역시 부산진구 중앙대로824번길 23 (전포동,552-11)","47236","천일산업","20020227000000","I","2018-08-31 23:59:59.0","식용얼음판매업","388215.805049028","186998.051760847","식용얼음판매업","","","기타","기타","","","","","","","","","","N","0","","","",
"19","식용얼음판매업","07_22_21_P","3290000","3290000-111-1986-00039","19860624","","01","영업/정상","01","영업","","","","","051","5.27","614871","부산광역시 부산진구 초읍동 271-6","부산광역시 부산진구 새싹로 207-6 (초읍동)","47108","초읍상회","20091024123211","I","2018-08-31 23:59:59.0","식용얼음판매업","386533.591131225","188097.17542236","식용얼음판매업","","","기타","기타","상수도전용","","","","","","임대","","","N","0","","","",
"20","식용얼음판매업","07_22_21_P","3290000","3290000-111-1995-00057","19950613","","01","영업/정상","01","영업","","","","","051","7.70","614817","부산광역시 부산진구 당감동 292-67","부산광역시 부산진구 당감로34번길 40 (당감동)","47181","부일얼음","20020816000000","I","2018-08-31 23:59:59.0","식용얼음판매업","385921.060174282","187006.748287413","식용얼음판매업","","","기타","기타","","","","","","","","","","N","0","","","",
"21","식용얼음판매업","07_22_21_P","3290000","3290000-111-2015-00001","20150817","","01","영업/정상","01","영업","","","","","051 802 3769","21.46","614843","부산광역시 부산진구 부전동 347-6 지상1층","부산광역시 부산진구 부전로158번길 8-2, 지상1층 (부전동)","47253","부전얼음","20151014165148","I","2018-08-31 23:59:59.0","식용얼음판매업","387471.074717201","186688.634231708","식용얼음판매업","","","","","상수도전용","","0","0","0","0","임대","","","N","0","","","",
"22","식용얼음판매업","07_22_21_P","3290000","3290000-111-1973-00007","19730501","","01","영업/정상","01","영업","","","","","051","13.68","614802","부산광역시 부산진구 가야동 170-14","부산광역시 부산진구 가야대로 542 (가야동)","47326","삼성상회","20020814000000","I","2018-08-31 23:59:59.0","식용얼음판매업","385028.777761837","185711.351533018","식용얼음판매업","","","기타","기타","","","","","","","","","","N","0","","","",
"23","식용얼음판매업","07_22_21_P","3290000","3290000-111-1978-00016","19780424","","01","영업/정상","01","영업","","","","","051","3.60","614817","부산광역시 부산진구 당감동 814-37 부암동296-21","","","시장얼음","20020816000000","I","2018-08-31 23:59:59.0","식용얼음판매업","","","식용얼음판매업","","","기타","기타","","","","","","","","","","N","0","","","",
"24","식용얼음판매업","07_22_21_P","3290000","3290000-111-1971-00003","19710426","","01","영업/정상","01","영업","","","","","051","7.40","614847","부산광역시 부산진구 부전동 256-6 256-14","부산광역시 부산진구 서면로 56 (부전동,256-14)","47286","시장얼음","20100907135143","I","2018-08-31 23:59:59.0","식용얼음판매업","387468.48013598","185990.346086723","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"25","식용얼음판매업","07_22_21_P","3290000","3290000-111-1972-00005","19720619","","01","영업/정상","01","영업","","","","","051","6.00","614817","부산광역시 부산진구 당감동 891-17 T통B반","부산광역시 부산진구 백양대로60번길 38 (당감동)","47182","당감","20020814000000","I","2018-08-31 23:59:59.0","식용얼음판매업","386020.845921221","186896.570222967","식용얼음판매업","0","0","기타","기타","","","","","","","","","","N","0","","","",
"26","식용얼음판매업","07_22_21_P","3290000","3290000-111-1976-00022","19760228","","01","영업/정상","01","영업","","","","","051","4.34","614827","부산광역시 부산진구 범천동 841-52","부산광역시 부산진구 범일로154번길 42 (범천동)","47363","범일얼음","20020816000000","I","2018-08-31 23:59:59.0","식용얼음판매업","387814.092677719","184665.833872664","식용얼음판매업","","","기타","기타","","","","","","","","","","N","0","","","",
"27","식용얼음판매업","07_22_21_P","3290000","3290000-111-1982-00023","19820703","","01","영업/정상","01","영업","","","","","051 894 4922","50.80","614801","부산광역시 부산진구 가야동 640-6","부산광역시 부산진구 가야대로498번길 38 (가야동)","47327","광명상회","20091217200646","I","2018-08-31 23:59:59.0","식용얼음판매업","384590.165258037","185455.998940277","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","2.8","","","",
"28","식용얼음판매업","07_22_21_P","3300000","3300000-111-1968-00541","19680403","","01","영업/정상","01","영업","","","","","051","23.00","607824","부산광역시 동래구 수안동 421","","","동궁상회","19990330000000","I","2018-08-31 23:59:59.0","식용얼음판매업","","","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"29","식용얼음판매업","07_22_21_P","3300000","3300000-111-1995-00575","19950818","","01","영업/정상","01","영업","","","","","051 5027020","5.61","607814","부산광역시 동래구 사직동 54-44","부산광역시 동래구 사직북로28번길 73-4 (사직동)","47857","수진얼음","19990330000000","I","2018-08-31 23:59:59.0","식용얼음판매업","387829.677934755","190980.889971124","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"30","식용얼음판매업","07_22_21_P","3300000","3300000-111-1997-00579","19970416","","01","영업/정상","01","영업","","","","","051 555 9443","27.74","607831","부산광역시 동래구 온천동 148-8","부산광역시 동래구 온천장로119번길 36 (온천동)","47708","시장얼음","20150506132015","I","2018-08-31 23:59:59.0","식용얼음판매업","389583.881436229","193393.070106989","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"31","식용얼음판매업","07_22_21_P","3300000","3300000-111-1991-00552","19910516","","01","영업/정상","01","영업","","","","","051","","607831","부산광역시 동래구 온천동 145-25","부산광역시 동래구 온천장로119번길 52-17 (온천동)","47708","조영어름","20010728000000","I","2018-08-31 23:59:59.0","식용얼음판매업","389525.891892437","193460.435984089","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"32","식용얼음판매업","07_22_21_P","3300000","3300000-111-1993-00568","19930319","","01","영업/정상","01","영업","","","","","051","12.24","607814","부산광역시 동래구 사직동 54-29","부산광역시 동래구 사직북로28번길 63-3 (사직동)","47857","사직얼음","20010911000000","I","2018-08-31 23:59:59.0","식용얼음판매업","387784.698726319","190940.742745116","식용얼음판매업","","","기타","기타","","","0","0","0","0","","","","N","0","","","",
"33","식용얼음판매업","07_22_21_P","3300000","3300000-111-2005-00001","20051114","","01","영업/정상","01","영업","","","","","051 5534569","19.98","607030","부산광역시 동래구 칠산동 148-5","부산광역시 동래구 동래로190번길 29 (칠산동)","47812","동래얼음","20090826132808","I","2018-08-31 23:59:59.0","식용얼음판매업","390300.033601467","191204.17827539","식용얼음판매업","","","","","","","0","0","0","0","임대","","","N","0","","","",
"34","식용얼음판매업","07_22_21_P","3300000","3300000-111-2006-00001","20060210","","01","영업/정상","01","영업","","","","","051 5523800","16.27","607837","부산광역시 동래구 온천동 838-1","","","금성석유얼음","20060210000000","I","2018-08-31 23:59:59.0","식용얼음판매업","","","식용얼음판매업","","","","","상수도전용","","0","0","0","0","임대","","","N","0","","","",
