"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총종업원수",
"1","축산물보관업","07_22_24_P","3260000","326000000720180001","20180829","","01","영업/정상","0000","정상","","","","","0512616161","2676.05","","부산광역시 서구 암남동 633-22","부산광역시 서구 원양로 214 (암남동)","49273","고려냉장(주)감천부두냉동공장","20180829144744","I","2018-08-31 23:59:59.0","","383161.604401848","176459.190567114","축산물보관업","","","L00","",
"2","축산물보관업","07_22_24_P","3260000","326000000720080001","20080624","","01","영업/정상","0000","정상","","","","","231-1500","3098.15","","부산광역시 서구 암남동 720","부산광역시 서구 원양로 73 (암남동)","49273","(주)보림로지스틱스 부산냉장","20200828133451","U","2020-08-30 02:40:00.0","","383286.815574731","175544.19235211","축산물보관업","","","L00","",
"3","축산물보관업","07_22_24_P","3260000","326000000720140001","20140620","","01","영업/정상","0000","정상","","","","","254-8011","0","","","부산광역시 서구 충무대로 234 (남부민동)","49255","우양냉장(주)","20140620103823","I","2018-08-31 23:59:59.0","","384566.48631262","178809.387105856","축산물보관업","","","000","",
"4","축산물보관업","07_22_24_P","3260000","326000000720010003","20011029","","01","영업/정상","0000","정상","","","","","244-6161","3646.26","","부산광역시 서구 암남동 171-20","부산광역시 서구 송도해변로 197 (암남동)","49269","고려냉장(주)연안공장","20211220132211","U","2021-12-22 02:40:00.0","","384361.741429787","177381.420067792","축산물보관업","","0","L00","0",
"5","축산물보관업","07_22_24_P","3260000","326000000720030001","20030331","","01","영업/정상","0000","정상","","","","","051-600-1919","1114.65","","부산광역시 서구 암남동 740","부산광역시 서구 원양로 147 (암남동)","49273","동원산업(주) 부산냉장센터","20190822164429","U","2019-08-24 02:40:00.0","","383415.639943426","175962.567924767","축산물보관업","","","L00","",
"6","축산물보관업","07_22_24_P","3260000","326000000720080002","20080903","","01","영업/정상","0000","정상","","","","","600-3939","923.2","","부산광역시 서구 암남동 705","부산광역시 서구 원양로 295 (암남동)","49273","(주)동영콜드프라자","20180126155121","I","2018-08-31 23:59:59.0","","382821.270533763","177260.504833529","축산물보관업","","","L00","",
"7","축산물보관업","07_22_24_P","3260000","326000000720080003","20081118","","01","영업/정상","0000","정상","","","","","257-8077","928.8","","부산광역시 서구 남부민동 523-52","부산광역시 서구 충무대로 140 (남부민동)","49264","동양섬유(주)송도지점","20111121115203","I","2018-08-31 23:59:59.0","","384664.43085616","177871.739308163","축산물보관업","","","L00","",
"8","축산물보관업","07_22_24_P","3260000","326000000720200001","20200809","","03","폐업","0002","폐업","20211111","","","20211111","","911.48","","부산광역시 서구 암남동 717","부산광역시 서구 원양로 119, 1층 (암남동)","49273","수협중앙회 감천항물류센터","20211111104758","U","2021-11-13 02:40:00.0","","383533.518326829","175685.538391763","축산물보관업","","0","000","0",
"9","축산물보관업","07_22_24_P","3260000","326000000720130002","20131204","","03","폐업","0002","폐업","20180115","","","20180115","254-7234","0","","","부산광역시 서구 충무대로 214 (남부민동)","49255","(주)케이엠","20180115170606","I","2018-08-31 23:59:59.0","","384560.270958124","178650.41017002","축산물보관업","","","L00","",
"10","축산물보관업","07_22_24_P","3260000","326000000720010001","20011029","","03","폐업","0002","폐업","20110209","","","","051-253-3281","13044","","부산광역시 서구 암남동 753","부산광역시 서구 원양로 243 (암남동)","","동양메이저(주)글로벌냉장","20110209145740","I","2018-08-31 23:59:59.0","","382929.661199657","176610.193209997","축산물보관업","","","L00","",
