"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총종업원수",
"1","축산물운반업","07_22_25_P","3250000","325000000820210001","20210707","","01","영업/정상","0000","정상","","","","","0514643211","0","","부산광역시 중구 중앙동*가 **-*","부산광역시 중구 충장대로*번길 **-*, ***호 (중앙동*가)","48937","동아통운(주)","20210707100252","I","2021-07-09 00:22:53.0","","385731.290616463","180730.387826318","축산물운반업","","0","L00","0",
"2","축산물운반업","07_22_25_P","3250000","325000000820140001","20140212","","01","영업/정상","0000","정상","","","","","442-2038","0","","부산광역시 중구 중앙동*가 **-**번지","부산광역시 중구 충장대로*번길 ** (중앙동*가)","48937","동신기업","20140212104351","I","2018-08-31 23:59:59.0","","385730.223219262","180633.142129186","축산물운반업","","","L00","",
"3","축산물운반업","07_22_25_P","3250000","325000000820060001","20060411","","01","영업/정상","0000","정상","","","","","2572471","100.11","","부산광역시 중구 동광동*가 *번지","부산광역시 중구 광복로**번길 ** (동광동*가, 우리은행***)","48952","(주)에어앤씨카고","20130627145500","I","2018-08-31 23:59:59.0","","385498.102704866","179739.963317394","축산물운반업","","","L00","",
"4","축산물운반업","07_22_25_P","3250000","325000000820080001","20080722","","01","영업/정상","0000","정상","","","","","465-6000","45.43","","부산광역시 중구 중앙동*가 **-*번지","부산광역시 중구 중앙대로 *** (중앙동*가)","48936","케이티지엘에스(주)","20131227154916","I","2018-08-31 23:59:59.0","","385709.216919638","180842.067770636","축산물운반업","","","L00","",
"5","축산물운반업","07_22_25_P","3250000","325000000820060002","20060628","","03","폐업","0002","폐업","20090713","","","","441-9911","39.8","","부산광역시 중구 중앙동*가 **-****번지 마린센타 ****호","","","싸이버 쉽핑","20090713135843","I","2018-08-31 23:59:59.0","","385825.756707547","180869.292984843","축산물운반업","","","000","",
"6","축산물운반업","07_22_25_P","3260000","326000000820190001","20070430","","01","영업/정상","0000","정상","","","","","251613100","128.9","","부산광역시 서구 암남동 ***-**","부산광역시 서구 원양로 ***, ***호 (암남동)","49273","(주)지원냉동물류","20200807111108","U","2020-08-09 02:40:00.0","","383518.040204105","175580.741380931","축산물운반업","","","L00","",
"7","축산물운반업","07_22_25_P","3260000","326000000820210001","20141117","","01","영업/정상","0000","정상","","","","","","35","","부산광역시 서구 암남동 ***","부산광역시 서구 원양로 ***(암남동)","49273","한솔물류","20211027152624","I","2021-10-29 00:22:55.0","","382890.650587096","177336.223689987","축산물운반업","","0","L00","0",
"8","축산물운반업","07_22_25_P","3260000","326000000820130001","20130408","","01","영업/정상","0000","정상","","","","","254-3344","72","","부산광역시 서구 암남동 ***-**번지","부산광역시 서구 원양로 ***, 지하*층 ***호 (암남동)","49273","에스제이로지스(주)","20181026121849","U","2018-10-28 02:37:10.0","","383518.040204105","175580.741380931","축산물운반업","","","000","",
"9","축산물운반업","07_22_25_P","3260000","326000000820150001","20150922","","01","영업/정상","0000","정상","","","","","244-3887","37.19","","","부산광역시 서구 원양로 *** (암남동)","49273","(주)해인지엘에스","20150922104408","I","2018-08-31 23:59:59.0","","382890.650587096","177336.223689987","축산물운반업","","","L00","",
"10","축산물운반업","07_22_25_P","3260000","326000000820160001","20160826","","01","영업/정상","0000","정상","","","","","","13.17","","","부산광역시 서구 초장로 ** (초장동)","49251","신현축산","20160826151942","I","2018-08-31 23:59:59.0","","384079.650169185","179063.213150356","축산물운반업","","","000","",
