"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","단란주점영업","07_23_01_P","3250000","3250000-103-2014-00001","20140113","","01","영업/정상","01","영업","","","","","","82.15","600807","부산광역시 중구 부평동2가 33-3번지 3층","부산광역시 중구 광복로6번길 3-1, 3층 (부평동2가)","48980","빠리2","20200121144520","U","2020-01-23 02:40:00.0","단란주점","384654.691485084","179666.43863817","단란주점","","","","","상수도전용","","","","","","","","","N","82.15","","","",
"2","단란주점영업","07_23_01_P","3250000","3250000-103-2014-00002","20140207","","01","영업/정상","01","영업","","","","","051 243 7080","344.71","600046","부산광역시 중구 남포동6가 65-1 지하1층","부산광역시 중구 구덕로84번길 5, 지하1층 (남포동6가)","48981","7080 인생극장","20210906131026","U","2021-09-08 02:40:00.0","단란주점","384697.119071054","179510.26293209","단란주점","","","학교정화(상대)","","","","","","","","","","","Y","344.71","","","",
"3","단란주점영업","07_23_01_P","3250000","3250000-103-2014-00003","20140513","","01","영업/정상","01","영업","","","","","051 263 0499","41.82","600045","부산광역시 중구 남포동5가 50-1 외 2필지  4층","부산광역시 중구 자갈치로47번길 5, 4층 (남포동5가)","48983","앵콜","20220330141601","U","2022-04-02 02:40:00.0","단란주점","384963.258327668","179509.824561056","단란주점","","","","","","","","","","","","","","N","41.82","","","",
"4","단란주점영업","07_23_01_P","3250000","3250000-103-2014-00004","20141016","","01","영업/정상","01","영업","","","","","051 242 5651","144.29","600012","부산광역시 중구 중앙동2가 52-2번지 현대빌딩 1층","부산광역시 중구 중앙대로49번길 13, 지상1층 (중앙동2가)","48956","더라운지","20191203153227","U","2019-12-05 02:40:00.0","단란주점","385473.034342809","179977.761259469","단란주점","","","","","","","","","","","","","","N","144.29","","","",
"5","단란주점영업","07_23_01_P","3250000","3250000-103-2015-00001","20150224","","01","영업/정상","01","영업","","","","","","186.51","600045","부산광역시 중구 남포동5가 33번지 15층 B동","부산광역시 중구 비프광장로 40, B동 15층 (남포동5가)","48953","레인보우 라이브","20171114115556","I","2018-08-31 23:59:59.0","단란주점","384933.060113454","179567.538943818","단란주점","","","유흥업소밀집지역","","상수도전용","","","","","","","","","N","186.51","","","",
"6","단란주점영업","07_23_01_P","3250000","3250000-103-2017-00003","20170714","","01","영업/정상","01","영업","","","","","051 231 8819","89.30","600805","부산광역시 중구 부평동1가 37-3","부산광역시 중구 광복로 24, 4층 (부평동1가)","48980","산딸기 ∥","20200728202006","U","2020-07-30 02:40:00.0","단란주점","384805.315836801","179683.302278028","단란주점","","","","","","","","","","","","","","N","89.3","","","",
"7","단란주점영업","07_23_01_P","3250000","3250000-103-2018-00001","20180222","","01","영업/정상","01","영업","","","","","051 9267005","97.95","600807","부산광역시 중구 부평동2가 26-7","부산광역시 중구 부평2길 5, 2층 (부평동2가)","48979","카라 단란주점","20200728212059","U","2020-07-30 02:40:00.0","단란주점","384685.47463454","179722.378312909","단란주점","","","유흥업소밀집지역","","상수도전용","","","","","","","","","Y","97.95","","","",
"8","단란주점영업","07_23_01_P","3250000","3250000-103-2019-00001","20190130","","01","영업/정상","01","영업","","","","","","261.11","600806","부산광역시 중구 부평동2가 23","부산광역시 중구 부평2길 21, 2층 (부평동2가)","48977","은하수 실내 포장마차","20200707153544","U","2020-07-09 02:40:00.0","단란주점","384689.649992607","179795.994619396","단란주점","","","기타","","","","","","","","","","","Y","261.11","","","",
"9","단란주점영업","07_23_01_P","3250000","3250000-103-1994-00581","19940307","","01","영업/정상","01","영업","","","","","051 256 1248","56.92","600809","부산광역시 중구 부평동3가 76-1번지 (지하층)","부산광역시 중구 흑교로35번길 7, 지하층 (부평동3가)","48975","피닉스","20190711142322","U","2019-07-13 02:40:00.0","단란주점","384521.036351337","180037.250526698","단란주점","0","0","기타","기타","","","","","","","","","","N","56.92","","","",
"10","단란주점영업","07_23_01_P","3250000","3250000-103-1993-00485","19931016","","01","영업/정상","01","영업","","","","","051 244 4458","44.64","600045","부산광역시 중구 남포동5가 116-1번지 (지하층)","부산광역시 중구 자갈치로 58, 지하층 (남포동5가)","48983","사랑방","20120224161215","I","2018-08-31 23:59:59.0","단란주점","385086.764750487","179470.013954551","단란주점","0","0","기타","기타","","","","","","","","","","N","44.64","","","",
