"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총종업원수","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","유흥주점영업","07_23_02_P","3250000","3250000-102-2018-00003","20181108","","01","영업/정상","01","영업","","","","","","123.62","600045","부산광역시 중구 남포동5가 68-3번지","부산광역시 중구 자갈치로 55-2, 2층 (남포동5가)","48983","올리브","20181108170639","I","2018-11-16 10:18:46.0","노래클럽","385071.591646336","179498.119990365","노래클럽","","","유흥업소밀집지역","","상수도전용","","","","","","","","","Y","123.62","","","",
"2","유흥주점영업","07_23_02_P","3250000","3250000-102-2019-00001","20190131","","01","영업/정상","01","영업","","","","","051 2549990","104.45","600021","부산광역시 중구 동광동1가 6-4","부산광역시 중구 광복로97번길 12, 2층 (동광동1가)","48955","라임","20200728202127","U","2020-07-30 02:40:00.0","간이주점","385527.572806791","179750.645357091","간이주점","","","","","","","","","","","","","","Y","104.45","","","",
"3","유흥주점영업","07_23_02_P","3250000","3250000-102-2019-00002","20190701","","01","영업/정상","01","영업","","","","","","185.15","600044","부산광역시 중구 남포동4가 11-4번지","부산광역시 중구 구덕로 41, 4층 (남포동4가)","48984","망고","20190701114649","I","2019-07-03 02:21:41.0","기타","385136.703614712","179531.411176408","기타","","","기타","","상수도전용","","","","","","","","","Y","185.15","","","",
"4","유흥주점영업","07_23_02_P","3250000","3250000-102-1989-00937","19890608","","01","영업/정상","01","영업","","","","","","73.50","600033","부산광역시 중구 광복동3가 5-50번지","부산광역시 중구 광복로67번길 32 (광복동3가)","48949","나는가수다","20171213134619","I","2018-08-31 23:59:59.0","간이주점","385159.779061797","179735.028961812","간이주점","0","0","기타","기타","","","","","","","","","","N","73.5","","","",
"5","유흥주점영업","07_23_02_P","3250000","3250000-102-1978-00995","19781222","","01","영업/정상","01","영업","","","","","051 243 1356","18.93","600045","부산광역시 중구 남포동5가 70번지","부산광역시 중구 자갈치로59번길 5-21 (남포동5가)","48983","삐에로","20160609111325","I","2018-08-31 23:59:59.0","카바레","385052.845627077","179510.041353107","카바레","","","","","","","","","","","","","","N","18.93","","","",
"6","유흥주점영업","07_23_02_P","3250000","3250000-102-2003-00005","20030219","","01","영업/정상","01","영업","","","","","051 242 4466","154.16","600806","부산광역시 중구 부평동2가 68-1","부산광역시 중구 중구로39번길 41 (부평동2가)","48977","명월","20220414162705","U","2022-04-16 02:40:00.0","룸살롱","384623.788764081","179897.994275967","룸살롱","0","0","","","","","","","","","","","","N","154.16","","","",
"7","유흥주점영업","07_23_02_P","3250000","3250000-102-2011-00001","20110124","","01","영업/정상","01","영업","","","","","051 231 5551","96.02","600012","부산광역시 중구 중앙동2가 46-2 (지하1층)","부산광역시 중구 해관로 44, 지하1층 (중앙동2가)","48957","해오름","20220322164057","U","2022-03-24 02:40:00.0","기타","385555.080986309","180074.825927274","기타","","","기타","","상수도전용","","","","","","","","","N","96.02","","","",
"8","유흥주점영업","07_23_02_P","3250000","3250000-102-1989-00966","19891020","","01","영업/정상","01","영업","","","","","051 256 5151","99.00","600022","부산광역시 중구 동광동2가 10-5번지 11-12.51 (4층)","부산광역시 중구 광복로85번길 15, 4층 (동광동2가, 11-12.51)","48951","호박노래주점","20120223140017","I","2018-08-31 23:59:59.0","간이주점","385450.471113433","179738.565192744","간이주점","0","0","기타","기타","","","","","","","","","","N","99","","","",
"9","유흥주점영업","07_23_02_P","3250000","3250000-102-1990-00942","19900219","","01","영업/정상","01","영업","","","","","051 246 7162","52.08","600807","부산광역시 중구 부평동2가 56-3번지 (2층)","부산광역시 중구 부평1길 9, 2층 (부평동2가)","48979","벤","20180511150417","I","2018-08-31 23:59:59.0","카바레","384630.429032127","179741.277961526","카바레","","","","","","","","","","","","","","N","52.08","","","",
"10","유흥주점영업","07_23_02_P","3250000","3250000-102-2021-00005","20211231","","01","영업/정상","01","영업","","","","","","60.60","600045","부산광역시 중구 남포동5가 41","부산광역시 중구 자갈치로37번길 6-1, 지하1층 (남포동5가)","48983","아가씨노래방","20220123160826","U","2022-01-25 02:40:00.0","기타","384891.033409221","179484.714443378","기타","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","60.6","","","",
