"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","외국인전용유흥음식점업","07_24_03_P","3250000","CDFI3261032007000001","20070119","","03","폐업","03","폐업","20110615","","","","244-2258","","600042","부산광역시 중구 남포동2가 25-10번지 쏠레마빌딩 901호","부산광역시 중구 구덕로34번길 4,  901호 (남포동2가,쏠레마빌딩)","","하바나라이브하우스","20110615111717","I","2018-08-31 23:59:59.0","","385243.158543667","179580.295176299","외국인전용유흥음식점업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"2","외국인전용유흥음식점업","07_24_03_P","3250000","CDFI3261032016000001","20161004","","03","폐업","03","폐업","20170215","","","","","","","부산광역시 중구 부평동2가 39-1번지","부산광역시 중구 비프광장로 7, 4층 (부평동2가)","48980","해운대라이브클럽","20170215115617","I","2018-08-31 23:59:59.0","","384664.149882792","179582.676484563","외국인전용유흥음식점업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50000000","","","","",
"3","외국인전용유흥음식점업","07_24_03_P","3270000","CDFI3261032010000002","20101012","","03","폐업","03","폐업","20160824","","","","","","601829","부산광역시 동구 초량동 483번지 2층","부산광역시 동구 대영로243번길 105 (초량동,2층)","","바이킹클럽","20161226104122","I","2018-08-31 23:59:59.0","","385894.051691801","181617.241335137","외국인전용유흥음식점업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","외국인전용유흥음식점업","07_24_03_P","3270000","CDFI3261032011000001","20110609","","03","폐업","03","폐업","20210611","","","","051-467-3604","","601829","부산광역시 동구 초량동 489-3","부산광역시 동구 중앙대로209번길 8 (초량동)","48816","마이애미","20210611144739","U","2021-06-13 02:40:00.0","","385856.654811212","181577.376398847","외국인전용유흥음식점업","","","","","","","","","","","","","","","","","","","","","109","","","","","","","","","50000000","","","","109",
"5","외국인전용유흥음식점업","07_24_03_P","3270000","CDFI3261032015000001","20150626","","03","폐업","03","폐업","20180214","","","","051-639-7677","","601807","부산광역시 동구 범일동 830-62번지","부산광역시 동구 범일로90번길 17 (범일동)","48744","아테네클럽","20180221140431","I","2018-08-31 23:59:59.0","","387823.717928121","184076.481374503","외국인전용유흥음식점업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","외국인전용유흥음식점업","07_24_03_P","3270000","CDFI3261032008000001","20081216","","01","영업/정상","13","영업중","","","","","051-464-9894","","601830","부산광역시 동구 초량동 611번지","부산광역시 동구 중앙대로179번길 11 (초량동)","","인터내셔냘바","20150710104013","I","2018-08-31 23:59:59.0","","385730.185688879","181281.204951551","외국인전용유흥음식점업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","외국인전용유흥음식점업","07_24_03_P","3270000","CDFI3261032010000001","20100914","","01","영업/정상","13","영업중","","","","","051-467-3604","","","부산광역시 동구 초량동 465-20","부산광역시 동구 중앙대로209번길 22, 1층 (초량동)","48816","파라다이스","20210303092419","U","2021-03-05 02:40:00.0","","385789.988329877","181607.646741726","외국인전용유흥음식점업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"8","외국인전용유흥음식점업","07_24_03_P","3270000","CDFI3261032010000003","20101109","","01","영업/정상","13","영업중","","","","","051-467-3604","","601829","부산광역시 동구 초량동 486-2 1층","부산광역시 동구 대영로243번길 101 (초량동)","48816","엔젤레스","20210303092433","U","2021-03-05 02:40:00.0","","385881.692762979","181600.35569243","외국인전용유흥음식점업","","","","","","","","","","","","ANGELES","A PLEASURE RESTAURANT FOR A FOREIGNER","","","","","","","","","","","","","","","","","50000000","","","","",
"9","외국인전용유흥음식점업","07_24_03_P","3270000","CDFI3261031980000001","19801004","","01","영업/정상","13","영업중","","","","","051-441-2247","","","부산광역시 동구 초량동 488-1","부산광역시 동구 대영로243번길 99 (초량동)","48816","바이칼","20210218110254","U","2021-02-20 02:40:00.0","","385870.52904426","181593.63363095","외국인전용유흥음식점업","관광사업","","","","","","","","","","","BAIKAL","A pleasure restaurant for a foreigner","","","","","","","","","","","","","","","","","","","","","",
"10","외국인전용유흥음식점업","07_24_03_P","3270000","CDFI3261031984000001","19840101","","01","영업/정상","13","영업중","","","","","051-467-7381","","","부산광역시 동구 초량동 1207-8","부산광역시 동구 중앙대로209번길 2 (초량동)","48816","오숀","20210303092509","U","2021-03-05 02:40:00.0","","385882.798896636","181565.960748083","외국인전용유흥음식점업","관광사업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
