"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","점포구분명",
"1","대규모점포","08_25_01_P","3250000","1981325001407500041","19810611","","01","영업/정상","1","정상영업","","","","","051 2553601","4725","","부산광역시 중구 보수동3가 46-1호","부산광역시 중구 보수대로 94 (보수동3가)","600083","보수종합시장","20120216183527","I","2018-08-31 23:59:59.0","시장","384268.876610502","180213.752067668","대규모점포",
"2","대규모점포","08_25_01_P","3250000","1983325001407500044","19830108","","01","영업/정상","1","정상영업","","","","","051 2461012","11527","","부산광역시 중구 남포동6가 3호","부산광역시 중구 자갈치로 33 (남포동6가)","600046","신천지시장","20140827095712","I","2018-08-31 23:59:59.0","시장","384836.914455912","179432.734579543","대규모점포",
"3","대규모점포","08_25_01_P","3250000","1986325001407500045","19860822","","01","영업/정상","1","정상영업","","","","","051 2467500","7652","","부산광역시 중구 남포동5가 92호","부산광역시 중구 자갈치로 42 (남포동5가)","600712","신동아수산물종합시장","20220627144748","U","2022-06-29 02:40:00.0","시장","384953.004015023","179411.688598493","대규모점포",
"4","대규모점포","08_25_01_P","3250000","1972325006907500001","19720215","","01","영업/정상","1","정상영업","","","","","051-245-2594","3576.7","600044","부산광역시 중구 남포동4가 37번지 1호","부산광역시 중구 자갈치해안로 52 (남포동4가)","600044","자갈치시장","20220329161037","U","2022-03-31 02:40:00.0","시장","385139.215952094","179403.007901724","대규모점포",
"5","대규모점포","08_25_01_P","3250000","1973325001407500030","19730521","","01","영업/정상","1","정상영업","","","","","051 2460131","5758.9","600021","부산광역시 중구 동광동1가 1번지 10호","부산광역시 중구 중앙대로 21 (중앙동6가)","600016","부산데파트","20190318103304","U","2019-03-20 02:40:00.0","시장","385587.465780386","179726.692445216","대규모점포",
"6","대규모점포","08_25_01_P","3250000","1977325001407500001","19770806","","01","영업/정상","1","정상영업","","","","","051 2451889","","","부산광역시 중구 신창동4가 38호","","","사단법인 국제시장번영회","20070707095614","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","","",
"7","대규모점포","08_25_01_P","3250000","1977325001407500004","19770224","","01","영업/정상","1","정상영업","","","","","051 4698523","1100","","부산광역시 중구 영주동 601호","부산광역시 중구 대영로242번길 3 (영주동)","600811","영주시장","20111116145058","I","2018-08-31 23:59:59.0","시장","385670.483619122","181074.042663357","대규모점포",
"8","대규모점포","08_25_01_P","3250000","1978325001407500037","19780428","","01","영업/정상","1","정상영업","","","","","051 2469565","3892","","부산광역시 중구 창선동2가 30호","","","창선상가","20140827100025","I","2018-08-31 23:59:59.0","시장","","","대규모점포",
"9","대규모점포","08_25_01_P","3250000","1988325001407500003","19880721","","01","영업/정상","1","정상영업","","","","","051 2467334","","","부산광역시 중구 중앙동1가 26호","","","롯데1번가","20070707095614","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","385560.432671436","179859.631631633","",
"10","대규모점포","08_25_01_P","3250000","1995325001407500017","19950227","","01","영업/정상","1","정상영업","","","","","051 2567751","","","부산광역시 중구 부평동2가 2호","부산광역시 중구 대청로 60 (부평동2가)","","월드밸리","20070707095614","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","384691.305122868","180070.025389847","",
"11","대규모점포","08_25_01_P","3250000","2005325001407500001","19950227","","01","영업/정상","1","정상영업","","","","","051-256-7751","9584.08","","부산광역시 중구 부평동2가 2호","부산광역시 중구 대청로 60 (부평동2가)","600806","월드밸리","20211224112014","U","2021-12-26 02:40:00.0","그 밖의 대규모점포","384691.305122868","180070.025389847","대규모점포",
"12","대규모점포","08_25_01_P","3250000","2007325005907500001","20070712","","01","영업/정상","1","정상영업","","","","","051-245-7389","9496.51","600713","부산광역시 중구 신창동4가 38번지 1호 국제시장","부산광역시 중구 국제시장2길 25 (신창동4가)","600713","국제시장","20220525133643","U","2022-05-27 02:40:00.0","시장","384875.525180818","179931.549761485","대규모점포",
"13","대규모점포","08_25_01_P","3250000","2008325006907500001","20080804","","01","영업/정상","1","정상영업","","","","","051-713-8201","6132","600046","부산광역시 중구 남포동6가 1번지","부산광역시 중구 구덕로 73 (남포동6가)","600046","남포지하도상가","20220329161146","U","2022-03-31 02:40:00.0","시장","384820.119269113","179460.841059128","대규모점포",
"14","대규모점포","08_25_01_P","3250000","2008325006907500002","20080729","","01","영업/정상","1","정상영업","","","","","051-851-7500","9148.21","600011","부산광역시 중구 중앙동1가 25번지 12호","부산광역시 중구 중앙대로29번길 8 (중앙동1가)","600011","광복지하도상가","20220329160302","U","2022-03-31 02:40:00.0","시장","385542.517056116","179802.83662083","대규모점포",
"15","대규모점포","08_25_01_P","3250000","2009325008307500001","20091130","","01","영업/정상","1","정상영업","","","","","678-2500","104322","600017","부산광역시 중구 중앙동7가","부산광역시 중구 중앙대로 2 (중앙동7가)","600017","롯데백화점 광복점","20220503140423","U","2022-05-07 02:40:00.0","백화점","385590.814676765","179553.867031936","대규모점포",
"16","대규모점포","08_25_01_P","3250000","2010325008307500001","20100210","","01","영업/정상","1","정상영업","","","","","242-8786","3807","600061","부산광역시 중구 신창동1가 8번지","부산광역시 중구 광복중앙로 9 (신창동1가)","600061","새부산타운","20111116131131","I","2018-08-31 23:59:59.0","쇼핑센터","385102.447573369","179784.976689843","대규모점포",
"17","대규모점포","08_25_01_P","3250000","2011325008307500001","20110105","","01","영업/정상","1","정상영업","","","","","0516782500","12347","600017","부산광역시 중구 중앙동7가 20번지 1호","부산광역시 중구 중앙대로 2 (중앙동7가)","600017","롯데마트 광복점","20220503140447","U","2022-05-07 02:40:00.0","대형마트","385590.814676765","179553.867031936","대규모점포",
"18","대규모점포","08_25_01_P","3250000","2011325008307500003","20111125","","01","영업/정상","1","정상영업","","","","","051-250-7700","2715.58","600046","부산광역시 중구 남포동6가 1번지","부산광역시 중구 구덕로 73 (남포동6가)","600046","(주)농협유통 하나로마트 자갈치점","20220503140722","U","2022-05-07 02:40:00.0","그 밖의 대규모점포","384820.119269113","179460.841059128","준대규모점포",
"19","대규모점포","08_25_01_P","3250000","2014325008307500001","20140723","","01","영업/정상","1","정상영업","","","","","051-678-2500","3331.35","","","부산광역시 중구 중앙대로 2 (중앙동7가)","600017","롯데전문점 광복점","20220503140502","U","2022-05-07 02:40:00.0","전문점","385590.814676765","179553.867031936","대규모점포",
"20","대규모점포","08_25_01_P","3250000","1979325001407500039","19790608","","03","폐업","3","폐업처리","20140417","","","","051 2452996","498","","부산광역시 중구 창선동2가 11호","부산광역시 중구 중구로40번길 19 (신창동2가)","600062","대덕시장","20140827095804","I","2018-08-31 23:59:59.0","시장","385017","179929","대규모점포",
"21","대규모점포","08_25_01_P","3250000","2001325001407500046","20011212","","03","폐업","3","폐업처리","20091005","","","","051-242-8787","3744.86","","부산광역시 중구 신창동1가 8-3호","부산광역시 중구 광복중앙로 9 (신창동1가)","600061","새부산타운","20111116135305","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","385102.447573369","179784.976689843","대규모점포",
"22","대규모점포","08_25_01_P","3250000","2011325008307500002","20110817","","03","폐업","3","폐업처리","20160823","","","","02-2290-5853","521.4","600805","부산광역시 중구 부평동1가","부산광역시 중구 중구로 13 (부평동1가)","600805","롯데슈퍼 남포동점","20160823110609","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","384798.705877111","179647.549138984","준대규모점포",
"23","대규모점포","08_25_01_P","3250000","1972325001407500028","19720215","","01","영업/정상","BBBB","","","","","","051 2452594","3576.7","","부산광역시 중구 남포동4가 37-1호","","","자갈치시장","20070707095614","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","","",
"24","대규모점포","08_25_01_P","3250000","1988325001407500002","19880711","","01","영업/정상","BBBB","","","","","","051 2450576","6132","","부산광역시 중구 남포동6가 1호","부산광역시 중구 구덕로 73 (남포동6가)","","코오롱상가","20070707095614","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","384820.119269113","179460.841059128","",
"25","대규모점포","08_25_01_P","3260000","1979326007007500001","19790814","","01","영업/정상","1","정상영업","","","","","051-242-1459","5178.41","","부산광역시 서구 동대신동1가 113번지 1호","부산광역시 서구 대영로 78 (동대신동1가)","","대신시장","20180329113703","I","2018-08-31 23:59:59.0","시장","384068.256070915","180895.799571889","대규모점포",
"26","대규모점포","08_25_01_P","3260000","2004326004907500007","20041118","","01","영업/정상","1","정상영업","","","","","051-242-1459","5178.41","","부산광역시 서구 동대신동1가 113호","부산광역시 서구 대영로 78 (동대신동1가)","602808","대신시장","20120427202459","I","2018-08-31 23:59:59.0","시장","384068.256070915","180895.799571889","대규모점포",
"27","대규모점포","08_25_01_P","3260000","2005326004907500001","20050816","","01","영업/정상","1","정상영업","","","","","051 2554059","882.5","","부산광역시 서구 암남동 346번지 2호","부산광역시 서구 충무대로 34 (암남동)","602831","송남시장","20160406134017","I","2018-08-31 23:59:59.0","시장","383876.253980499","177352.593969904","준대규모점포",
"28","대규모점포","08_25_01_P","3260000","2012326007007500001","20120319","","01","영업/정상","1","정상영업","","","","","0512550022","1305.13","602819","부산광역시 서구 서대신동2가 213번지 7호","부산광역시 서구 대영로 5 (서대신동2가)","602819","(주)서원유통 탑마트 서대신점","20220701170521","U","2022-07-03 02:40:00.0","그 밖의 대규모점포","383457.799292377","180935.886211899","준대규모점포",
"29","대규모점포","08_25_01_P","3260000","2012326007007500002","20120319","","01","영업/정상","1","정상영업","","","","","0512550022","1104.07","602801","부산광역시 서구 남부민1동 685번지","부산광역시 서구 충무대로 246 (남부민동)","602801","(주)서원유통 탑마트 남부민점","20220701170536","U","2022-07-03 02:40:00.0","그 밖의 대규모점포","384538.707962085","178936.009572164","준대규모점포",
"30","대규모점포","08_25_01_P","3260000","2012326007007500003","20120329","","01","영업/정상","1","정상영업","","","","","051-253-8545","273.7","602819","부산광역시 서구 서대신동2가 3번지 1호","부산광역시 서구 구덕로 317-1 (서대신동2가)","602819","홈플러스(주)익스프레스 서대신점","20210611095259","U","2021-06-13 02:40:00.0","복합쇼핑몰","383767.268700764","181097.629321686","준대규모점포",
"31","대규모점포","08_25_01_P","3260000","2004326004907500005","20040603","","02","휴업","2","휴업처리","","","","","","","","호","","","현대농수산마트","20070707094901","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","","",
"32","대규모점포","08_25_01_P","3260000","2005326004907500002","20050817","","02","휴업","2","휴업처리","","","","","051 2554059","974.5","","부산광역시 서구 암남동 346번지 2호","","","사단법인 송남시장번영회","20070707094901","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","383876.253980499","177352.593969904","",
"33","대규모점포","08_25_01_P","3260000","2004326004907500006","20041118","","03","폐업","3","폐업처리","20141201","","","","051-242-2225","2560.13","","부산광역시 서구 남부민동 643호","부산광역시 서구 충무대로255번길 9 (남부민동)","602801","충무종합시장","20141202172903","I","2018-08-31 23:59:59.0","시장","384430.667595597","178981.33160318","대규모점포",
"34","대규모점포","08_25_01_P","3260000","1998326004907500001","19980508","","01","영업/정상","5","영업개시전","","20070806","20151231","","051 2481673","0","","부산광역시 서구 토성동1가 25번지 1호","","","토성상가","20200428215809","U","2020-04-30 02:40:00.0","시장","384479.162542088","179674.832921739","준대규모점포",
"35","대규모점포","08_25_01_P","3260000","2018326009707500001","20180911","","01","영업/정상","5","영업개시전","","","","","051-241-3006","5025.59","","부산광역시 서구 토성동1가 25번지 1호 경동 리인","부산광역시 서구 보수대로 27 (토성동1가, 경동 리인)","49247","경동타워 쇼핑","20220106102205","U","2022-01-08 02:40:00.0","그 밖의 대규모점포","384479.162542088","179674.832921739","대규모점포",
"36","대규모점포","08_25_01_P","3270000","2000327001407500003","19791224","","01","영업/정상","1","정상영업","","","","","051 4686176","1155","","부산광역시 동구 수정동 170번지 1 호","부산광역시 동구 고관로 106 (수정동)","601812","사단법인 수정시장번영회","20210330151555","U","2021-04-01 02:40:00.0","시장","386461.300638559","182931.084277956","대규모점포",
"37","대규모점포","08_25_01_P","3270000","2000327001407500004","19751223","","01","영업/정상","1","정상영업","","","","19751231","0516328785","19309","","부산광역시 동구 범일동 830번지 24호","부산광역시 동구 조방로 48 (범일동)","","사단법인 자유시장번영회","20220612200752","U","2022-06-14 02:40:00.0","시장","387768.514676203","184371.452375082","대규모점포",
"38","대규모점포","08_25_01_P","3270000","2012327008607500002","20140929","","01","영업/정상","1","정상영업","","","","","051-466-2112","1101.56","601829","부산광역시 동구 초량2동 393번지 1호","부산광역시 동구 초량로13번길 53 (초량동)","","(주)서원유통 탑마트 초량점","20190220133519","U","2019-02-22 02:40:00.0","그 밖의 대규모점포","385852.01678925","181637.038371456","준대규모점포",
"39","대규모점포","08_25_01_P","3270000","2000327001407500001","19741023","","01","영업/정상","1","정상영업","","","","","051 6467043","10890","601707","부산광역시 동구 범일2동 290번지 1호 부산진시장","부산광역시 동구 진시장로 24 (범일동, 부산진시장)","601707","사단법인 부산진시장번영회","20131220110343","I","2018-08-31 23:59:59.0","시장","387564.611330896","183837.166587761","대규모점포",
"40","대규모점포","08_25_01_P","3270000","2006327006407500001","20220307","","01","영업/정상","1","정상영업","","","","19791224","051  6459691","2511.4","601806","부산광역시 동구 범일2동 290번지 3호","부산광역시 동구 범일로65번길 8 (범일동)","601806","사단법인 부산남문시장번영회","20220307163023","U","2022-03-10 02:40:00.0","시장","387566.848456349","183802.134192251","대규모점포",
"41","대규모점포","08_25_01_P","3270000","2009327007707500001","19950824","","01","영업/정상","1","정상영업","","","","","051 667 0010","58892","601062","부산광역시 동구 범일2동 62번지 5호","부산광역시 동구 범일로 125 (범일동)","","주식회사   현대백화점 부산점","20210125104437","U","2021-01-27 02:40:00.0","백화점","387539.767677801","184402.96650913","대규모점포",
"42","대규모점포","08_25_01_P","3270000","2010327007707500001","19741023","","01","영업/정상","1","정상영업","","","","","051-646-7041","10493","601707","부산광역시 동구 범일2동 290번지 1호 부산진시장","부산광역시 동구 진시장로 24 (범일동, 부산진시장)","601707","부산진시장","20210902091213","U","2021-09-04 02:40:00.0","시장","387564.611330896","183837.166587761","대규모점포",
"43","대규모점포","08_25_01_P","3270000","2012327008607500001","20120404","","01","영업/정상","1","정상영업","","","","","051 647 8564","996.17","601051","부산광역시 동구 좌천1동 688번지 1호","부산광역시 동구 고관로 143 (좌천동)","","홈플러스(주)익스프레스 좌천점","20210616142733","U","2021-06-18 02:40:00.0","그 밖의 대규모점포","386667.501987688","183237.18038787","준대규모점포",
"44","대규모점포","08_25_01_P","3270000","2000327001407500002","19740927","20100407","04","취소/말소/만료/정지/중지","4","직권취소","","","","","051 6459691","0","","부산광역시 동구 범일동 291호","","","사단법인 부산진남문시장번영회","20131227113509","I","2018-08-31 23:59:59.0","그 밖의 대규모점포","","","",
"45","대규모점포","08_25_01_P","3270000","2007327007107500001","20070208","20100405","04","취소/말소/만료/정지/중지","4","직권취소","","","","","0516672233","18959.51","","부산광역시 동구 범일동 62-5 현대백화점 부산점","부산광역시 동구 범일로 125, 현대백화점 부산점 (범일동)","48735","주식회사현대백화점","20210330150230","U","2021-04-01 02:40:00.0","백화점","387539.767677801","184402.96650913","대규모점포",
"46","대규모점포","08_25_01_P","3280000","2014328009207500001","20210217","","01","영업/정상","1","정상영업","","","","","051-418-2102~3","1359.61","","부산광역시 영도구 봉래동5가 43번지","부산광역시 영도구 태종로 194-0 (봉래동5가)","606813","(주)서원유통 탑마트 영도봉래점","20210217123501","U","2021-02-19 02:40:00.0","그 밖의 대규모점포","386813.037769935","179163.682231469","준대규모점포",
"47","대규모점포","08_25_01_P","3280000","1999328009207500001","19990114","","01","영업/정상","1","정상영업","","","","","051-419-8124","5340.15","606062","부산광역시 영도구 봉래동2가 151번지 1호","부산광역시 영도구 대교로14번길 57 (봉래동2가)","","홈플러스(주) 영도점","20210608091400","U","2021-06-10 02:40:00.0","대형마트","386335.809602603","179336.483175744","대규모점포",
"48","대규모점포","08_25_01_P","3280000","2005328001507500001","20050223","","02","휴업","2","휴업처리","","","","","051 4182000","5340.15","","부산광역시 영도구 봉래동2가 151번지 1호","부산광역시 영도구 대교로14번길 57 (봉래동2가)","","홈플러스 영도점","20070721100137","I","2018-08-31 23:59:59.0","대형마트","386335.809602603","179336.483175744","",
"49","대규모점포","08_25_01_P","3280000","2006328001507500001","20060220","","02","휴업","2","휴업처리","","","","","051 4195000","5340.15","","부산광역시 영도구 봉래동2가 151번지 1호","부산광역시 영도구 대교로14번길 57 (봉래동2가)","","홈플러스 영도점","20070721100137","I","2018-08-31 23:59:59.0","대형마트","386335.809602603","179336.483175744","",
