"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","자본금의규모","사업자등록번호",
"1","다단계판매업체","08_26_01_P","6260000","20006260000041000019","20000818","","01","영업/정상","2","영업","","","","","","","","서울특별시 서초구 서초동  1554-9 알바트라스빌딩 5층","","","(주)티엔스코리아(구. (주)천사한국건강산업)","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","0","",
"2","다단계판매업체","08_26_01_P","6260000","20016260000041000049","20010102","","01","영업/정상","2","영업","","","","","0552937898","","","경상남도 창원시 팔용동  162-7, 4층","","","(주)페밀리22","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","0","",
"3","다단계판매업체","08_26_01_P","6260000","20016260000041000051","20010413","","01","영업/정상","2","영업","","","","","028771932","","","서울특별시 관악구 봉천동  1674-20 태화빌딩 5층","","","(주)에이치앤디비인터내셔널(구.(주)아나벨리)","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","0","",
"4","다단계판매업체","08_26_01_P","6260000","20016260000041000054","20010410","","01","영업/정상","2","영업","","","","","025686621","","","서울특별시 강남구 역삼동  823-30 라인빌딩 8층","","","(주)드림인라이프","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","0","",
"5","다단계판매업체","08_26_01_P","6260000","20016260000041000056","20010305","","01","영업/정상","2","영업","","","","","0514663456","","","경상남도 김해시 주촌면 선지리 459-1","","","(주)아이티엔","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","500000000","",
"6","다단계판매업체","08_26_01_P","6260000","20016260000041000058","20010319","","01","영업/정상","2","영업","","","","","0264113005","","","서울특별시 강동구 성내동  448-8","","","(주)글로벌자이언트시스템","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","0","",
"7","다단계판매업체","08_26_01_P","6260000","20026260000041000037","20020311","","01","영업/정상","2","영업","","","","","0634467136","","","전라북도 군산시 장미동  10-20 장미빌딩 5층","","","(주)엠엔에스에프씨(구. (주)한뜻)","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","0","",
"8","다단계판매업체","08_26_01_P","6260000","20026260000041000038","20020115","","01","영업/정상","2","영업","","","","","0236655559","","","서울특별시 강서구 등촌동  673-3 준일빌딩 3층","","","(주)한마루넷(구. (주)한진파라다이스)","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","0","",
"9","다단계판매업체","08_26_01_P","6260000","20016260000041000032","20011222","","01","영업/정상","2","영업","","","","","0557601288","","","경상남도 진주시 상대동  292-21 한보빌딩10층","","","(주)뉴아이랜드","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","0","",
"10","다단계판매업체","08_26_01_P","6260000","20026260000041000033","20020422","","01","영업/정상","2","영업","","","","","0512422129","","","서울특별시 광진구 구의동  58-16 백송빌딩 301호","","","(주)수신바이오인터내셔널","20061024000000","I","2018-08-31 23:59:59.0","","","","다단계판매업","0","",
