"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","자산규모","부채총액","자본금","판매방식명",
"1","방문판매업","08_26_02_P","3250000","2018325008323200007","20181102","","01","영업/정상","01","정상영업","","","","","051-442-0009","","","부산광역시 중구 중앙동*가 **번지 *호","부산광역시 중구 중앙대로 ***, 송남빌딩 *층 ***호 (중앙동*가)","48934","쌍용자동차부산중앙판매대리점","20181102093733","I","2018-11-04 02:36:12.0","","385770.249057193","181062.506282925","","","","",
"2","방문판매업","08_26_02_P","3250000","2019325008323200001","20190125","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 중구 대창동*가 **번지 *호 센트렐오피스텔","부산광역시 중구 중앙대로 ***, 센트렐오피스텔 ***호 (대창동*가)","48924","주식회사 비즈커뮤니케이션(BIZCommunication Co.,Ltd.)","20190125150753","I","2019-01-27 02:21:01.0","","385617.137705097","180818.494927285","10000000","0","10000000","",
"3","방문판매업","08_26_02_P","3250000","2016325008323200003","20160502","","01","영업/정상","01","정상영업","","","","","051-315-0102","","","부산광역시 중구 신창동*가 **-* 국제시장*공구","부산광역시 중구 중구로 **, 국제시장*공구 B동 *층 **호 (신창동*가)","48945","금호 ENG","20201014104009","U","2020-10-16 02:40:00.0","","384856.187860371","179786.642462211","","","","",
"4","방문판매업","08_26_02_P","3250000","2016325008323200004","20160712","","01","영업/정상","01","정상영업","","","","","051-464-2215","","","부산광역시 중구 영주동 ***번지 *호","부산광역시 중구 동영로 **, *층 (영주동)","48919","이든 네이처","20180709100436","I","2018-08-31 23:59:59.0","","385346.707644423","180851.91922845","","","","",
"5","방문판매업","08_26_02_P","3250000","2005325005923200157","20050323","","01","영업/정상","01","정상영업","","","","","051-466-1155","","","부산광역시 중구 중앙동*가 **","부산광역시 중구 해관로 **, 일광빌딩 (중앙동*가)","48930","㈜한국청년여행사","20210319172351","U","2021-03-21 02:40:00.0","","385498.01420541","180375.820736017","517000000","198000000","350000000","",
"6","방문판매업","08_26_02_P","3250000","2014325008323200006","20140325","","01","영업/정상","01","정상영업","","","","","051-558-0337","","","부산광역시 중구 부평동*가 *번지 *호 지혜빌라","부산광역시 중구 중구로**번길 **-*, *층 (부평동*가, 지혜빌라)","48977","호마트코리아","20181107160535","U","2018-11-09 02:37:39.0","","384681.260809002","180040.92736434","","","","",
"7","방문판매업","08_26_02_P","3250000","2019325013323200001","20190426","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 중구 중앙동*가 **번지 *호","부산광역시 중구 해관로 **-*, *층 ***호 (중앙동*가)","48929","늘푸른","20190426102029","I","2019-04-28 02:20:33.0","","385542.342258439","180246.439800023","","","","",
"8","방문판매업","08_26_02_P","3250000","2018325008323200002","20180314","","01","영업/정상","01","정상영업","","","","","051-466-0046","","","부산광역시 중구 중앙동*가 **-**","부산광역시 중구 충장대로*번길 **, 남정빌딩 ***호 (중앙동*가)","48936","코어(CORE)","20201007125558","U","2020-10-09 02:40:00.0","","385752.555956106","180859.80912644","","","","",
"9","방문판매업","08_26_02_P","3250000","2018325008323200004","20180405","","01","영업/정상","01","정상영업","","","","","051-469-9830","","","부산광역시 중구 중앙동*가 **번지 *호","부산광역시 중구 중앙대로 ***-*, 명성빌딩 *층 ***호 (중앙동*가)","48934","사임당화장품 항도지사","20180405161143","I","2018-08-31 23:59:59.0","","385761.113647219","181039.074263948","","","","",
"10","방문판매업","08_26_02_P","3250000","2022325014523200005","20220413","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 중구 중앙동*가 *-* 광복지하도상가","부산광역시 중구 중앙대로 지하**, 광복지하도상가 A-**호 (중앙동*가)","48955","오늘기획","20220413095614","I","2022-04-15 00:22:33.0","","385670.69094284","179770.553768032","0","0","0","",
"11","방문판매업","08_26_02_P","3250000","1999325005923200043","19991020","","01","영업/정상","01","정상영업","","","","","051 441 0210","","600816","부산광역시 중구 중앙동*가 **번지 *호","부산광역시 중구 중앙대로 *** (중앙동*가)","","쉐보레부산중부판매(주)","20131227115747","I","2018-08-31 23:59:59.0","","385639.29096617","180669.017272002","50000000","0","50000000","",
"12","방문판매업","08_26_02_P","3250000","2022325014523200003","20220317","","01","영업/정상","01","정상영업","","","","","051-442-3432","","","부산광역시 중구 영주동 ***-*","부산광역시 중구 대영로***번길 **, *층 **호 (영주동)","48923","플랜-B studio","20220317130537","I","2022-03-19 00:22:35.0","","385612.182751546","180959.13733944","0","0","0","",
"13","방문판매업","08_26_02_P","3250000","2022325014523200004","20220401","","01","영업/정상","01","정상영업","","","","","051-442-3432","","","부산광역시 중구 대창동*가 **-**","부산광역시 중구 중앙대로 ***, *층 (대창동*가)","48924","에이치에스케이 주식회사","20220401150941","I","2022-04-03 00:22:34.0","","385592.043199709","180697.808361834","1000000","0","1000000","",
"14","방문판매업","08_26_02_P","3250000","2022325014523200002","20210708","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 중구 남포동*가 **","부산광역시 중구 자갈치로 **, *,*층 (남포동*가)","48982","콕 슈퍼케라믹","20220118175224","I","2022-01-20 00:22:40.0","","384768.937810445","179403.368451677","0","0","0","",
