"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","자산규모","부채총액","자본금","판매방식명",
"1","전화권유판매업","08_26_03_P","3250000","2018325008324200001","20180314","","01","영업/정상","01","정상영업","","","","","051-466-0046","","","부산광역시 중구 중앙동*가 **-**","부산광역시 중구 충장대로*번길 **, 남정빌딩 ***호 (중앙동*가)","48936","코어(CORE)","20201007125757","U","2020-10-09 02:40:00.0","","385752.555956106","180859.80912644","","","","",
"2","전화권유판매업","08_26_03_P","3250000","2008325005924200001","20080416","","03","폐업","03","폐업처리","20100331","","","","051 710 0088","","600012","부산광역시 중구 중앙동*가 **번지 대신증권빌딩 *층","부산광역시 중구 해관로 ** (중앙동*가,대신증권빌딩 *층)","","(주)두성크리에이터","20100331155844","I","2018-08-31 23:59:59.0","","385568.388510129","179981.058394205","50000000","0","50000000","",
"3","전화권유판매업","08_26_03_P","3250000","2007325005924200032","20070507","","03","폐업","03","폐업처리","20090310","","","","051 465 2480","","600714","부산광역시 중구 중앙동*가 **번지 *호 국제회관빌딩 *층","부산광역시 중구 중앙대로 ** (중앙동*가,국제회관빌딩 *층)","","(주)야마야푸즈서비스","20090311134734","I","2018-08-31 23:59:59.0","","385666.280865059","179774.158396281","2885995758","928366822","2000000000","",
"4","전화권유판매업","08_26_03_P","3250000","2009325008324200001","20080414","","03","폐업","03","폐업처리","20101123","","","","","","600816","부산광역시 중구 중앙동*가 **번지 *호 케이티중부산지사 *층","부산광역시 중구 중앙대로 *** (중앙동*가)","600816","(주)텔라이브","20111030143121","I","2018-08-31 23:59:59.0","","385709.216919638","180842.067770636","430355559","118420371","100000000","",
"5","전화권유판매업","08_26_03_P","3250000","2013325008324200001","20130509","","03","폐업","03","폐업처리","20201228","","","","051-463-3556","","","","부산광역시 중구 중앙대로 **, *층 (중앙동*가, 동아일보 부산사옥)","600815","한국사진기자협회 영남지사","20201228141512","U","2020-12-30 02:40:00.0","","385554.473566249","180381.456429273","","","","",
"6","전화권유판매업","08_26_03_P","3250000","2007325005924200034","20070716","","03","폐업","03","폐업처리","20080125","","","","051 441 2905","","600721","부산광역시 중구 중앙동*가 **번지 *호 흥우빌딩 *층","부산광역시 중구 중앙대로 ** (중앙동*가,흥우빌딩 *층)","","(주)유니원","20080125141937","I","2018-08-31 23:59:59.0","","385614.928477875","180471.183034331","877495656","549881097","350000000","",
"7","전화권유판매업","08_26_03_P","3250000","2013325008324200002","20130621","","03","폐업","03","폐업처리","20141231","","","","051-464-5288","","","","부산광역시 중구 중앙대로 **, *층 (중앙동*가, 동아일보부산사옥)","600815","한국조사기자협회 영남지부","20141231101215","I","2018-08-31 23:59:59.0","","385554.473566249","180381.456429273","","","","",
"8","전화권유판매업","08_26_03_P","3250000","2008325005924200003","20080428","","03","폐업","03","폐업처리","20080826","","","","051 711 3000","","600723","부산광역시 중구 중앙동*가 **번지 **호 정석빌딩 ***호","부산광역시 중구 중앙대로 **, ***호 (중앙동*가,정석빌딩)","","(주)대광인베스트","20080826151327","I","2018-08-31 23:59:59.0","","385616.660201449","180406.241287734","31981727","53298527","50000000","",
"9","전화권유판매업","08_26_03_P","3250000","2008325005924200004","20080623","","03","폐업","03","폐업처리","20090617","","","","051 441 8837","","600110","부산광역시 중구 영주동 ***번지 **호","부산광역시 중구 동영로 ** (영주동)","","늘푸른유통","20111030150209","I","2018-08-31 23:59:59.0","","385156.035883953","180976.447427129","","","","",
"10","전화권유판매업","08_26_03_P","3250000","2015325008324200001","20141120","","03","폐업","03","폐업처리","20171103","","","","413-0200","","","","부산광역시 중구 충장대로*번길 **, *층 (중앙동*가, KT서부산지사)","48934","승리닷컴","20171103093638","I","2018-08-31 23:59:59.0","","385811.634937345","180996.883871158","","","","",
"11","전화권유판매업","08_26_03_P","3250000","2017325008324200001","20170207","","03","폐업","03","폐업처리","20180621","","","","051-466-5005","","","","부산광역시 중구 충장대로*번길 **, *층 (중앙동*가, kt부산통신센터)","48934","더 지니(The 지니)","20180622145343","I","2018-08-31 23:59:59.0","","385811.634937345","180996.883871158","","","","",
"12","전화권유판매업","08_26_03_P","3250000","2018325008324200002","20181120","","03","폐업","03","폐업처리","20200610","","","","","","","부산광역시 중구 중앙동*가 **번지 *호","부산광역시 중구 중앙대로**번길 *, 팔성빌딩 *층 (중앙동*가)","48929","(주)화랑번역","20200612172910","U","2020-06-14 02:40:00.0","","385558.05484295","180350.527915773","107000000","118000000","1000000","",
"13","전화권유판매업","08_26_03_P","3250000","2006325005924200025","20060126","","03","폐업","03","폐업처리","20080911","","","20060126","051 465 9977","","600816","부산광역시 중구 중앙동*가 **번지 *호","부산광역시 중구 중앙대로 *** (중앙동*가)","","대한텔","20080912101510","I","2018-08-31 23:59:59.0","","385709.216919638","180842.067770636","","","","",
"14","전화권유판매업","08_26_03_P","3250000","2006325005924200026","20060329","","03","폐업","03","폐업처리","20071231","","","","051 466 5875","","600815","부산광역시 중구 중앙동*가 **번지 **호 동아일보부산지사빌딩내","부산광역시 중구 중앙대로 ** (중앙동*가,동아일보부산지사빌딩내)","","한국방송기자클럽편집실영남지부","20071231130337","I","2018-08-31 23:59:59.0","","385554.473566249","180381.456429273","","","","",
"15","전화권유판매업","08_26_03_P","3250000","2006325005924200031","20061120","","03","폐업","03","폐업처리","20101119","","","","051 200 0033","","600816","부산광역시 중구 중앙동*가 **번지 *호 동일빌딩 *층","부산광역시 중구 중앙대로 ***-* (중앙동*가,동일빌딩 *층)","","(주)글로벌유에스","20101119181143","I","2018-08-31 23:59:59.0","","385669.485921204","180726.739550738","50000000","0","50000000","",
"16","전화권유판매업","08_26_03_P","3250000","2004325005924200015","20040619","","03","폐업","03","폐업처리","20100122","","","","051 469 0800","","600816","부산광역시 중구 중앙동*가 **번지 *호","부산광역시 중구 충장대로*번길 ** (중앙동*가)","","(주)케이티씨에스 부산114본부","20100122114509","I","2018-08-31 23:59:59.0","","385811.634937345","180996.883871158","100091909215","30070787337","20000000000","",
"17","전화권유판매업","08_26_03_P","3250000","2005325005924200022","20051028","","03","폐업","03","폐업처리","20191101","","","","051 441-5571","","","","부산광역시 중구 중앙대로 ***, ****호 (대창동*가, 센트럴오피스텔)","48924","(주)오스코나","20191031114436","U","2019-11-02 02:40:00.0","","385629.733383327","180827.538655672","517862002","312867113","150000000","",
"18","전화권유판매업","08_26_03_P","3250000","2005325005924200024","20051107","","03","폐업","03","폐업처리","20101118","","","","051 465 0252","","600816","부산광역시 중구 중앙동*가 **번지 *호 KT중부산지점 *층","부산광역시 중구 중앙대로 *** (중앙동*가,KT중부산지점 *층)","","세미텔레콤","20101118161145","I","2018-08-31 23:59:59.0","","385709.216919638","180842.067770636","","","","",
"19","전화권유판매업","08_26_03_P","3250000","2021325014524200001","20210415","","03","폐업","03","폐업처리","20220226","","","","","","","부산광역시 중구 중앙동*가 **-*","부산광역시 중구 충장대로*번길 **-*, ***호 (중앙동*가)","48937","주식회사 보우정보","20220225164122","U","2022-02-27 02:40:00.0","","385737.128797598","180747.48756571","50000000","0","50000000","",
"20","전화권유판매업","08_26_03_P","3250000","2007325005924200035","20070904","","04","취소/말소/만료/정지/중지","07","직권말소","20100510","","","","051 466 3267","","600816","부산광역시 중구 중앙동*가 **번지 *호 KT중부지점 *층","부산광역시 중구 중앙대로 *** (중앙동*가,KT중부지점 *층)","","(주)텔비즈부산지점","20100510175356","I","2018-08-31 23:59:59.0","","385709.216919638","180842.067770636","2674934811","2344684464","100000000","",
"21","전화권유판매업","08_26_03_P","3250000","2008325005924200002","20080428","","04","취소/말소/만료/정지/중지","07","직권말소","20100510","","","","051 462 9289","","600723","부산광역시 중구 중앙동*가 **번지 **호 정석빌딩 ***호","부산광역시 중구 중앙대로 ** (중앙동*가)","600723","남영","20111030143745","I","2018-08-31 23:59:59.0","","385616.660201449","180406.241287734","","","","",
"22","전화권유판매업","08_26_03_P","3250000","2006325005924200029","20060804","","04","취소/말소/만료/정지/중지","07","직권말소","20100510","","","","051 906 7000","","600816","부산광역시 중구 중앙동*가 **번지 **호 대한통운빌딩 ****호","","","수호D&C","20100510175434","I","2018-08-31 23:59:59.0","","","","","","","",
"23","전화권유판매업","08_26_03_P","3250000","2004325005924200016","20040810","","04","취소/말소/만료/정지/중지","07","직권말소","20100510","","","","051 247 0847","","600802","부산광역시 중구 보수동*가 **번지 **호","부산광역시 중구 보수대로 ***-* (보수동*가)","","대일통신","20100510175615","I","2018-08-31 23:59:59.0","","384349.442565557","180614.224784862","","","","",
"24","전화권유판매업","08_26_03_P","3250000","2005325005924200020","20051007","","04","취소/말소/만료/정지/중지","07","직권말소","20130726","","","","051 246 1500","","600074","부산광역시 중구 부평동*가 **번지 *호 골든시티오피스텔 ***호","부산광역시 중구 보수대로 **, ***호 (부평동*가,골든시티오피스텔)","","인트데이타","20130729090854","I","2018-08-31 23:59:59.0","","384249.201710589","180080.172971726","","","","",
"25","전화권유판매업","08_26_03_P","3250000","2005325005924200021","20051020","","04","취소/말소/만료/정지/중지","07","직권말소","20100510","","","","051 465 0401","","600816","부산광역시 중구 중앙동*가 **번지 *호 KT중부산지점","부산광역시 중구 중앙대로 *** (중앙동*가,KT중부산지점)","","I.N.T","20100510175542","I","2018-08-31 23:59:59.0","","385709.216919638","180842.067770636","","","","",
