"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","자본금의규모","사업자등록번호",
"1","후원방문판매업체","08_26_05_P","6260000","20136260000301000243","20130814","","01","영업/정상","2","영업","","","","","0512922468","","604080","부산광역시 사하구 괴정동  ***번지 **호","부산광역시 사하구 괴정로 *** (괴정동)","","사하건강생활","20190605000000","U","2019-06-07 02:40:00.0","","380491.675887743","179512.139335853","후원방문판매업","0","",
"2","후원방문판매업체","08_26_05_P","6260000","20136260000301000246","20130814","","01","영업/정상","2","영업","","","","","0514685466","","48775","부산광역시 동구 수정동  *번지 **호 메티칼센터","부산광역시 동구 중앙대로 *** (수정동)","","오휘수정지사","20220114000000","U","2022-01-16 02:40:00.0","","386700.372580527","183080.55223507","후원방문판매업","0","",
"3","후원방문판매업체","08_26_05_P","6260000","20136260000301000126","20130802","","01","영업/정상","2","영업","","","","","0517588111","","613120","부산광역시 수영구 수영동  ***번지 **호 수용빌딩 *층","부산광역시 수영구 연수로 ***, *층 (수영동,수용빌딩)","","아모레화장품 수연특약점","20220415000000","U","2022-04-17 02:40:00.0","","392508.388905354","187535.350014023","후원방문판매업","0","",
"4","후원방문판매업체","08_26_05_P","6260000","20136260000301000127","20130802","","01","영업/정상","2","영업","","","","","0515010615","","607060","부산광역시 동래구 온천동  ****번지 *호","부산광역시 동래구 아시아드대로 *** (온천동)","","아모레동래미남특약점","20220415000000","U","2022-04-17 02:40:00.0","","388118.141122676","191413.334056386","후원방문판매업","0","",
"5","후원방문판매업체","08_26_05_P","6260000","20136260000301000147","20130806","","01","영업/정상","2","영업","","","","","0515834207","","609310","부산광역시 금정구 구서동  ***번지 **호","부산광역시 금정구 중앙대로****번길 * (구서동)","","유니베라 남산대리점","20220616000000","U","2022-06-18 02:40:00.0","","390289.556934808","197274.032404949","후원방문판매업","0","",
"6","후원방문판매업체","08_26_05_P","6260000","20136260000301000134","20130802","","01","영업/정상","2","영업","","","","","0515221870","","607110","부산광역시 동래구 명장동  **번지 *호 명장랜드마크**층","부산광역시 동래구 명안로**번길 **, **층 (명장동,명장랜드마크)","","아모레서동특약점","20220415000000","U","2022-04-17 02:40:00.0","","391337.572046918","191551.182195621","후원방문판매업","0","",
"7","후원방문판매업체","08_26_05_P","6260000","20136260000301000136","20130802","","01","영업/정상","2","영업","","","","","0516457511","","614020","부산광역시 부산진구 범천동  ***번지 **호 유성빌딩 *층","부산광역시 부산진구 황령대로 *, *층 (범천동,유성빌딩)","","아모레동구특약점","20220415000000","U","2022-04-17 02:40:00.0","","387707.677456944","185138.712920561","후원방문판매업","0","",
"8","후원방문판매업체","08_26_05_P","6260000","20136260000301000137","20130802","","01","영업/정상","2","영업","","","","","0516310496","","601060","부산광역시 동구 범일동  ***번지 ***호 운평빌딩 *층","부산광역시 동구 조방로**번길 *, *층 (범일동,운평빌딩)","","동남특약점(아모레)","20210413000000","U","2021-04-15 02:40:00.0","","387926.161934718","184244.052046945","후원방문판매업","0","",
"9","후원방문판매업체","08_26_05_P","6260000","20136260000301000138","20130806","","01","영업/정상","2","영업","","","","","0517477990","","48064","부산광역시 해운대구 우동  ****번지 *호 신세계프라자 ***호","부산광역시 해운대구 해운대로 ***, 신세계프라자 *층 ***호 (우동)","","유니베라해운대센텀","20220616000000","U","2022-06-18 02:40:00.0","","394974.292766227","187505.194990201","후원방문판매업","0","",
"10","후원방문판매업체","08_26_05_P","6260000","20136260000301000140","20130806","","01","영업/정상","2","영업","","","","","0513436582","","616110","부산광역시 북구 만덕동  ***번지 **호","부산광역시 북구 만덕*로 **, *층 (만덕동,영광빌딩)","","유니베라 (신만덕)","20220616000000","U","2022-06-18 02:40:00.0","","385538.785382838","192075.301101777","후원방문판매업","0","",
