"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","목재수입유통업","09_27_01_P","3250000","325000090201900001","20191007","","01","영업/정상","1","정상","","","","","","","","부산광역시 중구 중앙동*가 **-*번지 부산데파트","부산광역시 중구 중앙대로 **, 부산데파트 *층 ***-*호 (중앙동*가)","","(주)골드웨이트레이딩","20191209090701","U","2019-12-11 02:40:00.0","","385601.609224712","179713.921730815","목재수입유통업","","목탄","2","1000","10","영업",
"2","목재수입유통업","09_27_01_P","3250000","325000090201400003","20140804","","01","영업/정상","1","정상","","","","","051-462-0345","","","","부산광역시 중구 충장대로*번길 ** (중앙동*가)","","효동선박","20140804111418","I","2018-08-31 23:59:59.0","","385717.476671201","180525.499100588","목재수입유통업","","목재펠릿","보유","36000","900","영업",
"3","목재수입유통업","09_27_01_P","3250000","325000090201400002","20140516","","01","영업/정상","1","정상","","","","","0514648501","","","","부산광역시 중구 중앙대로 ** (중앙동*가)","","코보데크","20140516154214","I","2018-08-31 23:59:59.0","","385666.280865059","179774.158396281","목재수입유통업","","목재펠릿","","5000","200","영업",
"4","목재수입유통업","09_27_01_P","3250000","325000090201400004","20141124","","01","영업/정상","1","정상","","","","","051-253-8653","","","부산광역시 중구 중앙동*가 **-**","부산광역시 중구 해관로 **, ***호 (중앙동*가)","","(주)보경인터내셔날","20220104140648","U","2022-01-06 02:40:00.0","","385502.492319657","180297.579330876","목재수입유통업","","목재펠릿","","500","200","영업",
"5","목재수입유통업","09_27_01_P","3250000","325000090201500001","20150422","","01","영업/정상","1","정상","","","","","0514414011","","","","부산광역시 중구 대청로 **-*, ***동 (대청동*가)","","(주)알케이글로벌","20150422101940","I","2018-08-31 23:59:59.0","","385032.076933266","180119.953454232","목재수입유통업","","우드펠렛","","30000","2000","영업",
"6","목재수입유통업","09_27_01_P","3250000","325000090201500002","20150514","","01","영업/정상","1","정상","","","","","0514690052","","","","부산광역시 중구 중앙대로 **, **층 (중앙동*가)","","모이주식회사","20150514135545","I","2018-08-31 23:59:59.0","","385637.167034815","180199.557790712","목재수입유통업","","목탄,브리켓,펠릿,원목,고사목 등","","480","100","영업",
"7","목재수입유통업","09_27_01_P","3250000","325000090201500003","20150717","","01","영업/정상","1","정상","","","","","","","","","부산광역시 중구 중앙대로**번길 ***, **층 (중앙동*가)","","(주) stx마린서비스","20150717170404","I","2018-08-31 23:59:59.0","","","","목재수입유통업","","목재펠릿","","10000","10000","영업",
"8","목재수입유통업","09_27_01_P","3250000","325000090201700001","20170929","","01","영업/정상","1","정상","","","","","051-468-0482","","","","부산광역시 중구 동영로 ** (영주동)","","아이엘디자인","20170929145350","I","2018-08-31 23:59:59.0","","385379.73064600000","181233.26112900000","목재수입유통업","","목탄","직원 2인 트럭 등 장비 1식","528","30","영업",
"9","목재수입유통업","09_27_01_P","3250000","325000090201800001","20180327","","01","영업/정상","1","정상","","","","","051)241-2426","","","부산광역시 중구 남포동*가 ***-*","부산광역시 중구 구덕로 **-*, 하버타워****호 (남포동*가)","48982","(주)카로스타","20210802135605","U","2021-08-04 02:40:00.0","","384708.848957593","179404.943227079","목재수입유통업","","목탄, 보드(가구, 건축용 등), 제재목, 목재칩","2","1000","106","영업",
"10","목재수입유통업","09_27_01_P","3250000","325000090201800002","20181207","","01","영업/정상","1","정상","","","","","0514684456","","","","부산광역시 중구 해관로 **, ***호 (대창동*가)","48924","조경수","20181207140034","I","2018-12-09 02:20:10.0","","385507.640529964","180548.792611588","목재수입유통업","","목재팰릿","3","30000","100","영업",
"11","목재수입유통업","09_27_01_P","3260000","326000090201700001","20170329","","01","영업/정상","1","정상","","","","","","","","","부산광역시 서구 부용로 **-* (서대신동*가)","","태광목탄","20170329173953","I","2018-08-31 23:59:59.0","","383863.350935117","180611.18430071","목재수입유통업","","목탄(숯)","","2000","758","영업",
"12","목재수입유통업","09_27_01_P","3270000","327000090201600002","20160921","","01","영업/정상","1","정상","","","","","051-466-0078","","","","부산광역시 동구 조방로**번길 **, 동양오피스텔 (범일동)","48741","***","20210610092641","U","2021-06-12 02:40:00.0","","387939.723769692","184255.085864313","목재수입유통업","","톱밥성형목탄, 숯","","3800","100000000","영업",
