"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","목재생산업구분코드명","목재생산업종류명","취급목재제품","인력보유현황","년간생산량","자본금","상태구분명",
"1","제재업","09_27_03_P","3270000","327000090202100001","20210820","","01","영업/정상","1","정상","","","","","07075761426","","","부산광역시 동구 수정동 *-***","부산광역시 동구 중앙대로***번길 *, *층 (수정동)","48788","(주)에스엔이(4종)","20210820180112","I","2021-08-22 00:22:50.0","","386630.817872354","182999.204145362","제재업","4종","목재칩, 미이용산림바이오매스","제제업4종교육수료자 1명","53000","560","영업",
"2","제재업","09_27_03_P","3310000","331000090201500001","20150313","","01","영업/정상","1","정상","","","","","0515310933","","","","부산광역시 남구 용호로***번길 **, 한진슈퍼렛 (용호동)","48572","***(1종)","20211214180340","U","2021-12-16 02:40:00.0","","392183.951759466","181350.378133494","제재업","1종","목재판재, 루버, 플로어링보드","1","0","50","영업",
"3","제재업","09_27_03_P","3320000","332000090201400001","20140423","","01","영업/정상","1","정상","","","","","","","","부산광역시 북구 화명동 ****번지 *통*반 코오롱하늘채*차아파트 ***동 ***호","부산광역시 북구 화명신도시로 ***,***동 ***호 (화명동,코오롱하늘채*차아파트)","616777","***(1종)","20140423103519","I","2018-08-31 23:59:59.0","","383076.425546216","194441.653264759","제재업","1종","북미산 침엽수, 동남아산 활엽수","","1833","101430","영업",
"4","제재업","09_27_03_P","3330000","333000090201900003","20191210","","01","영업/정상","1","정상","","","","","","","","","충청북도 청주시 상당구 가덕면 행정노동길 **-**","28203","***(3종)","20191210100706","I","2019-12-12 00:23:28.0","","247838.99593700000","338195.11543500000","제재업","3종","합성목재","1명","","6849","영업",
"5","제재업","09_27_03_P","3330000","333000090201600002","20160407","","01","영업/정상","1","정상","","","","","","","","","부산광역시 해운대구 센텀중앙로 **, 센텀스카이비즈 A동 ****호 (재송동)","48058","***(1종)","20220628141618","U","2022-06-30 02:40:00.0","","393519","188317","제재업","1종","제재목","목재생산업(제재업1종) 교육이수 1인","50000","100","영업",
"6","제재업","09_27_03_P","3340000","334000090201300004","20131121","","01","영업/정상","1","정상","","","","","262-5555","","","부산광역시 사하구 장림동 ***-*번지","부산광역시 사하구 다대로 *** (장림동)","","(유)동양특수목재산업(1종)","20180110093802","I","2018-08-31 23:59:59.0","","380367.305537527","176504.955138913","제재업","1종","제재목(루바)","","20000","265","영업",
"7","제재업","09_27_03_P","3340000","334000090201300009","20140523","","01","영업/정상","1","정상","","","","","051-264-7164","","","부산광역시 사하구 장림동 ***번지","부산광역시 사하구 다대로***번길 ** (장림동)","604041","대성목재(1종)","20140523175203","I","2018-08-31 23:59:59.0","","379980.914415592","176823.187442523","제재업","1종","제재목","","5000","159","영업",
"8","제재업","09_27_03_P","3340000","334000090201300011","20140523","","01","영업/정상","1","정상","","","","","051-263-9660","","","부산광역시 사하구 장림동 ***-*번지","부산광역시 사하구 하신중앙로*번길 ** (장림동)","604041","태평목재(1종)","20180126190325","I","2018-08-31 23:59:59.0","","378890.753061611","177108.0404076","제재업","1종","원목, 제재목","","3500","565","영업",
"9","제재업","09_27_03_P","3340000","334000090201700003","20171124","","01","영업/정상","1","정상","","","","","051-262-5555","","","부산광역시 사하구 장림동 ***-*","부산광역시 사하구 다대로 *** (장림동)","604041","동양특수목재(주)(1종)","20201105143907","U","2020-11-07 02:40:00.0","","380367.305537527","176504.955138913","제재업","1종","제재목","","20000","300","영업",
"10","제재업","09_27_03_P","3340000","334000090201300003","20140508","","01","영업/정상","1","정상","","","","","051-260-3404","","","부산광역시 사하구 다대동 ***","부산광역시 사하구 다대로 *** (다대동)","604051","성창기업 주식회사(2종)","20211123110454","U","2021-11-25 02:40:00.0","","380090.057997493","174355.708212487","제재업","2종","합판, 마루","","777364","10000","영업",
"11","제재업","09_27_03_P","3340000","334000090201500002","20150520","","01","영업/정상","1","정상","","","","","051-201-1011","","","부산광역시 사하구 신평동 ***-**번지","부산광역시 사하구 하신중앙로 ** (신평동)","","금성목재(1종)","20150520170419","I","2018-08-31 23:59:59.0","","379214.898563589","178164.559092516","제재업","1종","제재목","교육수료자 1명","10000","3143","영업",
"12","제재업","09_27_03_P","3340000","334000090201400001","20140523","","01","영업/정상","1","정상","","","","","","","","부산광역시 사하구 장림동 ***번지","부산광역시 사하구 보덕포*길 ** (장림동)","49485","태산자원 주식회사(4종)","20160224180334","I","2018-08-31 23:59:59.0","","378820.753234031","176590.960960834","제재업","4종","우드칩","1","54000","600","영업",
"13","제재업","09_27_03_P","3340000","334000090201400002","20140318","","01","영업/정상","1","정상","","","","","051-291-1242","","","","부산광역시 사하구 신산로 *** (신평동)","","양일산업포장(주)(1종)","20170103181926","I","2018-08-31 23:59:59.0","","380032.635803445","178453.510583991","제재업","1종","각목, 목상자","관련기관 교육이수자 1명","25000","200","영업",
"14","제재업","09_27_03_P","3360000","336000090201300011","20131203","","01","영업/정상","1","정상","","","","","051-831-9100","","","부산광역시 강서구 송정동 ****-*","부산광역시 강서구 녹산산단***로 ** (송정동)","","에스디상사(주)(3종)","20201120175934","U","2020-11-22 02:40:00.0","","369518.386773504","178520.258065431","제재업","3종","제재목","","60864","250","영업",
"15","제재업","09_27_03_P","3360000","336000090201300013","20131203","","01","영업/정상","1","정상","","","","","8312660","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로 * (송정동)","618270","(주)알라스코리아(1종)","20151208133624","I","2018-08-31 23:59:59.0","","369396.906545409","178315.004400424","제재업","1종","제재목","","45000","205","영업",
"16","제재업","09_27_03_P","3360000","336000090201300014","20131203","","01","영업/정상","1","정상","","","","","051-831-2660","","","부산광역시 강서구 송정동 ****-*번지","부산광역시 강서구 녹산산단***로 * (송정동)","","알라스코리아(주)(3종)","20150731162504","I","2018-08-31 23:59:59.0","","369396.906545409","178315.004400424","제재업","3종","재제목","","45000","205","영업",
