"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사무소전화번호","사업장전화번호",
"1","계량기수리업","09_28_01_P","3250000","2011325008306500001","19930922","","01","영업/정상","01","영업중","","","","","0512442198","","600808","부산광역시 중구 부평동3가 1번지 15호","부산광역시 중구 대청로 46-1 (부평동3가)","600808","서부상회","20200811095057","I","2021-09-24 00:22:48.0","","384558.01599034","180083.694003057","","0512442198",
"2","계량기수리업","09_28_01_P","3270000","2021327013906500002","20210114","","01","영업/정상","01","영업중","","","","","051 442 2121","","","부산광역시 기장군 장안읍 길천리 226-4","부산광역시 기장군 장안읍 길천2길 3","46036","주식회사 경동아이씨티건설","20210114161109","I","2021-09-24 00:22:48.0","","407530.734153914","205709.503717342","","051 442 2121",
"3","계량기수리업","09_28_01_P","3270000","2013327008606500001","20130425","","03","폐업","03","폐업","20201214","","","","051 466 5905","","","부산광역시 동구 범일동 830번지 216호 호림빌딩 802호","부산광역시 동구 조방로49번길 29, 802호 (범일동, 호림빌딩)","48744","신광엔지니어링(주)","20210105171417","I","2021-09-24 00:22:48.0","","387703.04599269","184060.087160652","","051 466 5905",
"4","계량기수리업","09_28_01_P","3280000","2005328007006500001","20050203","","03","폐업","03","폐업","20100903","","","","051 405 5170","","606080","부산광역시 영도구 동삼동 201번지 16호","부산광역시 영도구 해양로 212 (동삼동)","606805","동현주유소","20111030144632","I","2021-09-24 00:22:48.0","","388930.969201903","178419.41078387","","051 405 5170",
"5","계량기수리업","09_28_01_P","3290000","2003329008506500001","20030716","","01","영업/정상","01","영업중","","","","","051 808 0613","","","부산광역시 부산진구 개금동 1번지 12호 동원화인패밀리타운","부산광역시 부산진구 백양관문로77번길 51, 동원화인패밀리타운 106동 7호 (개금동)","47164","카스계기","20180202152818","I","2021-09-24 00:22:48.0","","384760.050983195","186820.5021645","","051 808 0613",
"6","계량기수리업","09_28_01_P","3290000","2012329010706500001","20121115","","03","폐업","03","폐업","20171229","","","","051 863 8904","","614854","부산광역시 부산진구 양정2동 275번지 11호 2층","부산광역시 부산진구 거제천로18번길 17, 2층 (양정동)","614854","오일플라자","20171229112331","I","2021-09-24 00:22:48.0","","388642.815038396","188283.352907811","","051 863 8904",
"7","계량기수리업","09_28_01_P","3300000","2014330007906500001","20141106","","01","영업/정상","01","영업중","","","","","051 527 9833","","","","부산광역시 동래구 명안로9번길 10-14, 1층 (안락동)","607828","일성계량공사","20141106155228","I","2021-09-24 00:22:48.0","","391544.871940798","190792.681252058","","051 527 9833",
"8","계량기수리업","09_28_01_P","3300000","2013330007906500001","20130628","","01","영업/정상","01","영업중","","","","","051 759 4600","","607807","부산광역시 동래구 명장2동 302번지 2호","부산광역시 동래구 시실로179번길 11 (명장동)","607807","대덕ENG","20130628173348","I","2021-09-24 00:22:48.0","","391128.105769471","191920.324960126","","051 759 4600",
"9","계량기수리업","09_28_01_P","3300000","2008330006406500005","20080411","","01","영업/정상","01","영업중","","","","","051  5557712","","607050","부산광역시 동래구 수안동 9번지 15호","부산광역시 동래구 명륜로 59 (수안동)","607822","신정계기제작소","20150209161727","I","2021-09-24 00:22:48.0","","389760.418761059","190891.757699159","","051  5557712",
"10","계량기수리업","09_28_01_P","3300000","2008330006406500002","19961029","","01","영업/정상","01","영업중","","","","","051  5065571","","","","부산광역시 동래구 충렬대로 134-1, B1층 (온천동, 제일빌딩)","607836","금영엔터프라이즈","20141202133140","I","2021-09-24 00:22:48.0","","388891.224115932","191543.366487375","","051  5065571",
