"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사무소전화번호","사업장전화번호",
"1","계량기제조업","09_28_03_P","3270000","2013327008606500002","20130715","","03","폐업","03","폐업","20201214","","","","051 466 5905","","","부산광역시 동구 범일동 830번지 216호 호림빌딩 802호","부산광역시 동구 조방로49번길 29, 802호 (범일동, 호림빌딩)","48744","신광엔지니어링(주)","20210105171544","I","2021-01-07 00:23:04.0","","387703.04599269","184060.087160652","051 466 5905","",
"2","계량기제조업","09_28_03_P","3290000","2015329012806500001","20020119","","01","영업/정상","01","영업중","","","","","0518096123","","","","부산광역시 부산진구 중앙대로783번길 8 (부전동)","47250","현대계량시스템","20200812115231","U","2020-08-14 02:40:00.0","","387837.335714573","186746.745584884","0518096123","",
"3","계량기제조업","09_28_03_P","3300000","1995330007906500001","19951228","","01","영업/정상","01","영업중","","","","","555 7712","","","","부산광역시 동래구 명륜로 59 (수안동)","47820","신정계기제작소","20160223192959","I","2018-10-11 15:46:28.0","","389760.418761059","190891.757699159","555 7712","",
"4","계량기제조업","09_28_03_P","3300000","2016330007906500001","20091203","","01","영업/정상","01","영업중","","","","","070 87225501","","","부산광역시 동래구 명장동 66-43","부산광역시 동래구 명장로22번길 74-3 (명장동)","47780","부경수도 주식회사","20210322091411","U","2021-03-24 02:40:00.0","","391358.81149951","191218.973872994","070 87225501","",
"5","계량기제조업","09_28_03_P","3300000","2017330009906500001","20171011","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 동래구 명안로53번길 43, 1층 (명장동)","47779","월드수도(주)","20200826172332","U","2020-08-28 02:40:00.0","","391370.068153741","191192.487289731","","",
"6","계량기제조업","09_28_03_P","3330000","2018333013206500001","20180903","","01","영업/정상","01","영업중","","","","","0519071003","","","부산광역시 해운대구 재송동 1208번지 2호 센텀스카이비즈","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 A동 3층 309-2호 (재송동)","48058","(주)제이엠텍","20200629141848","U","2020-07-01 02:40:00.0","","393503.395720953","188279.474831569","0519071003","",
"7","계량기제조업","09_28_03_P","3330000","2014333015106500001","20140509","","01","영업/정상","01","영업중","","","","","051 5571365","","","부산광역시 해운대구 반여동 614-3","부산광역시 해운대구 삼어로91번길 122-7 (반여동)","48044","(주)아이티시스","20201005170201","I","2020-10-07 00:23:11.0","","392630.646833184","192146.212835012","051 5571365","",
"8","계량기제조업","09_28_03_P","3340000","2018334008006500001","20180313","","01","영업/정상","01","영업중","","","","","051 200 4176","","","부산광역시 사하구 신평동 58번지","부산광역시 사하구 다대로137번길 74 (신평동)","49393","동아전기공업(주)","20180313102724","I","2018-10-11 15:46:28.0","","380496.490715909","178546.867799875","051 200 4176","",
"9","계량기제조업","09_28_03_P","3360000","2016336013606500002","20160714","","01","영업/정상","01","영업중","","","","","051 832 2506","","","부산광역시 중구 중앙동4가 78번지 2호 팍스빌딩 3층","부산광역시 중구 충장대로9번길 55 (중앙동4가, 팍스빌딩3층)","48936","우성국제물류(주)","20200814131848","I","2020-08-16 00:23:14.0","","385793.299310018","180910.386635661","051 832 2506","",
"10","계량기제조업","09_28_03_P","3360000","2021336014506500001","20210624","","01","영업/정상","01","영업중","","","","","07051170567","","","부산광역시 강서구 화전동 592-4","부산광역시 강서구 화전산단2로134번길 32 (화전동)","46741","신영엔텍(주)","20210624170711","I","2021-06-26 00:22:54.0","","371883.833449281","179632.074697137","07051170567","",
"11","계량기제조업","09_28_03_P","3360000","2001336013606500005","20011213","","01","영업/정상","01","영업중","","","","","051  8316171","","","","부산광역시 강서구 녹산산단77로 17 (송정동)","46752","(주)서용엔지니어링","20220127170214","U","2022-01-29 02:40:00.0","","366705.959819806","178814.617007229","051  8316171","",
"12","계량기제조업","09_28_03_P","3360000","2010336008206500002","20100520","","01","영업/정상","01","영업중","","","","","0519419322","","618142","부산광역시 강서구 대저2동  4293-4","부산광역시 강서구 공항로533번길 263 (대저2동)","618810","동양계량기","20111030131947","I","2018-10-11 15:46:28.0","","376858.430049837","185679.138085827","0519419322","",
"13","계량기제조업","09_28_03_P","3360000","2015336013606500001","20150528","","01","영업/정상","01","영업중","","","","","051  9715665","","618808","부산광역시 강서구 대저2동 4966번지","부산광역시 강서구 공항로339번길 156 (대저2동)","618808","(주)한국산업코어","20150529092922","I","2018-10-11 15:46:28.0","","377289.731646896","184648.095851311","051  9715665","",
"14","계량기제조업","09_28_03_P","3360000","2015336013606500002","20151102","","01","영업/정상","01","영업중","","","","","0513230935","","","부산광역시 강서구 녹산동 576번지 6호","부산광역시 강서구 낙동남로533번길 89 (녹산동)","46728","신신이앤지 주식회사","20151103113914","I","2018-10-11 15:46:28.0","","371464","181094","0513230935","",
"15","계량기제조업","09_28_03_P","3360000","2017336014506500003","20170713","","01","영업/정상","01","영업중","","","","","051 973 2314","","","","부산광역시 강서구 과학산단1로 31, 1층 1,2호 (지사동, 자동차부품협동화단지)","46742","한국전자저울","20200807171424","U","2020-08-09 02:40:00.0","","366756.770372749","184524.029110792","051 973 2314","",
"16","계량기제조업","09_28_03_P","3360000","2018336014506500001","20180720","","01","영업/정상","01","영업중","","","","","051 502 3399","","","부산광역시 강서구 대저1동 353번지 1호","부산광역시 강서구 공항로1347번길 72-9 (대저1동)","46702","(주)하이레벨","20200811183102","U","2020-08-13 02:40:00.0","","380783.618580936","192891.8377286","051 502 3399","",
"17","계량기제조업","09_28_03_P","3360000","2000336001306500002","20000406","","03","폐업","03","폐업","","","","","051 9724301","","","부산광역시 강서구 강동동 155번지 4호","부산광역시 강서구 낙동북로 57 (강동동)","618800","반도스케일시스템","20170329192527","I","2018-10-11 15:46:28.0","","376196.949010766","192772.414238282","051 9724301","",
"18","계량기제조업","09_28_03_P","3360000","2001336001306500004","20010810","","03","폐업","03","폐업","20100520","","","","051 9419322","","","부산광역시 강서구 대저2동 4293번지 2호","부산광역시 강서구 공항로533번길 273 (대저2동)","618810","동양계량기(606-07-33007)","20201204105738","U","2020-12-06 02:40:00.0","","376811.152444485","185673.866269092","051 9419322","",
"19","계량기제조업","09_28_03_P","3390000","1998339009106500002","19981217","","01","영업/정상","01","영업중","","","","","051  3027116","","","부산광역시 사상구 모라동 75번지 8호 신모라공단 801호","부산광역시 사상구 모라로192번길 9, 신모라공단 801호 (모라동)","46935","천일계전(주)","20190123111005","U","2019-01-25 02:40:00.0","","382193.744363572","189180.099262507","051  3027116","",
"20","계량기제조업","09_28_03_P","3390000","2015339009106500003","19920428","","01","영업/정상","01","영업중","","","","","051  3046789","","617060","부산광역시 사상구 괘법동 557번지 9호","부산광역시 사상구  새벽로  212-3 (괘법동)","617060","대림계량기","20151119180039","I","2018-10-11 15:46:28.0","","380743.548875837","186341.232331184","051  3046789","",
"21","계량기제조업","09_28_03_P","3390000","2015339009106500004","20010611","","01","영업/정상","01","영업중","","","","","051 3027500","","46935","부산광역시 사상구 모라동 75번지 8호","부산광역시 모라로192번길 9, 604호 (모라동, 신모라공단)","46935","한덕 TSO","20151119164804","I","2018-10-11 15:46:28.0","","382193.744363572","189180.099262507","051 3027500","",
