"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사무소전화번호","사업장전화번호",
"1","계량기증명업","09_28_04_P","3260000","2008326006606500001","20081027","","01","영업/정상","01","영업중","","","","","051 253 3391","","602030","부산광역시 서구 암남동 645번지 29호","부산광역시 서구 원양로 258 (암남동)","","한국원양산업협회 부산지부","20200811164857","U","2020-08-13 02:40:00.0","","382961.554971997","176770.441373371","051 253 3391","",
"2","계량기증명업","09_28_04_P","3260000","2002326004906500002","20021207","","03","폐업","03","폐업","","","","","005102562171","","","부산광역시 서구 동대신동1가 181번지","부산광역시 서구 보수대로 169 (동대신동1가)","","동대주유소","20180614134931","I","2018-08-31 23:59:59.0","","384257.687140844","180920.413448469","005102562171","",
"3","계량기증명업","09_28_04_P","3270000","2000327001406500001","19800227","","01","영업/정상","01","영업중","","","","","051 645 7778","","601805","부산광역시 동구 범일5동 252번지 1721호","부산광역시 동구 범일로 3 (범일동)","601805","항만계량사","20200811172235","U","2020-08-13 02:40:00.0","","387657.803547626","183184.496610501","051 645 7778","",
"4","계량기증명업","09_28_04_P","3270000","2000327001406500002","19870214","","03","폐업","03","폐업","20151124","","","","0051 4647766","","601837","부산광역시 동구 초량3동 1185번지 37호","부산광역시 동구 충장대로 117 (초량동)","601837","우창계량증명업소","20151125100906","I","2018-08-31 23:59:59.0","","386114.750206299","181232.205482652","0051 4647766","",
"5","계량기증명업","09_28_04_P","3280000","2008328007006500001","20080509","","01","영업/정상","01","영업중","","","","","051 4175793","","606033","부산광역시 영도구 남항동3가 24번지 2호","부산광역시 영도구 남항서로 57 (남항동3가)","","세명상사","20160428100125","I","2018-08-31 23:59:59.0","","385459.910328497","178220.126008794","051 4175793","",
"6","계량기증명업","09_28_04_P","3280000","2018328009206500001","20180808","","01","영업/정상","01","영업중","","","","","","","","부산광역시 영도구 남항동3가 31번지 2호","부산광역시 영도구 남항남로9번길 26 (남항동3가)","49048","형제자원","20180808104836","I","2018-08-31 23:59:59.0","","385618.319280073","178305.429213849","","",
"7","계량기증명업","09_28_04_P","3280000","2000328001506500002","19910520","","03","폐업","03","폐업","20200706","","","","051 417 0269","","606823","부산광역시 영도구 청학1동 345번지","부산광역시 영도구 태종로292번길 9-6 (청학동)","606823","청학계량사","20200706173012","U","2020-07-08 02:40:00.0","","387570.528593499","179533.948856924","051 417 0269","",
"8","계량기증명업","09_28_04_P","3290000","2001329001306500001","20010614","","03","폐업","03","폐업","20061107","","","","005108948801","","","부산광역시 부산진구 당감동 382번지","부산광역시 부산진구 당감서로 49 (당감동)","614821","백선공인계량","20111030150021","I","2018-08-31 23:59:59.0","","385498.889614761","186980.608281564","005108948801","",
"9","계량기증명업","09_28_04_P","3290000","2000329000006500001","19991216","","03","폐업","03","폐업","20040102","","","","051 805 9376","","614868","부산광역시 부산진구 전포동 890번지 36호","","","전포계량사","20080814114418","I","2018-08-31 23:59:59.0","","","","051 805 9376","",
"10","계량기증명업","09_28_04_P","3290000","2000329001306500001","20000919","","03","폐업","03","폐업","20080117","","","","05106436143","","","부산광역시 부산진구 범천동 842-36번지","","","태창계량증명업","20080117164214","I","2018-08-31 23:59:59.0","","","","05106436143","",
