"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","제조구분명","사업장부지용도구분명",
"1","고압가스업","09_28_05_P","3250000","2014325008302100002","20140528","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 중구 중앙대로 2 (중앙동7가)","","롯데쇼핑(주)롯데마트 광복점","20220415111938","U","2022-04-17 02:40:00.0","제조","385590.814676765","179553.867031936","냉동","",
"2","고압가스업","09_28_05_P","3250000","2016325008302100001","20160602","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 중구 해관로 65 (중앙동4가)","","은산산업개발(주)","20160603090138","I","2018-08-31 23:59:59.0","제조","385502.492319657","180297.579330876","냉동","",
"3","고압가스업","09_28_05_P","3250000","2017325008302200001","20171011","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 83-2","부산광역시 중구 중앙대로 110 (중앙동4가)","48938","중부소방서","20200728165745","U","2020-07-30 02:40:00.0","제조","385630.297166724","180557.287846652","충전","기타",
"4","고압가스업","09_28_05_P","3250000","1981325001402200018","19810813","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 85-2","부산광역시 중구 중앙대로116번길 14 (중앙동4가)","","만호제강(주)부산사무소","20160118160752","I","2018-08-31 23:59:59.0","제조","385748.661769682","180596.959392351","냉동","지정되지않음",
"5","고압가스업","09_28_05_P","3250000","1984325001402200021","19840829","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 76","부산광역시 중구 중앙대로 160 (중앙동4가)","","해성산업(주)부산송남빌딩","20160118160715","I","2018-08-31 23:59:59.0","제조","385770.249057193","181062.506282925","냉동","지정되지않음",
"6","고압가스업","09_28_05_P","3250000","1989325001402200013","19891018","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 84-18","부산광역시 중구 충장대로9번길 21-2 (중앙동4가)","","화동빌딩","20160118160621","I","2018-08-31 23:59:59.0","제조","385693.536922345","180596.92435794","냉동","지정되지않음",
"7","고압가스업","09_28_05_P","3250000","2000325001402100006","20000526","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 89-1","부산광역시 중구 중앙대로 94 (중앙동4가)","","(주)하나은행 부산지점","20210412132907","U","2021-04-14 02:40:00.0","제조","385624.468710403","180447.914514374","냉동","지정되지않음",
"8","고압가스업","09_28_05_P","3250000","2006325001402100001","20110207","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 남포동4가 37-1","부산광역시 중구 자갈치해안로 52 (남포동4가)","","부산시설관리공단(자갈치시장)","20200918102818","U","2020-09-20 02:40:00.0","제조","385139.215952094","179403.007901724","냉동","지정되지않음",
"9","고압가스업","09_28_05_P","3250000","2007325005902100003","20090313","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동7가 20-1","부산광역시 중구 중앙대로 2 (중앙동7가)","","롯데쇼핑(주)광복점","20220422091609","U","2022-04-24 02:40:00.0","저장소","385590.814676765","179553.867031936","일반","상업용",
"10","고압가스업","09_28_05_P","3250000","2010325008302200002","20100420","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 89-14","부산광역시 중구 중앙대로 88 (중앙동4가)","","은산기업주식회사","20190808101258","U","2019-08-10 02:40:00.0","제조","385616.660201449","180406.241287734","냉동","",
