"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","자본금","거래처",
"1","석유및석유대체연료판매업체","09_28_07_P","6260000","200962600006700001","20090120","","01","영업/정상","1","신규","","","","","0513112326","","617809","부산광역시 사상구 괘법동 580번지 1호 청마마이우스O/T 409호","부산광역시 사상구 광장로56번길 67, 409호 (괘법동,청마마이우스O/T)","617809","반야케미칼(주)","20220702204730","U","2022-07-04 02:40:00.0","부생연료판매소","380533.846089788","186250.31461722","","수입",
"2","석유및석유대체연료판매업체","09_28_07_P","6260000","201262600006500009","20120207","","01","영업/정상","1","신규","","","","","","","600016","부산광역시 중구 중앙동6가 20번지 29호","부산광역시 중구 중앙대로 37, 3층 (중앙동6가)","600016","(주)두리에너지","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385599.322545207","179877.201347218","100000000","기타",
"3","석유및석유대체연료판매업체","09_28_07_P","6260000","201162600006500009","20110328","","01","영업/정상","1","신규","","","","","0517425678","","612821","부산광역시 해운대구 우1동   627번지 1호","부산광역시 해운대구 해운대해변로 257 (우동)","","(주)포세이돈코리아","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","396697.860724865","186636.589265073","100000000","기타",
"4","석유및석유대체연료판매업체","09_28_07_P","6260000","201162600006500010","20110328","","01","영업/정상","1","신규","","","","","0517425678","","612821","부산광역시 해운대구 우1동   627번지 1호","부산광역시 해운대구 해운대해변로 257 (우동)","","(주)포세이돈코리아","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","396697.860724865","186636.589265073","100000000","기타",
"5","석유및석유대체연료판매업체","09_28_07_P","6260000","201362600006500028","20130715","","01","영업/정상","1","신규","","","","","0515532013","","607020","부산광역시 동래구 복천동 295번지 3호 오성빌라트 202호","부산광역시 동래구 동래로148번길 27, 202호 (복천동,오성빌라트)","607020","(주)대일석유","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","389825.304735693","191472.756897665","100000000","기타",
"6","석유및석유대체연료판매업체","09_28_07_P","6260000","201962600006500047","20191230","","01","영업/정상","1","신규","","","","","0514421568","","48942","부산광역시 중구 중앙동6가 72번지 동방빌딩 307호","부산광역시 중구 중앙대로 22, 동방빌딩 307호 (중앙동6가)","48942","백영해운(주)","20191230193504","I","2019-12-31 00:23:26.0","일반대리점","385663.457515779","179718.597231335","100000000","기타",
"7","석유및석유대체연료판매업체","09_28_07_P","6260000","202162600006500028","20211229","","01","영업/정상","1","신규","","","","","0514425854","","49027","부산광역시 영도구 봉래동5가 52-10","부산광역시 영도구 태종로 184(봉래동5가)","49027","썬오일㈜","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","386783.21162500000","179489.61927500000","100000000","기타",
"8","석유및석유대체연료판매업체","09_28_07_P","6260000","202162600006500027","20211217","","01","영업/정상","1","신규","","","","","","","49262","부산광역시 서구 남부민동 465-45","부산광역시 서구 해돋이로 70(남부민동)","49262","유신해운","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","384199.93907505","178095.260043316","100000000","기타",
"9","석유및석유대체연료판매업체","09_28_07_P","6260000","202162600006500023","20211115","","01","영업/정상","1","신규","","","","","0514627240","","48821","부산광역시 동구 초량동 1203-10 오피스텔프레지던트 701호","부산광역시 동구 중앙대로180번길 13, 오피스텔프레지던트 701호(초량동)","48821","(주)정안테크","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385956.31866986","181231.059906128","100000000","기타",
"10","석유및석유대체연료판매업체","09_28_07_P","6260000","202162600006500022","20211028","","01","영업/정상","1","신규","","","","","0514628945","","48822","부산광역시 동구 초량동 1212-5 605호","부산광역시 동구 중앙대로180번길 6-11, 605호(초량동)","48822","㈜에스비해양산업개발","20220702204730","U","2022-07-04 02:40:00.0","일반대리점","385854.644767925","181155.449049794","300000000","기타",
