"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","자본금","거래처",
"1","석유판매업","09_28_08_P","3250000","1987325001401500001","19870812","","01","영업/정상","01","신규등록","","","","","051 4691288","272.03","","부산광역시 중구 중앙동5가 70","부산광역시 중구 대청로 153 (중앙동5가)","","고려주유소","20171121112913","I","2018-08-31 23:59:59.0","주유소","385636.426742784","180123.073240075","","",
"2","석유판매업","09_28_08_P","3250000","2000325008301500002","20000607","","01","영업/정상","01","신규등록","","","","","051 463 5060","","","부산광역시 중구 중앙동4가 84-1","부산광역시 중구 충장대로5번길 26, 3층 303호 (중앙동4가)","48938","동륭케미칼(주)부산영업소","20171122112647","I","2018-08-31 23:59:59.0","용제판매소","385674.767425372","180625.222083038","","",
"3","석유판매업","09_28_08_P","3250000","2005325001401209401","20050906","","01","영업/정상","01","신규등록","","","","","051463 8123","","","부산광역시 중구 영주동 286-1","부산광역시 중구 동영로 53 (영주동)","","영신석유","20180719101713","I","2018-08-31 23:59:59.0","일반판매소","385253.418613976","180981.980793828","","",
"4","석유판매업","09_28_08_P","3250000","2009325006901500001","20090119","","01","영업/정상","01","신규등록","","","","","051 255 3148","","","부산광역시 중구 부평동3가 77-1","부산광역시 중구 흑교로35번길 10 (부평동3가)","","(주)성원화학상사","20171121112751","I","2018-08-31 23:59:59.0","용제판매소","384509.879124796","180061.352056764","","",
"5","석유판매업","09_28_08_P","3250000","2011325008301500001","20111102","","01","영업/정상","01","신규등록","","","","","005102465561","","","부산광역시 중구 부평동4가 32-1 21통1반","부산광역시 중구 흑교로21번길 26 (부평동4가)","","(주)국제화공약품","20171121112828","I","2018-08-31 23:59:59.0","용제판매소","384345.259825104","179930.958877905","","",
"6","석유판매업","09_28_08_P","3250000","2001325001401200012","20010103","","01","영업/정상","01","신규등록","","","","","051 257 2324","","","부산광역시 중구 보수동3가 1-9","부산광역시 중구 보수대로118번길 10-1 (보수동3가)","","대한석유","20220615131321","U","2022-06-17 02:40:00.0","일반판매소","384268.961705188","180396.607405416","","",
"7","석유판매업","09_28_08_P","3250000","1976325001401500004","19760513","","01","영업/정상","01","신규등록","","","","","051 469 3124","1017.3","","부산광역시 중구 영주동 556-3외10필지","부산광역시 중구 중구로 194 (영주동)","","(주)오일석유제일주유소","20220418123226","U","2022-04-20 02:40:00.0","주유소","385464.013957455","181076.205301009","","",
"8","석유판매업","09_28_08_P","3250000","1969325001401200001","19690520","","01","영업/정상","01","신규등록","","","","","051 255 8171","","","부산광역시 중구 보수동2가 73-13","부산광역시 중구 흑교로75번길 3-1 (보수동2가)","","제일연료","20171121113341","I","2018-08-31 23:59:59.0","일반판매소","384407.23261961","180391.126357535","","",
"9","석유판매업","09_28_08_P","3250000","1996325001401200009","19990826","","01","영업/정상","01","신규등록","","","","","051246 5160","","","부산광역시 중구 보수동1가 60-108","부산광역시 중구 보동길 10 (보수동1가)","","유성석유","20200803160447","U","2020-08-05 02:40:00.0","일반판매소","384749.618161204","180260.567644281","","",
"10","석유판매업","09_28_08_P","3250000","1971325001401200002","19710603","","01","영업/정상","01","신규등록","","","","","051248 2000","","","부산광역시 중구 보수동3가 70-34","부산광역시 중구 대청로 33-1 (보수동3가)","","착한세광석유","20171121113258","I","2018-08-31 23:59:59.0","일반판매소","384442.870910843","180124.47438817","","",
"11","석유판매업","09_28_08_P","3250000","1999325001401200011","19991224","","03","폐업","03","폐지","20081107","","","","051465 5531","","","부산광역시 중구 영주동 470-10,17","","","영동석유","20081107141354","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"12","석유판매업","09_28_08_P","3250000","2004325001401500001","20041030","","03","폐업","03","폐지","","","","","051 4423933","","","부산광역시 동래구 사직동 601-14 4통3반 시영아파트 26동 204호","","","미래케미칼","20041030000000","I","2018-08-31 23:59:59.0","용제판매소","","","","",
"13","석유판매업","09_28_08_P","3250000","2005325001401500001","20050321","","03","폐업","03","폐지","20160727","","","","051 4653030","","","부산광역시 중구 중앙동4가 87-7 무역회관 11층","부산광역시 중구 충장대로 11, 11층 (중앙동4가, 무역회관)","","삼영무역(주)","20160727144053","I","2018-08-31 23:59:59.0","용제판매소","385722.4811351","180423.00816521","","",
"14","석유판매업","09_28_08_P","3250000","2008325006901500001","20080905","","03","폐업","03","폐지","20090826","","","","051 243 5189","","","부산광역시 중구 동광동2가 15-4 동남빌딩 500호","부산광역시 중구 대청로126번길 23,  500호 (동광동2가,동남빌딩)","","(주)명현자원","20090826161137","I","2018-08-31 23:59:59.0","용제판매소","385428.340471934","179856.526619736","","",
"15","석유판매업","09_28_08_P","3250000","1994325001401200007","19940825","","03","폐업","03","폐지","","","","","051441 8155","","","부산광역시 중구 영주동 60-10","","","남양석유","20091126141207","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"16","석유판매업","09_28_08_P","3250000","2003325005901200013","20030411","","03","폐업","03","폐지","","","","","051 256 5199","","","부산광역시 중구 대청동4가 75-216","부산광역시 중구 대청북길 5 (대청동4가)","","구덕대신석유","20131118150541","I","2018-08-31 23:59:59.0","일반판매소","384829.05330222","180339.977031652","","",
"17","석유판매업","09_28_08_P","3250000","2009325006901500002","20090130","","03","폐업","03","폐지","20100302","","","","","","","부산광역시 중구 동광동2가 15-4 511호","부산광역시 중구 대청로126번길 23,  511호 (동광동2가)","","(주)남진유업","20100302172720","I","2018-08-31 23:59:59.0","용제판매소","385428.340471934","179856.526619736","","",
"18","석유판매업","09_28_08_P","3250000","1999325001401200010","19991026","","03","폐업","03","폐지","20101230","","","","051 255 5353","","","부산광역시 중구 보수동1가 60-113","","","영창석유","20101230163642","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"19","석유판매업","09_28_08_P","3250000","1971325001401200003","19710722","","03","폐업","03","폐지","","","","","051 469 8123","","","부산광역시 중구 영주동 73-11","","","영신석유","20091126141034","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"20","석유판매업","09_28_08_P","3250000","1971325001401200004","19710924","","03","폐업","03","폐지","20080506","","","","051 463 3522","","","부산광역시 중구 대청동4가 31-17","","","남포석유상사","20080506160124","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"21","석유판매업","09_28_08_P","3250000","1976325001401500001","19760503","","03","폐업","03","폐지","20160616","","","","051 4693456","448.14","","부산광역시 중구 중앙동4가 82-8","부산광역시 중구 중앙대로 120 (중앙동4가)","","강남주유소","20160616152334","I","2018-08-31 23:59:59.0","주유소","385654.489205074","180684.82499064","","",
"22","석유판매업","09_28_08_P","3250000","1985325001401500001","19851111","","03","폐업","03","폐지","20151126","20120501","20121231","20130204","051 2443501","268.8","","부산광역시 중구 부평동4가 32-2, 33, 34-6번지","부산광역시 중구 보수대로 62 (부평동4가)","","남포주유소","20151126164419","I","2018-08-31 23:59:59.0","주유소","384385.56369900000","180259.73166600000","","",
"23","석유판매업","09_28_08_P","3250000","1998325001401200008","19980807","","03","폐업","03","폐지","20170428","","","","051466 4001","","","부산광역시 중구 동광동5가 20-10","부산광역시 중구 샘길 26 (동광동5가)","","부경에너지상사","20170428151946","I","2018-08-31 23:59:59.0","일반판매소","385331.758389511","180520.723942617","","",
"24","석유판매업","09_28_08_P","3260000","1976326004901500002","19760513","","01","영업/정상","01","신규등록","","","","","051 2563929","363","","부산광역시 서구 서대신동1가 1","부산광역시 서구 구덕로 273 (서대신동1가)","49235","(주)부영에너지 신일주유소","20220630133052","U","2022-07-02 02:40:00.0","주유소","383984.869865686","180699.100923563","","",
"25","석유판매업","09_28_08_P","3260000","1995326004901200018","19950105","","01","영업/정상","01","신규등록","","","","","051247 2393","","","부산광역시 서구 아미동2가 32-58","부산광역시 서구 해돋이로 285 (아미동2가)","49240","금성석유","20220630133344","U","2022-07-02 02:40:00.0","일반판매소","383772.955158831","179936.057343679","","",
"26","석유판매업","09_28_08_P","3260000","2004326004901500001","20041020","","01","영업/정상","01","신규등록","","","","","051-244-5151","796.7","","부산광역시 서구 암남동 10-4","부산광역시 서구 감천로 227 (암남동)","49266","동방석유(주)직영 모든주유소","20210715094853","U","2021-07-17 02:40:00.0","주유소","383482.256250702","177755.553765758","","",
"27","석유판매업","09_28_08_P","3260000","2007326006601200025","20020928","","01","영업/정상","01","신규등록","","","","","051 255 1239","","","부산광역시 서구 서대신동3가 161-20","부산광역시 서구 시약로 88 (서대신동3가)","","한마음석유","20190617174202","U","2019-06-19 02:40:00.0","일반판매소","383146.282752531","181672.807530191","","",
"28","석유판매업","09_28_08_P","3260000","1982326004901500004","19820217","","01","영업/정상","01","신규등록","","","","","051 2572601","","","부산광역시 서구 남부민동 523-55","부산광역시 서구 충무대로 126 (남부민동)","49264","지에스칼텍스(주)대성주유소","20220629101059","U","2022-07-01 02:40:00.0","주유소","384648.95585978","177719.031150996","","",
"29","석유판매업","09_28_08_P","3260000","2005326004901500004","20080616","","01","영업/정상","01","신규등록","","","","","2551667","519","","부산광역시 서구 동대신동1가 107","부산광역시 서구 대영로 88 (동대신동1가)","","극동유화(주) 고려주유소 대신","20220630132736","U","2022-07-02 02:40:00.0","주유소","384165.123469928","180952.995643956","","",
"30","석유판매업","09_28_08_P","3260000","1993326004901500009","19931126","","01","영업/정상","01","신규등록","","","","","051 2559528","778","","부산광역시 서구 남부민동 523-42","부산광역시 서구 충무대로 150 (남부민동)","","남부주유소","20220614100329","U","2022-06-16 02:40:00.0","주유소","384629.759607663","177978.235958028","","",
"31","석유판매업","09_28_08_P","3260000","1987326004901200011","19871205","","01","영업/정상","01","신규등록","","","","","051 247 5555","","","부산광역시 서구 남부민동 500-7","부산광역시 서구 남부민로 43 (남부민동)","49263","등대석유","20200626174417","U","2020-06-28 02:40:00.0","일반판매소","384406.02311427","177984.657848002","","",
"32","석유판매업","09_28_08_P","3260000","1992326004901200012","19920112","","01","영업/정상","01","신규등록","","","","","051 248 8207","","","부산광역시 서구 아미동2가 137-16","부산광역시 서구 까치고개로 169 (아미동2가)","49240","동백석유","20190201141913","U","2019-02-03 02:40:00.0","일반판매소","383624.884276785","179732.900602385","","",
"33","석유판매업","09_28_08_P","3260000","1992326004901200013","19921109","","01","영업/정상","01","신규등록","","","","","051 241 2575","","","부산광역시 서구 암남동 180-13","부산광역시 서구 충무대로 67 (암남동)","49265","SK부일석유상사","20211006094401","U","2021-10-08 02:40:00.0","일반판매소","384153.580554722","177415.552228552","","",
"34","석유판매업","09_28_08_P","3260000","1994326004901200016","19940125","","01","영업/정상","01","신규등록","","","","","051 255 8775","","","부산광역시 서구 부민동3가 8-1247","부산광역시 서구 해돋이로 327-1 (부민동3가)","49239","신흥석유","20180517122613","I","2018-08-31 23:59:59.0","일반판매소","383798.198697555","180337.049688588","","",
"35","석유판매업","09_28_08_P","3260000","1998326004901200020","19980330","","01","영업/정상","01","신규등록","","","","","051-248-2333","","","부산광역시 서구 남부민동 428-138","부산광역시 서구 해돋이로 57 (남부민동)","49261","SK선경 남해석유","20200626174613","U","2020-06-28 02:40:00.0","일반판매소","384104.194976173","178030.333717603","","",
"36","석유판매업","09_28_08_P","3260000","2000326004901200023","20000613","","01","영업/정상","01","신규등록","","","","","051 253 0116","","","부산광역시 서구 서대신동3가 684-2","부산광역시 서구 시약로 56 (서대신동3가)","49208","새문석유","20220630133539","U","2022-07-02 02:40:00.0","일반판매소","383064.920196714","181367.767868824","","",
"37","석유판매업","09_28_08_P","3260000","1994326004901200017","19940614","20071224","04","취소/말소/만료/정지/중지","02","등록취소","","","","","051 243 8263","","","부산광역시 서구 남부민동 94-197","","","동원석유","20180830161639","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"38","석유판매업","09_28_08_P","3260000","1976326004901200008","19760403","","03","폐업","03","폐지","","","","","051 2448572","","","부산광역시 서구 부민동1가 37-1","","","신한석유","20070918145644","I","2018-08-31 23:59:59.0","일반판매소","","","","",
"39","석유판매업","09_28_08_P","3260000","1976326004901200009","19760407","","03","폐업","03","폐지","20171117","","","","051 247 8870","","","부산광역시 서구 동대신동2가 156-4","","","한영석유","20190128145528","U","2019-01-30 02:40:00.0","일반판매소","","","","",
"40","석유판매업","09_28_08_P","3260000","1976326004901200010","19760402","","03","폐업","03","폐지","20181204","","","","051 2548860","","","부산광역시 서구 아미동2가 279-6","부산광역시 서구 까치고개로 178 (아미동2가)","49243","아미석유","20190128120021","U","2019-01-30 02:40:00.0","일반판매소","383709.646961331","179715.923041177","","",
"41","석유판매업","09_28_08_P","3260000","1976326004901500001","19760513","","03","폐업","03","폐지","","","","","051 2423338","244","","부산광역시 서구 충무동1가 14-3","","","유진주유소","20070918151732","I","2018-08-31 23:59:59.0","주유소","","","","",
