"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","저장설비위치","용기저장실면적","차고지면적","사무실면적","배관설치장소","길이변경내용","취급가스용량","가스용품종류명","설비명","물품규격","면제범위",
"1","액화석유가스용품제조업체","09_28_09_P","3310000","2000331001604100023-00001","20001102","","03","폐업","3","폐지","20100721","","","","051 6113680","","","부산광역시 남구 용호동 566번지 7   호","부산광역시 남구 용호로269번길 32 (용호동)","","(주)삼정지텍","20131223183309","I","2018-08-31 23:59:59.0","","392659.272186462","180879.100680878","","0","0","0","","","","","","","",
"2","액화석유가스용품제조업체","09_28_09_P","3330000","1980333001504100001-00001","19800502","","03","폐업","3","폐지","20160921","","","","051 5231225","","","부산광역시 해운대구 반여동 1401번지 반여1동","부산광역시 해운대구 반여로41번길 36 (반여동)","","(주)성철사","20180105144520","I","2018-08-31 23:59:59.0","","393047.761414082","190729.150048601","","0","0","0","","","","","","","",
"3","액화석유가스용품제조업체","09_28_09_P","3340000","2013334000004100001-00001","20130412","","01","영업/정상","1","신규","","","","","","","","","부산광역시 사하구 홍티로 103 (다대동)","","부영CST(주)","20130513172124","I","2018-08-31 23:59:59.0","","378706.672590692","175608.897194753","","","","","","","","","","","",
"4","액화석유가스용품제조업체","09_28_09_P","3340000","2011334008004100002-00001","20111227","","03","폐업","3","폐지","20111227","","","","","","","부산광역시 사하구 다대1동 1548번지 8호","부산광역시 사하구 다대로 722 (다대동)","","(주)진원에너지","20210422093022","U","2021-04-24 02:40:00.0","","378961.382512915","174047.04848343","","0","0","0","","","","","","","",
"5","액화석유가스용품제조업체","09_28_09_P","3340000","0000334000004100001-00001","19980508","","03","폐업","3","폐지","20130820","","","","","","","부산광역시 사하구 다대동 1508번지 3호","부산광역시 사하구 다산로105번길 72  (다대동)","","삼주이엔지(주)","20130902162033","I","2018-08-31 23:59:59.0","","378376.888162608","175897.724166058","","0","0","0","","","","","","","",
"6","액화석유가스용품제조업체","09_28_09_P","3340000","2008334006604100002-00001","20081216","","03","폐업","3","폐지","20090424","","","","","","","부산광역시 사하구 다대동 1515번지 3호","부산광역시 사하구 다산로53번길 49  (다대동)","","주식회사 동강금속","20090424105548","I","2018-08-31 23:59:59.0","","378413.574560936","175266.882245717","","","","","","","","","","","",
"7","액화석유가스용품제조업체","09_28_09_P","3340000","2014334008004100001-00001","20140314","","01","영업/정상","5","개시","","","","","","","","부산광역시 사하구 다대동 1515번지 3호","부산광역시 사하구 다산로53번길 49 (다대동)","","(주)동강금속","20170124181159","I","2018-08-31 23:59:59.0","","378413.574560936","175266.882245717","","0","0","0","","","","","","","",
"8","액화석유가스용품제조업체","09_28_09_P","3340000","2014334008004100002-00001","20140715","","01","영업/정상","5","개시","","","","","","","","부산광역시 사하구 다대동 1509번지 6호","부산광역시 사하구 다산로106번길 47 (다대동)","","(주)아미인터내셔널","20150401085405","I","2018-08-31 23:59:59.0","","378565.36829095","175824.972895513","","","","","","","","","","","",
"9","액화석유가스용품제조업체","09_28_09_P","3340000","2015334008004100001-00001","20150610","","01","영업/정상","5","개시","","","","","","","","부산광역시 사하구 다대동 1517번지 1호","부산광역시 사하구 다산로 92 (다대동)","","(주)코밸","20160405183357","I","2018-08-31 23:59:59.0","","378627.693913196","175336.448679095","","","","","","","","","","","",
"10","액화석유가스용품제조업체","09_28_09_P","3350000","1996335000004100004-00001","20090713","","01","영업/정상","1","신규","","","","","","","","부산광역시 금정구 회동동 127번지","부산광역시 금정구 동대로 20 (회동동)","","우영종합주방설비","20131226110824","I","2018-08-31 23:59:59.0","","393510.950917748","194199.382353559","동 번지내","52","24","50","부지내","","","","","","",
"11","액화석유가스용품제조업체","09_28_09_P","3360000","2010336008204100002-00001","20100927","","01","영업/정상","1","신규","","","","","","","","부산광역시 강서구 지사동 1203번지 7호","부산광역시 강서구 과학산단1로60번길 12  (지사동)","","(주)화영","20120515201435","I","2018-08-31 23:59:59.0","","366508.430641887","184420.009040123","","0","0","0","","","","","","","",
"12","액화석유가스용품제조업체","09_28_09_P","3360000","2015336013604100001-00001","20150716","","01","영업/정상","1","신규","","","","","","","","부산광역시 강서구 화전동 592번지 9호","부산광역시 강서구 화전산단6로32번길 17 (화전동)","","(주)엔에스브이","20170725103117","I","2018-08-31 23:59:59.0","","371796.724311312","179544.343530331","","0","0","0","","","","","","","",
"13","액화석유가스용품제조업체","09_28_09_P","3360000","2016336013604100001-00001","20160503","","02","휴업","2","휴지","","20171220","20181220","","","","","부산광역시 강서구 죽동동 477번지 4호","부산광역시 강서구 호계로79번길 68 (죽동동, 외 1필지(68-1))","","(주)템코","20171221102603","I","2018-08-31 23:59:59.0","","372070.771575275","190461.558005079","","0","0","0","","","","","","","",
