"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"1","전력기술감리업체","09_28_12_P","6260000","202262600008600002","20220420","","01","영업/정상","1","인허가","","","","","0513194119","","46977","부산광역시 사상구 괘법동 578번지 산업용품유통상가 25동 223호","부산광역시 사상구 괘감로 37, 산업용품유통상가 25동 2층 223호(괘법동)","46977","낙안기술사","20220420154149","I","2022-04-22 00:22:33.0","","380291.656000926","186303.922053702","감리업","전문감리업","대한민국","196978208",
"2","전력기술감리업체","09_28_12_P","6260000","201962600008600003","20190613","","01","영업/정상","1","인허가","","","","","0512053808","","49418","부산광역시 사하구 신평동 7번지 신평삼익아파트 상가9동 301호","부산광역시 사하구 장평로 311, 상가9동 301호 (신평동, 신평삼익아파트)","49418","(주)우진이엔지","20190613120537","I","2019-06-15 02:21:11.0","","379969.233968736","179043.775487216","감리업","전문감리업","대한민국","50000000",
"3","전력기술감리업체","09_28_12_P","6260000","201962600008600001","20190404","","01","영업/정상","1","인허가","","","","","0517595442","","48226","부산광역시 수영구 수영동 500-6","부산광역시 수영구 구락로 25, 2층 (수영동)","48226","(주)중앙기술단","20210628142331","U","2021-06-30 02:40:00.0","","393049.56785828","187762.857574099","감리업","종합감리업","대한민국","300000000",
"4","전력기술감리업체","09_28_12_P","6260000","201962600008600005","20190917","","01","영업/정상","1","인허가","","","","","0513265760","","47016","부산광역시 사상구 주례동 637번지 동우E&C","부산광역시 사상구 동주로16번길 46, 동우E&C (주례동)","47016","동우기술(주)","20190917170008","I","2019-09-19 02:22:30.0","","382097.942348673","184972.059820394","감리업","전문감리업","대한민국","500000000",
"5","전력기술감리업체","09_28_12_P","6260000","201962600008600004","20190902","","01","영업/정상","1","인허가","","","","","0516280501","","48314","부산광역시 수영구 남천동 27-6 한진빌딩","부산광역시 수영구 광남로 33, 한진빌딩 10층 (남천동)","48314","(자)한진개발공사","20190902163232","I","2019-09-04 02:22:18.0","","392294.710671085","185004.189175636","감리업","전문감리업","대한민국","500000000",
"6","전력기술감리업체","09_28_12_P","6260000","202262600008600001","20220215","","01","영업/정상","1","인허가","","","","","0515574266","","46004","부산광역시 기장군 정관읍 용수리 566-1 1호","부산광역시 기장군 정관읍 신정관로 431, 일부1층","46004","주식회사 더베스트솔라","20220215185802","I","2022-02-17 00:22:55.0","","397861","206045","감리업","전문감리업","대한민국","350000000",
"7","전력기술감리업체","09_28_12_P","6260000","202062600008600002","20200224","","01","영업/정상","1","인허가","","","","","0518689741","","47211","부산광역시 부산진구 양정동 279-5 셀렉스빌딩","부산광역시 부산진구 거제대로 86, 셀렉스빌딩 3층(양정동)","47211","(주)와이케이엔지니어링","20220225132147","U","2022-02-27 02:40:00.0","","","","감리업","종합감리업","대한민국","91754304",
"8","전력기술감리업체","09_28_12_P","6260000","202062600008600001","20200210","","01","영업/정상","1","인허가","","","","","0517171205","","48002","부산광역시 해운대구 석대동 634번지 아이티타워 502호","부산광역시 해운대구 반송로525번길 25, 아이티타워 502호 (석대동)","48002","(주)아이엔지그룹건축사사무소","20200210100920","I","2020-02-12 00:23:23.0","","392964.101655239","193163.043626289","감리업","전문감리업","대한민국","150000000",
"9","전력기술감리업체","09_28_12_P","6260000","200562600008600007","20051221","","01","영업/정상","1","인허가","","","","","0513297766","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈, 에이동 1905호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 1905호 (재송동)","48058","(주)나이스에너지엔지니어링","20171110135104","I","2018-08-31 23:59:59.0","","393519","188317","감리업","종합감리업","대한민국","150000000",
"10","전력기술감리업체","09_28_12_P","6260000","200662600008600001","20060116","","01","영업/정상","1","인허가","","","","","0518175417","","611839","부산광역시 연제구 연산5동   1310번지 20호 토목회관 3층","부산광역시 연제구 중앙대로1050번길 5 (연산동,토목회관 3층)","","(주)부흥이앤씨","20110707111920","I","2018-08-31 23:59:59.0","","389322.05480288","188948.591685089","감리업","종합감리업","대한민국","100000000",
"11","전력기술감리업체","09_28_12_P","6260000","200662600008600004","20060413","","01","영업/정상","1","인허가","","","","","0515034377","","607839","부산광역시 동래구 온천3동   1350번지 4호 한사랑ATP상가401호","부산광역시 동래구 아시아드대로255번가길 8-8 (온천동,한사랑ATP상가401호)","","(주)동지종합엔지니어링","20101125110723","I","2018-08-31 23:59:59.0","","388177.413188437","191828.945228238","감리업","종합감리업","대한민국","56000000",
"12","전력기술감리업체","09_28_12_P","6260000","199862600008600006","19980819","","01","영업/정상","1","인허가","","","","","0518173931","","614869","부산광역시 부산진구 전포1동  690번지 7호","부산광역시 부산진구 전포대로199번길 15, 3층 (전포동,현대타워오피스텔)","614869","(주)삼영기술","20160624094520","I","2018-08-31 23:59:59.0","","388022.481221191","185844.723433596","감리업","종합감리업","대한민국","0",
"13","전력기술감리업체","09_28_12_P","6260000","199762600008600010","19970314","","01","영업/정상","1","인허가","","","","","0515170954","","","부산광역시 연제구 연산동 488번지 55호","부산광역시 연제구 고분로242번길 58, 4층 (연산동)","47570","(주)투-에스","20170410152740","I","2018-08-31 23:59:59.0","","391992.7840197","188998.750752067","감리업","전문감리업","대한민국","0",
