"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"1","특정고압가스업","09_28_14_P","3250000","2019325013312200001","20190703","","01","영업/정상","BBBB","","","","","","","","","부산광역시 중구 남포동4가 37-11번지","부산광역시 중구 자갈치해안로 62 (남포동4가)","48984","잠수기중매인40(JSG SEAFOOD)","20190703150528","I","2019-07-05 02:21:29.0","","385204.508132417","179419.032697913","어패류 산소공급용","액화산소가스를 통한 어패류 산소 공급","3000","100","",
"2","특정고압가스업","09_28_14_P","3250000","2019325013312200002","20191209","","01","영업/정상","BBBB","","","","","","","","","부산광역시 중구 대청동2가 8-11번지","부산광역시 중구 대청로 105 (대청동2가)","48933","연세365병원","20191209113016","I","2019-12-11 00:23:26.0","","385140.996257427","180133.026890281","의료용","의료용 산소로 사용
액화가스 : 0.338ton
기체가스 : 120㎥","3000","250","",
"3","특정고압가스업","09_28_14_P","3260000","1979326004902700006","19790921","","01","영업/정상","BBBB","","","","","","051 2560171","","","부산광역시 서구 아미동1가 10번지","","","부산대학교병원","19790921000000","I","2018-08-31 23:59:59.0","","","","의료용","","","","",
"4","특정고압가스업","09_28_14_P","3260000","1979326004902700031","19790531","","01","영업/정상","BBBB","","","","","","051 2406058","","","부산광역시 서구 암남동 34번지","","","고신대학교복음병원","19790531000000","I","2018-08-31 23:59:59.0","","383621.461144767","177626.547374671","의료용","","","","",
"5","특정고압가스업","09_28_14_P","3260000","1992326004902700002","19920529","","01","영업/정상","BBBB","","","","","","051 2476600","","","부산광역시 서구 동대신동3가 1번지","","","동아대학교부속병원","19920529000000","I","2018-08-31 23:59:59.0","","","","의료용","","","","",
"6","특정고압가스업","09_28_14_P","3260000","2002326004902700601","20020221","","01","영업/정상","BBBB","","","","","","051 2540171","","","부산광역시 서구 아미동1가 10번지","","","부산대학교병원(응급센터)","20020221000000","I","2018-08-31 23:59:59.0","","","","의료용","","11280","","",
"7","특정고압가스업","09_28_14_P","3260000","2006326006602700001","20061004","","01","영업/정상","BBBB","","","","","","051 2578025","","","부산광역시 서구 암남동 721번지","부산광역시 서구 원양로 71  (암남동)","","성진수산(주)암남동공장","20061004000000","I","2018-08-31 23:59:59.0","","383218.187027548","175520.650585192","","","","","",
"8","특정고압가스업","09_28_14_P","3260000","2010326007012200001","20100118","","01","영업/정상","BBBB","","","","","","","","","부산광역시 서구 암남동 34번지 고신대학교복음병원","부산광역시 서구 성산길 46 (암남동)","","고신대학교복음병원","20111030104802","I","2018-08-31 23:59:59.0","","383621.461144767","177626.547374671","의료용","의료용","1000","1300","",
"9","특정고압가스업","09_28_14_P","3260000","2016326007012200001","20160411","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 서구 대티로 170 (서대신동2가)","","삼육부산병원","20160411162649","I","2018-08-31 23:59:59.0","","383283.55617159","181112.158849737","환자 수술 및 처치","의료용","0","0","",
"10","특정고압가스업","09_28_14_P","3260000","2017326009712200001","20170123","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 서구 구덕로 179 (아미동1가, 부산대학교병원 C동별관(의대구관))","","부산대학교병원","20170123103810","I","2018-08-31 23:59:59.0","","384030.498741004","179806.024724594","의료용","의료용","21.504","10","",
"11","특정고압가스업","09_28_14_P","3260000","2017326009712200002","20170123","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 서구 구덕로 179 (아미동1가, 부산대학교병원, C동 의료가스실)","","부산대학교병원","20170123104540","I","2018-08-31 23:59:59.0","","384030.498741004","179806.024724594","의료용","의료용","10.752","10","",
"12","특정고압가스업","09_28_14_P","3260000","2017326009712200003","20170123","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 서구 구덕로 179 (아미동1가, 부산대학교병원, E동 지하2층)","","부산대학교병원","20170123105444","I","2018-08-31 23:59:59.0","","384030.498741004","179806.024724594","의료용","의료용","8.064","10","",
"13","특정고압가스업","09_28_14_P","3260000","2018326009712200001","20181214","","01","영업/정상","BBBB","","","","","","","","","부산광역시 서구 동대신동2가 299번지","부산광역시 서구 대영로85번길 31 (동대신동2가)","49217","이의용밝은길요양병원","20181214164838","I","2018-12-18 02:20:20.0","","384057.059475481","181111.365505631","의료용","용기","1449","144","",
"14","특정고압가스업","09_28_14_P","3270000","1989327001402700001","19890316","","01","영업/정상","BBBB","","","","","","051 6431156","","","부산광역시 동구 범일동 899-8번지","부산광역시 동구 범일로 119  (범일동)","","문화병원","19890316000000","I","2018-08-31 23:59:59.0","","387586.080807702","184357.091478796","의료용 산소","","","","",
"15","특정고압가스업","09_28_14_P","3270000","1989327001402700002","19890316","","01","영업/정상","BBBB","","","","","","051 6431156","","","부산광역시 동구 범일동 899-8번지","부산광역시 동구 범일로 119  (범일동)","","문화병원","19890316000000","I","2018-08-31 23:59:59.0","","387586.080807702","184357.091478796","의료용 산소","","","","",
"16","특정고압가스업","09_28_14_P","3280000","1977328001502700001","19770527","","01","영업/정상","BBBB","","","","","","005104130071","","","부산광역시 영도구 남항동2가 93번지","부산광역시 영도구 남항남로9번길 54  (남항동2가)","","(주)남양","19770527000000","I","2018-08-31 23:59:59.0","","385682.465257035","178423.373990234","용접","","","","",
"17","특정고압가스업","09_28_14_P","3280000","1977328001502700003","19771222","","01","영업/정상","BBBB","","","","","","005104124442","","","부산광역시 영도구 대평동2가 4번지","부산광역시 영도구 대평남로 59  (대평동2가)","","대평조선소","19771222000000","I","2018-08-31 23:59:59.0","","385223.985682127","178988.405674002","용접","","","","",
"18","특정고압가스업","09_28_14_P","3280000","1978328001502700001","19780117","","01","영업/정상","BBBB","","","","","","005104169184","","","부산광역시 영도구 봉래동4가 7번지","부산광역시 영도구 봉래나루로 285  (봉래동4가)","","경남조선(주)","19780117000000","I","2018-08-31 23:59:59.0","","386709.925191314","179261.80684564","용접","","","","",
"19","특정고압가스업","09_28_14_P","3280000","1979328001502700005","19790607","","01","영업/정상","BBBB","","","","","","005104137701","","","부산광역시 영도구 대평동2가 199번지","부산광역시 영도구 대평북로 39  (대평동2가)","","(주)종합해사","19790607000000","I","2018-08-31 23:59:59.0","","385400.615057747","179016.488341959","용접","","","","",
"20","특정고압가스업","09_28_14_P","3280000","1985328001502700003","19851025","","01","영업/정상","BBBB","","","","","","005104126161","","","부산광역시 영도구 봉래동3가 37번지","부산광역시 영도구 태종로 133  (봉래동3가)","","해동병원별관","19851025000000","I","2018-08-31 23:59:59.0","","386317.573451534","178891.448253198","의료용","","","","",
"21","특정고압가스업","09_28_14_P","3280000","1985328001502700004","19851228","","01","영업/정상","BBBB","","","","","","005104147131","","","부산광역시 영도구 남항동3가 24번지","부산광역시 영도구 남항서로 59  (남항동3가)","","(주)범우엔지니어링","19851228000000","I","2018-08-31 23:59:59.0","","385462.123386041","178241.752823135","용접","","","","",
"22","특정고압가스업","09_28_14_P","3280000","1986328001502700002","19860526","","01","영업/정상","BBBB","","","","","","005104122400","","","부산광역시 영도구 대교동2가 62번지","부산광역시 영도구 절영로 21  (대교동2가)","","인제외과의원","19860526000000","I","2018-08-31 23:59:59.0","","385965.754337169","178940.217433413","용접","","","","",
"23","특정고압가스업","09_28_14_P","3280000","2001328001502700001","20011103","","01","영업/정상","BBBB","","","","","","005104179221","","","부산광역시 영도구 청학동 330-64번지","","","(주)동화진세산업","20011103000000","I","2018-08-31 23:59:59.0","","","","용접","","","","",
"24","특정고압가스업","09_28_14_P","3280000","2003328001502700001","20031231","","01","영업/정상","BBBB","","","","","","051 4128881","","","부산광역시 영도구 대교동2가 71번지","부산광역시 영도구 태종로 85  (대교동2가)","","영도병원","20031231000000","I","2018-08-31 23:59:59.0","","386006.127048529","178918.916618963","의료용","","","","",
"25","특정고압가스업","09_28_14_P","3280000","2016328009212200001","20160831","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 영도구 해양로15번길 15 (청학동)","","(주)부산조선해양","20160831153926","I","2018-08-31 23:59:59.0","","","","절단용","절단","2500","10","",
"26","특정고압가스업","09_28_14_P","3280000","1979328001502700004","19790607","","01","영업/정상","BBBB","","","","","","005104152555","","","부산광역시 영도구 대평동2가 10번지","부산광역시 영도구 대평남로51번길 8-4  (대평동2가)","","(주)삼광선박기계공업","19790607000000","I","2018-08-31 23:59:59.0","","385198.747191355","178907.19877784","용접","","","","",
"27","특정고압가스업","09_28_14_P","3290000","2021329014412200001","20210713","","01","영업/정상","BBBB","","","","","","","","","부산광역시 부산진구 당감동 899 한국과학영재학교","부산광역시 부산진구 백양관문로 105-47, 한국과학영재학교 (당감동)","47162","한국과학기술원(KAIST) 부설 한국과학영재학교","20210713170235","I","2021-07-15 00:22:52.0","","384537.534177742","187052.022235097","교육, 연구를 위한 과학 실험","KGS CODE AA913 적용기준하여, 검사를 인정한 검인품으로 가스실린더캐비넷에 저장하여 사용(전기 방전실험)","1","2","",
"28","특정고압가스업","09_28_14_P","3300000","2019330009912200001","20190228","","01","영업/정상","BBBB","","","","","","","","","부산광역시 동래구 낙민동 23-3번지 설봉빌딩","부산광역시 동래구 충렬대로348번길 23, 설봉빌딩 (낙민동)","47889","(의)은성의료재단좋은애인병원","20190228154141","I","2019-03-02 02:21:37.0","","390805.03821904","190612.851490221","의료용 산소","의료용 산소","1500","284","",
"29","특정고압가스업","09_28_14_P","3300000","2002330001602700002","19900602","","01","영업/정상","BBBB","","","","","","051 5316000","","","부산광역시 동래구 안락동 766번지","부산광역시 동래구 안연로109번길 27  (안락동)","","동래봉생병원","20150703141525","I","2018-08-31 23:59:59.0","","390833.19383558","190642.273080846","의료용","","320","","",
"30","특정고압가스업","09_28_14_P","3300000","2002330001602709388","19940207","","01","영업/정상","BBBB","","","","","","051 5032111","","","부산광역시 동래구 온천동 1426-7번지","부산광역시 동래구 충렬대로 96  (온천동)","","광혜병원","19940207000000","I","2018-08-31 23:59:59.0","","388532.711180342","191717.372167709","의료용","","320","","",
"31","특정고압가스업","09_28_14_P","3310000","2019331010012200001","20190111","","01","영업/정상","BBBB","","","","","","","","","부산광역시 남구 대연동 1763-1번지 대연동윌리스병원","부산광역시 남구 수영로 185-7, 대연동윌리스병원 (대연동)","48453","윌리스요양병원","20190111125732","I","2019-01-13 02:20:47.0","","390107.365409289","183789.793351795","의료용 산소","용기→기화기→매니폴드→병실","1360","240","",
"32","특정고압가스업","09_28_14_P","3310000","2015331008812200001","20150528","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 남구 우암로 127 (감만동)","","(주)에스씨알","20150528174309","I","2018-08-31 23:59:59.0","","389551.635540894","182136.799038099","컨테이너 수리","용접사용","300","8","",
"33","특정고압가스업","09_28_14_P","3310000","2017331008812200001","20170203","","01","영업/정상","BBBB","","","","","","","","","부산광역시 남구 대연동 1222-116번지","부산광역시 남구 수영로 164 (대연동)","","의료법인 은경의료재단 인창대연요양병원","20170203175854","I","2018-08-31 23:59:59.0","","389920.54723108","183675.83016143","의료용 산소","의료용 산소","1500","2","",
"34","특정고압가스업","09_28_14_P","3310000","2017331008812200002","20170518","","01","영업/정상","BBBB","","","","","","","","","부산광역시 남구 대연동 918-1번지","부산광역시 남구 수영로196번길 80 (대연동)","","부산공업고등학교","20170518180630","I","2018-08-31 23:59:59.0","","390202.246570773","183237.509500562","절단용","용기집합 시설을 통한 배관공급","12.6","0","",
"35","특정고압가스업","09_28_14_P","3310000","2017331008812200003","20170518","","01","영업/정상","BBBB","","","","","","","","","부산광역시 남구 대연동 918-1번지","부산광역시 남구 수영로196번길 80 (대연동)","","부산공업고등학교","20170518181537","I","2018-08-31 23:59:59.0","","390202.246570773","183237.509500562","절단용","용기집합시설을 통한 배관 공급",".08","0","",
"36","특정고압가스업","09_28_14_P","3310000","2020331011912200001","20200904","","01","영업/정상","BBBB","","","","","","","","","부산광역시 남구 대연동 1740-16 고려병원","부산광역시 남구 수영로 238, 고려병원 (대연동)","48496","고려의료재단 부산고려병원","20200904130815","I","2020-09-06 00:23:13.0","","390660.580067062","183756.459518599","의료용","의료용산소","336","230","",
"37","특정고압가스업","09_28_14_P","3310000","2021331011912200001","20210312","","01","영업/정상","BBBB","","","","","","","","","부산광역시 남구 용호동 957-1 힐탑탑플레이스 A동 115호","부산광역시 남구 분포로 115, 힐탑탑플레이스 (용호동)","48515","(주)우인건설","20210312164859","I","2021-03-14 00:23:00.0","","392515.689667818","183481.94111857","강재절단, 압접용","강재절단, 압접용
사용처: 용호동 958
사무실주소: 분포로 115A동 503호","160","0","",
"38","특정고압가스업","09_28_14_P","3320000","1999332004202702823","19990211","","01","영업/정상","BBBB","","","","","","051 6006000","","","부산광역시 북구 화명동 1170-1번지","","","화명일신기독병원","19990211000000","I","2018-08-31 23:59:59.0","","383412.190468328","194288.416387155","","","","","",
"39","특정고압가스업","09_28_14_P","3320000","2001332004202700068","20010723","","01","영업/정상","BBBB","","","","","","051 3042001","","","부산광역시 북구 구포동 1121-6번지","","","한중병원","20081215144751","I","2018-08-31 23:59:59.0","","","","폐업","폐업","0","0","",
"40","특정고압가스업","09_28_14_P","3320000","2004332005902700001","20040217","","01","영업/정상","BBBB","","","","","","051 3311006","","","부산광역시 북구 금곡동 1877번지","부산광역시 북구 금곡대로441번길 26  (금곡동)","","한국산업인력공단","20040217000000","I","2018-08-31 23:59:59.0","","382945.786375743","196206.571040342","절단 및 용접용","","500","20","",
"41","특정고압가스업","09_28_14_P","3320000","2010332008212200001","20100416","","01","영업/정상","BBBB","","","","","","","","","부산광역시 북구 화명동 2270-4번지","부산광역시 북구 화명대로 1  (화명동)","","베스티안 부산병원","20100416090119","I","2018-08-31 23:59:59.0","","382776.595655929","194771.604134444","의료용산소","의료용사용","330","0","",
"42","특정고압가스업","09_28_14_P","3320000","2010332008212200002","20100426","","01","영업/정상","BBBB","","","","","","","","","부산광역시 북구 화명동 1170-1번지","","","화명일신기독병원","20100426175418","I","2018-08-31 23:59:59.0","","383412.190468328","194288.416387155","의료용","의료용액화산소","280","1","",
"43","특정고압가스업","09_28_14_P","3320000","2010332008212200003","20100430","","01","영업/정상","BBBB","","","","","","","","","부산광역시 북구 화명동 2270-4번지","부산광역시 북구 화명대로 1  (화명동)","","베스티안 부산병원","20100430110615","I","2018-08-31 23:59:59.0","","382776.595655929","194771.604134444","의료용","의료용","330","170","",
"44","특정고압가스업","09_28_14_P","3320000","2018332008812200002","20180426","","01","영업/정상","BBBB","","","","","","","","","부산광역시 북구 덕천동 590-2번지 맥켄지일신기독병원","부산광역시 북구 금곡대로 133, 맥켄지일신기독병원 (덕천동)","46543","맥켄지화명일신기독병원","20180426165136","I","2018-08-31 23:59:59.0","","382732.895687215","193145.268616987","의료산소용","의료산소용","3000","370","",
"45","특정고압가스업","09_28_14_P","3320000","1995332004202700063","19951015","","01","영업/정상","BBBB","","","","","","051 3332001","","","부산광역시 북구 구포동 146-3번지","부산광역시 북구 낙동대로 1786  (구포동)","","구포성심병원","19951015000000","I","2018-08-31 23:59:59.0","","382477.974686694","191891.351677847","의료용","","","","",
"46","특정고압가스업","09_28_14_P","3320000","2018332008812200003","20180912","","01","영업/정상","BBBB","","","","","","","","","부산광역시 북구 구포동 1121-1번지 구포부민병원","부산광역시 북구 사상로 605, 구포부민병원 (구포동)","46504","의료법인 인당의료재단 구포부민병원","20180912170229","U","2018-09-12 23:59:59.0","","381214.353387213","190598.309891628","의료산소용","의료 산소용","154","200","",
"47","특정고압가스업","09_28_14_P","3330000","2018333013212200001","20180913","","01","영업/정상","BBBB","","","","","","","","","부산광역시 해운대구 재송동 933-2번지 센텀화인요양병원","부산광역시 해운대구 해운대로76번길 12, 센텀화인요양병원 (재송동)","48047","센텀화인요양병원","20180913092258","I","2018-09-13 23:59:59.0","","392965.579341286","190018.758210551","의료용","월롯트","84.56","337","",
"48","특정고압가스업","09_28_14_P","3330000","2003333001502700521","20030604","","01","영업/정상","BBBB","","","","","","051 7042555","","","부산광역시 해운대구 좌동 1407-5번지","부산광역시 해운대구 좌동순환로 181  (좌동)","","진성빌딩","20030604000000","I","2018-08-31 23:59:59.0","","398157.395162981","188697.0544299","취사용","취사용","4631000","5","",
"49","특정고압가스업","09_28_14_P","3330000","2003333001502700522","20030625","","01","영업/정상","BBBB","","","","","","005107495500","","","부산광역시 해운대구 우동 1410-3   번지","","","한화국토개발(주)해운대지점","20030625000000","I","2018-08-31 23:59:59.0","","","","냉동","중앙냉동","5000000","100","",
"50","특정고압가스업","09_28_14_P","3330000","2003333001502700523","20030701","","01","영업/정상","BBBB","","","","","","051 7311359","","","부산광역시 해운대구 우동 592-13번지","부산광역시 해운대구 해운대로 643  (우동)","","장산빌딩","20030701000000","I","2018-08-31 23:59:59.0","","396785.246336812","187220.834428291","연료","중앙난방","6186","200","",
"51","특정고압가스업","09_28_14_P","3330000","2006333008202700001","20061219","","01","영업/정상","BBBB","","","","","","051 7440559","","","부산광역시 해운대구 중동 산 37-1   번지","","","육군제7376부대 보급수송근무대","20061219000000","I","2018-08-31 23:59:59.0","","","","용접,절단","","280","","",
"52","특정고압가스업","09_28_14_P","3330000","2009333008212200001","20090326","","01","영업/정상","BBBB","","","","","","","","","부산광역시 해운대구 우동 산 37-1번지 사서함321-8","","","육군제7376부대 보급수송근무대","20090326105610","I","2018-08-31 23:59:59.0","","396803.300336939","188468.453649961","저장관리","저장","180","10","",
"53","특정고압가스업","09_28_14_P","3330000","2012333010312200001","20121130","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 해운대구 해운대로 569 (우동)","","부산기계공고","20121130164145","I","2018-08-31 23:59:59.0","","396206.240389058","187129.73162338","용접용, 절단용으로 사용","용접용","150","20","",
"54","특정고압가스업","09_28_14_P","3330000","2015333010312200001","20150703","","01","영업/정상","BBBB","","","","","","","","","","부산광역시 해운대구 해운대로 594 (우동, 부민병원)","","의료법인 인당의료재단 부민병원(해운대)","20150703095523","I","2018-08-31 23:59:59.0","","","","의료용 산소","액화산소 저장","10000","500","",
"55","특정고압가스업","09_28_14_P","3330000","1977333001502700001","19771205","","01","영업/정상","BBBB","","","","","","051 7474781","","","부산광역시 해운대구 우동 1102번지 우2동","","","장한화학","19771205000000","I","2018-08-31 23:59:59.0","","","","","","10","","",
"56","특정고압가스업","09_28_14_P","3330000","1979333001502700004","19790628","","01","영업/정상","BBBB","","","","","","051 5224031","","","부산광역시 해운대구 반여동 161번지 반여1동","부산광역시 해운대구 선수촌로 202-13, 반여1동 (반여동)","","태광산업(주)반여공장","20120112172530","I","2018-08-31 23:59:59.0","","393852.402091178","192163.378427463","사업폐지 : 2012.1.12","폐지","50","1","",
"57","특정고압가스업","09_28_14_P","3330000","1982333001502700007","19820811","","01","영업/정상","BBBB","","","","","","051 7829426","","","부산광역시 해운대구 재송동 900-2   번지 재송1동","","","삼익종합정비(주)","19820811000000","I","2018-08-31 23:59:59.0","","","","","","","","",
"58","특정고압가스업","09_28_14_P","3330000","1987333001502700009","19870526","","01","영업/정상","BBBB","","","","","","051 7415111","","","부산광역시 해운대구 우동 산 114-1   번지 우1동","","","부산기계공고","19870526000000","I","2018-08-31 23:59:59.0","","","","학교실습용","","","","",
"59","특정고압가스업","09_28_14_P","3330000","1993333001502700011","19930503","","01","영업/정상","BBBB","","","","","","051 5208183","","","부산광역시 해운대구 반여동 52번지 반여1동","부산광역시 해운대구 선수촌로 230, 반여1동 (반여동)","","풍산기계(주)","20120113172906","I","2018-08-31 23:59:59.0","","393613.739814618","192493.751896833","폐지","폐지","72","1","",
"60","특정고압가스업","09_28_14_P","3330000","2003333001502700520","20030604","","01","영업/정상","BBBB","","","","","","051 7042555","","","부산광역시 해운대구 좌동 1407-5번지","부산광역시 해운대구 좌동순환로 181  (좌동)","","진성빌딩","20030604000000","I","2018-08-31 23:59:59.0","","398157.395162981","188697.0544299","취사용","취사용","4631000","5","",
