"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수시공업체","09_29_01_P","3270000","C001801102221232L00","19980213","","01","영업/정상","1","영업","","","","","","","","부산광역시 동구 초량동 1161-9번지","부산광역시 동구 중앙대로286번길 9 (초량동)","","㈜동진기초","20030501204848","I","2018-08-31 23:59:59.0","","386325.816948305","182210.916727624","0","50000000","1. 시추기 1","0",
"2","지하수시공업체","09_29_01_P","3270000","C001801110221232L00","19980213","","01","영업/정상","1","영업","","","","","","","","부산광역시 동구 초량동 1161-9번지","부산광역시 동구 중앙대로286번길 9 (초량동)","","(주)동진기초","20200210114804","U","2020-02-12 02:40:00.0","","386325.816948305","182210.916727624","0","50000000","1. 시추기 1","0",
"3","지하수시공업체","09_29_01_P","3270000","C001801110315837L00","20000425","","01","영업/정상","1","영업","","","","","","","","부산광역시 동구 초량동 135-48번지","","","㈜성진엔지니어링","20150907130914","I","2018-08-31 23:59:59.0","","385872.188077484","182068.435002445","5","100000000","","0",
"4","지하수시공업체","09_29_01_P","3280000","C004405111106311000","20110307","","01","영업/정상","1","영업","","","","","","","","부산광역시 영도구 동삼동 973-9번지 6통4반","부산광역시 영도구 태종로802번길 43-14 (동삼동)","","장정성","20110307164119","I","2018-08-31 23:59:59.0","","389512.413485427","175923.048331794","0","0","","0",
"5","지하수시공업체","09_29_01_P","3280000","C005407151106320000","20110308","","01","영업/정상","1","영업","","","","","","","","부산광역시 영도구 청학동 457-51번지 4통2반","부산광역시 영도구 청학남로 18-8 (청학동)","","이상암","20110308180059","I","2018-08-31 23:59:59.0","","387739.294973474","178679.952219194","0","0","","0",
"6","지하수시공업체","09_29_01_P","3290000","C001801110091271L00","19980218","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 범천동 839-32 신부산빌딩 9층","부산광역시 부산진구 자유평화로3번길 14-21 (범천동,신부산빌딩 9층)","","㈜동남기초","20201222091520","U","2020-12-24 02:40:00.0","","387840.784136651","184510.669756514","6","600000000","1. 시추기","0",
"7","지하수시공업체","09_29_01_P","3290000","C001801110163202L00","19980327","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 부전동 350-74","","","만호기초개발(주)","20201222091423","U","2020-12-24 02:40:00.0","","","","0","250000000","1. 천공기(시추기) 1, 2. 콤푸레샤 1","0",
"8","지하수시공업체","09_29_01_P","3290000","C001801110300036L00","20000703","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 양정동 150-3 롯데골드로즈 1310호","부산광역시 부산진구 중앙대로 993, 1310호 (양정동,롯데골드로즈)","","구구기초개발㈜","20201221181447","U","2020-12-23 02:40:00.0","","388926.25548886","188502.470592042","","800000000","1. 시추기 1","0",
"9","지하수시공업체","09_29_01_P","3290000","C001801110646399L00","20090723","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 전포동 194-27 남경빌딩 602호","부산광역시 부산진구 전포대로 242, 남경빌딩 5층 (전포동)","47301","(주)신우하이텍","20220607163029","U","2022-06-09 02:40:00.0","","388153.884601013","186287.197415739","2","250000000","","0",
"10","지하수시공업체","09_29_01_P","3290000","C001942110010596L00","19980327","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 부전동 394-34 파크빌라 101호","","","(주)하나기초콘설탄트","20201222091156","U","2020-12-24 02:40:00.0","","387338.543319377","186622.372700772","0","610000000","1. 시추기 1
2. 콤푸레사 1","0",
"11","지하수시공업체","09_29_01_P","3290000","C006051550124000000","20061226","","01","영업/정상","1","영업","","","","","","","","","부산광역시 부산진구 초읍천로108번길 68, 2층 201호 (초읍동)","47104","강남지하수","20201222091752","U","2020-12-24 02:40:00.0","","386396.424585874","188522.316238299","2","165000000","시추기1","0",
"12","지하수시공업체","09_29_01_P","3290000","C006052487128000000","20131014","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 부전동 98-7","부산광역시 부산진구 동천로 125 (부전동)","","이케이 ENG","20210122173232","U","2021-01-24 02:40:00.0","","387818.40693065","186480.068458411","2","33500000","시추기1","1",
"13","지하수시공업체","09_29_01_P","3290000","C006806111109410000","20080602","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 전포동 362-64 15통7반 한라비발디 102동 2406호","부산광역시 부산진구 전포대로 156, 102동 2406호 (전포동,한라비발디)","","구륙NS","20201222090914","U","2020-12-24 02:40:00.0","","388235.354963228","185451.697080808","2","63000000","1.시추기(착정기)-MT-4 
2.공기압축기 XHP1070WCAT 1대","0",
"14","지하수시공업체","09_29_01_P","3290000","C001943110054857L00","20200121","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 양정동 393-2","부산광역시 부산진구 동평로420번길 23, 세종빌딩 (양정동)","47213","(주)한일수자원","20220523142304","I","2022-05-25 00:22:31.0","","388507.786841755","187860.99965361","2","50000000","","0",
"15","지하수시공업체","09_29_01_P","3300000","C006210478910000000","19980327","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 명륜동 596-3번지","부산광역시 동래구 충렬대로237번길 139 (명륜동)","","대한개발","20131029140345","I","2018-08-31 23:59:59.0","","389555.736796411","191743.331010515","2","52596000","시추기 1대","0",
"16","지하수시공업체","09_29_01_P","3300000","C001801110716803L00","20100716","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 안락동 600-6번지 남흥상가 201호","부산광역시 동래구 충렬대로428번가길 19 (안락동,남흥상가 201호)","","(주)인산온천개발","20100716171048","I","2018-08-31 23:59:59.0","","391698.268578248","190463.069189635","2","50000000","시추기D-1000 1대
콤프레샤 25K - 1대(임대1년)
시추롯트 4.5m - 100개
햄머8인치 - 1개
비트10인치 - 1개","0",
"17","지하수시공업체","09_29_01_P","3300000","C001801110746967L00","20140421","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 안락동 248 3층","부산광역시 동래구 충렬대로 432 (안락동)","","(주)지오뱅크","20140421101420","I","2018-08-31 23:59:59.0","","391691.196032511","190574.787360832","2","50000000","시추기 1대","0",
"18","지하수시공업체","09_29_01_P","3300000","C001949110008307L00","20020216","","01","영업/정상","1","영업","","","","","","","","","부산광역시 동래구 온천장로 14, 103호 (온천동, 프리존O/T)","","(주)한국지수종합기술단","20180302094431","I","2018-08-31 23:59:59.0","","","","2","410000000","","0",
"19","지하수시공업체","09_29_01_P","3300000","C006070187620000000","20090527","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 명장동 26-24번지 국제파크아파트506호","부산광역시 동래구 충렬사로 81 (명장동,국제파크아파트506호)","","동성개발","20091102171420","I","2018-08-31 23:59:59.0","","391144.33975431","191612.245209047","2","43025000","시추기1대, 시추롯트1000m 223개,
에어햄머8,10,12인치 각1개","0",
"20","지하수시공업체","09_29_01_P","3300000","C006070977619000000","20101025","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 명륜동 11-17번지","부산광역시 동래구 시실로 36-2 (명륜동)","","제영건설","20101026103832","I","2018-08-31 23:59:59.0","","389966.863065915","192741.089054358","0","0","","0",
