"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수영향조사기관","09_29_02_P","3270000","S001801110315837L00","20080111","","01","영업/정상","1","영업","","","","","","","","부산광역시 동구 초량동 135-48 금정빌딩 2층","","","㈜성진엔지니어링","20201217095039","U","2020-12-19 02:40:00.0","","385872.188077484","182068.435002445","5","0","수위측정기,수소이온농도측정기,수온측정기,전기전도도측정기","0",
"2","지하수영향조사기관","09_29_02_P","3290000","S001801110091271L00","19971217","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 범천동 839-32번지 신부산빌딩 9층","부산광역시 부산진구 자유평화로3번길 14-21 (범천동,신부산빌딩 9층)","","㈜동남기초","20091016114241","I","2018-08-31 23:59:59.0","","387840.784136651","184510.669756514","6","0","수위측정장비,PH 측정장비,수온측정장비,전기전도도측정장비","0",
"3","지하수영향조사기관","09_29_02_P","3290000","S001801110646390L00","20130501","","01","영업/정상","1","영업","","","","","","","","부산광역시 부산진구 전포동 194-27 남경빌딩 5층","부산광역시 부산진구 전포대로 242, 남경빌딩 5층 (전포동)","47301","(주)신우하이텍","20220608102549","U","2022-06-10 02:40:00.0","","388153.884601013","186287.197415739","5","0","간이 수질측정장비, 간이수질 측정기, 수동 수위측정기, 자동 수위측정기, 전이온농도 및 전기전도도 측정기, 수소이온농도 측정기","0",
"4","지하수영향조사기관","09_29_02_P","3300000","S001801110746967L00","20121024","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 안락동 248 3층","부산광역시 동래구 충렬대로 432 (안락동)","","(주)지오뱅크","20121024132813","I","2018-08-31 23:59:59.0","","391691.196032511","190574.787360832","4","0","PH-Meter, ED/TDS/TEMP Meter, 수위측정기, 시추기","0",
"5","지하수영향조사기관","09_29_02_P","3300000","S006052076701000000","20060914","","01","영업/정상","1","영업","","","","","","","","부산광역시 동래구 사직동 99-5번지","부산광역시 동래구 아시아드대로133번길 17 (사직동)","","기술사사무소지오엠","20070427094440","I","2018-08-31 23:59:59.0","","387998.366629358","190489.966525411","4","0","지하수수위측정장비 3대
간이수질측정기구 2대","0",
"6","지하수영향조사기관","09_29_02_P","3310000","S006178300117000000","20051209","","01","영업/정상","1","영업","","","","","","","","부산광역시 남구 대연동 599-1번지 부경대학교","부산광역시 남구 용소로 45 (대연동,부경대학교)","","부경대학교 지질환경연구소","20071023134830","I","2018-08-31 23:59:59.0","","391796.495138673","183632.373950837","6","0","수소이온농도측정기 외 12종","0",
"7","지하수영향조사기관","09_29_02_P","3320000","S001955110078414L00","20050629","","01","영업/정상","1","영업","","","","","","","","부산광역시 북구 금곡동 1880-5번지 해성빌딩 4층","부산광역시 북구 금곡대로441번길 7 (금곡동,해성빌딩 4층)","","(주)동해이엔지","20111209142548","I","2018-08-31 23:59:59.0","","383090.133003427","196124.737004344","","0","","0",
"8","지하수영향조사기관","09_29_02_P","3330000","S001801110240307L00","20161107","","01","영업/정상","1","영업","","","","","","","","","부산광역시 해운대구 센텀동로 99, 벽산이센텀클래스원 1508호 (재송동)","48059","(주)하나기술단","20210910150945","U","2021-09-12 02:40:00.0","","393607.260373715","188408.076687691","3","0","지하수위 측정기 WL-50
수소이온농도(PH), 수온,
전기전도 측정기 YK-2001PHA","0",
"9","지하수영향조사기관","09_29_02_P","3330000","S001801110469072L00","20061101","","01","영업/정상","1","영업","","","","","","","","부산광역시 해운대구 재송동 1149-7번지","부산광역시 해운대구 재반로 163-23 (재송동)","","(주)성산엔지니어링","20131216174849","I","2018-08-31 23:59:59.0","","393871.111334593","190225.666663987","4","0","수위측정기, 전기전도도(EC)측정기, 수소이온농도(pH) 및 수온측정기","0",
"10","지하수영향조사기관","09_29_02_P","3330000","S001955110078414L00","20111220","","01","영업/정상","1","영업","","","","","","","","부산광역시 해운대구 우동 1459","","","(주)동해이엔지","20200709103054","U","2020-07-11 02:40:00.0","","393868.69459854","188144.721879896","4","0","지하수위 측정기 1대, 다항목 수질측정기 1대","0",
"11","지하수영향조사기관","09_29_02_P","3330000","S005823400021000000","20210222","","01","영업/정상","1","영업","","","","","","","","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 (재송동)","48058","상지지오텍","20210222135813","I","2021-02-24 00:23:01.0","","393503.395720953","188279.474831569","3","0","지하수위계 1대
휴대용 multi meter(pH, Conductivity/Temp.) 1대","0",
"12","지하수영향조사기관","09_29_02_P","3350000","S001801111191806L00","20190527","","01","영업/정상","1","영업","","","","","","","","부산광역시 금정구 장전동 40번지 부산대학교 제6공학관 6108-호","부산광역시 금정구 부산대학로63번길 2, 부산대학교 제6공학관 6108-1호 (장전동)","46241","주식회사 다솔이앤씨","20200414183608","U","2020-04-16 02:40:00.0","","389314.662085919","194669.898821687","4","0","지하수수위측정장비(지하수위계 Model GV 2417-50M)
수소이온농도, 수온, 전기전도도 측정장비(다항목측정기 HM-501)","0",
"13","지하수영향조사기관","09_29_02_P","3350000","S001801110749979L00","20210304","","01","영업/정상","1","영업","","","","","","","","부산광역시 금정구 두구동 228 구서1동새마을금고두구지점","부산광역시 금정구 체육공원로 622(두구동)","46208","주식회사 동방이엔지","20220426124436","U","2022-04-28 02:40:00.0","","392047.096854354","201677.693320986","3","0","","0",
"14","지하수영향조사기관","09_29_02_P","3350000","S006172247407000000","20120704","","01","영업/정상","1","영업","","","","","","","","부산광역시 금정구 장전동 417-2번지 동신빌딩 4층","부산광역시 금정구 금정로91번길 3, 4층 (장전동, 동신빌딩)","","수인지오텍","20120710091714","I","2018-08-31 23:59:59.0","","389882.521018044","194604.469329687","4","0","수위측정기,수소이온농도(pH), 수온, 전기전도도 측정기","0",
"15","지하수영향조사기관","09_29_02_P","3350000","S001801110762989L00","20110713","","01","영업/정상","1","영업","","","","","","","","부산광역시 금정구 장전동 부산대학교 제6공학관 6104-3","","","(주)지오에스지","20110713134601","I","2018-08-31 23:59:59.0","","","","4","0","○ 지하수위 측정기 1대
○ 현장수질측정기 1대","0",
"16","지하수영향조사기관","09_29_02_P","3370000","S001801110482678L00","20161107","","01","영업/정상","1","영업","","","","","","","","","부산광역시 연제구 교대로 13 (거제동)","47506","(주)청출어람","20161107174029","I","2018-08-31 23:59:59.0","","389209.030889954","190429.066143727","3","0","지하수수위측정기(RWL-100)
수온,수소이온농도,DO측정기
전기전도도측정기(HI-8633N)","0",
"17","지하수영향조사기관","09_29_02_P","3390000","S001955110233844L00","20191023","","01","영업/정상","1","영업","","","","","","","","부산광역시 사상구 모라동 1375 915호","부산광역시 사상구 모라로 22, 부산벤처타워 915호 (모라동)","46918","주)청토건설이엔지","20220425162606","U","2022-04-27 02:40:00.0","","380700.827195332","189776.290986029","3","0","- 수질측정기(1대) : PH, 수온, 전기전도도
- 수위측정기(1대) : 100m 측정","0",
