"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수정화업체","09_29_03_P","3310000","1801110276336L00","20180308","","01","영업/정상","1","영업","","","","","","","","","부산광역시 남구 수영로 345, 115동 313호 (대연동, 대연힐스테이트푸르지오)","48432","예서건설(주)","20180502210452","I","2018-08-31 23:59:59.0","","391728.56899900000","185102.22915100000","","","","",
"2","지하수정화업체","09_29_03_P","3310000","J001801110276336L00","20180308","","01","영업/정상","1","영업","","","","","","","","","부산광역시 남구 수영로 345, 115동 313호 (대연동, 대연힐스테이트푸르지오)","48432","예서건설(주)","20200720172436","U","2020-07-22 02:40:00.0","","391728.56899900000","185102.22915100000","5","2700000000","밀리언 로프 수위계 1set
YK-2001PH 1set
기체크로마토그래프질량분석기(GC-MS) 1set","0",
"3","지하수정화업체","09_29_03_P","3330000","J001801110508664L00","20151008","","01","영업/정상","1","영업","","","","","","","","","부산광역시 해운대구 APEC로 17, 센텀리더스마크 3802호 (우동)","48060","(주)금송ENG","20210413182222","I","2021-04-15 00:22:57.0","","394209.294344881","187280.207931335","5","500000000","？ 수소이온농도, 용존산소, 
   산화환원전위: YK-2001
？ 전기전도도: CON-5
？ 수위측정기: SP-50m
？ 가스크로마트그래프: 6890N
  - 분석장비사용계약서","0",
"4","지하수정화업체","09_29_03_P","3340000","1801110001824L00","20130521","","01","영업/정상","1","영업","","","","","","","","부산광역시 사하구 구평동 388-5번지","부산광역시 사하구 구평로16번길 67 (구평동)","","(주)신대양","20180619133458","I","2018-08-31 23:59:59.0","","381722.039168616","176707.343737259","","","","",
"5","지하수정화업체","09_29_03_P","3340000","J001801110001824L00","20130521","","01","영업/정상","1","영업","","","","","","","","부산광역시 사하구 구평동 388-5번지","부산광역시 사하구 구평로16번길 67 (구평동)","","(주)신대양","20180619133458","I","2018-08-31 23:59:59.0","","381722.039168616","176707.343737259","5","7687000000","지하수의 수위측정장비, 수소이온농도(ph),수온,전기전도도(EC),용존산소(DO),산화환원전위(Eh)","0",
"6","지하수정화업체","09_29_03_P","3350000","J001801110310986L00","20060125","","01","영업/정상","1","영업","","","","","","","","경상남도 양산시 다방동 506-1번지","경상남도 양산시 노포사송로 868 (다방동)","","영웅생명과학원(주)","20101101173628","I","2018-08-31 23:59:59.0","","385241.485862615","205505.082586346","7","500000000","수위측정기 외 5개","0",
"7","지하수정화업체","09_29_03_P","3350000","1801110310986L00","20060125","","01","영업/정상","1","영업","","","","","","","","경상남도 양산시 다방동 506-1번지","경상남도 양산시 노포사송로 868 (다방동)","","영웅생명과학원(주)","20101101173628","I","2018-08-31 23:59:59.0","","385241.485862615","205505.082586346","","","","",
"8","지하수정화업체","09_29_03_P","3380000","J001801110508664L00","20151008","","01","영업/정상","1","영업","","","","","","","","","부산광역시 수영구 광남로48번길 16, 3층 (남천동)","48304","(주)금송ENG","20161205164125","I","2018-08-31 23:59:59.0","","392460.910134209","185055.496062664","5","500000000","？ 수소이온농도, 용존산소, 
   산화환원전위: YK-2001
？ 전기전도도: CON-5
？ 수위측정기: SP-50m
？ 가스크로마트그래프: 6890N
  - 분석장비사용계약서","0",
"9","지하수정화업체","09_29_03_P","3380000","1801110508664L00","20151008","","01","영업/정상","1","영업","","","","","","","","","부산광역시 수영구 광남로48번길 16, 3층 (남천동)","48304","(주)금송ENG","20161205164125","I","2018-08-31 23:59:59.0","","392460.910134209","185055.496062664","","","","",
"10","지하수정화업체","09_29_03_P","3400000","J001801110001824L00","20200602","","01","영업/정상","1","영업","","","","","","","","508-3","부산광역시 기장군 정관읍 구연3로 17, A동 402, 502호","46023","(주)신대양","20220428105846","U","2022-04-30 02:40:00.0","","","","0","0","","0",
"11","지하수정화업체","09_29_03_P","3400000","J001801110739483L00","20110103","","01","영업/정상","1","영업","","","","","","","","부산광역시 기장군 정관읍 예림리 347번지 2층","부산광역시 기장군 정관읍 정관로 923-58 (2층)","","주.큐엔솔루션","20120611132814","I","2018-08-31 23:59:59.0","","401196.848117724","205367.602874154","15","350000000","수위측정장비, 수소이온농도, 수온 전기전도도 용존산소, 산화환원전원, 가스크로마토크라프","0",
"12","지하수정화업체","09_29_03_P","3400000","1801110739483L00","20110103","","01","영업/정상","1","영업","","","","","","","","부산광역시 기장군 정관읍 예림리 347번지 2층","부산광역시 기장군 정관읍 정관로 923-58 (2층)","","주.큐엔솔루션","20120611132814","I","2018-08-31 23:59:59.0","","401196.848117724","205367.602874154","","","","",
"13","지하수정화업체","09_29_03_P","3320000","J001955110078414L00","20090429","20130516","03","폐업","2","취소정지업체","","","","","","","","부산광역시 북구 금곡동 1880-5번지 해성빌딩 4층","부산광역시 북구 금곡대로441번길 7 (금곡동,해성빌딩 4층)","","(주)동해이엔지","20130704164246","I","2018-08-31 23:59:59.0","","383090.133003427","196124.737004344","7","300000000","수위측정기(수위자동기록기포함), 수질측정기(pH, T, DO, ORP,TDS, 전기전도도 측정), 가스크로마토그라프(임대장비)","0",
