"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","개인하수처리시설관리업(사업장)","09_30_03_P","3250000","325000053200800001","20080522","","03","폐업","2","폐업","20100721","","","","0512478115","","600074","부산광역시 중구 부평동4가 16-1","","","(주)녹수건설","20100721102513","I","2018-08-31 23:59:59.0","환경상담 및 관련 엔지니어링 서비스업","384366.676789127","179959.257076341","분뇨등관련영업관리","환경상담 및 관련 엔지니어링 서비스업","","","","","","","",
"2","개인하수처리시설관리업(사업장)","09_30_03_P","3260000","326000053200417784","20041227","","03","폐업","2","폐업","20111230","","","","0512422370","","602808","부산광역시 서구 동대신동1가 326","부산광역시 서구 대영로86번길 73  (동대신동1가)","","(주)정원환경개발","20191014175910","I","2019-10-16 00:22:51.0","","384307.97574259","180660.89704286","분뇨등관련영업관리","","","","","","","","",
"3","개인하수처리시설관리업(사업장)","09_30_03_P","3260000","326000053200400001","20040602","","03","폐업","2","폐업","20080617","","","","051  2478115","","602070","부산광역시 서구 부민동1가 4-3","부산광역시 서구 구덕로 228  (부민동1가)","","(주)녹수건설","20150331161013","I","2018-08-31 23:59:59.0","","384136.095305462","180300.476056401","분뇨등관련영업관리","","","","","","","","",
"4","개인하수처리시설관리업(사업장)","09_30_03_P","3260000","326000053200400002","20040602","","03","폐업","2","폐업","20080617","","","","051 2478115","","602815","부산광역시 서구 부민동1가 4-3","부산광역시 서구 구덕로 228  (부민동1가)","","녹수건설(주)","20150331161138","I","2018-08-31 23:59:59.0","","384136.095305462","180300.476056401","분뇨등관련영업관리","","","","","","","","",
"5","개인하수처리시설관리업(사업장)","09_30_03_P","3270000","327000053200000001","20000807","","03","폐업","2","폐업","20041231","","","","051 4414465","","601011","부산광역시 동구 초량동 1213-14 프라자호텔 802호","","","(주)강토건설","20081015172856","I","2018-08-31 23:59:59.0","폐기물 처리 및 오염방지시설 건설업","385891.8538764","181102.740799952","분뇨등관련영업관리","폐기물 처리 및 오염방지시설 건설업","","","","","","","",
"6","개인하수처리시설관리업(사업장)","09_30_03_P","3270000","327000053200200001","20020627","","03","폐업","2","폐업","20160706","","","","6431101","","601807","부산광역시 동구 범일동 830-42","","","협성개발(주)","20160706160121","I","2018-08-31 23:59:59.0","","387727.932157079","184254.180458819","분뇨등관련영업관리","","","","","","","","",
"7","개인하수처리시설관리업(사업장)","09_30_03_P","3270000","327000053201000001","20101116","","03","폐업","2","폐업","20161206","","","","4610055","","601839","부산광역시 동구 초량동 1212-9","","","케이비유니온개발(주)","20161206124618","I","2018-08-31 23:59:59.0","부동산 관리업","385842.289100827","181119.770398261","분뇨등관련영업관리","부동산 관리업","","","","","","","",
"8","개인하수처리시설관리업(사업장)","09_30_03_P","3270000","327000053200900001","20090909","","01","영업/정상","3","재개업","","","20160223","20160223","051-515-2842","","601830","부산광역시 동구 초량동 1056-36 예그린아파트 B101","부산광역시 동구 초량상로 34 (초량동,예그린아파트 B101)","","(주)미래티이씨","20201208150714","U","2020-12-10 02:40:00.0","","385591.248001476","181425.423838974","분뇨등관련영업관리","","","","","","","","",
"9","개인하수처리시설관리업(사업장)","09_30_03_P","3280000","328000053199900011","20021213","","01","영업/정상","11","영업","","","","","","","606818","부산광역시 영도구 청학동 62-74","","","(주)석정크린텍","20031001094129","I","2018-08-31 23:59:59.0","","","","분뇨등관련영업관리","","","","","","","","",
"10","개인하수처리시설관리업(사업장)","09_30_03_P","3280000","328000053200300001","20030517","","01","영업/정상","11","영업","","","","","","","606062","부산광역시 영도구 봉래동2가 76","부산광역시 영도구 대교로 27  (봉래동2가)","","삼영이엔테크(주)","20050425171117","I","2018-08-31 23:59:59.0","","386130.066987103","179085.546176133","분뇨등관련영업관리","","","","","","","","",
"11","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200000001","20000626","","01","영업/정상","11","영업","","","","","0518024466","","","부산광역시 부산진구 초읍동 279-7","부산광역시 부산진구 초읍천로108번길 68 (초읍동)","47104","대일환경(주)","20201214105722","U","2020-12-16 02:40:00.0","","386396.424585874","188522.316238299","분뇨등관련영업관리","","","","","","","","",
"12","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200200001","20020122","","01","영업/정상","11","영업","","","","","","","614801","부산광역시 부산진구 가야동 617-36","","","남산환경","20070809134419","I","2018-08-31 23:59:59.0","","384793.756527628","185405.980160934","분뇨등관련영업관리","","","","","","","","",
"13","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200200002","20021024","","01","영업/정상","11","영업","","","","","051 917 2166","","614828","부산광역시 부산진구 범천동 857-2 동일타워 오피스텔 808호","","","(주)금정토건","20041007162053","I","2018-08-31 23:59:59.0","하수 처리업","387623.548611457","185214.125015571","분뇨등관련영업관리","하수 처리업","","","","","","","",
"14","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200500001","20050816","","01","영업/정상","11","영업","","","","","0518964616","","","부산광역시 부산진구 부전동 474-80 유원골든타워오피스텔 1216호","부산광역시 부산진구 서면문화로 27, 유원골든타워오피스텔 1216호 (부전동)","47257","남산환경","20201214105641","U","2020-12-16 02:40:00.0","","387225.613588405","186408.726533861","분뇨등관련영업관리","","","","","","","","",
"15","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200600001","20060623","","01","영업/정상","11","영업","","","","","0518649365","","","부산광역시 부산진구 양정동 312-6","부산광역시 부산진구 동평로405번길 31 (양정동)","47211","더난환경","20201214105808","U","2020-12-16 02:40:00.0","","388522.355308657","188180.20995136","분뇨등관련영업관리","","","","","","","","",
"16","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053201100002","20110317","","03","폐업","2","폐업","20181018","","","","","","","부산광역시 부산진구 양정동 394-3","부산광역시 부산진구 거제대로36번길 26 (양정동)","47213","(주)원봉","20181018142057","U","2018-10-20 02:38:00.0","","388423.564378881","187785.194320347","분뇨등관련영업관리","","","","","","","","",
"17","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200000002","20000725","","03","폐업","2","폐업","20120117","","","","051 804 9061","","614093","부산광역시 부산진구 부암동 444","부산광역시 부산진구 백양순환로119번길 3 (부암동)","614839","(주)금목환경","20121203081308","I","2018-08-31 23:59:59.0","","385801.434012603","187562.532404525","분뇨등관련영업관리","","","","","","","","",
"18","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200100001","20010521","","03","폐업","2","폐업","20030926","","","","051 803 3664","","614042","부산광역시 부산진구 전포동 184-59","부산광역시 부산진구 동성로96번길 25  (전포동)","","아성환경","20050111172806","I","2018-08-31 23:59:59.0","하수 처리업","388409.928490226","186494.915560743","분뇨등관련영업관리","하수 처리업","","","","","","","",
"19","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200100002","20011222","","03","폐업","2","폐업","20121203","","","","051 817 2367","","614080","부산광역시 부산진구 초읍동 174-14","부산광역시 부산진구 성지로137번길 6  (초읍동)","","원광화공","20121203081701","I","2018-08-31 23:59:59.0","","386597.629749867","188789.425471716","분뇨등관련영업관리","","","","","","","","",
"20","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053201100001","20110317","","03","폐업","2","폐업","20180515","","","","863-8368","","614876","부산광역시 부산진구 부전동 474-80 유원오피스텔 1301호","부산광역시 부산진구 서면문화로 27 (부전동,유원오피스텔 1301호)","","(주)원봉기업","20180516175047","I","2018-08-31 23:59:59.0","","387225.613588405","186408.726533861","분뇨등관련영업관리","","","","","","","","",
"21","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200700001","20071107","","03","폐업","2","폐업","20130826","","","","","","614868","부산광역시 부산진구 전포동 886-6","부산광역시 부산진구 동천로 32 (전포동)","614868","내외기계공업(주)","20130826112041","I","2018-08-31 23:59:59.0","","387879.07263691","185532.965324924","분뇨등관련영업관리","","","","","","","","",
"22","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053201500001","20151204","","03","폐업","2","폐업","20181018","","","","","","","부산광역시 부산진구 양정동 394-3","부산광역시 부산진구 거제대로36번길 26 (양정동)","47213","(주)원엔터프라이즈","20181018142250","U","2018-10-20 02:38:00.0","","388423.564378881","187785.194320347","분뇨등관련영업관리","","","","","","","","",
"23","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200200003","20021030","","03","폐업","2","폐업","20170111","","","","051 807 5206","","614080","부산광역시 부산진구 초읍동 582-4","부산광역시 부산진구 성지로113번길 16  (초읍동)","","한울엔지니어링","20170111161954","I","2018-08-31 23:59:59.0","","386791.752260592","188612.549433057","분뇨등관련영업관리","","","","","","","","",
"24","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200300001","20030729","","03","폐업","2","폐업","20080704","","","","051 817 9993","","614031","부산광역시 부산진구 부전동 474-54","부산광역시 부산진구 부전로 102-5  (부전동)","","(주)한일환경","20080704173857","I","2018-08-31 23:59:59.0","","387170.66199816","186381.131910033","분뇨등관련영업관리","","","","","","","","",
"25","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200400001","20040209","","03","폐업","2","폐업","20041222","","","","","","614103","부산광역시 부산진구 당감동 500-8","부산광역시 부산진구 당감서로 13  (당감동)","","(주)정원환경개발","20041229152604","I","2018-08-31 23:59:59.0","","385439.873241635","186664.885199633","분뇨등관련영업관리","","","","","","","","",
"26","개인하수처리시설관리업(사업장)","09_30_03_P","3290000","329000053200400002","20040816","","03","폐업","2","폐업","20140805","","","","","","614091","부산광역시 부산진구 부암동 52-7","","","주식회사 우성","20160119143113","I","2018-08-31 23:59:59.0","","386757.998428587","187080.068872994","분뇨등관련영업관리","","","","","","","","",
"27","개인하수처리시설관리업(사업장)","09_30_03_P","3300000","330000053200000003","20000714","","01","영업/정상","11","영업","","","","","","","607011","부산광역시 동래구 명륜동 676-101","","","대진환경개발(주)","20030722113953","I","2018-08-31 23:59:59.0","","","","분뇨등관련영업관리","","","","","","","","",
"28","개인하수처리시설관리업(사업장)","09_30_03_P","3300000","330000053200000005","20000810","","01","영업/정상","11","영업","","","","","051 5573421","","607837","부산광역시 동래구 온천동 1129-4","","","동아엔바이로(주)","20040112173139","I","2018-08-31 23:59:59.0","","388100.30128976","192130.913902257","분뇨등관련영업관리","","","","","","","","",
"29","개인하수처리시설관리업(사업장)","09_30_03_P","3300000","330000053200000009","20000814","","01","영업/정상","11","영업","","","","","051 5312268","","607830","부산광역시 동래구 안락동 448-6","","","세계건설(주)","20030812103830","I","2018-08-31 23:59:59.0","","","","분뇨등관련영업관리","","","","","","","","",
"30","개인하수처리시설관리업(사업장)","09_30_03_P","3300000","330000053200000010","20001227","","01","영업/정상","11","영업","","","","","051 5569362","","607063","부산광역시 동래구 온천동 1367-8","","","더난환경","20040716113748","I","2018-08-31 23:59:59.0","","","","분뇨등관련영업관리","","","","","","","","",
