"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"1","건물위생관리업","09_30_04_P","3250000","3250000-206-2009-00008","20091030","","01","영업/정상","01","영업","","","","","051 7151550","138.80","600815","부산광역시 중구 중앙동4가 36-14 은산빌딩","부산광역시 중구 해관로 65, 은산빌딩 15층 1503호 (중앙동4가)","48930","(주)재덕","20190423111617","U","2019-04-25 02:40:00.0","건물위생관리업","385502.492319657","180297.579330876","건물위생관리업","16","1","15","15","0","0","0","0","0","N","0","","","","","0","","4","0","0","N",
"2","건물위생관리업","09_30_04_P","3250000","3250000-206-2015-00004","20151204","","01","영업/정상","01","영업","","","","","","89.11","600810","부산광역시 중구 영주동 60-11","부산광역시 중구 대영로 213, 지하1층 (영주동)","48910","(주)코리아비엠씨","20151204101403","I","2018-08-31 23:59:59.0","건물위생관리업","385385.797145415","181155.165823209","건물위생관리업","4","1","","","1","1","0","0","0","N","0","","","","임대","0","0","1","0","0","N",
"3","건물위생관리업","09_30_04_P","3250000","3250000-206-2000-00008","20000707","","01","영업/정상","01","영업","","","","","051206 2993","143.00","600815","부산광역시 중구 중앙동4가 36-14 은산빌딩 1107호","부산광역시 중구 해관로 65, 11층 1107호 (중앙동4가, 은산빌딩)","48930","(주)승학피엠씨","20171204151729","I","2018-08-31 23:59:59.0","건물위생관리업","385502.492319657","180297.579330876","건물위생관리업","","","4","4","","","","","","N","","","","","","","","","","","N",
"4","건물위생관리업","09_30_04_P","3250000","3250000-206-1990-00001","19900625","","01","영업/정상","01","영업","","","","","2548733","53.10","600021","부산광역시 중구 동광동1가 1 부산데파트 4층 508-1호","부산광역시 중구 중앙대로 21, 4층 508-1호 (동광동1가, 부산데파트)","","부산기업(주)","20210909103755","U","2021-09-11 02:40:00.0","건물위생관리업","385587.465780386","179726.692445216","건물위생관리업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"5","건물위생관리업","09_30_04_P","3250000","3250000-206-2004-00001","20040225","","01","영업/정상","01","영업","","","","","051 4634585","24.30","600091","부산광역시 중구 대청동1가 49-1 1층","부산광역시 중구 대청로116번길 8, 1층 (대청동1가)","48949","중구지역자활센터","20190221152244","U","2019-02-23 02:40:00.0","건물위생관리업","385238.304568874","180011.379826524","건물위생관리업","3","1","1","1","0","0","0","0","0","N","0","","","","임대","0","7","","0","0","N",
"6","건물위생관리업","09_30_04_P","3250000","3250000-206-2005-00005","20050517","","01","영업/정상","01","영업","","","","","051 4629961","112.18","600816","부산광역시 중구 중앙동4가 79-1 마린센타 지하1층 109호","부산광역시 중구 충장대로9번길 52, 지하1층 109호 (중앙동4가, 마린센타)","48936","(주)백경","20201204141547","U","2020-12-06 02:40:00.0","건물위생관리업","385825.756707547","180869.292984843","건물위생관리업","19","3","1","1","0","0","0","0","0","N","0","","","","임대","0","","","0","0","N",
"7","건물위생관리업","09_30_04_P","3250000","3250000-206-1987-00001","19871110","","01","영업/정상","01","영업","","","","","4657019","12.80","600817","부산광역시 중구 중앙동4가 80-16 화신빌딩 607호","부산광역시 중구 충장대로9번길 28, 607호 (중앙동4가, 화신빌딩)","48937","동화산업사","20130208135552","I","2018-08-31 23:59:59.0","건물위생관리업","385730.223219262","180633.142129186","건물위생관리업","7","1","6","6","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"8","건물위생관리업","09_30_04_P","3250000","3250000-206-1988-00001","19880629","","01","영업/정상","01","영업","","","","","4693568","79.20","600102","부산광역시 중구 대창동2가 37-3 센트럴 O/T 1107호","부산광역시 중구 중앙대로 131, 1107호 (대창동2가, 센트럴 O/T)","","현대종합용역(주)","20130208135742","I","2018-08-31 23:59:59.0","건물위생관리업","385629.733383327","180827.538655672","건물위생관리업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"9","건물위생관리업","09_30_04_P","3250000","3250000-206-1999-00004","19990727","","01","영업/정상","01","영업","","","","","4688594","103.97","600101","부산광역시 중구 대창동1가 54-67 부원APT","부산광역시 중구 중앙대로115번길 1-6, 지하2층 615호 (대창동1가, 부원APT)","48924","강남종합환경","20220329170521","U","2022-03-31 02:40:00.0","건물위생관리업","385544.772444246","180648.03280747","건물위생관리업","12","5","0","0","2","2","0","0","0","N","0","","","","","0","0","0","0","0","N",
"10","건물위생관리업","09_30_04_P","3250000","3250000-206-2008-00002","20080304","","01","영업/정상","01","영업","","","","","051  4634661","99.00","600815","부산광역시 중구 중앙동4가 40-25 (3층)","부산광역시 중구 동광길 42, 3층 (중앙동4가)","48928","(주)프라임 휴먼텍","20130208141817","I","2018-08-31 23:59:59.0","건물위생관리업","385449.586151819","180283.916944685","건물위생관리업","8","0","3","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"11","건물위생관리업","09_30_04_P","3250000","3250000-206-1987-00003","19871221","","01","영업/정상","01","영업","","","","","051 4642626","97.31","600816","부산광역시 중구 중앙동4가 79-1 마린센터 1층","부산광역시 중구 충장대로9번길 52, 1층 (중앙동4가, 마린센터)","48936","범양기업","20130208135643","I","2018-08-31 23:59:59.0","건물위생관리업","385825.756707547","180869.292984843","건물위생관리업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"12","건물위생관리업","09_30_04_P","3250000","3250000-206-2013-00002","20130712","","01","영업/정상","01","영업","","","","","051 465 8259","68.04","600815","부산광역시 중구 중앙동4가 55-6 4층","부산광역시 중구 중앙대로93번길 3, 4층 (중앙동4가)","48929","(주)에스티에스시스템","20130712104145","I","2018-08-31 23:59:59.0","건물위생관리업","385534.479524057","180422.917954098","건물위생관리업","6","1","4","4","","","0","0","0","N","0","","","","임대","0","","","0","0","N",
