"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","폐기물처리업구분명","폐기물처리업별처리구분명","폐기물구분명","허용보관량","허용보관량내용",
"1","건설폐기물처리업","09_30_05_P","3250000","325000092200900001","20090709","","03","폐업","2","폐업","20091109","","","","3165-366","","600072","부산광역시 중구 부평동2가 55-5번지 3층","부산광역시 중구 부평1길 5  (부평동2가,3층)","","(주)현우","20091114130225","I","2018-08-31 23:59:59.0","","384631.174350837","179724.677771887","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"2","건설폐기물처리업","09_30_05_P","3260000","326000092200600001","20210107","","01","영업/정상","BBBB","영업","","","","","051-242-5819","","602807","부산광역시 서구 동대신동1가 16-401","부산광역시 서구 망양로228번길 5 (동대신동1가)","602807","동일환경산업","20210113172705","U","2021-01-15 02:40:00.0","","384491.405190696","180888.283563988","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","379.66","",
"3","건설폐기물처리업","09_30_05_P","3260000","326000092200800001","20080312","","01","영업/정상","BBBB","영업","","","","","0512556555","","602093","부산광역시 서구 서대신동3가 54-8번지","부산광역시 사상구 주례로 93, 108동 506호 (주례동)","617764","그린산업","20131231144130","I","2018-08-31 23:59:59.0","","382696.80654055","184731.028529187","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"4","건설폐기물처리업","09_30_05_P","3260000","326000092200800002","20080605","","01","영업/정상","BBBB","영업","","","","","0512435700","","602070","부산광역시 서구 부민동1가 4-4번지","부산광역시 서구 구덕로226번길 3 (부민동1가)","602815","(주)창승이엔지","20111030142534","I","2018-08-31 23:59:59.0","","384133.974290035","180289.315652217","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"5","건설폐기물처리업","09_30_05_P","3260000","326000092201500001","20151021","","01","영업/정상","BBBB","영업","","","","","","","","","부산광역시 서구 구덕로 302, 2호 (동대신동2가)","49217","성도그린","20151021173210","I","2018-08-31 23:59:59.0","","383879.708649104","180954.517410815","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"6","건설폐기물처리업","09_30_05_P","3270000","327000092200900001","20160923","","03","폐업","2","폐업","20160923","","","","636-8116","","601065","부산광역시 동구 좌천동 1164-3번지","부산광역시 동구 충장대로289번길 61 (좌천동)","601050","화성리사이클링(주)","20190531165826","U","2019-06-02 02:40:00.0","","386984.832052136","183037.154055866","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"7","건설폐기물처리업","09_30_05_P","3270000","327000092201500001","20151216","","01","영업/정상","BBBB","영업","","","","","","","","부산광역시 동구 좌천동 668-2","부산광역시 동구 고관로 164, 일신빌딩 312호 (좌천동)","48775","(주)시광","20220110144342","U","2022-01-13 02:40:00.0","","386844.148030532","183305.334262891","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","0","",
"8","건설폐기물처리업","09_30_05_P","3270000","327000092202000001","20200317","","01","영업/정상","BBBB","영업","","","","","051-469-0009","","","부산광역시 동구 초량동 1195-6","부산광역시 동구 중앙대로236번길 7-6, 203호 (초량동)","48732","(주)씨앤에스코리아","20220228131456","U","2022-03-02 02:40:00.0","","386150.162434706","181791.701583383","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
"9","건설폐기물처리업","09_30_05_P","3280000","328000092200900003","20170120","","03","폐업","2","폐업","20170120","","","","0514036595","","606806","부산광역시 영도구 동삼동 216-1번지","부산광역시 영도구 태종로 513 (동삼동)","606806","남해환경","20170120152842","I","2018-08-31 23:59:59.0","","389027.85901853","178161.44258143","건설폐기물처리업사업계획(허가)신청","수집운반업(건설폐기물)","","","","",
"10","건설폐기물처리업","09_30_05_P","3280000","328000092199600001","20210803","","01","영업/정상","BBBB","영업","","","","","051 403 6677","","606821","부산광역시 영도구 청학동 155-54","부산광역시 영도구 해양로 155 (청학동)","606821","남일환경산업","20220317105342","U","2022-03-19 02:40:00.0","","387846.932858007","178904.726728676","건설폐기물처리업사업계획(허가)신청","중간처분업(건설폐기물)","","","0","",
