"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","단독정화조/오수처리시설설계시공업","09_30_07_P","3260000","326000054200000001","20001006","","03","폐업","2","폐업","20040831","","","","","","602826","부산광역시 서구 서대신동3가 486","","","(주)아이에스유건설","20081015102429","I","2018-08-31 23:59:59.0","","","","분뇨등설계시공업관리","","","","","","","","",
"2","단독정화조/오수처리시설설계시공업","09_30_07_P","3260000","326000054200400001","20040602","","03","폐업","2","폐업","20080617","","","","051 2478115","","602815","부산광역시 서구 부민동1가 4-3","부산광역시 서구 구덕로 228  (부민동1가)","","녹수건설(주)","20081015102606","I","2018-08-31 23:59:59.0","","384136.095305462","180300.476056401","분뇨등설계시공업관리","","","","","","","","",
"3","단독정화조/오수처리시설설계시공업","09_30_07_P","3260000","326000054200417783","20041227","","03","폐업","2","폐업","20060613","","","","051 2422370","","602808","부산광역시 서구 동대신동1가 326","부산광역시 서구 대영로86번길 73  (동대신동1가)","","(주)정원환경개발","20081015102740","I","2018-08-31 23:59:59.0","","384307.97574259","180660.89704286","분뇨등설계시공업관리","","","","","","","","",
"4","단독정화조/오수처리시설설계시공업","09_30_07_P","3260000","326000054200400002","20040603","","03","폐업","2","폐업","20080617","","","","","","602815","부산광역시 서구 부민동1가 4-3","부산광역시 서구 구덕로 228  (부민동1가)","","녹수건설(주)","20080617094436","I","2018-08-31 23:59:59.0","","384136.095305462","180300.476056401","분뇨등설계시공업관리","","","","","","","","",
"5","단독정화조/오수처리시설설계시공업","09_30_07_P","3270000","327000054199400001","19940704","","03","폐업","2","폐업","20090824","","","","051466 8001","","601715","부산광역시 동구 초량동","","","(주)국제종합토건","20090825093045","I","2018-08-31 23:59:59.0","","","","분뇨등설계시공업관리","","","","","","","","",
"6","단독정화조/오수처리시설설계시공업","09_30_07_P","3270000","327000054199900001","19990212","","03","폐업","2","폐업","20080718","","","","051441 1317","","601836","부산광역시 동구 초량동 1154-3","","","(주)한화종합건설","20080722144654","I","2018-08-31 23:59:59.0","","","","분뇨등설계시공업관리","","","","","","","","",
"7","단독정화조/오수처리시설설계시공업","09_30_07_P","3270000","327000054199900002","19991019","","03","폐업","2","폐업","20140806","","","","051 635 4331","","601062","부산광역시 동구 범일동 830-74","","","(주)삼미건설","20170330151141","I","2018-08-31 23:59:59.0","","","","분뇨등설계시공업관리","","","","","","","","",
"8","단독정화조/오수처리시설설계시공업","09_30_07_P","3270000","327000054200100001","20010602","","03","폐업","2","폐업","20051227","","","","","","601062","부산광역시 동구 범일동 252-120","","","(주)비젼환경산업개발","20030703154826","I","2018-08-31 23:59:59.0","환경상담 및 관련 엔지니어링 서비스업","","","분뇨등설계시공업관리","환경상담 및 관련 엔지니어링 서비스업","","","","","","","",
"9","단독정화조/오수처리시설설계시공업","09_30_07_P","3270000","327000054200200001","20020222","","03","폐업","2","폐업","20060201","","","","051469 7630","","601812","부산광역시 동구 수정동","","","(주)신환경","20030703143332","I","2018-08-31 23:59:59.0","환경상담 및 관련 엔지니어링 서비스업","","","분뇨등설계시공업관리","환경상담 및 관련 엔지니어링 서비스업","","","","","","","",
"10","단독정화조/오수처리시설설계시공업","09_30_07_P","3270000","327000054199800001","19980911","","03","폐업","2","폐업","20031205","","","","051 41 4465","","601839","부산광역시 동구 초량동 1213-14","","","(주)강토건설","20120109170914","I","2018-08-31 23:59:59.0","환경상담 및 관련 엔지니어링 서비스업","","","분뇨등설계시공업관리","환경상담 및 관련 엔지니어링 서비스업","","","","","","","",
