"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021202200001","20220407","","01","영업/정상","11","영업","","","","","051-464-930","","","부산광역시 중구 중앙동3가 1 부산우체국","부산광역시 중구 중앙대로 63, 부산우체국 (중앙동3가)","48931","(재)우체국금융개발원 부산지사","20220411161426","I","2022-04-13 00:22:33.0","그외 기타 금융지원 서비스업","385561.650139456","180152.738082365","대기배출업소관리","그외 기타 금융지원 서비스업","5종","","","0","3","150","",
"2","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021202000001","20200324","","01","영업/정상","11","영업","","","","","051-441-2340","","","부산광역시 중구 중앙동4가 75-1번지","부산광역시 중구 충장대로5번길 72 (중앙동4가)","48934","주식회사 케이티","20200324152922","I","2020-03-26 00:23:37.0","유선 및 위성 방송업","385811.634937345","180996.883871158","대기배출업소관리","유선 및 위성 방송업","5종","","","","","","",
"3","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021202100003","20211214","","01","영업/정상","11","영업","","","","","051-410-8773","","","부산광역시 중구 중앙동4가 22-1 한진중공업R&D센터","부산광역시 중구 충장대로 6, 한진중공업R&D센터 (중앙동4가)","48941","(주)엠프라퍼티제1호위탁관리부동산투자회사","20211227101259","I","2021-12-29 00:22:42.0","비주거용 건물 임대업","385668.490693904","180298.978180092","대기배출업소관리","비주거용 건물 임대업","5종","","","0","","0","",
"4","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021202100001","20210614","","01","영업/정상","11","영업","","","","","070-4497-7501","","","부산광역시 중구 중앙동4가 88-7 교보생명빌딩","부산광역시 중구 충장대로 7, 교보생명빌딩 (중앙동4가)","48939","교보생명보험(주) 중앙동사옥","20210621130839","U","2021-06-23 02:40:00.0","생명 보험업","385675.833699298","180402.491616571","대기배출업소관리","생명 보험업","5종","","","","","","",
"5","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021201500011","20151211","","01","영업/정상","11","영업","","","","","462-8281","","","부산광역시 중구 중앙동4가 89-14번지 정석빌딩","부산광역시 중구 중앙대로 88, 정석빌딩 (중앙동4가)","48939","은산기업주식회사","20200108155021","U","2020-01-10 02:40:00.0","","385616.660201449","180406.241287734","대기배출업소관리","","5종","","8","","","","",
"6","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021201500012","20151215","","01","영업/정상","11","영업","","","","","465-8801","","","부산광역시 중구 대청동4가 12-9 메리놀병원","부산광역시 중구 중구로 121, 메리놀병원 (대청동4가)","48972","(재)천주교부산교구메리놀병원","20201229134305","U","2020-12-31 02:40:00.0","종합 병원","385203.926916019","180571.713650198","대기배출업소관리","종합 병원","4종","","","","","270","",
"7","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021201500017","20151228","","01","영업/정상","11","영업","","","","","260-5110","","","","부산광역시 중구 광복로39번길 6 (창선동1가)","48947","와이즈파크광복점(에이엠플러스자산개발(주))","20220218140317","U","2022-02-22 02:40:00.0","","384993.660072758","179733.755298836","대기배출업소관리","","4종","","","0","","0","",
"8","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021201500020","20151230","","01","영업/정상","11","영업","","","","","469-0401","","","","부산광역시 중구 충장대로9번길 52 (중앙동4가, 마린센터빌딩)","48936","전국해상선원노동조합연맹부산","20211223165757","U","2021-12-25 02:40:00.0","","385825.756707547","180869.292984843","대기배출업소관리","","5종","","","0","","0","",
"9","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021201500021","20151230","","01","영업/정상","11","영업","","","","","246-4390","","","","부산광역시 중구 광복로97번길 18 (동광동2가)","48955","(주)영신","20151231093111","I","2018-10-04 11:12:49.0","","385514.844564816","179798.854865759","대기배출업소관리","","5종","","","","","","",
"10","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021201600001","20160518","","01","영업/정상","11","영업","","","","","051-661-3592","","","","부산광역시 중구 해관로 65 (중앙동4가)","600815","은산산업개발(주)","20160526172752","I","2018-10-04 11:12:49.0","","385502.492319657","180297.579330876","대기배출업소관리","","5종","","8","100","8","100","",
"11","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021201600002","20160805","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 보수동2가 106-5","부산광역시 중구 흑교로 49 (보수동2가)","48963","제일종합정비","20210825175942","U","2021-08-27 02:40:00.0","","384546.905266331","180177.592542469","대기배출업소관리","","5종","","5","300","","0","",
"12","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021201800001","20181115","","01","영업/정상","11","영업","","","","","051-678-2500","","","부산광역시 중구 중앙동7가 20-1","부산광역시 중구 중앙대로 2 (중앙동7가)","600017","롯데쇼핑(주)광복점","20220406171009","U","2022-04-08 02:40:00.0","백화점","385590.814676765","179553.867031936","대기배출업소관리","백화점","4종","","","0","","350","",
"13","대기오염물질배출시설설치사업장","09_30_08_P","3250000","325000021202000002","20210105","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 중앙동4가 79-9 한진해운빌딩","부산광역시 중구 충장대로9번길 46, 한진해운빌딩 (중앙동4가)","48936","(주)크라운에셋 관정빌딩 부산","20210127172329","U","2021-01-29 02:40:00.0","부동산 임대업","385801.526605206","180799.204372408","대기배출업소관리","부동산 임대업","5종","","","","","136","",
