"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3280000","328000064200900002","20091104","","04","취소/말소/만료/정지/중지","4","폐쇄","20111229","","","","051 416 5700","","","부산광역시 영도구 동삼동 201-37번지","부산광역시 영도구 해양로195번길 48 (동삼동)","606805","1급쌍용종합정비공업사","20111229161024","I","2018-08-31 23:59:59.0","","389053.443962427","178751.376507953","확인검사대행자","","","","","","","","",
"2","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3290000","329000064199200001","19921014","","01","영업/정상","11","영업","","","","","0518097144","","null","부산광역시 부산진구 전포동 646-1번지 ,4호","부산광역시 부산진구 서전로37번길 56 (전포동)","614865","제일보링","20111030141048","I","2018-08-31 23:59:59.0","","387994.294686737","186502.87585212","확인검사대행자","","","","","","","","",
"3","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3300000","330000064200600003","20060526","","01","영업/정상","11","영업","","","","","0515273100","","null","부산광역시 동래구 안락동 433-4번지","부산광역시 동래구 충렬대로433번길 11-3 (안락동)","607829","신아자동차정비","20111030135901","I","2018-08-31 23:59:59.0","","391071.26462697","190699.110454869","확인검사대행자","","","","","","","","",
"4","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3300000","330000064201100001","20110926","","01","영업/정상","11","영업","","","","","550-6821","","null","부산광역시 동래구 수안동 9-18번지","부산광역시 동래구 명륜로 51 (수안동)","607822","르노삼성자동차(주)동래사업소","20111030141812","I","2018-08-31 23:59:59.0","","389723.432070945","190848.411196504","확인검사대행자","","","","","","","","",
"5","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3300000","330000064201300001","20130806","","01","영업/정상","11","영업","","","","","550-6821","","","부산광역시 동래구 수안동 9-18번지","부산광역시 동래구 명륜로 51 (수안동)","607822","르노삼성자동차(주)동래사업소","20130806134252","I","2018-08-31 23:59:59.0","","389723.432070945","190848.411196504","확인검사대행자","","","","","","","","",
"6","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3310000","331000065201400001","20140418","","01","영업/정상","11","영업","","","","","719-5155","","null","부산광역시 남구 감만동 8-12번지","부산광역시 남구 우암로 114 (감만동)","608800","씨제이대한통운(주) 부산정비공장","20150420094407","I","2018-08-31 23:59:59.0","","389719.102901113","182170.335208387","배출가스전문정비사업자","","","","","","","","",
"7","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3310000","331000065201300001","20130506","","01","영업/정상","11","영업","","","","","719-5155","","null","부산광역시 남구 감만동 8-12번지","부산광역시 남구 우암로 114 (감만동)","608800","씨제이대한통운(주) 부산정비공장","20150420094942","I","2018-08-31 23:59:59.0","","389719.102901113","182170.335208387","배출가스전문정비사업자","","","","","","","","",
"8","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3310000","331000064201000001","20101204","","01","영업/정상","11","영업","","","","","051633 6410","","","부산광역시 남구 감만동 271번지","","","(주)국제자동차정비","20101231143214","I","2018-08-31 23:59:59.0","","389709.670841719","181213.498599098","확인검사대행자","","","","","","","","",
"9","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3310000","331000064200000001","20000529","","01","영업/정상","11","영업","","","","","0516257005","","","부산광역시 남구 용당동 100-7번지","","","우성자동차정비공업(주)","20110113164757","I","2018-08-31 23:59:59.0","","391310.385360189","181719.473550996","확인검사대행자","","","","","","","","",
"10","배출가스전문정비사업자(확인검사대행자)","09_30_09_P","3310000","331000064201300001","20130506","","01","영업/정상","11","영업","","","","","7195155","","null","부산광역시 남구 감만동 8-12번지","부산광역시 남구 우암로 114 (감만동)","608800","씨제이대한통운(주) 부산정비공장","20130506092829","I","2018-08-31 23:59:59.0","","389719.102901113","182170.335208387","확인검사대행자","","","","","","","","",
