"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","분뇨수집운반업","09_30_10_P","3250000","325000053198400001","19840419","","01","영업/정상","11","영업","","","","","051-246-3959","","600816","부산광역시 중구 중앙동4가 76-1 송남빌딩 402-1호","부산광역시 중구 중앙대로 160 (중앙동4가)","600816","(주)중앙위생정화사","20191011172049","U","2019-10-13 02:40:00.0","","385770.249057193","181062.506282925","분뇨등관련영업관리","","","","","","","","",
"2","분뇨수집운반업","09_30_10_P","3250000","325000053198400002","19840419","","01","영업/정상","11","영업","","","","","051-245-3959","","600816","부산광역시 중구 중앙동4가 76-1 송남빌딩 402-2호","부산광역시 중구 중앙대로 160 (중앙동4가)","600816","(주)중부산위생정화사","20220324135128","U","2022-03-26 02:40:00.0","","385770.249057193","181062.506282925","분뇨등관련영업관리","","","","","0","","0","",
"3","분뇨수집운반업","09_30_10_P","3250000","325000053199200001","19921217","","01","영업/정상","11","영업","","","","","051-253-2048","","600816","부산광역시 중구 중앙동4가 76-1 송남빌딩  402호","부산광역시 중구 중앙대로 160 (중앙동4가)","600816","중구위생","20200701144631","U","2020-07-03 02:40:00.0","","385770.249057193","181062.506282925","분뇨등관련영업관리","","","","","","","","",
"4","분뇨수집운반업","09_30_10_P","3260000","326000053199200001","19920331","","01","영업/정상","11","영업","","","","","051-242-4747","","602821","부산광역시 서구 서대신동2가 476-14","부산광역시 서구 대티로 113 (서대신동2가)","602821","해동환경(주)한일영업소","20201215171204","U","2020-12-17 02:40:00.0","","383111.00639051","180775.386116718","분뇨등관련영업관리","","","","","","","","",
"5","분뇨수집운반업","09_30_10_P","3260000","326000053199200002","19920902","","01","영업/정상","11","영업","","","","","051-243-4448","","","부산광역시 서구 남부민동 689-4","부산광역시 서구 충무대로 234 (남부민동)","49255","(주)서부환경","20220328181844","U","2022-03-30 02:40:00.0","","384566.48631262","178809.387105856","분뇨등관련영업관리","","","","","0","","0","",
"6","분뇨수집운반업","09_30_10_P","3260000","326000053199700001","19970221","","01","영업/정상","11","영업","","","","","051-208-5587","","","부산광역시 서구 서대신동2가 476-14","부산광역시 서구 대티로 113 (서대신동2가)","49206","서남위생","20200709141851","U","2020-07-11 02:40:00.0","","383111.00639051","180775.386116718","분뇨등관련영업관리","","","","","","","","",
"7","분뇨수집운반업","09_30_10_P","3260000","326000053199200003","19920331","","03","폐업","2","폐업","19920331","","","","","","602093","부산광역시 서구 서대신동3가 78-86","부산광역시 서구 보수대로 281  (서대신동3가)","","해동환경(주)한일영업소","20191014180223","I","2019-10-16 00:22:51.0","","383598.187387022","181736.041299654","분뇨등관련영업관리","","","","","","","","",
"8","분뇨수집운반업","09_30_10_P","3260000","326000053200200001","20040615","","03","폐업","2","폐업","20040615","","","","","","602826","부산광역시 서구 서대신동3가 486","","","(주)이수엔지니어링","20191014175536","I","2019-10-16 00:22:51.0","","","","분뇨등관련영업관리","","","","","","","","",
"9","분뇨수집운반업","09_30_10_P","3260000","326000053201700001","20170721","","03","폐업","2","폐업","20190725","","","","051-243-4448","","","부산광역시 서구 남부민동 654 LG마린타워","부산광역시 서구 충무대로 181, 423호 (남부민동, LG마린타워)","49256","부산광역시 서구 충무대로 181, 423호(남부민동,","20191014175810","U","2019-10-16 02:40:00.0","","384515.986951315","178275.156929713","분뇨등관련영업관리","","","","","","","","",
"10","분뇨수집운반업","09_30_10_P","3270000","327000053201200001","20121126","","01","영업/정상","11","영업","","","","","051-642-6611","","601836","부산광역시 동구 초량동 1147-13","부산광역시 동구 중앙대로 267, 205호 (초량동, 신동빌딩)","601836","동구위생","20210705150006","U","2021-07-07 02:40:00.0","분뇨 처리업","386101.6969961","182087.688303863","분뇨등관련영업관리","분뇨 처리업","","","","","","","",
"11","분뇨수집운반업","09_30_10_P","3270000","327000053201400001","20140113","","01","영업/정상","11","영업","","","","","051-637-4173","","","부산광역시 동구 초량동 1147-13","부산광역시 동구 중앙대로 267, 204호 (초량동)","48792","동구정화","20210826160043","U","2021-08-28 02:40:00.0","분뇨 처리업","386101.6969961","182087.688303863","분뇨등관련영업관리","분뇨 처리업","","","","0","","0","",
"12","분뇨수집운반업","09_30_10_P","3270000","327000053201200002","20121128","","01","영업/정상","11","영업","","","","","051-633-6399","","601836","부산광역시 동구 초량동 1147-13 신동빌딩 203호","부산광역시 동구 중앙대로 267, 203호 (초량동, 신동빌딩)","601836","동구환경","20210514165626","U","2021-05-16 02:40:00.0","분뇨 처리업","386101.6969961","182087.688303863","분뇨등관련영업관리","분뇨 처리업","","","","","","","",
"13","분뇨수집운반업","09_30_10_P","3270000","327000053200000006","20050107","","03","폐업","2","폐업","20121210","","","","051-642-6610","","614802","부산광역시 부산진구 가야동 167-5","부산광역시 부산진구 가야대로 532-1 (가야동)","614802","선무위생","20201208141855","U","2020-12-10 02:40:00.0","","384935.14093003","185685.595692595","분뇨등관련영업관리","","","","","","","","",
