"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","사무실면적","소독차량차고면적","초미립자살포기수","휴대용소독기수","동력분무기수","수동식분무기수","방독면수","보호안경수","보호용의복수","진공청소기수",
"1","소독업","09_30_11_P","3250000","PHMB520093250021042500002","20090521","","03","폐업","03","폐업","20120727","","","","","","614863","부산광역시 부산진구 전포동 504번지 75호 9통 4반","부산광역시 부산진구 황령대로98번길 17-1 (전포동)","","공영방역","20120727130551","I","2018-08-31 23:59:59.0","","388530.635786495","185318.201442591","21.12","11.52","1","2","1","5","5","5","5","1",
"2","소독업","09_30_11_P","3250000","PHMB520093250021042500001","20090416","","03","폐업","03","폐업","20120822","","","","291-8240","","600013","부산광역시 중구 중앙동3가 1번지 부산우체국","부산광역시 중구 중앙대로 63 (중앙동3가,부산우체국)","","(주)대한특수개발","20120822164517","I","2018-08-31 23:59:59.0","","385561.650139456","180152.738082365","15","4.5","1","2","1","5","5","5","5","1",
"3","소독업","09_30_11_P","3250000","PHMB520023250021042500001","20020128","","03","폐업","03","폐업","20160108","","","","467-5353","","600015","부산광역시 중구 중앙동5가 11번지 1호","부산광역시 중구 중앙대로46번길 4 (중앙동5가)","","주)퍼시픽우진","20160108142142","I","2018-08-31 23:59:59.0","","385663.584143116","179952.765895004","35.75","40","1","2","1","5","5","5","5","1",
"4","소독업","09_30_11_P","3250000","PHMB520083250021042500001","20080310","","03","폐업","03","폐업","20100914","","","","","","600014","부산광역시 중구 중앙동4가 80번지 1호 현대자동차빌딩2층","부산광역시 중구 중앙대로132번길 12 (중앙동4가,현대자동차빌딩2층)","","(주)휴먼플러스","20100914145705","I","2018-08-31 23:59:59.0","","385779.995495614","180737.372078509","44","10","1","2","1","5","5","5","5","1",
"5","소독업","09_30_11_P","3250000","PHMB520113250021042500001","20110822","","03","폐업","03","폐업","20140108","","","","","","600102","부산광역시 중구 대창동2가 33번지 1호","부산광역시 중구 중앙대로 139, 5층 (대창동2가)","600102","강남환경공사","20140108143614","I","2018-08-31 23:59:59.0","","385651.871633914","180892.474928023","","","1","2","1","5","5","5","5","1",
"6","소독업","09_30_11_P","3250000","PHMB519993250021042500001","19991122","","03","폐업","03","폐업","20210901","","","","051-441-4414","","600814","부산광역시 중구 중앙동4가 86번지 3호","부산광역시 중구 충장대로13번길 14 (중앙동4가)","48935","제일산업","20210901105656","U","2021-09-03 02:40:00.0","","385769.574832799","180512.545626241","75.9","33","1","2","1","5","5","5","5","1",
"7","소독업","09_30_11_P","3250000","PHMB520123250021042500001","20121130","","03","폐업","03","폐업","20130917","","","","0515211411","","600102","부산광역시 중구 대창동2가 14번지 5호","부산광역시 중구 중앙대로 149 (대창동2가)","600102","(주)엠제이서비스","20130917113336","I","2018-08-31 23:59:59.0","","385687.55698865","180990.331200449","132","8.25","1","2","1","5","5","5","5","2",
"8","소독업","09_30_11_P","3250000","PHMB520153250021042500001","20150817","","03","폐업","03","폐업","20180420","","","","051-400-3330","","","부산광역시 중구 중앙동4가 15번지 3호","부산광역시 중구 충장대로 24, 2층 (중앙동4가)","48940","(주)클린포트","20180420110741","I","2018-08-31 23:59:59.0","","386032.236798563","180263.270670699","100","40","1","2","0","3","5","5","5","1",
"9","소독업","09_30_11_P","3250000","PHMB520203250021042500001","20200305","","03","폐업","03","폐업","20210204","","","","1877-3252","","","부산광역시 중구 중앙동2가 46번지 2호 302호","부산광역시 중구 해관로 44, 302호 (중앙동2가)","48957","새얀","20210204140536","U","2021-02-06 02:40:00.0","","385555.080986309","180074.825927274","13.7","3.4","1","2","0","3","5","5","5","1",
"10","소독업","09_30_11_P","3250000","PHMB520213250021042500002","20210310","","03","폐업","03","폐업","20220317","","","","","","","부산광역시 중구 남포동2가 21-3","부산광역시 중구 남포길 22, 3층 일부, 4층 (남포동2가)","48953","태현시스템","20220317172515","U","2022-03-19 02:40:00.0","","385133.804369992","179612.816180694","43.97","50.92","1","2","0","3","5","5","5","1",
