"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수","사업자등록번호",
"1","수질오염원설치시설(기타)","09_30_12_P","3340000","334000025200151118","20010905","","01","영업/정상","3","재개업","","","","","","","604080","부산광역시 사하구 괴정동 999-1","부산광역시 사하구 낙동대로 218  (괴정동)","","오일준이비인후과의원","20070404174031","I","2021-12-16 00:22:43.0","일반 의원","381650.375134536","179733.55466067","기타수질오염원관리","일반 의원","","","","0","","0","",
"2","수질오염원설치시설(기타)","09_30_12_P","3340000","334000025200254311","20020311","","01","영업/정상","3","재개업","","","","","051 2078080","","604030","부산광역시 사하구 신평동 408-13","부산광역시 사하구 하신중앙로 184  (신평동)","","한사랑내과의원","20070517140320","I","2021-12-16 00:22:43.0","일반 의원","378870.237074431","179111.733495283","기타수질오염원관리","일반 의원","","","","0","","0","",
"3","수질오염원설치시설(기타)","09_30_12_P","3370000","337000025200300413","20030506","","01","영업/정상","3","재개업","","","","","051 868 1577","","null","부산광역시 연제구 연산동 709-7 연산메디칼센타","부산광역시 연제구 월드컵대로 113 (연산동)","611839","큰나무정형외과의원","20130130184331","I","2021-12-16 00:22:43.0","","389598.115403037","189232.512522036","기타수질오염원관리","","","","","","","","",
"4","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202200001","20220223","","01","영업/정상","11","영업","","","","","051-902-7688","","","부산광역시 중구 남포동6가 63 서라벌빌딩","부산광역시 중구 구덕로 90, 서라벌빌딩 5층 504호 (남포동6가)","48981","BS안경원","20220223135849","I","2022-02-25 00:22:37.0","","384670.317658138","179489.435069922","기타수질오염원관리","","","","","0","","0","",
"5","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100050","20210812","","01","영업/정상","11","영업","","","","","051-253-1216","","","부산광역시 중구 창선동2가 24-4","부산광역시 중구 국제시장2길 6-1 (창선동2가)","48946","국전안경","20210812155650","I","2021-12-16 00:22:43.0","","384903.52410762","179742.031632526","기타수질오염원관리","","","","","","","","",
"6","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100013","20210615","","01","영업/정상","11","영업","","","","","051-254-1003","","","부산광역시 중구 창선동2가 26-1 창선상가","부산광역시 중구 국제시장2길 5, 창선상가 (창선동2가)","48945","젠틀맨 안경","20210615095515","I","2021-12-16 00:22:43.0","","384883.108103904","179757.761844511","기타수질오염원관리","","","","","","","","",
"7","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025202100049","20210701","","01","영업/정상","11","영업","","","","","051-246-8651","","","부산광역시 중구 신창동4가 38-3 국제시장","부산광역시 중구 국제시장2길 25, 국제시장 (신창동4가)","48945","세신안경","20210701133520","I","2021-12-16 00:22:43.0","","384866.44008892","179932.382732447","기타수질오염원관리","","","","","","","","",
"8","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200800001","20080616","","01","영업/정상","11","영업","","","","","0514643007","","","부산광역시 중구 보수동2가 73-19","부산광역시 중구 흑교로75번길 5-1 (보수동2가)","48963","서광프로세스","20180516174924","I","2021-12-16 00:22:43.0","","384395.856168933","180377.528270492","기타수질오염원관리","","","","","","","","",
"9","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025200800002","20080623","","01","영업/정상","11","영업","","","","","0514690066","","","부산광역시 중구 중앙동3가 18-4 2층","부산광역시 중구 대청로135번길 8 (중앙동3가,2층)","","효림프로세스","20130131120338","I","2021-12-16 00:22:43.0","","385462.353620978","180150.421089874","기타수질오염원관리","","","","","","","","",
"10","수질오염원설치시설(기타)","09_30_12_P","3250000","325000025201300004","20131213","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 보수동2가 106-2","","","제일종합정비","20131213085858","I","2021-12-16 00:22:43.0","","384540.957516512","180169.181029172","기타수질오염원관리","","","","","","","","",
