"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업소구분명","소재지","지정일자","신청일자","항목값1",
"1","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014201400009","20140805","","01","영업/정상","0","","","20160807","","","051-250-2921","","","","부산광역시 중구 중앙대로 2 (중앙동7가)","600017","롯데쇼핑(주) 롯데마트 광복점","20220422144612","U","2022-04-24 02:40:00.0","","385590.814676765","179553.867031936","지정","","20220422","20220422","관급봉투",
"2","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014201800012","20181105","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 대청동1가 37-1번지 코모도에스테이트 108호","부산광역시 중구 대청로 121-1, 108호 (대청동1가, 코모도에스테이트)","48932","세븐일레븐 부산코모도점","20181105100746","I","2018-11-07 02:37:55.0","","385306.698876602","180120.939470659","지정","부산광역시 중구 대청동1가 37번지 1호 코모도에스테이트 108호","20181105","20181105","관급봉투",
"3","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014201900001","20190111","","01","영업/정상","11","영업","","","","","051-248-8106","","","부산광역시 중구 남포동6가 3번지 신천지","부산광역시 중구 자갈치로 33, 신천지 (남포동6가)","48982","자갈치 탑마트","20190111175139","I","2019-01-13 02:20:47.0","","384836.914455912","179432.734579543","지정","","20190111","20190111","관급봉투",
"4","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014201900002","20190319","","01","영업/정상","11","영업","","","","","","","","부산광역시 중구 영주동 142-24번지 문화빌리지","부산광역시 중구 동영로64번길 21 (영주동, 문화빌리지)","48914","GS25 부산터널점","20190319110538","I","2019-03-21 02:21:57.0","","385234.390509207","181142.867957634","지정","부산광역시 중구 영주동 142번지 24호 문화빌리지","20190319","20190318","관급봉투",
"5","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400001","19941221","","01","영업/정상","11","영업","","","","","","","600111","부산광역시 중구 영주동 640-28 2통2반","부산광역시 중구 대영로242번안길 7 (영주동)","600110","봉래슈퍼마켓","20210202120945","U","2021-02-04 02:40:00.0","","385551.263008035","180920.368072124","종료","부산광역시 중구 영주동  640-28번지 2  통 2  반","","19941221","관급봉투",
"6","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400003","19941221","","01","영업/정상","11","영업","","","","","","","600111","부산광역시 중구 영주동 28번지 8통3반","","","경북상회","20131230125453","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  28번지 8  통 3  반","","19941221","관급봉투",
"7","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400004","19941221","","01","영업/정상","11","영업","","","","","","","600111","부산광역시 중구 영주동 525번지 18통1반","","","잡화상","20070707100050","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 영주동  525번지 18 통 1  반","","19941221","관급봉투",
"8","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400005","19941221","","01","영업/정상","11","영업","","","","","","","600052","부산광역시 중구 창선동2가 40번지","","","창선담배집","20131230125801","I","2018-08-31 23:59:59.0","","","","지정","부산광역시 중구 창선동2가  40번지","","19941221","관급봉투",
"9","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400006","19941221","","01","영업/정상","11","영업","","","","","","","600062","부산광역시 중구 신창동2가 22번지","부산광역시 중구 광복로43번길 11  (신창동2가)","","신생아파트","20131230125901","I","2018-08-31 23:59:59.0","","384985.998766037","179790.331106306","지정","부산광역시 중구 신창동1가  4번지","","19941221","관급봉투",
"10","쓰레기종량제봉투판매업","09_30_13_P","3250000","325000014199400007","19941221","","01","영업/정상","11","영업","","","","","","","600061","부산광역시 중구 신창동1가 4번지","부산광역시 중구 광복중앙로 27  (신창동1가)","","용두산맨션","20131230125947","I","2018-08-31 23:59:59.0","","385081.060357125","179965.02615892","지정","부산광역시 중구 신창동1가  4번지","","19941221","관급봉투",
