"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","업무구분","건축물명","건축물연면적","건축물상태명","청소대상시작일자","청소대상종료일자","휴업폐지사유","업무구분명",
"1","저수조청소업","09_30_14_P","3250000","325000031202000001","20210110","","01","영업/정상","11","정상","","","","","051-714-3775","","","부산광역시 중구 대창동2가 33-1 청조빌딩 501-1호","부산광역시 중구 중앙대로 139, 청조빌딩 501-1호 (대창동2가)","48924","동네방역","20220111135150","U","2022-01-13 02:40:00.0","","385651.871633914","180892.474928023","31","","0","","","","","저수조청소업",
"2","저수조청소업","09_30_14_P","3250000","325000031202100001","20210810","","01","영업/정상","11","정상","","","","","051-715-1550","","","부산광역시 중구 중앙동4가 36-14 은산빌딩","부산광역시 중구 해관로 65, 은산빌딩 1503호 (중앙동4가)","48930","(주)재덕","20210819141815","I","2021-08-21 00:22:50.0","","385502.492319657","180297.579330876","31","","0","","","","","저수조청소업",
"3","저수조청소업","09_30_14_P","3250000","325000031201400001","20140113","","01","영업/정상","11","정상","","","","","465-8548","","","부산광역시 중구 보수동3가 46-1 보수종합시장","부산광역시 중구 보수대로 94, 보수종합시장 2층 94호 (보수동3가)","48966","강남환경공사","20220119131506","U","2022-01-21 02:40:00.0","","384268.876610502","180213.752067668","31","","0","","","","","저수조청소업",
"4","저수조청소업","09_30_14_P","3250000","325000031201600001","20171206","","01","영업/정상","11","정상","","","","","(051)203-2993","","","부산광역시 중구 중앙동4가 36-14","부산광역시 중구 해관로 65 (중앙동4가)","","(주)승학피엠씨","20210624152900","U","2021-06-26 02:40:00.0","","385502.492319657","180297.579330876","31","","","","","","","저수조청소업",
"5","저수조청소업","09_30_14_P","3250000","325000031199700001","20091201","","01","영업/정상","11","정상","","","","","051-465-7019","","","부산광역시 중구 중앙동4가 80-16 화신빌딩 607호","부산광역시 중구 충장대로9번길 28 (중앙동4가)","","동화산업사","20170720093718","I","2018-08-31 23:59:59.0","","385730.223219262","180633.142129186","31","","","","","","","저수조청소업",
"6","저수조청소업","09_30_14_P","3250000","325000031200600001","20071206","","01","영업/정상","11","정상","","","","","051-468-8594","","","부산광역시 중구 대창동1가 54-67 부원APT","부산광역시 중구 중앙대로115번길 1-6, 615호 (대창동1가, 부원APT)","48924","강남종합환경","20220119131506","U","2022-01-21 02:40:00.0","","385544.772444246","180648.03280747","31","","0","","","","","저수조청소업",
"7","저수조청소업","09_30_14_P","3250000","325000031200600002","20071226","","01","영업/정상","11","정상","","","","","051-462-7127","","","부산광역시 중구 영주동 2-310 동남파크상가 4호","","","그린산업","20150105210131","I","2018-08-31 23:59:59.0","","385254.506400777","181485.249546144","31","","","","","","","저수조청소업",
"8","저수조청소업","09_30_14_P","3250000","325000031200700001","20070727","","03","폐업","2","폐업","20160712","","","","469-1191","","","부산광역시 중구 중앙동4가 89-1 외환빌딩1층","","","(주)뉴스타시큐리티","20160713100138","I","2018-08-31 23:59:59.0","","385624.468710403","180447.914514374","31","","","","","","소재지이전(중구-> 금정구) 
 - 서류 일체 이관(환경위생과-18439, 2016.7.12)","저수조청소업",
"9","저수조청소업","09_30_14_P","3250000","325000031200900001","20130709","","03","폐업","2","폐업","20151217","","","","291-8240","","","부산광역시 중구 동광동4가 3-2","부산광역시 중구 대청로 131-1 (동광동4가)","","(주)대한특수개발","20151217170933","I","2018-08-31 23:59:59.0","","385418.401459362","180103.91074381","31","","","","","","","저수조청소업",
"10","저수조청소업","09_30_14_P","3250000","325000031199700002","20071224","","03","폐업","2","폐업","20160811","","","","051-241-5858","","","부산광역시 중구 보수동2가 77-17","부산광역시 중구 보수대로124번길 42 (보수동2가)","","(주)대성공사","20160812111424","I","2018-08-31 23:59:59.0","","384393.363548619","180323.81437344","31","","","","","","영업부진","저수조청소업",
"11","저수조청소업","09_30_14_P","3250000","325000031200500001","20080215","","03","폐업","2","폐업","20160108","","","","051)467-5353","","","부산광역시 중구 중앙동5가 11-1","","","(주)퍼시픽우진","20160108133145","I","2018-08-31 23:59:59.0","","385663.584143116","179952.765895004","31","","","","","","강서구로 사업체 이전","저수조청소업",
"12","저수조청소업","09_30_14_P","3260000","326000031200300001","20160816","","01","영업/정상","11","정상","","","","","051-253-1322","","","부산광역시 서구 동대신동2가 64","부산광역시 서구 보수대로194번길 13 (동대신동2가)","","호경산업","20191125101043","U","2019-11-27 02:40:00.0","","384254.229086296","181193.334312867","31","","","","","","","저수조청소업",
"13","저수조청소업","09_30_14_P","3260000","326000031201100001","20110307","","01","영업/정상","11","정상","","","","","051)256-3366","","","부산광역시 서구 동대신동1가 121-1 대신상가 2층","부산광역시 서구 대영로 78 (동대신동1가, 대신상가 2층)","","(주)에스엠코리아","20150105210021","I","2018-08-31 23:59:59.0","","384051.596994969","180876.692490468","31","","","","","","","저수조청소업",
"14","저수조청소업","09_30_14_P","3260000","326000031201600001","20161102","","01","영업/정상","11","정상","","","","","","","","부산광역시 서구 동대신동1가 153-15","부산광역시 서구 구덕로280번길 17, 1층 (동대신동1가)","","가람솔부산","20220412104119","U","2022-04-14 02:40:00.0","","384046.153294706","180798.882499279","31","","0","","","","","저수조청소업",
"15","저수조청소업","09_30_14_P","3260000","326000031201700001","20200212","","01","영업/정상","11","정상","","","","","051-248-6610","","","부산광역시 서구 초장동 54-10","부산광역시 서구 구덕로143번길 12 (초장동)","","에코스","20200213102014","U","2020-02-15 02:40:00.0","","384150.901366897","179503.224841408","31","","","","","","","저수조청소업",
"16","저수조청소업","09_30_14_P","3260000","326000031199400001","20101230","","03","폐업","2","폐업","20101230","","","","051-248-6231","","","부산광역시 서구 부민동1가 2-3 대광오피스텔 301호","부산광역시 서구 구덕로226번길 9  (부민동1가,대광오피스텔 301호)","","고려종합개발(주)","20150105210021","I","2018-08-31 23:59:59.0","","384162.7621038","180299.003265813","31","","","","","","사업부진","저수조청소업",
"17","저수조청소업","09_30_14_P","3260000","326000031200400001","20090508","","03","폐업","2","폐업","20090508","","","","253-1957","","","부산광역시 서구 서대신동1가 265-4","부산광역시 서구 해돋이로 381  (서대신동1가)","","부산서구지역자활센터","20150105210021","I","2018-08-31 23:59:59.0","","383394.958250367","180446.473324063","31","","","","","","영업부진","저수조청소업",
"18","저수조청소업","09_30_14_P","3260000","326000031200500001","20090731","","03","폐업","2","폐업","20090731","","","","231-1613","","","부산광역시 서구 부민동1가 2-3 대광오피스텔 305호","부산광역시 서구 구덕로226번길 9,  305호 (부민동1가,대광오피스텔)","","유한회사 서울환경산업","20150105210021","I","2018-08-31 23:59:59.0","","384162.7621038","180299.003265813","31","","","","","","영업부진","저수조청소업",
"19","저수조청소업","09_30_14_P","3260000","326000031200900001","20120709","","03","폐업","2","폐업","20120709","","","","256-0357","","","부산광역시 서구 충무동1가 5-16","부산광역시 서구 구덕로118번길 22-1 (충무동1가)","","푸르미환경","20150105210021","I","2018-08-31 23:59:59.0","","384521.57109198","179454.192510089","31","","","","","","영업부진","저수조청소업",
"20","저수조청소업","09_30_14_P","3260000","326000031200900002","20101222","","03","폐업","2","폐업","20101222","","","","051-231-1613","","","부산광역시 서구 초장동 125-13 12통1반","부산광역시 서구 해돋이로 167-2  (초장동)","","서울환경산업","20150105210021","I","2018-08-31 23:59:59.0","","384014.692268922","178884.868092398","31","","","","","","자진폐업(개인사정)","저수조청소업",
"21","저수조청소업","09_30_14_P","3270000","327000031200300001","20080107","","01","영업/정상","11","정상","","","","","051-635-4950","","","부산광역시 동구 범일동 1436-89","","","청수산업","20201218102623","U","2020-12-20 02:40:00.0","","","","31","","","","","","","저수조청소업",
"22","저수조청소업","09_30_14_P","3270000","327000031201700002","20170517","","01","영업/정상","11","정상","","","","","","","","","부산광역시 동구 고관로 100, 2층 (수정동)","","(주)케이투종합관리","20170517105438","I","2018-08-31 23:59:59.0","","386390.411214824","182876.13245001","31","","","","","","","저수조청소업",
"23","저수조청소업","09_30_14_P","3270000","327000031201200003","20121119","","01","영업/정상","11","정상","","","","","","","","부산광역시 동구 수정동 1167-4","부산광역시 동구 수정공원상로14번길 20 (수정동)","","전문환경공사","20200106090423","U","2020-01-08 02:40:00.0","","385823.493590723","183012.833282515","31","","","","","","","저수조청소업",
"24","저수조청소업","09_30_14_P","3270000","327000031201700001","20170518","","01","영업/정상","11","정상","","","","","","","","부산광역시 동구 범일동 830-218","부산광역시 동구 범일로90번길 9 (범일동)","","그린환경개발","20170518133608","I","2018-08-31 23:59:59.0","","387731.929164944","184054.292249465","31","","","","","","","저수조청소업",
"25","저수조청소업","09_30_14_P","3270000","327000031202000001","20200818","","01","영업/정상","11","정상","","","","","","","","부산광역시 동구 초량동 121-7 서전오피스텔","부산광역시 동구 초량상로 115-2, 505호 (초량동, 서전오피스텔)","48796","에코스","20200818115002","I","2020-08-20 00:23:13.0","","385866.125859314","182217.952060797","31","","","","","","","저수조청소업",
"26","저수조청소업","09_30_14_P","3270000","327000031202100001","20210618","","01","영업/정상","11","정상","","","","","051-634-8887","","","부산광역시 동구 초량동 49-5 부산보훈복지회관","부산광역시 동구 고관로 5, 부산보훈복지회관 2층 (초량동)","48798","(주)대현티에스","20210621101841","I","2021-06-23 00:23:04.0","","386006.025666175","182017.287788174","31","","","","","","","저수조청소업",
"27","저수조청소업","09_30_14_P","3270000","327000031200300007","20071212","","01","영업/정상","11","정상","","","","","051-463-8636","","","부산광역시 동구 수정동 397-38","부산광역시 동구 고관로 37 (수정동)","","한미환경공사","20201218104941","U","2020-12-20 02:40:00.0","","386143.648438944","182310.284761736","31","","","","","","","저수조청소업",
"28","저수조청소업","09_30_14_P","3270000","327000031200300008","20080109","","01","영업/정상","11","정상","","","","","","","","부산광역시 동구 수정동 1167-4","부산광역시 동구 수정공원상로14번길 20 (수정동)","","미진방역사","20201218105204","U","2020-12-20 02:40:00.0","","385823.493590723","183012.833282515","31","","","","","","","저수조청소업",
"29","저수조청소업","09_30_14_P","3270000","327000031200400001","20101203","","01","영업/정상","11","정상","","","","","051-464-6926","","","부산광역시 동구 수정동 925-22","부산광역시 동구 수정공원로 29 (수정동)","","수정환경","20201218105337","U","2020-12-20 02:40:00.0","","385817.392092846","183058.631789086","31","","","","","","","저수조청소업",
"30","저수조청소업","09_30_14_P","3270000","327000031200600001","20180305","","01","영업/정상","11","정상","","","","","051-441-7171","","","부산광역시 동구 범일동 833-5","부산광역시 동구 조방로49번길 18-1, 5층 (범일동)","48738","(주)국제보안공사","20201207151844","U","2020-12-09 02:40:00.0","","387669.381971629","184165.743234791","31","","","","","","","저수조청소업",
"31","저수조청소업","09_30_14_P","3270000","327000031201100001","20180427","","01","영업/정상","11","정상","","","","","051-469-0009","","","부산광역시 동구 초량동 1195-6","부산광역시 동구 중앙대로236번길 7-6 (초량동)","48732","(주)씨엔에스코리아","20201218105417","U","2020-12-20 02:40:00.0","","386150.162434706","181791.701583383","31","","","","","","","저수조청소업",
"32","저수조청소업","09_30_14_P","3270000","327000031201200001","20180529","","01","영업/정상","11","정상","","","","","051-714-7333","","","부산광역시 동구 초량동 49-5","부산광역시 동구 고관로 5 (수정동)","","대한민국고엽제전우회","20201218105452","U","2020-12-20 02:40:00.0","","386006.025666175","182017.287788174","31","","","","","","","저수조청소업",
"33","저수조청소업","09_30_14_P","3270000","327000031201300025","20200423","","01","영업/정상","11","정상","","","","","051-468-8434","","","","부산광역시 동구 중앙대로349번길 38, 5층 (수정동)","","(주)창성개발","20201218105530","U","2020-12-20 02:40:00.0","","386355.598444789","182723.923801479","31","","","","","","","저수조청소업",
"34","저수조청소업","09_30_14_P","3270000","327000031201200002","20120822","","01","영업/정상","11","정상","","","","","051-328-6488","","","부산광역시 동구 초량동 1146-11 우리은행4층","부산광역시 동구 중앙대로 287 (초량동)","","(주)금융환경엔지니어링","20201218105706","U","2020-12-20 02:40:00.0","","386188.787240808","182273.109147713","31","","","","","","","저수조청소업",
