"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호","사업자등록번호",
"1","환경관리대행기관","09_30_15_P","6260000","626000010201300007","20210322","","01","영업/정상","N","신규","","","","","","","","","부산광역시 사상구 백양대로 539-35 (주례동)","617836","(주)영동엔지니어링","20210322200842","U","2021-03-24 02:40:00.0","","","","","환경관리대행기관","","","2632010300","46607","0","302","0","","","다산타워","","","26320","2632010300","1","4196163","다산타워","0","1","0","46607","",
"2","환경관리대행기관","09_30_15_P","6260000","626000010201900001","20190117","","01","영업/정상","N","신규","","","","","","","46033","부산광역시 기장군 장안읍 좌천리 520번지 대성전기철물","부산광역시 기장군 장안읍 좌천로 40, 대성전기철물","46033","동부환경","20190117183426","I","2019-01-19 02:21:19.0","","403947.265423154","203667.051343927","","환경관리대행기관","23","","","","","","","","","","","","","","","","","","","","","",
"3","환경관리대행기관","09_30_15_P","6260000","626000010201300009","20210823","","01","영업/정상","N","신규","","","","","","","","","부산광역시 동래구 여고로 61 (사직동)","607818","(주)한서엔텍","20210823103757","U","2021-08-25 02:40:00.0","","388502.134514259","190530.121156756","0","환경관리대행기관","0","","2632010300","46607","0","302","0","","","다산타워","","402","26320","2632010300","1","4196163","다산타워","0","1","0","46607","",
"4","환경관리대행기관","09_30_15_P","6260000","626000010201300010","20210205","","01","영업/정상","N","신규","","","","","","","","","부산광역시 금정구 동부곡로23번길 30 (부곡동)","609822","(주)한신환경","20220127200414","U","2022-01-29 02:40:00.0","","390624.256291267","193959.335175462","0","환경관리대행기관","0","","","","","","","","","","","","26410","2641010900","1","4205140","","0","30","","609822","",
"5","환경관리대행기관","09_30_15_P","6260000","626000010202200001","20220413","","01","영업/정상","N","신규","","","","","","","","부산광역시 북구 만덕동 302번지 다산타워","부산광역시 북구 만덕2로17번길 1, 4층 402호(만덕동, 다산타워)","","세영환경산업(주)","20220413150839","U","2022-04-15 02:40:00.0","","","","0","환경관리대행기관","0","","","","","","","","","","","","","","","","","","","","","",
"6","환경관리대행기관","09_30_15_P","6260000","626000010201900005","20191104","","01","영업/정상","N","신규","","","","","","","","부산광역시 기장군 장안읍 좌천리 286-1 좌천슈퍼","부산광역시 기장군 장안읍 좌천2길 36, 좌천슈퍼","","비제이엔지니어링","20200103161514","U","2020-01-05 02:40:00.0","","","","","환경관리대행기관","","","2632010300","46607","0","302","0","","","다산타워","","401","26320","2632010300","1","4196163","다산타워","0","1","0","46607","",
"7","환경관리대행기관","09_30_15_P","6260000","626000010202000001","20220119","","01","영업/정상","N","신규","","","","","","","46917","부산광역시 사상구 모라동 283-11","부산광역시 사상구 사상로525번길 54, 2층 (모라동)","46917","(주)세영환경기술","20220119151707","U","2022-01-21 02:40:00.0","","380810.22770681","189958.115183768","0","환경관리대행기관","0","","4833010400","50616","0","687","7","","","","","","48330","4833010400","1","3338098","","0","203","0","50616","",
"8","환경관리대행기관","09_30_15_P","6260000","626000010202100006","20220616","","01","영업/정상","N","신규","","","","","","","46034","부산광역시 기장군 장안읍 반룡리 850번지 디동 2,3층호","부산광역시 기장군 장안읍 장안산단1로 11, 디동 2,3층","46034","승보환경기술(주)","20220616100753","U","2022-06-18 02:40:00.0","","405397.470560958","206746.790462324","96","환경관리대행기관","0","","2671025331","46034","0","850","0","","","","디","2,3층","26710","2671025331","0","3140067","","0","11","0","46034","",
"9","환경관리대행기관","09_30_15_P","6260000","626000010202100007","20220321","","01","영업/정상","N","신규","","","","","","","46700","부산광역시 강서구 대저1동 1550-1 비동 2,3층호","부산광역시 강서구 대저로 57, 비동 2,3층(대저1동)","46700","중앙분석기술(주)","20220321145905","U","2022-03-23 02:40:00.0","","378304.006203882","192429.103848136","86.7","환경관리대행기관","0","","2644010100","46700","0","1550","1","","","","비","2,3층","26440","2644010100","1","3136036","","0","57","0","46700","",
"10","환경관리대행기관","09_30_15_P","6260000","626000010201300020","20210913","","01","영업/정상","N","신규","","","","","","","46228","부산광역시 금정구 구서동 1009-4","부산광역시 금정구 두실로 37 (구서동)","46228","(주)이피엘","20220127200752","U","2022-01-29 02:40:00.0","","389859","197729","0","환경관리대행기관","0","","","","1","","","","","","","","26350","2635010500","1","3133020","","0","48","","48059","",
