"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호","사업자등록번호",
"1","환경전문공사업","09_30_16_P","6260000","626000009200600034","20210323","","01","영업/정상","N","신규","","","","","","","617837","부산광역시 사상구 주례1동   935번지 대양빌딩 4층","부산광역시 사상구 백양대로 483, 4층 (주례동,대양빌딩)","617837","(주)영동엔지니어링","20210323153345","U","2021-03-25 02:40:00.0","","382070.620479643","185570.898130941","","환경전문공사업","","","2653010600","617837","1","935","","","","대양빌딩 4층","","","","","","","","","","","","",
"2","환경전문공사업","09_30_16_P","6260000","626000009201200003","20211015","","01","영업/정상","N","신규","","","","","","","46228","부산광역시 금정구 구서동 1009-4","부산광역시 금정구 두실로 37 (구서동)","46228","주식회사 이피엘","20220127203516","U","2022-01-29 02:40:00.0","","389859","197729","0","환경전문공사업","574.88","","","","","","","","","","","","","","","","","","","","","",
"3","환경전문공사업","09_30_16_P","6260000","626000009201300001","20201214","","01","영업/정상","N","신규","","","","","","","47330","부산광역시 부산진구 가야동 330-4","부산광역시 부산진구 대학로44번길 13-5 (가야동)","47330","(주)한일환경플랜트","20201214153129","U","2020-12-16 02:40:00.0","","385338","185560","","환경전문공사업","77","","","","","","","","","","","","","","","","","","","","","",
"4","환경전문공사업","09_30_16_P","6260000","626000009201700003","20210325","","01","영업/정상","N","신규","","","","","","","","","부산시 사하구 다산로 176번길 58","","(주)국제기산","20210325132728","U","2021-03-27 02:40:00.0","","","","","환경전문공사업","445.16","","","","","","","","","","","","","","","","","","","","","",
"5","환경전문공사업","09_30_16_P","6260000","626000009201700004","20220513","","01","영업/정상","N","신규","","","","","","","","","부산광역시 사상구 새벽로 183, 3층 (감전동)","46980","초석환경기술단","20220513162403","U","2022-05-15 02:40:00.0","","380645.672312821","186073.362666348","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","","",
"6","환경전문공사업","09_30_16_P","6260000","626000009200600003","20180109","","01","영업/정상","N","신규","","","","","","","46918","부산광역시 사상구 모라동 1375번지","부산광역시 사상구 모라로 22, 부산벤처타워 1212호 (모라동)","46918","고성환경산업(주)","20220105173454","U","2022-01-07 02:40:00.0","","380793.79712100000","190134.20743800000","0","환경전문공사업","0","","2644010200","618812","1","6183","1","","","","","","","","","","","","","","","",
"7","환경전문공사업","09_30_16_P","6260000","626000009200600012","20210224","","01","영업/정상","N","신규","","","","","","","617819","부산광역시 사상구 모라1동   282번지 6호","부산광역시 사상구 사상로539번길 35 (모라동)","617819","금호환경(주)","20210224134458","U","2021-02-26 02:40:00.0","","380903.012198435","190017.436488015","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"8","환경전문공사업","09_30_16_P","6260000","626000009200600018","20220110","","01","영업/정상","N","신규","","","","","","","","","부산광역시 강서구 대저로29번길 54 (대저1동)","46700","천호환경(주)","20220110181547","U","2022-01-12 02:40:00.0","","378026","192626","93.48","환경전문공사업","0","","","","","","","","","","","","26440","2644010100","1","4208262","","0","54","","46700","",
"9","환경전문공사업","09_30_16_P","6260000","626000009200600022","20171113","","01","영업/정상","N","신규","","","","","","","","","부산광역시 북구 효열로 73, 4층 (금곡동)","46508","(주)은하환경기술","20200728141347","U","2020-07-30 02:40:00.0","","383208.667610524","196664.288385536","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"10","환경전문공사업","09_30_16_P","6260000","626000009200600032","20201230","","01","영업/정상","N","신규","","","","","","","619952","부산광역시 기장군 장안읍 반룡리  831번지 3호","부산광역시 기장군 장안읍 장안산단1로 92","619952","(주)태진엔지니어링","20201230162327","U","2021-01-01 02:40:00.0","","405926.804044414","206457.785803911","","환경전문공사업","","","4117310400","431848","1","1027","","","","","","","41173","4117310400","1","4349163","","0","16","39","431848","",
