"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호","사업자등록번호",
"1","환경측정대행업","09_30_17_P","6260000","626000008200600018","20220615","","01","영업/정상","N","신규","","","","","","","601837","부산광역시 동구 초량3동   1158번지 7호","부산광역시 동구 중앙대로 298, 1층 (초량동,부산YWCA)","601837","(주)한국환경기술연구원","20220615095202","U","2022-06-17 02:40:00.0","","386287.078882652","182353.593813228","0","측정대행업","0","","","","","","","","","","","","26170","2617010100","1","4181429","신도시빌딩","0","3","7","48730","",
"2","환경측정대행업","09_30_17_P","6260000","626000008200700005","20220517","","01","영업/정상","N","신규","","","","","","","618270","부산광역시 강서구 송정동   1569번지 8호","부산광역시 강서구 녹산산단261로31번길 10 (송정동)","618270","부산녹산표면처리사업협동조합","20220517171622","U","2022-05-19 02:40:00.0","","368156.792775172","178578.014065165","0","측정대행업","0","","2644010900","618270","1","1569","8","","","","","","26440","2644010900","1","4208193","","0","10","","618270","",
"3","환경측정대행업","09_30_17_P","6260000","626000008201400001","20180611","","01","영업/정상","N","신규","","","","","","","","","부산광역시 금정구 금강로 298-1, A동 102호 (장전동)","609838","(유)동성기건","20180611112637","I","2019-03-23 02:20:03.0","","389849.026836636","194792.376185648","","측정대행업","","","","","","","","","","","","","26410","2641010800","1","3130022","","0","298","1","609838","",
"4","환경측정대행업","09_30_17_P","6260000","626000008201700002","20220216","","01","영업/정상","N","신규","","","","","","","","","부산광역시 동래구 아시아드대로255번길 9, B동 2층 1호 (온천동,미도빌딩)","47846","(주)대한생활환경시험원","20220310110646","U","2022-03-12 02:40:00.0","","388251.755829552","191670.472331296","96.25","측정대행업","0","","","","","","","","","","","","26260","2626010800","1","4190338","미도빌딩","0","9","","47846","",
"5","환경측정대행업","09_30_17_P","6260000","626000008200600010","20211111","","01","영업/정상","N","신규","","","","","","","","","부산광역시 강서구 대저로29번길 54 (대저1동)","46700","천호환경(주)","20211111094244","U","2021-11-13 02:40:00.0","","378026","192626","93.48","측정대행업","0","","","","","","","","","","","","26440","2644010100","1","4208262","","0","54","","46700","",
"6","환경측정대행업","09_30_17_P","6260000","626000008200600001","20210913","","01","영업/정상","N","신규","","","","","","","609822","부산광역시 금정구 부곡2동   280번지 2호","부산광역시 금정구 동부곡로23번길 30 (부곡동)","609822","(주)한신환경","20220414104913","U","2022-04-16 02:40:00.0","","390624.256291267","193959.335175462","0","측정대행업","0","","","","","","","","","","","","26410","2641010900","1","4205140","","0","30","","609822","",
"7","환경측정대행업","09_30_17_P","6260000","626000008201900007","20200604","","01","영업/정상","N","신규","","","","","0512019961","","49301","부산광역시 사하구 하단동 1158번지 106동 2호","부산광역시 사하구 하신번영로 395 (하단동)","49301","제이앤제이 엔지니어링","20200604190356","U","2020-06-06 02:40:00.0","","378638.300284091","181434.090196654","","측정대행업","","","","","","","","","","","","","","","","","","","","","","",
"8","환경측정대행업","09_30_17_P","6260000","626000008201900008","20220608","","01","영업/정상","N","신규","","","","","0517106379","","47505","부산광역시 연제구 거제동 121-14 화신빌딩 304호호","부산광역시 연제구 중앙대로 1229, 화신빌딩 304호 (거제동)","47505","(주)누리환경 ENG","20220608094404","U","2022-06-10 02:40:00.0","","389285.021844097","190624.483213086","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","","",
"9","환경측정대행업","09_30_17_P","6260000","626000008202200004","20220518","","01","영업/정상","N","신규","","","","","0519028902","","48059","부산광역시 해운대구 우동 1470번지 에이스하이테크21","부산광역시 해운대구 센텀중앙로 48, 에이스하이테크21 1001~1002호(우동)","48059","(주)에너텍유나이티드","20220518100946","U","2022-05-20 02:40:00.0","","394035.24909500000","188368.64865100000","0","측정대행업","0","","","","","","","","","","","","","","","","","","","","","",
"10","환경측정대행업","09_30_17_P","6260000","626000008202000005","20220607","","01","영업/정상","N","신규","","","","","","","607823","부산광역시 동래구 수안동   40번지 2호","부산광역시 동래구 온천천로319번길 12 (수안동)","607823","한국종합환경산업(주)","20220607140017","U","2022-06-09 02:40:00.0","","390144.111432534","190453.524937101","0","측정대행업","0","","2626010600","607823","1","40","2","","","","","","26260","2626010600","1","4190406","","0","12","","607823","",
