"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호","사업자등록번호",
"1","환경컨설팅회사","09_30_18_P","6260000","626000020201900001","20210222","","01","영업/정상","N","신규","","","","","0518050545","","48730","부산광역시 동구 초량동 1158-8 극동빌딩 505호","부산광역시 동구 중앙대로296번길 3-3, 극동빌딩 505호 (초량동)","48730","(주)더맑은환경","20210701092653","U","2021-07-03 02:40:00.0","","386306.364412061","182357.440560816","","환경컨설팅회사","","","","","","","","","","","","","","","","","","","","","","",
"2","환경컨설팅회사","09_30_18_P","6260000","626000020201500002","20220322","","01","영업/정상","N","신규","","","","","0513363351","","","","부산광역시 강서구 대저로29번길 54 (대저1동)","46700","천호환경주식회사","20220322091323","U","2022-03-24 02:40:00.0","","378026","192626","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"3","환경컨설팅회사","09_30_18_P","6260000","626000020201600001","20160121","","01","영업/정상","N","신규","","","","","","","","","부산광역시 북구 만덕3로16번길 6 (만덕동)","46570","(주)선진환경개발","20200928104946","U","2020-09-30 02:40:00.0","","384343.847632763","192223.844736092","","환경컨설팅회사","","","","","","","","","","","","","","","","","","","","","","",
"4","환경컨설팅회사","09_30_18_P","6260000","626000020201600003","20200429","","01","영업/정상","N","신규","","","","","","","","","부산광역시 강서구 대저로235번길 55 (대저1동)","46702","신라환경컨설팅(주)","20210216103020","U","2021-02-18 02:40:00.0","","380152.054614803","192635.777699019","","환경컨설팅회사","","","","","","","","","","","","","","","","","","","","","","",
"5","환경컨설팅회사","09_30_18_P","6260000","626000020201900002","20220127","","01","영업/정상","N","신규","","","","","0513322114","","46702","부산광역시 강서구 대저1동 2335-6","부산광역시 강서구 대저로 294, 5층 (대저1동)","46702","(주)한국안전기술지원단","20220127144234","U","2022-01-29 02:40:00.0","","380628.58658500000","192341.86987200000","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"6","환경컨설팅회사","09_30_18_P","6260000","626000020201900003","20191007","","01","영업/정상","N","신규","","","","","0515176970","","","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 A3004호호 (재송동)","","딥클라우드(주)","20210701093703","U","2021-07-03 02:40:00.0","","","","","환경컨설팅회사","","","","","","","","","","","","","","","","","","","","","","",
"7","환경컨설팅회사","09_30_18_P","6260000","626000020202100001","20210609","","01","영업/정상","N","신규","","","","","","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈 에이동 3607호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 3607호 (재송동)","48058","주식회사 에코링크","20210609211741","I","2021-06-11 00:22:55.0","","393519","188317","","환경컨설팅회사","","","","","","","","","","","","","","","","","","","","","","",
"8","환경컨설팅회사","09_30_18_P","6260000","626000020202100002","20220524","","01","영업/정상","N","신규","","","","","0513271005","","","부산광역시 사상구 감전동 157-2","부산광역시 사상구 학감대로 238-22, 4층 (감전동)","","지엘환경기술","20220524095311","U","2022-05-26 02:40:00.0","","","","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"9","환경컨설팅회사","09_30_18_P","6260000","626000020202000001","20220419","","01","영업/정상","N","신규","","","","","0517427616","","48059","부산광역시 해운대구 재송동 1216번지 벽산이센텀클래스원 912호","부산광역시 해운대구 센텀동로 99, 벽산이센텀클래스원 912호(재송동)","48059","에이티알 주식회사","20220419103153","U","2022-04-21 02:40:00.0","","393607.260373715","188408.076687691","0","환경컨설팅회사","0","","","","","","","","","","","","","","","","","","","","","",
"10","환경컨설팅회사","09_30_18_P","6260000","626000020201800001","20200602","","01","영업/정상","N","신규","","","","","0515124225","","48059","부산광역시 해운대구 재송동 1209번지 센텀아이에스타워 1609호","부산광역시 해운대구 센텀북대로 60, 센텀아이에스타워 16층 1609호 (재송동)","48059","실내환경연구소(주)","20210701092536","U","2021-07-03 02:40:00.0","","393561.58646018","188474.665440257","","환경컨설팅회사","","","","","","","","","","","","","","","","","","","","","","",
