"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","골프연습장업","10_31_01_P","3250000","CDFH3301052004000003","20040811","","03","폐업","03","폐업","20150608","","","","255-0707","","600031","부산광역시 중구 광복동1가 7번지","부산광역시 중구 광복로85번길 5-10  (광복동1가)","","(주)이지알앤에스 실내골프연습장","20150608132227","I","2018-08-31 23:59:59.0","","385386.063275369","179669.736313082","골프연습장업","사립","","","","","","","",
"2","골프연습장업","10_31_01_P","3250000","CDFH3301052005000001","20050328","","03","폐업","03","폐업","20070605","","","","466-4655","","600816","부산광역시 중구 중앙동4가 76-23번지","부산광역시 중구 중앙대로 148  (중앙동4가)","","리드 실내골프연습장","20070605140559","I","2018-08-31 23:59:59.0","","385735.140511982","180956.48599773","골프연습장업","사립","0","","","","","","",
"3","골프연습장업","10_31_01_P","3250000","CDFH3301051992000001","19921123","","03","폐업","03","폐업","20130103","","","","464-4171","","600814","부산광역시 중구 중앙동4가 89-12번지","부산광역시 중구 충장대로5번길 5  (중앙동4가)","","대원골프연습장","20130103111523","I","2018-08-31 23:59:59.0","","385635.99608375","180419.418143996","골프연습장업","사립","","","","145.2","","","",
"4","골프연습장업","10_31_01_P","3250000","CDFH3301051996000001","19960502","","03","폐업","03","폐업","20100112","","","","051-466-0969","","600013","부산광역시 중구 중앙동3가 9-5번지","부산광역시 중구 해관로 49  (중앙동3가)","","중앙골프클럽","20100112151009","I","2018-08-31 23:59:59.0","","385514.65053671","180140.244867097","골프연습장업","사립","0","","","214","","","",
"5","골프연습장업","10_31_01_P","3250000","CDFH3301051997000002","19971211","","03","폐업","03","폐업","20020727","","","","051-245-0155","","600092","부산광역시 중구 대청동2가 34-1번지","부산광역시 중구 광복중앙로 28-1  (대청동2가)","","광복실내골프연습장","20040727102048","I","2018-08-31 23:59:59.0","","385126.03216158","179976.116994375","골프연습장업","사립","0","","","","","","",
"6","골프연습장업","10_31_01_P","3250000","CDFH3301052003000001","20030305","","03","폐업","03","폐업","20040228","","","","051-463-1100","","600100","부산광역시 중구 대창동2가 36-5번지","부산광역시 중구 중앙대로 133  (대창동2가)","","포시즌 골프연습장","20040709121811","I","2018-08-31 23:59:59.0","","385634.524592419","180842.542510507","골프연습장업","사립","0","","","","","","",
"7","골프연습장업","10_31_01_P","3250000","CDFH3301052014000003","20140508","","03","폐업","03","폐업","20191029","","","","051-246-0717","","600042","부산광역시 중구 남포동2가 25-10번지","부산광역시 중구 구덕로34번길 4 (남포동2가)","48954","광복스크린","20191029175001","U","2019-10-31 02:40:00.0","","385243.158543667","179580.295176299","골프연습장업","사립","","","","8245.54","","","",
"8","골프연습장업","10_31_01_P","3250000","CDFH3301052015000001","20150102","","03","폐업","03","폐업","20191213","","","","1899-6569","","600051","부산광역시 중구 창선동1가 12-1번지","부산광역시 중구 광복로39번길 6 (창선동1가)","48947","제임스짐(JAMESGYM)","20191213112332","U","2019-12-15 02:40:00.0","","384993.660072758","179733.755298836","골프연습장업","사립","","3","","16057","","","",
"9","골프연습장업","10_31_01_P","3250000","CDFH3301052007000002","20070508","","03","폐업","03","폐업","20100108","","","","463-4700","","600100","부산광역시 중구 대창동1가 23-13번지","부산광역시 중구 중앙대로 129  (대창동1가)","","스카이 골프","20100108105017","I","2018-08-31 23:59:59.0","","385629.342277905","180803.857905689","골프연습장업","사립","0","","","","","","",
"10","골프연습장업","10_31_01_P","3250000","CDFH3301052009000001","20090429","","03","폐업","03","폐업","20130114","","","","247-2323","","600044","부산광역시 중구 남포동4가 37-1번지","부산광역시 중구 자갈치해안로 52  (남포동4가)","","비치골프클럽","20130114093207","I","2018-08-31 23:59:59.0","","385139.215952094","179403.007901724","골프연습장업","사립","","","","","","","",
"11","골프연습장업","10_31_01_P","3250000","CDFH3301052009000002","20090507","","03","폐업","03","폐업","20170613","","","","051-715-4567","","","부산광역시 중구 남포동6가 85번지 6층","부산광역시 중구 비프광장로 20, 6층 (남포동6가)","48981","아머짐","20170613161454","I","2018-08-31 23:59:59.0","","384819.053111578","179587.403632584","골프연습장업","사립","","","","","","","",
"12","골프연습장업","10_31_01_P","3250000","CDFH3301052009000003","20090513","","03","폐업","03","폐업","20170317","","","","462-5777","","","부산광역시 중구 중앙동4가 89-2번지 흥우빌딩 지하1층","부산광역시 중구 중앙대로 96 (중앙동4가)","48939","해양골프존","20170317144741","I","2018-08-31 23:59:59.0","","385614.928477875","180471.183034331","골프연습장업","사립","","","","9467.97","","","",
"13","골프연습장업","10_31_01_P","3250000","CDFH3301052009000004","20090622","","03","폐업","03","폐업","20091127","","","","242-0562","","600046","부산광역시 중구 남포동6가 85-6번지 6층","","","유림 모투스 골프연습장","20091127162557","I","2018-08-31 23:59:59.0","","","","골프연습장업","사립","","","","","","","",
"14","골프연습장업","10_31_01_P","3250000","CDFH3301052009000005","20091112","","03","폐업","03","폐업","20111220","","","","441-0617","","600102","부산광역시 중구 대창동2가 36-5번지","부산광역시 중구 중앙대로 133  (대창동2가)","","포시즌골프연습장","20111220184931","I","2018-08-31 23:59:59.0","","385634.524592419","180842.542510507","골프연습장업","사립","","","","","","","",
"15","골프연습장업","10_31_01_P","3250000","CDFH3301052010000002","20100930","","03","폐업","03","폐업","20210208","","","","678-4150","","","부산광역시 중구 중앙동7가 20-1 롯데백화점 신관 7층","부산광역시 중구 중앙대로 2 (중앙동7가, 롯데백화점광복점)","48944","아시아드스포츠(주)","20210208105145","U","2021-02-10 02:40:00.0","","385590.814676765","179553.867031936","골프연습장업","사립","","","","","","","",
"16","골프연습장업","10_31_01_P","3250000","CDFH3301052003000002","20031124","","01","영업/정상","13","영업중","","","","","465-0700","","","부산광역시 중구 대청동2가 7-1번지 5층","부산광역시 중구 대청로 107, 5층 (대청동2가)","48933","에스에스 골프연습장","20161205154150","I","2018-08-31 23:59:59.0","","385176.391700712","180113.825158361","골프연습장업","사립","","","","4130.27","","","",
"17","골프연습장업","10_31_01_P","3250000","CDFH3301052004000001","20040413","","01","영업/정상","13","영업중","","","","","051)244-1080","","","부산광역시 중구 신창동3가 13-1번지","부산광역시 중구 광복로35번길 18 (신창동3가)","48946","가나다라골프연습장","20180202153954","I","2018-08-31 23:59:59.0","","384938.43707013","179859.140991748","골프연습장업","사립","","","","1155.7","","","",
"18","골프연습장업","10_31_01_P","3250000","CDFH3301051997000001","19970801","","01","영업/정상","13","영업중","","","","","051-247-2412","","","부산광역시 중구 남포동6가 10번지","부산광역시 중구 자갈치로 30, 3,4층 (남포동6가)","48982","금양골프연습장","20190130165448","U","2019-05-10 02:40:00.0","","384861.98681712","179371.447213226","골프연습장업","사립","","","","3360","","","",
"19","골프연습장업","10_31_01_P","3250000","CDFH3301051999000001","19990513","","01","영업/정상","13","영업중","","","","","051-963-8505","","","부산광역시 중구 중앙동4가 79-1번지 마린센터 지하107호,110호","부산광역시 중구 충장대로9번길 52, 지1층 (중앙동4가, 마린센터빌딩)","48936","마린골프연습장","20191125194448","U","2019-11-27 02:40:00.0","","385825.756707547","180869.292984843","골프연습장업","사립","","","","20120.65","","","",
"20","골프연습장업","10_31_01_P","3250000","CDFH3301052019000001","20190927","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 보수동2가 65-10","부산광역시 중구 흑교로75번길 10 (보수동2가)","48964","그린클럽 골프연습장","20220622161509","U","2022-06-24 02:40:00.0","","384351.540238464","180377.043003698","골프연습장업","사립","","0","0","0","0","","",
"21","골프연습장업","10_31_01_P","3250000","CDFH3301052014000002","20140429","","01","영업/정상","13","영업중","","","","","051-245-5515","","","부산광역시 중구 동광동2가 1번지","부산광역시 중구 광복로97번길 26-2, 2층 (동광동2가)","48955","우리동네스크린골프","20180126153016","I","2018-08-31 23:59:59.0","","385473.117196105","179880.976912079","골프연습장업","사립","","","","5404.88","","","",
"22","골프연습장업","10_31_01_P","3250000","CDFH3301052016000001","20161109","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 84-3번지","부산광역시 중구 충장대로5번길 24, 4층 (중앙동4가)","48938","그린샷스크린골프연습장","20161125110558","I","2018-08-31 23:59:59.0","","385673.302755996","180607.257893431","골프연습장업","사립","","","","1832.49","","","",
"23","골프연습장업","10_31_01_P","3250000","CDFH3301052007000001","20070412","","01","영업/정상","13","영업중","","","","","441-0331","","600714","부산광역시 중구 중앙동6가 69-1번지","부산광역시 중구 중앙대로 26, 12층 (중앙동6가)","48942","(주)아이엠토탈피트니스","20130701151306","I","2018-08-31 23:59:59.0","","385666.280865059","179774.158396281","골프연습장업","사립","","","","","","","",
"24","골프연습장업","10_31_01_P","3250000","CDFH3301052008000001","20080716","","01","영업/정상","13","영업중","","","","","468-1638","","","부산광역시 중구 중앙동4가 76-1","부산광역시 중구 중앙대로 160 (중앙동4가)","48934","명문골프스쿨","20201117142627","U","2020-11-19 02:40:00.0","","385770.249057193","181062.506282925","골프연습장업","사립","","","","3342.97","","","",
"25","골프연습장업","10_31_01_P","3250000","CDFH3301052010000001","20100119","","01","영업/정상","13","영업중","","","","","466-0969","","","부산광역시 중구 중앙동3가 9-5번지 401호","부산광역시 중구 해관로 49 (중앙동3가)","48931","중앙골프클럽","20171218085718","I","2018-08-31 23:59:59.0","","385514.65053671","180140.244867097","골프연습장업","사립","","","","","","","",
"26","골프연습장업","10_31_01_P","3250000","CDFH3301052011000001","20110802","","01","영업/정상","13","영업중","","","","","051-469-0336","","","부산광역시 중구 중앙동3가 1번지 부산우체국 B1","부산광역시 중구 중앙대로 63 (중앙동3가, 부산우체국)","48931","부산골프존아카데미","20191112110342","U","2019-11-14 02:40:00.0","","385561.650139456","180152.738082365","골프연습장업","사립","","","","","","","",
"27","골프연습장업","10_31_01_P","3250000","CDFH3301052011000002","20111028","","01","영업/정상","13","영업중","","","","","051-441-5210","","","부산광역시 중구 중앙동4가 84-3번지 5층","부산광역시 중구 충장대로5번길 24, 5층 (중앙동4가)","48938","그린샷스크린","20191119182547","U","2019-11-21 02:40:00.0","","385673.302755996","180607.257893431","골프연습장업","사립","","","","","","","",
"28","골프연습장업","10_31_01_P","3250000","CDFH3301052006000001","20061108","","04","취소/말소/만료/정지/중지","35","직권말소","20130408","","","","255-8550","","600042","부산광역시 중구 남포동2가 25-10번지 쏠레마빌딩 6층 601호,602호","부산광역시 중구 구덕로34번길 4  (남포동2가,쏠레마빌딩 6층 601호,602호)","","레포 골프아카데미","20130408094735","I","2018-08-31 23:59:59.0","","385243.158543667","179580.295176299","골프연습장업","사립","","","","","","","",
"29","골프연습장업","10_31_01_P","3250000","CDFH3301052007000003","20071112","","04","취소/말소/만료/정지/중지","35","직권말소","20130408","","","","257-0707","","600021","부산광역시 중구 동광동1가 10번지","","","중앙골프연습장","20130408094831","I","2018-08-31 23:59:59.0","","385517.559896349","179676.666538806","골프연습장업","사립","","","","2322.11","","","",
