"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","등록체육시설업","10_31_03_P","6260000","302012007000002","20070409","","01","영업/정상","1","영업","","","","","","0","","부산광역시 금정구 노포동 368번지","부산광역시 금정구 중앙대로2327번길 112 (노포동)","","부산칸트리클럽","20220209164352","U","2022-02-11 02:40:00.0","","390364.922976758","201886.659400079","골프장","","","","","4227.52","1060","회원제","사단법인 부산컨트리클럽",
"2","등록체육시설업","10_31_03_P","6260000","302012007000003","20071226","","01","영업/정상","1","영업","","","","","","0","","부산광역시 금정구 선동 834번지 1호","부산광역시 금정구 하정로 66 (선동)","","동래베네스트골프클럽","20220118132859","U","2022-01-20 02:40:00.0","","390985.277852043","197940.847598334","골프장","","","","14","6346.07","","회원제","삼성물산 주식회사 대표이사 최치훈",
"3","등록체육시설업","10_31_03_P","6260000","302012008000001","20080501","","01","영업/정상","1","영업","","","","","","","","부산광역시 기장군 일광면 이천리 산 34번지 29호","부산광역시 기장군 일광면 차양길 26","","아시아드컨트리클럽","20211207125749","U","2021-12-09 02:40:00.0","","403863.06017145","200650.504194742","골프장","","","","16","9270.43","800","없음","",
"4","등록체육시설업","10_31_03_P","6260000","302012008000003","20081118","","01","영업/정상","1","영업","","","","","0519417791","","","부산광역시 강서구 지사동 산 207번지","부산광역시 강서구 과학산단1로 172 (지사동)","","하이스트컨트리클럽(JS강서)","20211020103826","U","2021-10-22 02:40:00.0","","365093.532168897","183570.296667016","골프장","","","","4","3676.4","0","","",
"5","등록체육시설업","10_31_03_P","6260000","302012009000001","20090109","","01","영업/정상","1","영업","","","","","0517123900","","","부산광역시 강서구 지사동 산 11번지","부산광역시 강서구 과학산단로306번길 77 (지사동)","","해라컨트리클럽","20220103135135","U","2022-01-05 02:40:00.0","","367528.826420381","185676.772326292","골프장","","","","3","4800.15","0","","",
"6","등록체육시설업","10_31_03_P","6260000","302012010000001","20100924","","01","영업/정상","1","영업","","","","","0516425100","","","부산광역시 기장군 일광면 이천리 산 34번지 13호","부산광역시 기장군 일광면 이천8길 100","","베이사이드골프클럽","20220118132621","U","2022-01-20 02:40:00.0","","404421.54268089","200189.111319609","골프장","","","","9","10341.07","698","","",
"7","등록체육시설업","10_31_03_P","6260000","302012010000002","20101115","","01","영업/정상","1","영업","","","","","","0","","부산광역시 기장군 정관면 병산리 산 6번지","부산광역시 기장군 정관면 병산2로 265","","해운대컨트리클럽","20220103135644","U","2022-01-05 02:40:00.0","","400334.69367200000","209676.73239000000","골프장","","","","3","7983.53","900","회원제","경원개발주식회사",
"8","등록체육시설업","10_31_03_P","6260000","302012014000001","20141103","","01","영업/정상","1","영업","","","","","","","","부산광역시 기장군 기장읍 대변리 504번지 3호","부산광역시 기장군 기장읍 대변로 74","","해운대비치 골프앤리조트","20211214130622","U","2021-12-16 02:40:00.0","","402144.440463941","194554.94940589","골프장","","","","6","5898.89","580","없음","",
"9","등록체육시설업","10_31_03_P","6260000","302012016000001","20161011","","01","영업/정상","1","영업","","","","","0516304134","","","부산광역시 기장군 기장읍 만화리 산 104번지 5호","부산광역시 기장군 기장읍 반송로 1345-52","","기장동원로얄골프장","20191231125429","U","2020-01-02 02:40:00.0","","399082.498982715","197252.248813263","골프장","","","","","4457.46","","","",
"10","등록체육시설업","10_31_03_P","6260000","302012018000001","20180919","","01","영업/정상","1","영업","","","","","0517229840","","","부산광역시 기장군 일광면 용천리 534번지 0호","부산광역시 기장군 일광면 곡천길 317-0","","스톤게이트C.C","20220407134719","U","2022-04-09 02:40:00.0","","","","골프장","","","","9","8458.65","","","",
