"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","당구장업","10_32_01_P","3250000","CDFH3301081981000001","19811022","","02","휴업","02","휴업","","20091112","20100530","","246-2067","","600051","부산광역시 중구 창선동1가 27-1번지 3층","부산광역시 중구 광복로49번길 5  (창선동1가,3층)","","미강 당구클럽","20110405171113","I","2018-08-31 23:59:59.0","","385066.966007442","179715.008153692","당구장업","사립","","","","","","","",
"2","당구장업","10_32_01_P","3250000","CDFH3301082010000010","20100125","","03","폐업","03","폐업","20110527","","","","464-8408","","600817","부산광역시 중구 중앙동4가 81-12번지 상일빌딩 3층","부산광역시 중구 충장대로9번길 33  (중앙동4가,상일빌딩 3층)","","롯데당구장","20110530084715","I","2018-08-31 23:59:59.0","","385720.420340794","180698.091506578","당구장업","사립","","","","","","","",
"3","당구장업","10_32_01_P","3250000","CDFH3301082011000001","20110311","","03","폐업","03","폐업","20201110","","","","","","","부산광역시 중구 동광동1가 13-1 2층","부산광역시 중구 해관로 3 (동광동1가)","48955","스타당구클럽","20201113164806","U","2020-11-15 02:40:00.0","","385545.088737415","179683.900971893","당구장업","사립","","","","","","","",
"4","당구장업","10_32_01_P","3250000","CDFH3301082011000002","20110513","","03","폐업","03","폐업","20110715","","","","070-8902-7446","","600808","부산광역시 중구 부평동3가 18-2번지 2층","부산광역시 중구 흑교로35번길 3  (부평동3가,2층)","","왕당구장","20110715175148","I","2018-08-31 23:59:59.0","","384556.943464491","180035.74653829","당구장업","사립","","","","","","","",
"5","당구장업","10_32_01_P","3250000","CDFH3301082014000002","20140402","","03","폐업","03","폐업","20170201","","","","051-242-1791","","600044","부산광역시 중구 남포동4가 7번지","부산광역시 중구 자갈치로59번길 6 (남포동4가)","48984","동명당구장","20170515111020","I","2018-08-31 23:59:59.0","","385115.989447093","179528.531517589","당구장업","사립","","","","","","","",
"6","당구장업","10_32_01_P","3250000","CDFH3301082015000002","20151021","","03","폐업","03","폐업","20160823","","","","255-1244","","","부산광역시 중구 남포동6가 108번지","부산광역시 중구 비프광장로 4-1 (남포동6가)","48981","후루꾸당구장","20160823175028","I","2018-08-31 23:59:59.0","","384653.072800529","179543.449420041","당구장업","사립","","","","173.76","","","",
"7","당구장업","10_32_01_P","3250000","CDFH3301082016000001","20160129","","03","폐업","03","폐업","20210420","","","","051-462-4533","","","","부산광역시 중구 중앙대로116번길 5, 3층 (중앙동4가)","48937","크라운당구장","20210420164539","U","2021-04-22 02:40:00.0","","385676","180647","당구장업","사립","","","1","","","","",
"8","당구장업","10_32_01_P","3250000","CDFH3301081985000001","19850124","","03","폐업","03","폐업","20130103","","","","051-442-2356,","","600815","부산광역시 중구 중앙동4가 29-3번지","부산광역시 중구 해관로 58  (중앙동4가)","","둥지당구장","20130103111547","I","2018-08-31 23:59:59.0","","385545.578659806","180227.399824997","당구장업","사립","","","","","","","",
"9","당구장업","10_32_01_P","3250000","CDFH3301081985000002","19850920","","03","폐업","03","폐업","20010630","","","","051-462-4918","","600817","부산광역시 중구 중앙동4가 81-19번지","부산광역시 중구 중앙대로116번길 7  (중앙동4가)","","우미당구장","20030611133209","I","2018-08-31 23:59:59.0","","385696.117898399","180645.097632146","당구장업","사립","0","","","117","","","",
"10","당구장업","10_32_01_P","3250000","CDFH3301081986000001","19860130","","03","폐업","03","폐업","20070226","","","","051-256-9886","","600803","부산광역시 중구 보수동1가 133-2번지","부산광역시 중구 대청로 63  (보수동1가)","","청룡 당구장","20070226114310","I","2018-08-31 23:59:59.0","","384738.48387377","180116.585538544","당구장업","사립","0","","","210","","","",
