"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","무도학원업","10_33_02_P","3250000","CDFH3301112001000001","20010829","","03","폐업","03","폐업","20181127","","","","051-245-8147","","","부산광역시 중구 부평동2가 64-2번지","부산광역시 중구 흑교로 10-1 (부평동2가)","48977","황실무도학원","20181127100122","U","2018-11-29 02:40:00.0","","384596.243459433","179800.252881268","무도학원업","사립","","","","","","","",
"2","무도학원업","10_33_02_P","3250000","CDFH3301112001000002","20010920","","03","폐업","03","폐업","20111005","","","","051-253-3372","","600809","부산광역시 중구 부평동3가 79-14번지","부산광역시 중구 보수대로44번길 26  (부평동3가)","","현대 무도학원","20111005154237","I","2018-08-31 23:59:59.0","","384474.391289202","180059.410132064","무도학원업","사립","","","","","","","",
"3","무도학원업","10_33_02_P","3250000","CDFH3301112008000001","20080828","","03","폐업","03","폐업","20170613","","","","051-245-6984","","","부산광역시 중구 부평동1가 39-18번지 4층","부산광역시 중구 광복로 14-1 (부평동1가)","48980","중앙무도학원","20170613161439","I","2018-08-31 23:59:59.0","","384723.35613516","179684.637389432","무도학원업","사립","","","","336.5","","","",
"4","무도학원업","10_33_02_P","3250000","CDFH3301111980000001","19800102","","03","폐업","03","폐업","20071011","","","","051-245-6984","","600805","부산광역시 중구 부평동1가 39-18번지","부산광역시 중구 광복로 14-1  (부평동1가)","","중앙무도학원","20071011174605","I","2018-08-31 23:59:59.0","","384723.35613516","179684.637389432","무도학원업","사립","0","","","","","","",
"5","무도학원업","10_33_02_P","3250000","CDFH3301111998000001","19980624","","03","폐업","03","폐업","20030324","","","","051-255-0022","","600046","부산광역시 중구 남포동6가 1155번지","","","동명무도학원","20030324153829","I","2018-08-31 23:59:59.0","","","","무도학원업","사립","0","","","350.3","","","",
"6","무도학원업","10_33_02_P","3250000","CDFH3301111999000001","19990902","","03","폐업","03","폐업","20060530","","","","051-248-0856","","600044","부산광역시 중구 남포동4가 7번지","부산광역시 중구 자갈치로59번길 6  (남포동4가)","","남포무도학원","20060620145245","I","2018-08-31 23:59:59.0","","385115.989447093","179528.531517589","무도학원업","사립","0","","","468.6","","","",
"7","무도학원업","10_33_02_P","3250000","CDFH3301112000000002","20000512","","03","폐업","03","폐업","20200320","","","","051-246-1043","","","부산광역시 중구 남포동6가 27-1번지","부산광역시 중구 자갈치로 22-1 (남포동6가)","48982","현대 댄스스포츠","20200320094908","U","2020-03-22 02:40:00.0","","384749.608487505","179365.804285634","무도학원업","사립","","","","86.79","","","",
"8","무도학원업","10_33_02_P","3250000","CDFH3301112000000003","20001213","","03","폐업","03","폐업","20120709","","","","468-5582","","600044","부산광역시 중구 남포동4가 30번지 3층","","","신동양무도학원","20120709105828","I","2018-08-31 23:59:59.0","","385160.754396745","179452.209734125","무도학원업","사립","","","","3861.84","","","",
"9","무도학원업","10_33_02_P","3250000","CDFH3301112020000001","20200417","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 부평동2가 64-1번지","부산광역시 중구 흑교로 10-1, 3층 (부평동2가)","48977","황실스포츠댄스","20200417102547","I","2020-04-19 00:23:21.0","","384603.915334467","179805.012355741","무도학원업","사립","","","","764.48","","","",
"10","무도학원업","10_33_02_P","3250000","CDFH3301112000000001","20000131","","01","영업/정상","13","영업중","","","","","051-244-4200","","600807","부산광역시 중구 부평동2가 56-1번지","","","삼보무도학원","20110111134616","I","2018-08-31 23:59:59.0","","384632.924656956","179745.92405762","무도학원업","사립","","","","","","","",
