"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","빙상장업","10_34_01_P","3280000","CDFH3301242005000001","20051107","","03","폐업","03","폐업","20130115","","","","051-403-5114","","606081","부산광역시 영도구 동삼동 317-8번지 한나타워 5층","부산광역시 영도구 동삼로 56  (동삼동,한나타워 5층)","","영도문화아이스링크","20130115162303","I","2018-08-31 23:59:59.0","","388801.534170119","177450.776987731","빙상장업","사립","Y","","1","14364.42","","","",
"2","빙상장업","10_34_01_P","3300000","CDFH3301242006000001","20061220","","03","폐업","03","폐업","20070509","","","","506-9990","","607813","부산광역시 동래구 사직동 1번지","","","온천천스케이트장","20110324171304","I","2018-08-31 23:59:59.0","","389281.238157894","190990.272275142","빙상장업","사립","","","","","","","",
"3","빙상장업","10_34_01_P","3300000","CDFH3301242000000001","20001111","","01","영업/정상","13","영업중","","","","","051-529-7110","","607830","부산광역시 동래구 안락동 606-4번지","부산광역시 동래구 충렬대로 420 (안락동)","47890","동래빙상장","20181204091750","U","2018-12-06 02:40:00.0","","391544.11506292","190588.476263509","빙상장업","사립","","","","","","","",
"4","빙상장업","10_34_01_P","3310000","CDFH3301242019000001","20190802","","01","영업/정상","13","영업중","","","","","628-5200","","","부산광역시 남구 용호동 954 더블유","부산광역시 남구 분포로 145, 지하층 B105호 (용호동, 더블유)","48515","주식회사 잭슨파이브","20210304101210","U","2021-03-06 02:40:00.0","","392495.046847798","183633.944535074","빙상장업","사립","Y","1","4","58478","","","",
"5","빙상장업","10_34_01_P","3330000","CDFH3301242005000001","20051228","","03","폐업","03","폐업","20060320","","","","","","612827","부산광역시 해운대구 우동 1291번지","","","(주)아이리사","20061108105724","I","2018-08-31 23:59:59.0","","393954.874442447","187331.440016359","빙상장업","사립","0","","","5208","","","",
"6","빙상장업","10_34_01_P","3330000","CDFH3301242006000001","20060726","","03","폐업","03","폐업","20080310","","","","051-741-9989","","612853","부산광역시 해운대구 좌동 1368-2번지","부산광역시 해운대구 좌동순환로 77  (좌동)","","우창스포링크 아이스링크","20080325163040","I","2018-08-31 23:59:59.0","","397326.391634352","188133.178600996","빙상장업","사립","0","","","","","","",
"7","빙상장업","10_34_01_P","3330000","CDFH3301242013000001","20131203","","03","폐업","03","폐업","20160722","","","","","","612020","부산광역시 해운대구 우동 1467번지","부산광역시 해운대구 수영강변대로 120 (우동)","48058","영화의 전당 Art 스케이트장","20160722105817","I","2018-08-31 23:59:59.0","","393724.655115205","187847.348782974","빙상장업","사립","Y","","","","","","",
"8","빙상장업","10_34_01_P","3330000","CDFH3301242015000001","20151214","","03","폐업","03","폐업","20161230","","","","051-741-1067","","","","부산광역시 해운대구 해운대해변로 264-0 (우동, 해운대관광봉사센타)","48100","해운대비치 국제 아이스링크","20161230103005","I","2018-08-31 23:59:59.0","","396756.028430941","186566.590743665","빙상장업","사립","Y","1","","","","","",
"9","빙상장업","10_34_01_P","3330000","CDFH3301242009000001","20090205","","01","영업/정상","13","영업중","","","","","051-745-1400","","","부산광역시 해운대구 우동 1495번지 신세계백화점센텀시티점","부산광역시 해운대구 센텀남대로 35, 신세계백화점센텀시티점 4층 (우동)","48058","신세계센텀시티 아이스링크","20200210092425","U","2020-02-12 02:40:00.0","","393952.264486105","187602.933160728","빙상장업","사립","","","","","","","",
"10","빙상장업","10_34_01_P","3350000","CDFH3301242006000001","20061226","","03","폐업","03","폐업","20070412","","","","508-2547","","609370","부산광역시 금정구 두구동 669번지","부산광역시 금정구 체육공원로399번길 324  (두구동)","","우진기획아이스월드","20070327143832","I","2018-08-31 23:59:59.0","","391519.106057","201135.192463","빙상장업","사립","0","1","","","","","",
"11","빙상장업","10_34_01_P","3380000","CDFH3301241991000001","19910119","","03","폐업","03","폐업","20170426","","","","622-1122","","613815","부산광역시 수영구 남천동 29-4번지 3층","부산광역시 수영구 남천바다로10번길 72 (남천동,3층)","","극동레포츠타운","20170616173901","I","2018-08-31 23:59:59.0","","392281.080537932","185108.924063773","빙상장업","사립","Y","","","","","","",
"12","빙상장업","10_34_01_P","3390000","CDFH3301242005000001","20051220","","02","휴업","02","휴업","","20080301","20091231","","316-2920","","617846","부산광역시 사상구 학장동 797-1번지 8층","부산광역시 사상구 대동로 95  (학장동,8층)","","성황리아이스링크","20080613110137","I","2018-08-31 23:59:59.0","","380187.188805154","183935.965594744","빙상장업","사립","0","","","","","","",
