"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","수영장업","10_35_01_P","3250000","CDFH3301011973000001","19730112","","03","폐업","03","폐업","20030102","","","","051-469-9624","","600100","부산광역시 중구 대창동1가 54번지","","","부원실내 수영장","20050202115804","I","2018-08-31 23:59:59.0","","","","수영장업","사립","0","","","105","","","",
"2","수영장업","10_35_01_P","3250000","CDFH3301011984000001","19840519","","01","영업/정상","13","영업중","","","","","051-466-9101","","","부산광역시 중구 영주동 743-80","부산광역시 중구 중구로 151 (영주동)","48912","코모도 실내수영장","20211028104041","U","2021-10-30 02:40:00.0","","385475.543050054","180776.200989752","수영장업","사립","","","","27553.36","","","",
"3","수영장업","10_35_01_P","3270000","CDFH3301012000000001","20000103","","03","폐업","03","폐업","20080709","","","","464-1410","","601812","부산광역시 동구 수정동 228-12번지 228-13","부산광역시 동구 중앙대로389번길 15  (수정동,228-13)","","백화수영장","20080709114353","I","2018-08-31 23:59:59.0","","386699.592319098","183163.791407926","수영장업","사립","1","","","","","","",
"4","수영장업","10_35_01_P","3270000","CDFH3301012017000001","20170705","","03","폐업","03","폐업","20170925","","","","","","","부산광역시 동구 초량동 1185-1번지","","","부산항 시민 해수온천 수영장","20170928130509","I","2018-08-31 23:59:59.0","","386466.092076382","181381.122678011","수영장업","사립","Y","","","7425","","","",
"5","수영장업","10_35_01_P","3270000","CDFH3301012018000001","20180625","","03","폐업","03","폐업","20180820","","","","051-999-3000","","","부산광역시 동구 초량동 1185-1번지","","","부산항 시민 해수온천 수영장","20180830143842","I","2018-08-31 23:59:59.0","","386466.092076382","181381.122678011","수영장업","사립","Y","","","","","","",
"6","수영장업","10_35_01_P","3270000","CDFH3301011999000001","19990318","","01","영업/정상","13","영업중","","","","","465-1152","","601829","부산광역시 동구 초량동 308-9번지","부산광역시 동구 중앙대로231번길 29-1, 지하1층 (초량동)","48815","하나수영장","20190220175016","U","2019-02-22 02:40:00.0","","385839.807944514","181797.110142304","수영장업","사립","Y","","","","","","",
"7","수영장업","10_35_01_P","3280000","CDFH3301011996000001","19960923","","03","폐업","03","폐업","20080828","","","","405-0641","","606080","부산광역시 영도구 동삼동 산 19-3번지","","","곤포가든","20080828135129","I","2018-08-31 23:59:59.0","","389684.576205232","175235.790940527","수영장업","사립","0","","","","","","",
"8","수영장업","10_35_01_P","3280000","CDFH3301012010000001","20090325","","03","폐업","03","폐업","20100913","","","","051-405-5224","","606081","부산광역시 영도구 동삼동 산 149-4번지","","","함지골청소년수련관","20101231162649","I","2018-08-31 23:59:59.0","","387295.149848597","177058.730875524","수영장업","사립","Y","2","1","5207.01","","","",
"9","수영장업","10_35_01_P","3290000","CDFH3301012003000002","20030203","","03","폐업","03","폐업","20151001","","","","891-0737","","614822","부산광역시 부산진구 당감동 516-6번지","부산광역시 부산진구 백양관문로 20 (당감동)","47179","동해스포츠센타","20151123115343","I","2018-08-31 23:59:59.0","","385030.729095916","186527.138977733","수영장업","사립","Y","","","1089","","","",
"10","수영장업","10_35_01_P","3290000","CDFH3301012017000001","20170314","","03","폐업","03","폐업","20210720","","","","1522-7958","","","부산광역시 부산진구 당감동 516-6 지하1,2층","부산광역시 부산진구 백양관문로 20, 지하1,2층 (당감동)","47179","(주)건강한","20210720102318","U","2021-07-22 02:40:00.0","","385030.729095916","186527.138977733","수영장업","사립","","0","1","2889.64","0","","",
