"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)",
"1","종합체육시설업","10_37_01_P","3250000","CDFH3301261991000001","19910610","","01","영업/정상","13","영업중","","","","","051-248-6334~5","","","부산광역시 중구 보수동1가 145-28번지","부산광역시 중구 고가길 32 (보수동1가)","48967","한신스포렉스","20190228143351","U","2019-03-02 02:40:00.0","","384753.432651155","180176.033804153",
"2","종합체육시설업","10_37_01_P","3270000","CDFH3301261995000001","19950912","","03","폐업","03","폐업","20090810","","","","667-0921","","601803","부산광역시 동구 범일동 62-5번지 현대백화점 9층","부산광역시 동구 범일로 125  (범일동,현대백화점 9층)","","현대스포츠센터","20090810181708","I","2018-08-31 23:59:59.0","","387539.767677801","184402.96650913",
"3","종합체육시설업","10_37_01_P","3270000","CDFH3301262015000001","20150909","","03","폐업","03","폐업","20210218","","","","051-639-0280","","","부산광역시 동구 범일동 828-9 3,4,6층","부산광역시 동구 조방로 4, 3,4,6층 (범일동, 천우제이와이)","48743","아시아드 스포츠클럽","20210218154001","U","2021-02-20 02:40:00.0","","388054.117193921","184024.698088642",
"4","종합체육시설업","10_37_01_P","3270000","CDFH3301261993000001","19930130","","03","폐업","03","폐업","20141128","","","","630-6789","","601705","부산광역시 동구 범일동 828-9번지 부산상록회관","부산광역시 동구 조방로 4, 6층 (범일동, 부산상록회관)","601705","상록스포렉스","20141128155104","I","2018-08-31 23:59:59.0","","388054.117193921","184024.698088642",
"5","종합체육시설업","10_37_01_P","3270000","CDFH3301261997000001","19971210","","01","영업/정상","13","영업중","","","","","441-3332","","601836","부산광역시 동구 초량동 1143-13번지 YMCA빌딩","부산광역시 동구 중앙대로 319, 5,6층 (초량동, YMCA빌딩)","48792","클래스윔 스포츠센터","20200526173755","U","2020-05-28 02:40:00.0","","386328.536513895","182601.921680056",
"6","종합체육시설업","10_37_01_P","3280000","CDFH3301262007000001","20071026","","03","폐업","03","폐업","20150319","","","","051-410-5050","","606804","부산광역시 영도구 동삼동 1번지","부산광역시 영도구 태종로 727 (동삼동)","","한국해양대레포츠센터","20150319135528","I","2018-08-31 23:59:59.0","","390593.563077685","177284.095401433",
"7","종합체육시설업","10_37_01_P","3280000","CDFH3301262009000001","20091210","","01","영업/정상","13","영업중","","","","","051-405-0050","","606809","부산광역시 영도구 동삼동 516-1번지 영도 문화예술회관","부산광역시 영도구 함지로79번길 6 (동삼동)","49114","영도국민체육센터","20200129190610","U","2020-01-31 02:40:00.0","","388368.918455131","177053.822821527",
"8","종합체육시설업","10_37_01_P","3290000","CDFH3301261997000001","19970205","","01","영업/정상","13","영업중","","","","","051-810-5330","","","부산광역시 부산진구 부전동 503-15","부산광역시 부산진구 가야대로 772, 6-7층 (부전동)","47285","롯데헬스클럽","20210210113214","U","2021-02-12 02:40:00.0","","387271.299492377","186099.137533193",
"9","종합체육시설업","10_37_01_P","3290000","CDFH3301262017000001","20170816","","01","영업/정상","13","영업중","","","","","051-710-7628","","","부산광역시 부산진구 전포동 326-11번지","부산광역시 부산진구 진남로328번길 35 (전포동)","47312","부산진구 국민체육센터","20170816140419","I","2018-08-31 23:59:59.0","","388893.632938606","185993.369753896",
"10","종합체육시설업","10_37_01_P","3300000","CDFH3301262001000001","20011101","","01","영업/정상","13","영업중","","","","","668-2353","","607716","부산광역시 동래구 온천동 502-3 롯데백화점 11층 12층","부산광역시 동래구 중앙대로 1393, 11~12층 (온천동)","47727","롯데백화점 스포츠센터","20211227133126","U","2021-12-29 02:40:00.0","","389097.800933845","192260.811648263",
