"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","체육도장업","10_41_01_P","3250000","CDFH3301021989000001","19890605","","03","폐업","03","폐업","20100901","","","","463-0374","","600093","부산광역시 중구 대청동3가 4-3번지","부산광역시 중구 중구로62번길 12  (대청동3가)","","용두체육관","20100901094211","I","2018-08-31 23:59:59.0","","384951.569677794","180136.728955003","체육도장업","사립","","","","165","","","",
"2","체육도장업","10_41_01_P","3250000","CDFH3301022004000002","20040628","","03","폐업","03","폐업","20090105","","","","442-6288","","600110","부산광역시 중구 영주동 280번지","","","세림태권도 체육관","20090105144038","I","2018-08-31 23:59:59.0","","","","체육도장업","사립","0","","","","","","",
"3","체육도장업","10_41_01_P","3250000","CDFH3301022016000001","20160115","","03","폐업","03","폐업","20210524","","","","","","","부산광역시 중구 대청동1가 34-1","부산광역시 중구 대청로 109 (대청동1가)","48932","발보사코리아","20210524174242","U","2021-05-26 02:40:00.0","레슬링","385208.257553644","180108.034984261","체육도장업","사립","","","","2281.57","","","",
"4","체육도장업","10_41_01_P","3250000","CDFH3301021988000001","19880407","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 대청동4가 79-1 새들맨션","부산광역시 중구 중구로 81, 3층 (대청동4가, 새들맨션)","48968","대한태권도","20201020135636","U","2020-10-22 02:40:00.0","태권도","384987.199363072","180307.391607492","체육도장업","사립","","","","383.86","","","",
"5","체육도장업","10_41_01_P","3250000","CDFH3301021991000001","19910724","","01","영업/정상","13","영업중","","","","","051-254-7709","","","부산광역시 중구 보수동1가 26-16 2층","부산광역시 중구 흑교로 78 (보수동1가)","48962","비룡체육관","20201020135550","U","2020-10-22 02:40:00.0","합기도","384431.104299677","180450.507587073","체육도장업","사립","","","","296.9","","","",
"6","체육도장업","10_41_01_P","3250000","CDFH3301021994000001","19940204","","01","영업/정상","13","영업중","","","","","051-442-6288","","","부산광역시 중구 영주동 161","부산광역시 중구 영주로 51 (영주동, 금호타운)","48917","세림태권도체육관","20201020135659","U","2020-10-22 02:40:00.0","태권도","385022.487250824","181030.09515715","체육도장업","사립","","","","34053.88","","","",
"7","체육도장업","10_41_01_P","3250000","CDFH3301022002000001","20020506","","01","영업/정상","13","영업중","","","","","051-465-1229","","","부산광역시 중구 영주동 160","부산광역시 중구 망양로 396 (영주동)","48905","정무 체육관","20201020135720","U","2020-10-22 02:40:00.0","태권도","384985.258495071","181165.37134963","체육도장업","사립","","","","13649.19","","","",
"8","체육도장업","10_41_01_P","3250000","CDFH3301022005000001","20050628","","01","영업/정상","13","영업중","","","","","051-463-6578","","","부산광역시 중구 대청동4가 79-1","부산광역시 중구 중구로 83 (대청동4가, 새들맨션)","48968","새들 영주체육관","20201020135751","U","2020-10-22 02:40:00.0","태권도","384987.199363072","180307.391607492","체육도장업","사립","","","","17612.8","","","",
"9","체육도장업","10_41_01_P","3250000","CDFH3301022012000001","20120709","","01","영업/정상","13","영업중","","","","","051-255-9980","","","부산광역시 중구 신창동1가 5-1 9층","부산광역시 중구 광복중앙로 25 (신창동1가)","48948","부산챔프복싱클럽","20220107113239","U","2022-01-09 02:40:00.0","권투","385086.342921812","179937.83428829","체육도장업","사립","","2","1","6532.23","","","",
"10","체육도장업","10_41_01_P","3250000","CDFH3301022013000001","20130903","","01","영업/정상","13","영업중","","","","","051-242-3870","","600083","부산광역시 중구 보수동3가 80-2","부산광역시 중구 대청로 15, 4층 (보수동3가)","48966","어검검도관","20201020135955","U","2020-10-22 02:40:00.0","검도","384247.593397227","180134.746507916","체육도장업","사립","","1","","1425.6","","","",
