"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","체력단련장업","10_42_01_P","3250000","CDFH3301061982000001","19821015","","03","폐업","03","폐업","20091106","","","","051-244-7177","","600074","부산광역시 중구 부평동4가 57번지","","","억스헬스클럽","20091106160505","I","2018-08-31 23:59:59.0","","","","체력단련장업","사립","0","","","82","","","",
"2","체력단련장업","10_42_01_P","3250000","CDFH3301061998000001","19981203","","03","폐업","03","폐업","20200316","","","","051-254-3707","","","부산광역시 중구 보수동2가 48-1번지","부산광역시 중구 흑교로 81 (보수동2가)","48963","빅토리아 헬스","20200316113019","U","2020-03-18 02:40:00.0","","384386.026618743","180443.305580502","체력단련장업","사립","","","","273.26","","","",
"3","체력단련장업","10_42_01_P","3250000","CDFH3301061998000002","19981020","","03","폐업","03","폐업","20091124","","","","051-244-3396","","600074","부산광역시 중구 부평동4가 28번지","","","부천헬스클럽","20091124111200","I","2018-08-31 23:59:59.0","","","","체력단련장업","사립","0","","","156","","","",
"4","체력단련장업","10_42_01_P","3250000","CDFH3301061999000001","19990927","","03","폐업","03","폐업","20040909","","","","051-246-7488","","600803","부산광역시 중구 보수동1가 144-4번지","부산광역시 중구 대청로 71  (보수동1가)","","해성헬스클럽","20041119110347","I","2018-08-31 23:59:59.0","","384805.684033619","180124.151745194","체력단련장업","사립","0","","","339","","","",
"5","체력단련장업","10_42_01_P","3250000","CDFH3301061999000002","19990831","","03","폐업","03","폐업","20111208","","","","051-255-0559","","600060","부산광역시 중구 신창동1가 1-3번지","부산광역시 중구 광복중앙로 33  (신창동1가)","","파시헬스클럽","20111208164250","I","2018-08-31 23:59:59.0","","385074.807762192","180030.905431406","체력단련장업","사립","","","","172.8","","","",
"6","체력단련장업","10_42_01_P","3250000","CDFH3301062000000002","20000131","","03","폐업","03","폐업","20040610","","","","051-464-8832","","600100","부산광역시 중구 대창동2가 32번지","","","드림헬스","20040705164350","I","2018-08-31 23:59:59.0","","","","체력단련장업","사립","0","","","125","","","",
"7","체력단련장업","10_42_01_P","3250000","CDFH3301062003000001","20030303","","03","폐업","03","폐업","20040805","","","","051-231-3700","","600046","부산광역시 중구 남포동6가 85번지","부산광역시 중구 비프광장로 20  (남포동6가)","","(주)글로벌 휘트니스 센타","20041202140319","I","2018-08-31 23:59:59.0","","384819.053111578","179587.403632584","체력단련장업","사립","0","","","","","","",
"8","체력단련장업","10_42_01_P","3250000","CDFH3301062003000002","20031027","","03","폐업","03","폐업","20110621","","","","051-254-4452","","600060","부산광역시 중구 신창동1가 8-2번지","부산광역시 중구 광복중앙로 13  (신창동1가)","","한국헬스피아","20110621161148","I","2018-08-31 23:59:59.0","","385096.938581019","179823.23303496","체력단련장업","사립","","","","","","","",
"9","체력단련장업","10_42_01_P","3250000","CDFH3301062003000003","20031206","","03","폐업","03","폐업","20081010","","","","051-246-9051","","600045","부산광역시 중구 남포동5가 50-2번지","부산광역시 중구 자갈치로47번길 5  (남포동5가)","","KAFA FITNESS 헬스","20081010115844","I","2018-08-31 23:59:59.0","","384964.112424167","179500.30900825","체력단련장업","사립","0","","","","","","",
"10","체력단련장업","10_42_01_P","3250000","CDFH3301062004000003","20040830","","03","폐업","03","폐업","20190619","","","","246-7488","","600060","부산광역시 중구 신창동3가 38번지","부산광역시 중구 광복로35번길 33 (신창동3가)","","해성헬스","20190619141502","U","2019-06-21 02:40:00.0","","384902.55437454","180019.211548552","체력단련장업","사립","","","","2349.27","","","",
