"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","취급제품명","담배공급업체명",
"1","담배도매업","11_43_01_P","3250000","2009325008315500001","20090416","","01","영업/정상","1","정상영업","","","","","","","600016","부산광역시 중구 중앙동6가 62번지 13호","부산광역시 중구 중앙대로 21 (중앙동6가)","","오공디지텍","20090522092456","I","2018-08-31 23:59:59.0","","385609.359823546","179719.665041652","루엔(RUYAN, 전자담배)","(주)한국전자담배",
"2","담배도매업","11_43_01_P","3250000","2013325008315500003","20131128","","01","영업/정상","1","정상영업","","","","","","","600110","부산광역시 중구 영주동 23번지 3호","부산광역시 중구 대영로 235, 8층 823호 (영주동, 제일빌딩)","600811","스누스맨부산지사","20131230173628","I","2018-08-31 23:59:59.0","","385585.321891141","181149.765235809","Megapole White 외 9개제품","(주)스누스맨",
"3","담배도매업","11_43_01_P","3250000","2014325008315500001","20140508","","01","영업/정상","1","정상영업","","","","","0512482161","","600016","부산광역시 중구 중앙동6가 9번지 1호 광복지하상가 B41호","부산광역시 중구 중앙대로 17, B41호 (중앙동6가, 광복지하상가)","600016","하카전자담배남포점","20140630082933","I","2018-08-31 23:59:59.0","","385670.69094284","179770.553768032","액상코리아 액상 및 기기","액상코리아",
"4","담배도매업","11_43_01_P","3250000","2008325005915500001","20080107","","03","폐업","3","폐업처리","20081110","","","","051-241-5283","","600083","부산광역시 중구 보수동3가 24번지 6호","부산광역시 중구 보수대로 96 (보수동3가)","","우리담배 서구대리점","20081110163110","I","2018-08-31 23:59:59.0","","384240.617108055","180233.385285739","위고, 스윙","우리담배판매(주)",
"5","담배도매업","11_43_01_P","3250000","2011325008315500001","20110622","","03","폐업","3","폐업처리","20120312","","","","0514610999","","600012","부산광역시 중구 중앙동2가 44번지 1호 한국산업은행빌딩 1층","부산광역시 중구 대청로 136 (중앙동2가,한국산업은행빌딩 1층)","","(주)범주여행사","20120327100940","I","2018-08-31 23:59:59.0","","385467.102971945","180041.88705631","전자담배","CDT",
"6","담배도매업","11_43_01_P","3250000","2012325008315500001","20120404","","03","폐업","3","폐업처리","20140624","","","","0512482161","","600011","부산광역시 중구 중앙동1가 26번지 광복지하상가 C-38호","부산광역시 중구 중앙대로 17 (중앙동6가, 광복지하상가 c-38)","600714","전자담배제씨남포점","20140624162418","I","2018-08-31 23:59:59.0","","385560.432671436","179859.631631633","액상코리아,FZ-ecig","페로젠코리아",
"7","담배도매업","11_43_01_P","3250000","2013325008315500002","20130722","","03","폐업","3","폐업처리","20141229","","","","","","600041","부산광역시 중구 남포동1가 21번지 6호","부산광역시 중구 구덕로 13 (남포동1가)","600041","스누스코리아중구","20141229162656","I","2018-08-31 23:59:59.0","","385429.507453868","179502.582395712","스누스(수입담배)","스누스",
"8","담배도매업","11_43_01_P","3250000","2013325008315500001","20130322","","03","폐업","3","폐업처리","20130718","","","","","","600041","부산광역시 중구 남포동1가 21번지 6호","부산광역시 중구 구덕로 13 (남포동1가)","600041","스누스코리아중구","20130722171455","I","2018-08-31 23:59:59.0","","385429.507453868","179502.582395712","스누스(수입담배)","스누스코리아",
"9","담배도매업","11_43_01_P","3250000","2009325008315500002","20091014","20141223","04","취소/말소/만료/정지/중지","4","직권취소","","","","","","","600811","부산광역시 중구 영주1동 662번지 2호","부산광역시 중구 중구로188번길 14 (영주동)","","블랙데빌부산지사","20141226160912","I","2018-08-31 23:59:59.0","","385519.340455351","180970.969621674","블랙데빌","영진상사",
"10","담배도매업","11_43_01_P","3260000","2010326007015500001","20100405","","01","영업/정상","1","정상영업","","","","","241-0993","","602011","부산광역시 서구 충무동1가","부산광역시 서구 해안새벽시장길 18, A동 237호 (충무동1가, 대평빌딩)","602011","합동교역","20141204095555","I","2018-08-31 23:59:59.0","","384594.978854562","179240.97559351","담배","신라교역외",
"11","담배도매업","11_43_01_P","3260000","2011326007015500001","20110216","","03","폐업","3","폐업처리","20191106","","","","051-242-7577","","602053","부산광역시 서구 토성동3가 18번지 2호","부산광역시 서구 구덕로 164-2 (토성동3가)","","한국전자담배서구점","20191113162438","U","2019-11-15 02:40:00.0","","384126.096561214","179647.303990932","전자담배","(주)한국전자담배",
"12","담배도매업","11_43_01_P","3260000","2007326006615500001","20070517","","03","폐업","3","폐업처리","20080610","","","","256-8807","","602831","부산광역시 서구 암남동 354번지 1호 기산비치상가230호","부산광역시 서구 충무대로 8 (암남동,기산비치상가230호)","","(주)피엔지","20080610172222","I","2018-08-31 23:59:59.0","","383870.474584095","177147.052622728","담배","(주)피구, (주)이프엔지, (주)에버필",
"13","담배도매업","11_43_01_P","3270000","2008327007715500001","20080121","","01","영업/정상","1","정상영업","","","","","051-466-5259","","601030","부산광역시 동구 수정동 1164번지 4호","부산광역시 동구 망양로735번길 6-1 (수정동)","","우리담배부산동구대리점","20080514144219","I","2018-08-31 23:59:59.0","","385910.192415904","183089.005068699","위고,스윙","우리담배판매 주식회사",
"14","담배도매업","11_43_01_P","3270000","2010327008615500001","20101021","","01","영업/정상","1","정상영업","","","","","","","601833","부산광역시 동구 초량2동 811호 20통","","","루옌","20101021144457","I","2018-08-31 23:59:59.0","","","","루옌전자담배","(주)한국전자담배",
"15","담배도매업","11_43_01_P","3270000","2012327008615500001","20120926","","01","영업/정상","1","정상영업","","","","","051-463-7950","","601830","부산광역시 동구 초량1동 577번지 1호 월드타운 315호","부산광역시 동구 대영로243번길 43, 315호 (초량동, 월드타운)","601830","슈퍼캡 익스프레스 카고","20120926102839","I","2018-08-31 23:59:59.0","","385735.110881531","181357.876940758","말보로, 호프, 555, 필립모리스 등","슈퍼캡 익스프레스 카고",
"16","담배도매업","11_43_01_P","3270000","2014327008615500001","20141201","","03","폐업","3","폐업처리","20211210","","","","","","601806","부산광역시 동구 범일동 631번지 5호","부산광역시 동구 범일로 86 (범일동)","601806","대민상사","20211210110440","U","2021-12-14 02:40:00.0","","387655.098331767","184008.221011647","M9801P","주) 퍼프바(더 파이브)",
"17","담배도매업","11_43_01_P","3280000","2007328007015500001","20071203","","01","영업/정상","1","정상영업","","","","","051 414 8926","","606802","부산광역시 영도구 남항동2가 46번지 4호 2층","부산광역시 영도구 남항로10번길 7 (남항동2가,2층)","","우리담배부산중구대리점","20080107170251","I","2018-08-31 23:59:59.0","","385745.734084349","178605.054520068","위고, 스윙","우리담배판매(주)",
"18","담배도매업","11_43_01_P","3280000","2015328009215500001","20150213","","03","폐업","3","폐업처리","20150323","","","","070-4640-0660","","","","부산광역시 영도구 남항서로 85 (남항동2가)","606760","(주)팬글로벌트레이딩","20170603133659","I","2018-08-31 23:59:59.0","","385496.868572646","178479.504077247","담배(the king red, the king blue, the king white)3종","king's tabacco international",
"19","담배도매업","11_43_01_P","3280000","2008328007015500001","20080311","","03","폐업","3","폐업처리","20150529","","","","","","606818","부산광역시 영도구 청학동 61번지 7호 2층","부산광역시 영도구 태종로 413 (청학동,2층)","","우리담배영도대리점","20170202101907","I","2018-08-31 23:59:59.0","","388380.479297643","178767.069737547","위고,스윙","우리담배판매(주)",
"20","담배도매업","11_43_01_P","3280000","2008328007015500002","20080623","","03","폐업","3","폐업처리","20130228","","","","051-413-6688","","606072","부산광역시 영도구 청학동 123-12,13번지 (지하1층)","부산광역시 영도구 청학동로 71-3 (청학동)","606821","부경유통","20141204124456","I","2018-08-31 23:59:59.0","","388134.670703114","179110.036326034","Wigo(1mg, 3mg, 5.5mg), Swing, Swing One","우리담배주식회사",
"21","담배도매업","11_43_01_P","3280000","2005328001512500001","20050527","20091120","04","취소/말소/만료/정지/중지","4","직권취소","","","","","051 4670029","","606070","부산광역시 영도구 청학동 1번지 103호","부산광역시 영도구 해양로117번길 1 (청학동)","","(주)영진마린","20170202101937","I","2018-08-31 23:59:59.0","","388448.957785898","179251.435653057","Peel(필)","주식회사 에버필",
"22","담배도매업","11_43_01_P","3290000","2010329008515500003","20101021","","01","영업/정상","1","정상영업","","","","","070-4234-0777","","614031","부산광역시 부산진구 부전1동 573번지 1호 서면지하상가 E열11호","부산광역시 부산진구 중앙대로 지하 717 (부전동)","614850","부산서면전자담배","20141212164440","I","2018-08-31 23:59:59.0","","387618.822819234","186273.478853367","한국전자담배","(주)한국전자담배",
