"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","취급제품명","담배공급업체명",
"1","담배수입판매업체","11_43_03_P","6260000","20206260000011000002","20201105","","03","폐업","2","폐업","","20220125","","","","","","부산광역시 금정구 금사동  **-**번지","부산광역시 금정구 공단로 **, *층(금사동)","","주식회사 번사이드","20220125000000","U","2022-01-27 02:40:00.0","","392460","193218","니코틴(Nictine)","주식회사 현오",
"2","담배수입판매업체","11_43_03_P","6260000","20106260000011000004","20101103","","03","폐업","2","폐업","","","","","","","","부산광역시 연제구 연산동  ****번지 **호 *통 *반","부산광역시 연제구 중앙대로****번길 ** (연산동)","","주식회사 선레이()","20130110000000","I","2018-08-31 23:59:59.0","","389053.230063824","189279.801640204","전자담배","Shenzhen Kemeier Technology Co., Ltd(중국)",
"3","담배수입판매업체","11_43_03_P","6260000","20106260000011000005","20101115","","03","폐업","2","폐업","","","","","0518319897","","","부산광역시 강서구 명지동  ****번지 **통 *반 퀸덤*차 ***동 ***호","부산광역시 강서구 명지오션시티**로 **, ***동 ***호 (명지동,퀸덤*차)","","로토마(606-22-76033)","20111012000000","I","2018-08-31 23:59:59.0","","373002.141594401","177917.623075564","전자담배","深&#22323;博迪恒&#19994;科技有限公司(중국)",
"4","담배수입판매업체","11_43_03_P","6260000","20106260000011000006","20101115","","03","폐업","2","폐업","","","","","07082295637","","609310","부산광역시 금정구 구서동  ***번지 *호 *층","부산광역시 금정구 금강로 *** (구서동,*층)","","시바(CIVA)607-17-36710","20140611000000","I","2018-08-31 23:59:59.0","","389939.901606416","195808.483492162","전자담배","· 英德&#23572;&#30005;子科技有限公司(중국)· 莫斯科&#30005;子烟(중국)",
"5","담배수입판매업체","11_43_03_P","6260000","20096260000011000002","20091106","","03","폐업","2","폐업","","20150923","","","","","618804","부산광역시 강서구 대저*동  ***번지 **호","부산광역시 강서구 도도본리길 ** (대저*동)","","주식회사 수피아","20190903000000","U","2019-09-05 02:40:00.0","","375633.155236512","186728.383878682","전자담배","深&#22323;博迪恒&#19994;科技有限公司",
"6","담배수입판매업체","11_43_03_P","6260000","20046260000011000001","20040313","","03","폐업","2","폐업","","","","","0513110882","","","부산광역시 사상구 주례동  ***-* 현대무지개상가 ***호","","","(주)신우아이엔티","20060927000000","I","2018-08-31 23:59:59.0","","","","궐련","",
"7","담배수입판매업체","11_43_03_P","6260000","19956260000011000001","19950427","","03","폐업","2","폐업","","","","","0514664037","","","부산광역시 중구 중앙동*가  **-** 동일빌딩 ***호","","","(주)대해에스케이","20060927000000","I","2018-08-31 23:59:59.0","","","","중국","",
"8","담배수입판매업체","11_43_03_P","6260000","20066260000011000002","20060207","","03","폐업","2","폐업","","20060607","20060607","","0515078215","","611803","부산광역시 연제구 거제동  ***번지 *호 한양타워빌 ****호","부산광역시 연제구 명륜로 **, ****호 (거제동,한양타워빌)","","제은통상","20061229000000","I","2018-08-31 23:59:59.0","","389498.499881834","190511.175423307","시가(BlackStone, King Edward, Swisher Sweets)","Swisher International, Inc.",
"9","담배수입판매업체","11_43_03_P","6260000","20096260000011000001","20090826","","03","폐업","2","폐업","","","","","0518193880","","","경상남도 김해시 장유면 삼문리 **번지 *호 *통 **반 석봉마을 대동피렌체아파트 ***동 ***호","","","미래유통","20091119000000","I","2018-08-31 23:59:59.0","","","","전자담배","深&#22323;市 賽樂寶 科技有限公司(중국)",
"10","담배수입판매업체","11_43_03_P","6260000","20106260000011000001","20100804","","03","폐업","2","폐업","","","","","","","607060","부산광역시 동래구 온천동  ***번지 **호","부산광역시 동래구 우장춘로**번길 **-* (온천동)","","그린에코","20140610000000","I","2018-08-31 23:59:59.0","","388627.771102772","191923.749544334","전자담배","Changning Dekang Biotechnology Co.,Ltd",
"11","담배수입판매업체","11_43_03_P","6260000","20106260000011000002","20101005","","03","폐업","2","폐업","","","","","","","614847","부산광역시 부산진구 부전동  ***번지 **호 화인빌딩     ***호","부산광역시 부산진구 부전로 **, ***호 (부전동,화인빌딩    )","","해디","20120508000000","I","2018-08-31 23:59:59.0","","387165.334707018","186342.524902603","전자담배","深&#22323;市&#21019;科生物技&#26415;有限公司(중국)",
"12","담배수입판매업체","11_43_03_P","6260000","20176260000011000001","20170302","","03","폐업","2","폐업","","20190312","","","","","46332","부산광역시 금정구 금사동  **번지 **호","부산광역시 금정구 공단로 ** (금사동)","","(유)리퀴드매니아","20190313000000","U","2019-03-15 02:40:00.0","","392467.941655936","193210.848818807","퓨어니코틴","HiLIQ Bio-tech Co., Ltd",
"13","담배수입판매업체","11_43_03_P","6260000","20106260000011000008","20101116","","03","폐업","2","폐업","","","","","","","","부산광역시 북구 화명동  ****번지 *통 *반 코오롱하늘채*차아파트 ***동 ****호","부산광역시 북구 화명신도시로 **, ***동 ****호 (화명동,코오롱하늘채*차아파트)","","대상유통(605-02-44689)","20130103000000","I","2018-08-31 23:59:59.0","","383039.623346517","194189.918598093","전자담배","·深&#22323;市&#36187;科科技有限公司",
"14","담배수입판매업체","11_43_03_P","6260000","20106260000011000010","20101124","","03","폐업","2","폐업","","20150923","","","","","612020","부산광역시 해운대구 우동  ****번지 롯데갤러리움센텀 E동 ***호","부산광역시 해운대구 센텀*로 *, E동 ***호 (우동,롯데갤러리움센텀)","","서현플래닝주식회사","20190903000000","U","2019-09-05 02:40:00.0","","394085.659790124","187458.456044384","전자담배","深&#22323;康泰&#23572;科技有限公司(중국)",
"15","담배수입판매업체","11_43_03_P","6260000","20106260000011000011","20101201","","03","폐업","2","폐업","","20110627","20110627","","","","614811","부산광역시 부산진구 개금동  ***번지 *호","부산광역시 부산진구 백양대로***번길 ** (개금동)","","주식회사 제씨코리아","20131204000000","I","2018-08-31 23:59:59.0","","384276.232272742","186266.689524157","전자담배","深&#22323;市&#38125;捷通科技有限公司(중국)",
"16","담배수입판매업체","11_43_03_P","6260000","20106260000011000012","20101207","","03","폐업","2","폐업","","","","","","","604080","부산광역시 사하구 괴정동  ***번지 *호 *층","부산광역시 사하구 낙동대로***번길 * (괴정동)","","그린시가(Green Cigar)","20140610000000","I","2018-08-31 23:59:59.0","","382006.225432614","179823.431762849","전자담배","Shenzhen Accipiter gentilis Technology Co., Ltd(중국)",
"17","담배수입판매업체","11_43_03_P","6260000","20106260000011000014","20101216","","03","폐업","2","폐업","","","","","","","607120","부산광역시 동래구 사직동  ***번지 **호","부산광역시 동래구 미남로 ** (사직동)","","아이노리","20130213000000","I","2018-08-31 23:59:59.0","","388523.166895508","190683.987490096","전자담배","深&#22323;博迪恒&#19994;科技有限公司(중국)",
"18","담배수입판매업체","11_43_03_P","6260000","20106260000011000015","20101220","","03","폐업","2","폐업","","20150923","","","","","608020","부산광역시 남구 대연동  ***번지","부산광역시 남구 유엔평화로 ***, *층 (대연동)","","(주)인필링","20190903000000","U","2019-09-05 02:40:00.0","","390927.672999107","182796.745826535","전자담배","深&#22323;博迪恒&#19994;科技有限公司(중국), 深&#22323;&#36187;&#20048;&#23453;科技有限公司(중국),云南昌&#23425;德康生物科技有限公司(중국)",
