"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부",
"1","목욕장업","11_44_01_P","3250000","3250000-202-2022-00001","20220328","","01","영업/정상","01","영업","","","","","051 462 7616","354.91","600800","부산광역시 중구 대청동4가 24-1","부산광역시 중구 대청북길 44, 1-3층 (대청동4가)","48971","대청행복탕","20220418150347","U","2022-04-20 02:40:00.0","공동탕업","385153.115149792","180500.975249601","공동탕업","4","1","1","3","0","0","0","0","2","Y","0","","","","임대","0","0","0","0","0","N",
"2","목욕장업","11_44_01_P","3250000","3250000-202-2005-00001","20050228","","01","영업/정상","01","영업","","","","","051 4692777","462.00","600816","부산광역시 중구 중앙동4가 79-1 마린센터(지하1층)","부산광역시 중구 충장대로9번길 52, 지하1층 (중앙동4가, 마린센터)","48936","마린목욕탕","20201204174358","U","2020-12-06 02:40:00.0","공동탕업","385825.756707547","180869.292984843","공동탕업","19","3","0","0","1","1","0","0","1","N","0","","","","","0","","","0","0","N",
"3","목욕장업","11_44_01_P","3250000","3250000-202-1984-00152","19840217","","01","영업/정상","01","영업","","","","","051 4633803","405.00","600110","부산광역시 중구 영주동 292-10","부산광역시 중구 영주로 20 (영주동)","48916","거북탕","20201204173920","U","2020-12-06 02:40:00.0","공동탕업","385168.082468485","180838.190457951","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"4","목욕장업","11_44_01_P","3250000","3250000-202-1988-00159","19880913","","01","영업/정상","01","영업","","","","","051 2472425","338.97","600062","부산광역시 중구 신창동2가 21-2","부산광역시 중구 광복로43번길 12 (신창동2가)","48947","녹수탕","20201204174055","U","2020-12-06 02:40:00.0","공동탕업","385015.384999651","179808.355520845","공동탕업","4","1","2","4","0","0","0","0","0","N","0","","","","임대","0","","","0","0","N",
"5","목욕장업","11_44_01_P","3250000","3250000-202-1960-00144","19601210","","01","영업/정상","01","영업","","","","","051 2449501","1,416.48","600808","부산광역시 중구 부평동3가 22-1 외 2필지","부산광역시 중구 흑교로31번길 3-1 (부평동3가, 외 2필지)","48976","금강스파","20211018162024","U","2021-10-20 02:40:00.0","공동탕업+찜질시설서비스영업","384542.121201746","179994.202103898","공동탕업+찜질시설서비스영업","5","1","5","5","1","1","0","0","0","N","0","","","","","0","0","0","0","0","Y",
"6","목욕장업","11_44_01_P","3250000","3250000-202-1960-00146","19601210","","01","영업/정상","01","영업","","","","","051 2443396","517.00","600074","부산광역시 중구 부평동4가 28-3","부산광역시 중구 흑교로21번길 21 (부평동4가)","48974","부천탕","20210114133518","U","2021-01-16 02:40:00.0","공동탕업","384380.762745833","179907.143964003","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"7","목욕장업","11_44_01_P","3250000","3250000-202-1982-00151","19821112","","01","영업/정상","01","영업","","","","","051 469 3202","232.00","600811","부산광역시 중구 영주동 636-2","부산광역시 중구 중구로188번길 21 (영주동)","48922","청호탕","20200814133434","U","2020-08-16 02:40:00.0","공동탕업","385598.846693604","180987.169145877","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"8","목욕장업","11_44_01_P","3250000","3250000-202-1969-00001","19691201","","01","영업/정상","01","영업","","","","","051 2451969","233.00","600806","부산광역시 중구 부평동2가 68-6","부산광역시 중구 중구로33번길 44 (부평동2가)","48977","청수탕","20210118094352","U","2021-01-20 02:40:00.0","공동탕업","384626.918927917","179878.923019853","공동탕업","","","","","","","","","","N","","","","","","","","","","","N",
"9","목욕장업","11_44_01_P","3250000","3250000-202-1970-00004","19701228","","01","영업/정상","01","영업","","","","","051 4698444","156.00","600110","부산광역시 중구 영주동 277-16","부산광역시 중구 동영로 77-1 (영주동)","48915","영주탕","20201204173703","U","2020-12-06 02:40:00.0","공동탕업","385201.615276432","181101.034719319","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"10","목욕장업","11_44_01_P","3250000","3250000-202-1960-00147","19601210","","01","영업/정상","01","영업","","","","","051 231 4848","337.00","600012","부산광역시 중구 중앙동2가 21-1 , 6, 8","부산광역시 중구 대청로138번길 15-1 (중앙동2가, 21-1, 6, 8)","48956","신수탕","20220318105444","U","2022-03-20 02:40:00.0","공동탕업","385508.413954577","179934.600251496","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","0","0","0","0","N",
"11","목욕장업","11_44_01_P","3250000","3250000-202-1990-00164","19900905","","01","영업/정상","01","영업","","","","","051 2486681","526.00","600023","부산광역시 중구 동광동3가 9-1","부산광역시 중구 대청로134번길 10 (동광동3가)","48955","득일탕","20201204174232","U","2020-12-06 02:40:00.0","공동탕업","385446.72754465","180003.559095086","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"12","목욕장업","11_44_01_P","3250000","3250000-202-1985-00154","19850202","","01","영업/정상","01","영업","","","","","051 2456957","354.00","600804","부산광역시 중구 부평동1가 27-1","부산광역시 중구 중구로33번길 22 (부평동1가)","48978","양신탕","20201204173957","U","2020-12-06 02:40:00.0","공동탕업","384728.430348184","179877.329958975","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"13","목욕장업","11_44_01_P","3250000","3250000-202-1991-00166","19910619","","01","영업/정상","01","영업","","","","","051 2486334","430.00","600803","부산광역시 중구 보수동1가 145-28","부산광역시 중구 고가길 32 (보수동1가)","48967","한신스포렉스","20210323131238","U","2021-03-25 02:40:00.0","공동탕업","384753.432651155","180176.033804153","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"14","목욕장업","11_44_01_P","3250000","3250000-202-1988-00160","19881230","","01","영업/정상","01","영업","","","","","051 4697776","214.43","600025","부산광역시 중구 동광동5가 27-11","부산광역시 중구 샘길 54 (동광동5가)","48927","뉴부산탕","20201204174144","U","2020-12-06 02:40:00.0","공동탕업","385442.886296949","180488.658255161","공동탕업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"15","목욕장업","11_44_01_P","3250000","3250000-202-1963-00001","19630108","","01","영업/정상","01","영업","","","","","051 2434383","255.00","600082","부산광역시 중구 보수동2가 89-2","부산광역시 중구 흑교로 53-1 (보수동2가)","48963","유정탕","20200827153804","U","2020-08-29 02:40:00.0","공동탕업+찜질시설서비스영업","384523.423921873","180224.03516855","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","0","0","0","N","0","","","","","0","","","0","0","N",
"16","목욕장업","11_44_01_P","3250000","3250000-202-2009-00002","20091209","","01","영업/정상","01","영업","","","","","051231 1424","263.00","600803","부산광역시 중구 보수동1가 59-9번지 (1,2층)","부산광역시 중구 법수길 43, 1,2층 (보수동1가)","48959","대림탕","20200318170602","U","2020-03-20 02:40:00.0","공동탕업","384607.850440681","180396.112368393","공동탕업","3","1","1","2","0","0","0","0","0","N","0","","","","임대","0","","","0","0","N",
"17","목욕장업","11_44_01_P","3250000","3250000-202-2007-00002","20070712","","01","영업/정상","01","영업","","","","","051231 1178","905.69","600046","부산광역시 중구 남포동6가 29 (6~9층)","부산광역시 중구 자갈치로 21 (남포동6가)","48982","자갈치해수탕","20211018162451","U","2021-10-20 02:40:00.0","공동탕업","384732.084409812","179391.528210828","공동탕업","10","1","6","9","0","0","0","0","2","Y","0","","","","자가","0","0","0","0","0","N",
