"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","자치단체코드","업체유형명","자본금","지정정비업종명","면허일자","면허유효기간시작일자","면허유효기간종료일자","자격면허발급기관",
"1","국제물류주선업","11_45_01_P","6260000","6260000-63-1064","20181227","","01","영업/정상","0010","운행","","","","","0516340121","","48742","부산광역시 동구 범일동 830-295 삼환오피스텔 1101호","부산광역시 동구 자성로141번길 11, 삼환오피스텔 1101호(범일동)","48742","(주)한승국제물류","20220224000000","U","2022-02-26 02:40:00.0","","388188.345022103","184059.516935515","6260000","국제물류주선업","300000000","","","","","",
"2","국제물류주선업","11_45_01_P","6260000","6260000-63-1069","20190128","","01","영업/정상","0010","운행","","","","","0514698711","","48934","부산광역시 중구 중앙동4가 75-1 케이티부산통신센터6층","부산광역시 중구 충장대로5번길 72, 케이티부산통신센터 6층(중앙동4가)","48934","(주)씨케이로지스틱스","20220421000000","U","2022-04-23 02:40:00.0","","385811.634937345","180996.883871158","6260000","국제물류주선업","0","","","","","",
"3","국제물류주선업","11_45_01_P","6260000","6260000-63-1068","20190115","","01","영업/정상","0010","운행","","","","","0514640086","","48937","부산광역시 중구 중앙동4가 80-23","부산광역시 중구 중앙대로116번길 13, 삼중빌딩 502-1호 (중앙동4가)","48937","(주)에스엔에이치물류","20220125000000","U","2022-01-27 02:40:00.0","","385759.772789","180623.090779","6260000","국제물류주선업","300000000","","","","","",
"4","국제물류주선업","11_45_01_P","6260000","6260000-63-1071","20190215","","01","영업/정상","0010","운행","","","","","0517107978","","48821","부산광역시 동구 초량동 1203-10 오피스텔프레지던트 609호","부산광역시 동구 중앙대로180번길 13, 오피스텔프레지던트 609호(초량동)","48821","(주)엔브릿지","20220414000000","U","2022-04-16 02:40:00.0","","385956.31866986","181231.059906128","6260000","국제물류주선업","300000000","","","","","",
"5","국제물류주선업","11_45_01_P","6260000","6260000-63-1067","20190111","","01","영업/정상","0010","운행","","","","","0519778881","","46721","부산광역시 강서구 대저2동 3153-1 부산티플렉스 107동 206호","부산광역시 강서구 유통단지1로 41, 부산티플렉스 107동 206호(대저2동)","46721","(주)코멕스글로텍","20220222000000","U","2022-02-24 02:40:00.0","","378260.668626959","186989.385407123","6260000","국제물류주선업","300000000","","","","","",
"6","국제물류주선업","11_45_01_P","6260000","6260000-63-1066","20190108","","01","영업/정상","0010","운행","","","","","0514687737","","48939","부산광역시 중구 중앙동4가 88-2","부산광역시 중구 충장대로5번길 12-1, 5층 (중앙동4가)","48939","(주)지엘로직스","20220614000000","U","2022-06-16 02:40:00.0","","385662.461276068","180481.418882114","6260000","국제물류주선업","300000000","","","","","",
"7","국제물류주선업","11_45_01_P","6260000","6260000-63-1083","20180425","","01","영업/정상","0010","운행","","","","","0513222969","","49411","부산광역시 사하구 당리동 324-27","부산광역시 사하구 괴정로 107-1, 2층 (당리동)","49411","(주)삼보로지스","20210713000000","U","2021-07-15 02:40:00.0","","380098.702147364","179913.736496342","6260000","국제물류주선업","300000000","","","","","",
"8","국제물류주선업","11_45_01_P","6260000","6260000-63-1084","20190329","","01","영업/정상","0010","운행","","","","","0512033106","","49451","부산광역시 사하구 감천동 381번지","부산광역시 사하구 원양로 348(감천동)","49451","(주)에이스냉동물류","20220517000000","U","2022-05-19 02:40:00.0","","382860.723427261","177694.34495343","6260000","국제물류주선업","300000000","","","","","",
"9","국제물류주선업","11_45_01_P","6260000","6260000-63-1285","20220421","","01","영업/정상","0010","운행","","","","","","","48267","부산광역시 수영구 광안동 89-21 403호","부산광역시 수영구 수영로 672, 403호(광안동)","48267","(주)브라이트베이","20220421000000","I","2022-04-23 00:22:33.0","","392639.38169201","187193.701968949","6260000","국제물류주선업","300000000","","","","","",
"10","국제물류주선업","11_45_01_P","6260000","6260000-63-1073","20190222","","01","영업/정상","0010","운행","","","","","0517157205","","48938","부산광역시 중구 중앙동4가 84-18","부산광역시 중구 충장대로9번길 21-2, 5층 (중앙동4가)","48938","(주)에스이로지스틱","20220415000000","U","2022-04-17 02:40:00.0","","385693.536922345","180596.92435794","6260000","국제물류주선업","300000000","","","","","",
"11","국제물류주선업","11_45_01_P","6260000","6260000-63-1074","20190226","","01","영업/정상","0010","운행","","","","","0517150615","","48938","부산광역시 중구 중앙동4가 85-11 효동빌딩 402호","부산광역시 중구 충장대로9번길 16, 효동빌딩 402호 (중앙동4가)","48938","위너스로지코(주)","20220322000000","U","2022-03-24 02:40:00.0","","385717.476671201","180525.499100588","6260000","국제물류주선업","300000000","","","","","",
"12","국제물류주선업","11_45_01_P","6260000","6260000-63-1078","20190304","","01","영업/정상","0010","운행","","","","","0517142226","","48936","부산광역시 중구 중앙동4가 77-5","부산광역시 중구 중앙대로 136, 2층 (중앙동4가)","48936","(주)엠에스엘케이","20220502000000","U","2022-05-04 02:40:00.0","","385709.216919638","180842.067770636","6260000","국제물류주선업","300000000","","","","","",
"13","국제물류주선업","11_45_01_P","6260000","6260000-63-1072","20190218","","01","영업/정상","0010","운행","","","","","","","47030","부산광역시 사상구 감전동 511-14","부산광역시 사상구 낙동대로 847(감전동)","47030","(유)성운로지스","20220517000000","U","2022-05-19 02:40:00.0","","379549.929458536","183669.93982044","6260000","국제물류주선업","300000000","","","","","",
"14","국제물류주선업","11_45_01_P","6260000","6260000-63-1089","20190423","","01","영업/정상","0010","운행","","","","","0514664872","","48937","부산광역시 중구 중앙동4가 81-17 동산빌딩 302호","부산광역시 중구 충장대로5번길 32, 동산빌딩 302호(중앙동4가)","48937","(유)대흥기업물류","20220621000000","U","2022-06-23 02:40:00.0","","385685.21954645","180664.247491224","6260000","국제물류주선업","300000000","","","","","",
"15","국제물류주선업","11_45_01_P","6260000","6260000-63-1090","20190423","","01","영업/정상","0010","운행","","","","","0514663340","","48937","부산광역시 중구 중앙동4가 81-4 황보빌딩 202호","부산광역시 중구 충장대로5번길 40-1, 황보빌딩 202호(중앙동4가)","48937","에스씨엘(유)","20220520000000","U","2022-05-22 02:40:00.0","","385716.193908988","180754.660456806","6260000","국제물류주선업","300000000","","","","","",
"16","국제물류주선업","11_45_01_P","6260000","6260000-63-1087","20190410","","01","영업/정상","0010","운행","","","","","07042846009","","48822","부산광역시 동구 초량동 1213-8","부산광역시 동구 중앙대로180번길 12-11, 505호 (초량동)","48822","경운로지스틱스(주)","20220516000000","U","2022-05-18 02:40:00.0","","385903.913007561","181137.880071293","6260000","국제물류주선업","300000000","","","","","",
"17","국제물류주선업","11_45_01_P","6260000","6260000-63-1095","20190521","","01","영업/정상","0010","운행","","","","","0516271557","","48561","부산광역시 남구 감만동 498-17 내트럭하우스관리동내 202호","부산광역시 남구 신선로 168, 내트럭하우스관리동내 202호(감만동)","48561","(주)동일로직스","20220524000000","U","2022-05-26 02:40:00.0","","389805.80664900000","181325.18098200000","6260000","국제물류주선업","300000000","","","","","",
"18","국제물류주선업","11_45_01_P","6260000","6260000-63-1097","20131004","","01","영업/정상","0010","운행","","","","","07074596733","","47291","부산광역시 부산진구 부전동 155-1 3층 109호","부산광역시 부산진구 서전로 8, 3층 109호 (부전동)","47291","(주)에머린코리아","20201021000000","U","2020-10-23 02:40:00.0","","387681","186215","6260000","국제물류주선업","300000000","","","","","",
"19","국제물류주선업","11_45_01_P","6260000","6260000-63-1094","20190514","","01","영업/정상","0010","운행","","","","","0517118258","","48218","부산광역시 수영구 망미동 412-7 2층","부산광역시 수영구 과정로56번길 7, 2층 (망미동)","48218","(주)에이치티에스","20220610000000","U","2022-06-12 02:40:00.0","","391953.397860178","188390.358899345","6260000","국제물류주선업","300000000","","","","","",
"20","국제물류주선업","11_45_01_P","6260000","6260000-63-1093","20190513","","01","영업/정상","0010","운행","","","","","0519368147","","48059","부산광역시 해운대구 우동 1458번지 인텔리움센텀 908호","부산광역시 해운대구 센텀6로 21, 인텔리움센텀 908호(우동)","48059","(주)코엔스지엘에스","20211028000000","U","2021-10-30 02:40:00.0","","393901.99210345","188122.938094434","6260000","국제물류주선업","550000000","","","","","",
"21","국제물류주선업","11_45_01_P","6260000","6260000-63-1085","20190402","","01","영업/정상","0010","운행","","","","","0514631931","","48937","부산광역시 중구 중앙동4가 80-23 삼중빌딩 408호","부산광역시 중구 중앙대로116번길 13, 삼중빌딩 408호 (중앙동4가)","48937","(주)대풍종합물류","20220407000000","U","2022-04-09 02:40:00.0","","385759.772789","180623.090779","6260000","국제물류주선업","300000000","","","","","",
"22","국제물류주선업","11_45_01_P","6260000","6260000-63-1099","20190620","","01","영업/정상","0010","운행","","","","","0517910801","","48821","부산광역시 동구 초량동 1204-7 혁정빌딩3층","부산광역시 동구 중앙대로196번길 6-7, 혁정빌딩 3층 (초량동)","48821","(주)지와이앤지엘에스","20200630000000","U","2020-07-02 02:40:00.0","","385906.073130304","181303.884021228","6260000","국제물류주선업","300000000","","","","","",
"23","국제물류주선업","11_45_01_P","6260000","6260000-63-1098","20190605","","01","영업/정상","0010","운행","","","","","0515181941","","46274","부산광역시 금정구 부곡동 64-13 4층","부산광역시 금정구 중앙대로1763번길 36-20, 4층 (부곡동)","46274","육팔운수(주)","20210528000000","U","2021-05-30 02:40:00.0","","390292.683161495","195717.422807567","6260000","국제물류주선업","300000000","","","","","",
"24","국제물류주선업","11_45_01_P","6260000","6260000-63-1086","20190404","","01","영업/정상","0010","운행","","","","","07042547136","","49410","부산광역시 사하구 하단동 17-6 기륭빌딩 201호","부산광역시 사하구 괴정로 67, 201호 (하단동, 기륭빌딩)","49410","(주)고래물류","20200629000000","U","2020-07-01 02:40:00.0","","379694.867376252","179911.51432772","6260000","국제물류주선업","300000000","","","","","",
"25","국제물류주선업","11_45_01_P","6260000","6260000-63-1116","20180410","","01","영업/정상","0010","운행","","","","","0517172409","","48060","부산광역시 해운대구 우동 1514번지 센텀리더스마크 3001호","부산광역시 해운대구 APEC로 17, 센텀리더스마크 3001호 (우동)","48060","(주)피케이지쉬핑","20220407000000","U","2022-04-09 02:40:00.0","","394209.294344881","187280.207931335","6260000","국제물류주선업","300000000","","","","","",
"26","국제물류주선업","11_45_01_P","6260000","6260000-63-1106","20190729","","01","영업/정상","0010","운행","","","","","0516112322","","48930","부산광역시 중구 중앙동4가 36-14 은산빌딩 301호","부산광역시 중구 해관로 65, 은산빌딩 301호(중앙동4가)","48930","(주)대정로직스","20220330000000","U","2022-04-01 02:40:00.0","","385502.492319657","180297.579330876","6260000","국제물류주선업","300000000","","","","","",
"27","국제물류주선업","11_45_01_P","6260000","6260000-63-1104","20190708","","01","영업/정상","0010","운행","","","","","0514410793","","48957","부산광역시 중구 중앙동2가 43번지 3층","부산광역시 중구 대청로 148, 3층(중앙동2가)","48957","(주)영성해운항공","20220314000000","U","2022-03-16 02:40:00.0","","385576.625698448","180081.534827121","6260000","국제물류주선업","300000000","","","","","",
"28","국제물류주선업","11_45_01_P","6260000","6260000-63-1117","20190909","","01","영업/정상","0010","운행","","","","","0517144674","","48941","부산광역시 중구 중앙동4가 17-7","부산광역시 중구 대청로155번길 6, 유성빌딩 7층 (중앙동4가)","48941","(주)에스와이글로벌","20200416000000","U","2020-04-18 02:40:00.0","","385688.912554323","180165.79651993","6260000","국제물류주선업","300000000","","","","","",
"29","국제물류주선업","11_45_01_P","6260000","6260000-63-1107","20140703","","01","영업/정상","0010","운행","","","","","0514657401","","47209","부산광역시 부산진구 양정동 150-3 시청역롯데골드로즈 1916호","부산광역시 부산진구 중앙대로 993, 시청역롯데골드로즈 1916호(양정동)","47209","(주)케이엔이글로벌","20211123000000","U","2021-11-25 02:40:00.0","","388897.138111463","188512.137016495","6260000","국제물류주선업","300000000","","","","","",
"30","국제물류주선업","11_45_01_P","6260000","6260000-63-1111","20190813","","01","영업/정상","0010","운행","","","","","0514420011","","48937","부산광역시 중구 중앙동4가 81-21 굿어스빌딩 703호","부산광역시 중구 충장대로9번길 31, 굿어스빌딩 703호 (중앙동4가)","48937","(주)에프쓰리로지스틱스","20210222000000","U","2021-02-24 02:40:00.0","","385713.795031381","180679.258165465","6260000","국제물류주선업","300000000","","","","","",
"31","국제물류주선업","11_45_01_P","6260000","6260000-63-1100","20190626","","01","영업/정상","0010","운행","","","","","07047748906","","48937","부산광역시 중구 중앙동4가 81-21 굿어스빌딩6층 603호","부산광역시 중구 충장대로9번길 31, 굿어스빌딩 6층 603호 (중앙동4가)","48937","(주)비엔에스코리아","20201231000000","U","2021-01-02 02:40:00.0","","385713.795031381","180679.258165465","6260000","국제물류주선업","300000000","","","","","",
"32","국제물류주선업","11_45_01_P","6260000","6260000-63-1284","20220414","","01","영업/정상","0010","운행","","","","","0517147064","","48118","부산광역시 해운대구 우동 1436번지 카이저빌 605호","부산광역시 해운대구 마린시티3로 39, 카이저빌 605호(우동)","48118","유니플랩라인(주)","20220414000000","I","2022-04-16 00:22:33.0","","395494.954597888","186085.296980002","6260000","국제물류주선업","300000000","","","","","",
"33","국제물류주선업","11_45_01_P","6260000","6260000-63-1283","20220412","","01","영업/정상","0010","운행","","","","","0517176554","","48939","부산광역시 중구 중앙동4가 88-4 한성빌딩 301호","부산광역시 중구 충장대로9번길 9-1, 한성빌딩 301호(중앙동4가)","48939","(주)늘찬로지스","20220412000000","I","2022-04-14 00:22:33.0","","385684.845904317","180465.219732696","6260000","국제물류주선업","300000000","","","","","",
"34","국제물류주선업","11_45_01_P","6260000","6260000-63-72","20070613","","01","영업/정상","0010","운행","","","","","0518320281","","48934","부산광역시 중구 중앙동4가 74-1","부산광역시 중구 충장대로13번길 67 (중앙동4가)","48934","(주)디섹","20220415000000","U","2022-04-17 02:40:00.0","","385892.107191037","181044.594332973","6260000","국제물류주선업","4358810600","","","","","",
"35","국제물류주선업","11_45_01_P","6260000","6260000-63-79","20000330","","01","영업/정상","0010","운행","","","","","0514412767","","48941","부산광역시 중구 중앙동4가 25-4","부산광역시 중구 중앙대로 70(중앙동4가)","48941","(주)중앙해운항공","20210802000000","U","2021-08-04 02:40:00.0","","385637.167034815","180199.557790712","6260000","국제물류주선업","300000000","","","","","",
"36","국제물류주선업","11_45_01_P","6260000","6260000-63-80","20010915","","01","영업/정상","0010","운행","","","","","0514422896","","48445","부산광역시 남구 대연동 1375-2 일동지에닌 102동 603호","부산광역시 남구 수영로 209, 102동 603호(대연동, 일동 지에닌)","48445","(주)트랜스에버","20220602000000","U","2022-06-04 02:40:00.0","","390368.994185473","183801.434176389","6260000","국제물류주선업","300000000","","","","","",
"37","국제물류주선업","11_45_01_P","6260000","6260000-63-85","20070710","","01","영업/정상","0010","운행","","","","","0514414748","","","","부산광역시 중구 충장대로9번길 11, 502호 (중앙동4가,미광빌딩)","48939","(주)창대글로벌쉬핑","20220401000000","U","2022-04-03 02:40:00.0","","385683.626852112","180478.6861309","6260000","국제물류주선업","300000000","","20070710","","","",
"38","국제물류주선업","11_45_01_P","6260000","6260000-63-108","20071025","","01","영업/정상","0010","운행","","","","","0514035185","","600815","부산광역시 중구 중앙동4가   36번지 14호 반도빌딩 606호","부산광역시 중구 해관로 65, 606호 (중앙동4가,반도빌딩)","","(주)에프에이케이","20130424000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"39","국제물류주선업","11_45_01_P","6260000","6260000-63-110","20071108","","01","영업/정상","0010","운행","","","","","0514630921","","48930","부산광역시 중구 중앙동4가 36-14 은산빌딩 1401호","부산광역시 중구 해관로 65, 은산빌딩 1401호(중앙동4가)","48930","볼스해운항공(주)","20220407000000","U","2022-04-09 02:40:00.0","","385502.492319657","180297.579330876","6260000","국제물류주선업","300000000","","","","","",
"40","국제물류주선업","11_45_01_P","6260000","6260000-63-112","20050516","","01","영업/정상","0010","운행","","","","","0514414912","","48058","부산광역시 해운대구 우동 1468번지 케이엔엔타워 2408호","부산광역시 해운대구 센텀서로 30, 케이엔엔타워 2408호 (우동)","48058","(주)글로텍","20220502000000","U","2022-05-04 02:40:00.0","","393810.868918246","187968.239406246","6260000","국제물류주선업","1165459970","","","","","",
"41","국제물류주선업","11_45_01_P","6260000","6260000-63-113","20071114","","01","영업/정상","0010","운행","","","","","0514629086","","47261","부산광역시 부산진구 당감동 1024번지 서면2차봄여름가을겨울 104동 501호","부산광역시 부산진구 신천대로197번길 15, 104동 501호(당감동, 서면2차봄여름가을겨울)","47261","(주)보견물류","20220613000000","U","2022-06-15 02:40:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"42","국제물류주선업","11_45_01_P","6260000","6260000-63-104","20060123","","01","영업/정상","0010","운행","","","","","0514657900","","48937","부산광역시 중구 중앙동4가 82-1","부산광역시 중구 중앙대로 130(중앙동4가)","48937","마스타해운항공(주)","20220412000000","U","2022-04-14 02:40:00.0","","385686.625993097","180773.326305808","6260000","국제물류주선업","300000000","","","","","",
"43","국제물류주선업","11_45_01_P","6260000","6260000-63-141","20080129","","01","영업/정상","0010","운행","","","","","0514671303","","48822","부산광역시 동구 초량동 1212-4","부산광역시 동구 중앙대로180번길 6-9, 영동빌딩 504호 (초량동)","48822","남선창고(주)","20180516000000","U","2018-11-03 04:00:00.0","","385861.591340688","181175.545625966","6260000","국제물류주선업","618140000","","","","","",
"44","국제물류주선업","11_45_01_P","6260000","6260000-63-143","20080129","","01","영업/정상","0010","운행","","","","","0514635331","","48733","부산광역시 동구 초량동 1201-1","부산광역시 동구 중앙대로214번길 7-8, 아스티오피스텔 519,520호 (초량동)","48733","아넥스쉬핑 (주)","20180302000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"45","국제물류주선업","11_45_01_P","6260000","6260000-63-144","19990401","","01","영업/정상","0010","운행","","","","","0514647555","","","부산광역시 중구 중앙동4가 78번지 17호 산정빌딩 413호","부산광역시 중구 충장대로5번길 50, 413호 (중앙동4가,산정빌딩)","","(주)천우트랜스","20120501000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"46","국제물류주선업","11_45_01_P","6260000","6260000-63-146","20060526","","01","영업/정상","0010","운행","","","","","0514424151","","48943","부산광역시 중구 중앙동5가 18번지 경보이리스오션3층 302-2호","부산광역시 중구 대교로 141, 경보이리스오션 3층 302-2호 (중앙동5가)","48943","(주)와이지엘","20201112000000","U","2020-11-14 02:40:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"47","국제물류주선업","11_45_01_P","6260000","6260000-63-147","20050630","","01","영업/정상","0010","운행","","","","","0514415374","","48937","부산광역시 중구 중앙동4가 81-15 대성빌딩 502호","부산광역시 중구 충장대로5번길 32-1, 대성빌딩 502호 (중앙동4가)","48937","(주)뉴오릭스해운","20210201000000","U","2021-02-03 02:40:00.0","","385689.004984201","180675.628919087","6260000","국제물류주선업","300000000","","","","","",
"48","국제물류주선업","11_45_01_P","6260000","6260000-63-182","20031002","","01","영업/정상","0010","운행","","","","","0516326555","","","","부산광역시 동구 안창로 261, 5층 (범일동,해덕빌딩)","","(주)씨앤씨글로벌","20131230000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"49","국제물류주선업","11_45_01_P","6260000","6260000-63-184","20080730","","01","영업/정상","0010","운행","","","","","0514622471","","48941","부산광역시 중구 중앙동4가 23-1 노블리안2 911호","부산광역시 중구 중앙대로 80, 노블리안2 911호(중앙동4가)","48941","성우에이젠시(주)","20220406000000","U","2022-04-08 02:40:00.0","","385630.742187332","180306.821082315","6260000","국제물류주선업","300000000","","20080730","","","",
"50","국제물류주선업","11_45_01_P","6260000","6260000-63-187","20060617","","01","영업/정상","0010","운행","","","","","0512900905","","","부산광역시 사하구 구평동 468번지 14호","부산광역시 사하구 감천항로 315 (구평동)","","한국엠씨씨로지스틱스(주)","20220303000000","U","2022-03-05 02:40:00.0","","","","6260000","국제물류주선업","16999999500","","","","","",
"51","국제물류주선업","11_45_01_P","6260000","6260000-63-188","20080806","","01","영업/정상","0010","운행","","","","","0514696845","","48936","부산광역시 중구 중앙동4가 77-5 케이티중앙빌딩 310호","부산광역시 중구 중앙대로 136, 케이티중앙빌딩 310호 (중앙동4가)","48936","(주)동륜물류","20220517000000","U","2022-05-19 02:40:00.0","","385709.216919638","180842.067770636","6260000","국제물류주선업","300000000","","","","","",
"52","국제물류주선업","11_45_01_P","6260000","6260000-63-191","20080908","","01","영업/정상","0010","운행","","","","","0514418516","","","","부산광역시 동구 중앙대로 192, 807호 (초량동,교원공제회관)","","(주)카고글로발로지스틱스","20170718000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"53","국제물류주선업","11_45_01_P","6260000","6260000-63-192","20060502","","01","영업/정상","0010","운행","","","","","0514629191","","48939","부산광역시 중구 중앙동4가 89-14 정석빌딩 303호","부산광역시 중구 중앙대로 88, 정석빌딩 3층 303호(중앙동4가)","48939","(주)허브종합물류","20220317000000","U","2022-03-19 02:40:00.0","","385616.660201449","180406.241287734","6260000","국제물류주선업","300000000","","","","","",
"54","국제물류주선업","11_45_01_P","6260000","6260000-63-218","20081127","","01","영업/정상","0010","운행","","","","","0514687121","","48058","부산광역시 해운대구 재송동 1208-2","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 3304호 (재송동)","48058","(주)씨앤씨월드와이드","20220106000000","U","2022-01-08 02:40:00.0","","393519","188317","6260000","국제물류주선업","300000000","","","","","",
"55","국제물류주선업","11_45_01_P","6260000","6260000-63-219","20081128","","01","영업/정상","0010","운행","","","","","0514645595","","600816","부산광역시 중구 중앙동4가   82번지 4호 동일빌딩 302호","부산광역시 중구 중앙대로 124-2, 302호 (중앙동4가,동일빌딩)","","근화물류(주)","20130129000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"56","국제물류주선업","11_45_01_P","6260000","6260000-63-220","20010131","","01","영업/정상","0010","운행","","","","","0514625559","","48936","부산광역시 중구 중앙동4가 79-9 관정빌딩10층","부산광역시 중구 충장대로9번길 46, 관정빌딩 10층(중앙동4가)","48936","에스프리트코리아(주)","20220314000000","U","2022-03-16 02:40:00.0","","385801.526605206","180799.204372408","6260000","국제물류주선업","300000000","","","","","",
"57","국제물류주선업","11_45_01_P","6260000","6260000-63-323","19931013","","01","영업/정상","0010","운행","","","","","0517535415","","","","부산광역시 중구 중앙대로 21, 107호 (동광동1가,부산데파트)","","신성국제운송(주)","20160621000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"58","국제물류주선업","11_45_01_P","6260000","6260000-63-326","20100125","","01","영업/정상","0010","운행","","","","","0514418165","","48093","부산광역시 해운대구 우동 843번지 해운대오션파크아파트","부산광역시 해운대구 해운대로 558, 1403호 (우동, 해운대오션파크아파트)","48093","트랜스로지스틱스코리아(주)","20180528000000","U","2018-11-03 04:00:00.0","","396100.335467166","186684.95523108","6260000","국제물류주선업","300000000","","","","","",
"59","국제물류주선업","11_45_01_P","6260000","6260000-63-330","20050414","","01","영업/정상","0010","운행","","","","","0516043483","","","부산광역시 중구 중앙동4가 79번지 1호","부산광역시 중구 충장대로9번길 52 (중앙동4가)","","인터지스(주)","20200211000000","U","2020-02-13 02:40:00.0","","","","6260000","국제물류주선업","14873937000","","","","","",
"60","국제물류주선업","11_45_01_P","6260000","6260000-63-334","20030811","","01","영업/정상","0010","운행","","","","","0514697901","","47813","부산광역시 동래구 수안동 445번지 JnJ빌딩 801호","부산광역시 동래구 충렬대로237번길 12, JnJ빌딩 801호 (수안동)","47813","(주)아이오비물류","20200715000000","U","2020-07-17 02:40:00.0","","389851.736913923","191192.821497735","6260000","국제물류주선업","300000000","","","","","",
"61","국제물류주선업","11_45_01_P","6260000","6260000-63-251","20060628","","01","영업/정상","0010","운행","","","","","0514425601","","48058","부산광역시 해운대구 재송동 1208-2 센텀스카이비즈36층 에이동 에이-3605호","부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 36층 에이-3605호(재송동)","48058","퍼시픽 인터내셔널 해운(주)","20211027000000","U","2021-10-29 02:40:00.0","","393519","188317","6260000","국제물류주선업","450000000","","","","","",
"62","국제물류주선업","11_45_01_P","6260000","6260000-63-254","20070122","","01","영업/정상","0010","운행","","","","","0514410224","","","부산광역시 중구 중앙동4가   56번지 4호 9층","부산광역시 중구 중앙대로 95, 9층 (중앙동4가)","","(주)텐하이로지스틱","20120207000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"63","국제물류주선업","11_45_01_P","6260000","6260000-63-256","20060727","","01","영업/정상","0010","운행","","","","","0518500100","","47540","부산광역시 연제구 연산동 1287-21 장천빌딩","부산광역시 연제구 중앙대로 1079, 장천빌딩 (연산동)","47540","(주)화승네트웍스","20220503000000","U","2022-05-05 02:40:00.0","","389395.715733394","189240.313918839","6260000","국제물류주선업","25793044500","","","","","",
"64","국제물류주선업","11_45_01_P","6260000","6260000-63-258","20090528","","01","영업/정상","0010","운행","","","","","0514686286","0","600012","부산광역시 중구 중앙동2가   49번지 13호 부산빌딩 202호","부산광역시 중구 대청로138번길 7-1, 202호 (중앙동2가,부산빌딩)","","(주)성산","20190519000000","U","2019-05-21 02:40:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"65","국제물류주선업","11_45_01_P","6260000","6260000-63-259","20010828","","01","영업/정상","0010","운행","","","","","0514413335","","48956","부산광역시 중구 중앙동2가 44-1","부산광역시 중구 대청로 136(중앙동2가)","48956","(주)우남로지스틱","20220428000000","U","2022-04-30 02:40:00.0","","385467.102971945","180041.88705631","6260000","국제물류주선업","300000000","","","","","",
"66","국제물류주선업","11_45_01_P","6260000","6260000-63-285","20001121","","01","영업/정상","0010","운행","","","","","0514631951","","600711","부산광역시 중구 중앙동3가  부산우체국보험회관  9층","부산광역시 중구 중앙대로 63, 9층 (중앙동3가,부산우체국보험회관)","","(주)우주해상","20111203000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"67","국제물류주선업","11_45_01_P","6260000","6260000-63-286","20061115","","01","영업/정상","0010","운행","","","","","0514631951","","600711","부산광역시 중구 중앙동3가  1번지 부산우체국보험회관 9층","부산광역시 중구 중앙대로 63, 9층 (중앙동3가,부산우체국보험회관)","","(주)우주해운항공","20120107000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
"68","국제물류주선업","11_45_01_P","6260000","6260000-63-360","20030821","","01","영업/정상","0010","운행","","","","","0514421953","","48924","부산광역시 중구 대창동1가 51번지 부산중앙빌딩10층 1호","부산광역시 중구 해관로 89, 부산중앙빌딩 10층 1호(대창동1가)","48924","에스케이로직스(주)","20210709000000","U","2021-07-11 02:40:00.0","","385507.640529964","180548.792611588","6260000","국제물류주선업","300000000","","","","","",
"69","국제물류주선업","11_45_01_P","6260000","6260000-63-361","20100528","","01","영업/정상","0010","운행","","","","","0516316612","","","","부산광역시 남구 자성로 152, 1007호 (문현동,한일오피스텔)","48475","(주)대진로지스틱","20170908000000","U","2018-11-03 04:00:00.0","","388310.086924943","183883.854898063","6260000","국제물류주선업","300000000","","20100528","","","",
"70","국제물류주선업","11_45_01_P","6260000","6260000-63-364","20011030","","01","영업/정상","0010","운행","","","","","0514411102","","","","부산광역시 중구 동광길 25, 4층 (동광동5가)","","신우종합물류서비스(주)","20131230000000","U","2018-11-03 04:00:00.0","","","","6260000","국제물류주선업","300000000","","","","","",
